_id , fermi2fgl_name ,  other_name , RA, Dec, LII , BII , Gamma Assoc , Flux1Gev-100 Gev , Spectral index , Spectral index Error , Flux100-300 Mev , Flux300Mev-1Gev , Flux1GeV-3Gev , Flux3-10 Gev , Flux10-100 Gev , Optical classification , TeV CAT , Variability index
1599 , 2FGL J2001.7+7042 , TXS 2001+705 , 300.43 , 70.70381 , 103.34 , 19.97 , , (8.2+/-1.6) e-10 , 2.183 , 0.126 , < 2.07e-8 , < 4.74e-9 , < 9.10e-10 , (23.9+/-7.4) e-11 , < 1.06e-10 , BL Lac , N , 17.556
1600 , 2FGL J2004.4+3339c , , 301.12 , 33.66208 , 70.69 , 1.18 , , (28.9+/-3.8) e-10 , 2.042 , 0.08 , < 1.72e-8 , (11.4+/-2.7) e-9 , (27.1+/-5.1) e-10 , (7.1+/-1.6) e-10 , (15.5+/-6.4) e-11 , Unassociated , N , 24.242
1601 , 2FGL J2006.2-0929 , , 301.57167 , -9.492 , 32.78 , -20.91 , , (6.4+/-1.5) e-10 , 2.426 , 0.132 , < 2.54e-8 , (40.9+/-9.7) e-10 , (5.7+/-2) e-10 , < 1.37e-10 , < 8.60e-11 , Unassociated , N , 11.527
1602 , 2FGL J2006.5-2256 , , 301.63875 , -22.94925 , 19.27 , -26.21 , , (7.6+/-1.6) e-10 , 2.494 , 0.125 , (18.5+/-5.5) e-9 , (4.7+/-1) e-9 , (6.4+/-2) e-10 , < 2.71e-10 , < 6.99e-11 , Unassociated , N , 65.774
1603 , 2FGL J2006.9-1734 , , 301.73375 , -17.58225 , 24.84 , -24.35 , , (5.8+/-1.5) e-10 , 2.587 , 0.145 , (25.1+/-8.3) e-9 , (4.3+/-1.1) e-9 , < 7.45e-10 , < 2.72e-10 , < 5.64e-11 , Unassociated , N , 13.424
1604 , 2FGL J2007.9-4430 , PKS 2004-447 , 301.99125 , -44.51461 , 355.4 , -31.85 , , (6.6+/-1.4) e-10 , 2.47 , 0.122 , (16.3+/-5.4) e-9 , (32.1+/-8.2) e-10 , (5.3+/-1.7) e-10 , < 1.70e-10 , < 9.92e-11 , SEY , N , 31.442
1605 , 2FGL J2004.6+7004 , , 301.1725 , 70.07381 , 102.86 , 19.47 , , (11.7+/-1.7) e-10 , 1.974 , 0.107 , < 3.94e-8 , < 4.73e-9 , (7.9+/-2.1) e-10 , (25.3+/-7.3) e-11 , (12.8+/-4.3) e-11 , Unassociated , N , 36.77
1606 , 2FGL J2009.5-4850 , PKS 2005-489 , 302.375 , -48.83381 , 350.37 , -32.62 , , (38.3+/-2.6) e-10 , 1.779 , 0.047 , < 1.67e-8 , (60.1+/-8.1) e-10 , (24.1+/-2.7) e-10 , (10.4+/-1.4) e-10 , (45.7+/-8.9) e-11 , BL Lac , P , 68.858
1607 , 2FGL J2004.5+7754 , S5 2007+77 , 301.12875 , 77.91628 , 110.47 , 22.79 , , (10.8+/-1.5) e-10 , 2.217 , 0.091 , (16.2+/-4.8) e-9 , (37.1+/-7.3) e-10 , (5.5+/-1.6) e-10 , (26.7+/-7) e-11 , < 1.35e-10 , BL Lac , N , 46.567
1608 , 2FGL J2009.2-1505 , , 302.31833 , -15.08736 , 27.59 , -23.89 , , (18.4+/-7.4) e-11 , 2.506 , 0.305 , (13.1+/-4.3) e-9 , (5.7+/-1.1) e-9 , < 7.79e-10 , < 7.06e-11 , < 8.79e-11 , Unassociated , N , 26.529
1609 , 2FGL J2009.1-0339 , , 302.28083 , -3.66033 , 38.66 , -18.94 , , (8.6+/-1.8) e-10 , 2.353 , 0.124 , < 2.33e-8 , (4.1+/-1.1) e-9 , (7.3+/-2.4) e-10 , (19.7+/-7.7) e-11 , < 5.96e-11 , Unassociated , N , 15.71
1610 , 2FGL J2009.8+2747 , , 302.45625 , 27.79506 , 66.36 , -2.95 , , (7.6+/-2.4) e-10 , 2.378 , 0.304 , < 1.97e-8 , (6.3+/-2) e-9 , < 1.31e-9 , < 1.46e-10 , < 8.83e-11 , Unassociated , N , 16.495
1611 , 2FGL J2009.7+7225 , 4C +72.28 , 302.43708 , 72.418 , 105.28 , 20.15 , , (14.4+/-1.7) e-10 , 2.303 , 0.076 , (19.4+/-6.1) e-9 , (49.7+/-9.5) e-10 , (13.4+/-2.2) e-10 , (28.3+/-7.5) e-11 , < 9.69e-11 , BL Lac , N , 46.556
1612 , 2FGL J2012.1+4630 , 7C 2010+4619 , 303.03458 , 46.50794 , 82.33 , 6.86 , , (25.6+/-2.6) e-10 , 1.968 , 0.073 , < 3.26e-8 , (5.4+/-1.4) e-9 , (16.1+/-3.1) e-10 , (6.8+/-1.3) e-10 , (22.9+/-6.2) e-11 , BL Lac , N , 40.664
1613 , 2FGL J2012.4+3955c , , 303.11958 , 39.92892 , 76.83 , 3.23 , , (19.9+/-4.3) e-10 , 2.667 , 0.241 , (25.9+/-9.7) e-9 , (15.7+/-2.5) e-9 , (23.3+/-4.8) e-10 , < 2.61e-10 , < 8.25e-11 , Unassociated , N , 20.01
1614 , 2FGL J2014.0-0046 , PMN J2014-0047 , 303.51708 , -0.77144 , 41.97 , -18.67 , , (9.8+/-1.9) e-10 , 1.893 , 0.153 , < 2.62e-8 , < 4.66e-9 , < 8.18e-10 , (29+/-8.8) e-11 , (10.8+/-5.1) e-11 , BL Lac , N , 29.868
1615 , 2FGL J2013.8+4115c , , 303.45333 , 41.25992 , 78.08 , 3.75 , , (25.4+/-4.4) e-10 , 2.85 , 0.273 , < 5.33e-8 , (18.9+/-2.8) e-9 , (20.4+/-4.9) e-10 , < 4.02e-10 , < 6.10e-11 , Unassociated , N , 26.513
1616 , 2FGL J2014.7+0646 , NVSS J201431+064849 , 303.68458 , 6.78122 , 48.92 , -15.1 , , (5.2+/-1.6) e-10 , 1.737 , 0.227 , < 1.17e-8 , < 3.92e-9 , < 6.93e-10 , (16.9+/-7.5) e-11 , < 1.61e-10 , AGU , N , 18.566
1617 , 2FGL J2015.1-0137 , PKS 2012-017 , 303.77792 , -1.61975 , 41.31 , -19.31 , , (11.8+/-1.8) e-10 , 2.247 , 0.112 , < 4.22e-8 , < 5.08e-9 , (9.9+/-2.2) e-10 , (25.6+/-8.1) e-11 , < 1.36e-10 , BL Lac , N , 20.486
