_id , fermi2fgl_name ,  other_name , RA, Dec, LII , BII , Gamma Assoc , Flux1Gev-100 Gev , Spectral index , Spectral index Error , Flux100-300 Mev , Flux300Mev-1Gev , Flux1GeV-3Gev , Flux3-10 Gev , Flux10-100 Gev , Optical classification , TeV CAT , Variability index
360 , 2FGL J0526.6-6825e , LMC , 81.65 , -68.41997 , 278.84 , -32.86 , , (196+/-6.1) e-10 , 2.063 , 0.038 , (190+/-8.6) e-9 , (66.4+/-2.1) e-9 , (157+/-6.8) e-10 , (31.8+/-2.8) e-10 , (5.1+/-1.1) e-10 , Galaxy , N , 43.766
361 , 2FGL J0530.8+1333 , PKS 0528+134 , 82.71333 , 13.55308 , 191.33 , -11.02 , , (25.7+/-2.9) e-10 , 2.218 , 0.092 , (73.1+/-6.5) e-9 , (16.5+/-1.5) e-9 , (23+/-3.5) e-10 , (25.6+/-9.6) e-11 , < 7.06e-11 , FSRQ , N , 273.674
362 , 2FGL J0530.8-0517c , PMN J0529-0519 , 82.70333 , -5.28347 , 208.37 , -20.33 , , (9.1+/-2.3) e-10 , 2.302 , 0.387 , < 1.64e-8 , (4+/-1.3) e-9 , (12.7+/-2.9) e-10 , < 1.03e-10 , < 4.76e-11 , FSRQ , N , 22.767
363 , 2FGL J0533.9+6759 , , 83.48917 , 67.99769 , 144.77 , 18.19 , , (15.1+/-1.9) e-10 , 1.728 , 0.245 , < 6.01e-9 , (20.1+/-5.6) e-10 , (11.7+/-1.9) e-10 , (36.8+/-8.2) e-11 , < 6.22e-11 , Unassociated , N , 34.086
364 , 2FGL J0533.0+4823 , TXS 0529+483 , 83.26042 , 48.39378 , 162.13 , 8.2 , , (28.8+/-2.4) e-10 , 2.309 , 0.049 , (42.5+/-5.6) e-9 , (12+/-1.2) e-9 , (25.3+/-3) e-10 , (37.8+/-9.7) e-11 , (11.1+/-4.6) e-11 , FSRQ , N , 110.817
365 , 2FGL J0532.7+0733 , OG 050 , 83.18792 , 7.55944 , 196.84 , -13.71 , , (41.2+/-2.8) e-10 , 2.312 , 0.042 , (50.4+/-7.3) e-9 , (16.2+/-1.3) e-9 , (34.2+/-3.4) e-10 , (7+/-1.2) e-10 , (9+/-4.3) e-11 , FSRQ , N , 148.824
366 , 2FGL J0531.8-3831 , PMN J0532-3848 , 82.95042 , -38.51878 , 243.39 , -31.41 , , (4.5+/-1.1) e-10 , 2.607 , 0.151 , (19.6+/-8) e-9 , (31.3+/-8) e-10 , (3.9+/-1.5) e-10 , < 9.73e-11 , < 1.04e-10 , FSRQ , N , 25.2
367 , 2FGL J0532.0-4826 , PMN J0531-4827 , 83.01042 , -48.44425 , 255 , -32.8 , , (30.1+/-2.3) e-10 , 2.132 , 0.054 , (36.6+/-7.8) e-9 , (7.9+/-1) e-9 , (24.6+/-2.6) e-10 , (6.2+/-1.1) e-10 , (16.6+/-5.3) e-11 , AGU , N , 419.773
368 , 2FGL J0534.5+2201 , PSR J0534+2200 , 83.63125 , 22.01958 , 184.55 , -5.79 , 1AGL J0535+2205 , (183+/-1.5) e-9 , 2.145 , 0.006 , (195+/-1.7) e-8 , (578+/-4.4) e-9 , (146+/-1.6) e-9 , (350+/-7.3) e-10 , (74.5+/-3.3) e-10 , Pulsar , P , 86.225
369 , 2FGL J0534.8-0548c , , 83.71875 , -5.81175 , 209.36 , -19.67 , , (16.3+/-2.9) e-10 , 2.215 , 0.116 , < 4.13e-8 , < 6.55e-9 , (16.5+/-4) e-10 , (3.9+/-1.2) e-10 , < 1.44e-10 , Unassociated , N , 20.062
370 , 2FGL J0534.9-0450c , , 83.725 , -4.8385 , 208.44 , -19.22 , , (11.4+/-2.5) e-10 , 2.15 , 0.131 , < 4.39e-8 , (5.8+/-1.8) e-9 , (12.6+/-3.4) e-10 , (2.5+/-1.1) e-10 , < 1.01e-10 , Unassociated , N , 12.79
371 , 2FGL J0533.3-6651 , LMC field , 83.33083 , -66.8515 , 276.89 , -32.43 , , (8.6+/-1.7) e-10 , 2.272 , 0.136 , < 2.78e-8 , (35.3+/-9.8) e-10 , < 9.06e-10 , < 2.77e-10 , < 1.58e-10 , Galaxy , N , 15.966
372 , 2FGL J0532.5-7223 , PMN J0533-7216 , 83.13958 , -72.39261 , 283.37 , -31.71 , , (4.2+/-1.2) e-10 , 2.549 , 0.189 , (24.1+/-5.4) e-9 , < 3.24e-9 , < 7.12e-10 , < 1.44e-10 , < 1.09e-10 , AGU , N , 13.142
373 , 2FGL J0536.2-3348 , 1RXS J053629.4-334302 , 84.05583 , -33.81047 , 238.3 , -29.48 , , (20.8+/-1.9) e-10 , 2.391 , 0.056 , (42+/-4.5) e-9 , (89.6+/-8.6) e-10 , (11.9+/-2) e-10 , (37.9+/-9) e-11 , (18.5+/-5.7) e-11 , BL Lac , N , 123.116
374 , 2FGL J0538.1+2718 , , 84.53833 , 27.30592 , 180.51 , -2.26 , , (13.1+/-2.5) e-10 , 2.255 , 0.121 , < 2.55e-8 , (7.7+/-1.8) e-9 , < 1.62e-9 , (3.3+/-1.1) e-10 , < 1.21e-10 , Potential SNR , N , 12.603
375 , 2FGL J0540.4+5822 , GB6 J0540+5823 , 85.10708 , 58.38192 , 153.93 , 14.24 , , (8.4+/-1.6) e-10 , 1.843 , 0.131 , < 1.56e-8 , < 2.87e-9 , < 8.05e-10 , (28.4+/-7.9) e-11 , (8+/-3.4) e-11 , AGU , N , 18.619
376 , 2FGL J0538.5-0534c , , 84.64708 , -5.57433 , 209.57 , -18.74 , , (9.4+/-2) e-10 , 2.555 , 0.201 , (24.9+/-6.8) e-9 , (18.2+/-2.1) e-9 , (12.8+/-3.3) e-10 , < 1.33e-10 , < 5.64e-11 , Unassociated , N , 21.403
377 , 2FGL J0539.3-0323 , , 84.82958 , -3.39686 , 207.62 , -17.58 , , (8.7+/-1.9) e-10 , 2.321 , 0.13 , < 3.13e-8 , (6.8+/-1.5) e-9 , < 1.08e-9 , < 2.65e-10 , < 9.52e-11 , Unassociated , N , 18.528
378 , 2FGL J0538.5-3909 , 1RXS J053810.0-390839 , 84.62917 , -39.15186 , 244.42 , -30.26 , , (6.1+/-1.3) e-10 , 2.181 , 0.15 , < 1.35e-8 , (28.3+/-7.6) e-10 , (3.8+/-1.5) e-10 , < 2.05e-10 , < 1.28e-10 , AGU , N , 26.15
379 , 2FGL J0537.7-5716 , SUMSS J053748-571828 , 84.4325 , -57.27433 , 265.52 , -32.4 , , (3.9+/-1.2) e-10 , 1.73 , 0.214 , < 1.63e-8 , < 1.32e-9 , < 5.52e-10 , (12.6+/-5.7) e-11 , < 1.25e-10 , AGU , N , 25.586
380 , 2FGL J0540.3+3549c , , 85.09083 , 35.81758 , 173.55 , 2.67 , , (26.9+/-3.9) e-10 , 2.516 , 0.166 , (22.3+/-6.2) e-9 , (13.6+/-1.7) e-9 , (23.8+/-4.3) e-10 , (2.8+/-1.1) e-10 , < 6.55e-11 , Unassociated , N , 24.902
381 , 2FGL J0538.8-4405 , PKS 0537-441 , 84.70583 , -44.08375 , 250.07 , -31.1 , 1AGL J0538-4424 , (371+/-6.8) e-10 , 2.012 , 0.016 , (286+/-6.2) e-9 , (104+/-1.9) e-9 , (280+/-7.4) e-10 , (81.5+/-3.6) e-10 , (16.7+/-1.6) e-10 , BL Lac , N , 1460.103
382 , 2FGL J0539.3-2841 , PKS 0537-286 , 84.84625 , -28.69747 , 232.93 , -27.42 , , (6.1+/-1.2) e-10 , 2.825 , 0.1 , (34.6+/-4.7) e-9 , (50.8+/-7.9) e-10 , < 5.79e-10 , < 2.05e-10 , < 8.44e-11 , FSRQ , N , 51.75
383 , 2FGL J0531.8-8324 , PKS 0541-834 , 82.96625 , -83.40836 , 295.82 , -29.2 , , (13.2+/-1.8) e-10 , 2.154 , 0.088 , < 1.47e-8 , (47.3+/-9.1) e-10 , (10.4+/-2.2) e-10 , (15.2+/-6.8) e-11 , (10.4+/-4.6) e-11 , FSRQ , N , 75.81
384 , 2FGL J0541.8-0203c , , 85.45417 , -2.06058 , 206.68 , -16.41 , , (22.8+/-3.9) e-10 , 2.568 , 0.226 , < 2.33e-8 , (9.4+/-1.8) e-9 , (19.4+/-4.1) e-10 , < 3.93e-10 , < 2.13e-10 , Unassociated , N , 21.279
385 , 2FGL J0540.4-5415 , PKS 0539-543 , 85.10833 , -54.25325 , 261.97 , -31.92 , , (7.9+/-1.4) e-10 , 2.566 , 0.101 , (28.4+/-8.2) e-9 , (44.8+/-8.5) e-10 , (8.4+/-1.9) e-10 , < 1.74e-10 , < 6.87e-11 , FSRQ , N , 142.719
386 , 2FGL J0543.2-0120c , , 85.81083 , -1.33553 , 206.19 , -15.76 , , (13.6+/-2.7) e-10 , 2.19 , 0.113 , < 2.29e-8 , (7.8+/-2) e-9 , (16.2+/-3.8) e-10 , < 3.44e-10 , < 1.77e-10 , Unassociated , N , 18.709
387 , 2FGL J0545.6+6018 , , 86.41042 , 60.31422 , 152.5 , 15.74 , , (8.7+/-1.4) e-10 , 1.949 , 0.109 , < 7.13e-9 , < 3.19e-9 , (6.9+/-1.8) e-10 , (27.7+/-7.1) e-11 , < 8.90e-11 , Unassociated , N , 26.497
388 , 2FGL J0540.1-7554 , , 85.04875 , -75.90392 , 287.3 , -30.57 , , (4.5+/-1.2) e-10 , 2.223 , 0.181 , < 1.70e-8 , < 3.48e-9 , < 5.91e-10 , (14.1+/-5.9) e-11 , < 6.16e-11 , Unassociated , N , 17.064
389 , 2FGL J0543.9-5532 , 1RXS J054357.3-553206 , 85.99208 , -55.53364 , 263.51 , -31.48 , , (19.4+/-2) e-10 , 1.74 , 0.077 , < 1.63e-8 , (31.2+/-7.4) e-10 , (11.7+/-2) e-10 , (49.6+/-9.6) e-11 , (29.5+/-7) e-11 , BL Lac , N , 26.429
390 , 2FGL J0547.4+3722 , , 86.87 , 37.381 , 172.96 , 4.7 , , (7.5+/-1.9) e-10 , 2.424 , 0.146 , < 2.60e-8 , (6.3+/-1.4) e-9 , < 5.10e-10 , < 3.10e-10 , < 1.04e-10 , Unassociated , N , 13.029
391 , 2FGL J0547.1+0020c , , 86.79917 , 0.33486 , 205.14 , -14.1 , , (20.2+/-3.4) e-10 , 2.592 , 0.169 , (30.8+/-6.8) e-9 , (12.2+/-1.6) e-9 , (15.2+/-3.5) e-10 , (3.8+/-1.2) e-10 , < 7.88e-11 , Unassociated , N , 7.322
392 , 2FGL J0547.5-0141c , , 86.88083 , -1.68658 , 207.03 , -14.97 , , (6.6+/-1.9) e-10 , 2.496 , 0.273 , < 2.54e-8 , (9.3+/-1.8) e-9 , < 1.43e-9 , < 2.54e-10 , < 9.44e-11 , Unassociated , N , 28.956
393 , 2FGL J0553.9+3104 , , 88.48667 , 31.07867 , 179.08 , 2.64 , , (26.5+/-3.2) e-10 , 2.142 , 0.187 , < 5.42e-9 , (6.2+/-1.1) e-9 , (25.7+/-3.5) e-10 , < 3.66e-10 , < 6.74e-11 , Potential SNR , N , 29.77
394 , 2FGL J0555.9-4348 , , 88.97625 , -43.80408 , 250.4 , -28.02 , , (5.7+/-1.3) e-10 , 2.109 , 0.174 , < 2.19e-8 , < 2.64e-9 , (5.4+/-1.6) e-10 , < 2.43e-10 , < 1.16e-10 , Unassociated , N , 29.114
395 , 2FGL J0558.2-3837 , EXO 0556.4-3838 , 89.55792 , -38.62467 , 244.84 , -26.4 , , (7+/-1.3) e-10 , 2.255 , 0.15 , (16+/-5.1) e-9 , (21.8+/-7.4) e-10 , < 6.02e-10 , (20.1+/-6.7) e-11 , < 1.20e-10 , BL Lac , N , 18.079
396 , 2FGL J0600.9+3839 , , 90.24083 , 38.65139 , 173.18 , 7.64 , , (6.6+/-1.8) e-10 , 2.039 , 0.211 , < 1.92e-8 , < 4.86e-9 , < 8.72e-10 , < 2.23e-10 , (8.5+/-3.7) e-11 , Unassociated , N , 14.122
397 , 2FGL J0602.3+5315 , GB6 J0601+5315 , 90.58875 , 53.25147 , 160.1 , 14.6 , , (6.3+/-1.5) e-10 , 1.753 , 0.174 , < 1.40e-8 , < 1.44e-9 , (4.4+/-1.7) e-10 , (20.7+/-7.6) e-11 , (8.5+/-3.6) e-11 , AGU , N , 25.142
398 , 2FGL J0600.8-1949 , , 90.21542 , -19.83022 , 225.7 , -19.76 , , (5.3+/-1.3) e-10 , 2.391 , 0.148 , < 2.03e-8 , (31.9+/-7.9) e-10 , (4.6+/-1.7) e-10 , < 2.05e-10 , < 4.85e-11 , Unassociated , N , 32.394
399 , 2FGL J0558.7-7501 , PKS 0600-749 , 89.68292 , -75.03083 , 286.13 , -29.54 , , (7.4+/-1.4) e-10 , 2.087 , 0.141 , < 2.09e-8 , < 3.56e-9 , (7.5+/-1.8) e-10 , (16.3+/-6.1) e-11 , < 1.22e-10 , BL Lac , N , 33.782
400 , 2FGL J0602.7-4011 , , 90.67792 , -40.18406 , 246.77 , -25.96 , , (11.1+/-1.6) e-10 , 2.108 , 0.111 , < 1.27e-8 , (31.2+/-7.6) e-10 , (7.4+/-1.9) e-10 , (36.4+/-9.1) e-11 , < 1.49e-10 , Unassociated , N , 21.288
401 , 2FGL J0601.1-7037 , PKS 0601-70 , 90.29542 , -70.62331 , 281.05 , -29.64 , , (36.1+/-2.5) e-10 , 2.116 , 0.067 , (33.4+/-4.8) e-9 , (13.7+/-1) e-9 , (32.2+/-2.9) e-10 , (46.5+/-9.5) e-11 , (7.3+/-3.5) e-11 , FSRQ , N , 345.578
402 , 2FGL J0605.3+3758 , , 91.34708 , 37.9795 , 174.2 , 8.08 , , (14+/-2.3) e-10 , 2.1 , 0.262 , < 5.01e-9 , (23.9+/-8.3) e-10 , (10+/-2.3) e-10 , < 3.19e-10 , < 5.98e-11 , Unassociated , N , 16.083
403 , 2FGL J0605.0+0001 , GB6 J0604+0000 , 91.25833 , 0.03217 , 207.55 , -10.3 , , (6.3+/-1.7) e-10 , 1.895 , 0.183 , < 8.19e-9 , < 3.38e-9 , (6.1+/-2.2) e-10 , < 1.97e-10 , (8.3+/-4.1) e-11 , AGU , N , 27.375
404 , 2FGL J0604.2-4817 , 1ES 0602-482 , 91.05333 , -48.29442 , 255.69 , -27.49 , , (6.7+/-1.4) e-10 , 1.817 , 0.151 , < 6.44e-9 , (18.8+/-6.5) e-10 , (5.1+/-1.5) e-10 , < 2.05e-10 , (9.4+/-4.2) e-11 , AGU , N , 30.989
405 , 2FGL J0607.4+4739 , TXS 0603+476 , 91.86958 , 47.65817 , 165.63 , 12.87 , , (22.3+/-2) e-10 , 2.051 , 0.063 , (14.4+/-4.5) e-9 , (47.9+/-8.6) e-10 , (18.4+/-2.5) e-10 , (6.2+/-1.1) e-10 , (9.5+/-4) e-11 , BL Lac , N , 32.472
406 , 2FGL J0607.5-0618c , , 91.88125 , -6.30592 , 213.6 , -12.63 , , (9.5+/-2.8) e-10 , 2.39 , 0.25 , (14.1+/-4.5) e-9 , (6.8+/-1.4) e-9 , (12.4+/-3.3) e-10 , < 1.67e-10 , < 1.37e-10 , Unassociated , N , 33.751
407 , 2FGL J0608.3+2037 , , 92.085 , 20.63194 , 189.76 , 0.28 , , (32.8+/-4.8) e-10 , 2.641 , 0.201 , < 2.49e-8 , (17.1+/-2) e-9 , (29.8+/-4.9) e-10 , (3.1+/-1.2) e-10 , < 1.53e-10 , Unassociated , N , 15.587
408 , 2FGL J0608.0-0836 , PKS 0605-08 , 92.015 , -8.611 , 215.78 , -13.53 , , (17.8+/-2.2) e-10 , 2.358 , 0.077 , (25.9+/-7.1) e-9 , (8.6+/-1.4) e-9 , (12.8+/-2.7) e-10 , (4.6+/-1.1) e-10 , < 8.44e-11 , FSRQ , N , 35.462
409 , 2FGL J0608.0-1521 , PMN J0608-1520 , 92.00333 , -15.36664 , 222.11 , -16.41 , , (23.4+/-2.4) e-10 , 2.173 , 0.096 , (43.1+/-5.3) e-9 , (13.3+/-1.2) e-9 , (20.9+/-2.9) e-10 , (29.9+/-8.9) e-11 , < 6.24e-11 , FSRQ , N , 152.657
410 , 2FGL J0609.4-0248 , NVSS J060915-024754 , 92.37458 , -2.81225 , 210.64 , -10.62 , , (9.6+/-1.9) e-10 , 1.792 , 0.154 , (22.8+/-7.7) e-9 , < 3.73e-9 , (6+/-2) e-10 , (27.4+/-8.7) e-11 , (12.9+/-5.1) e-11 , AGU , N , 26.577
411 , 2FGL J0611.0+4321 , B3 0607+434 , 92.75042 , 43.35225 , 169.86 , 11.5 , , (5.3+/-1.4) e-10 , 1.954 , 0.208 , < 1.99e-8 , < 1.52e-9 , < 7.67e-10 , < 2.56e-10 , (8.7+/-4.1) e-11 , AGU , N , 14.533
412 , 2FGL J0609.6-1847 , PMN J0610-1847 , 92.42375 , -18.78819 , 225.55 , -17.43 , , (5.6+/-1.4) e-10 , 2.2 , 0.174 , < 1.36e-8 , < 3.65e-9 , (4.8+/-1.7) e-10 , < 1.96e-10 , < 8.33e-11 , BL Lac , N , 26.321
413 , 2FGL J0610.3-2059 , PSR J0610-2100 , 92.58417 , -20.99042 , 227.73 , -18.16 , , (10.9+/-1.9) e-10 , 1.655 , 0.523 , < 2.04e-8 , (33.2+/-8.2) e-10 , (9.1+/-2) e-10 , (13.3+/-6.2) e-11 , < 8.56e-11 , Pulsar , N , 25.404
414 , 2FGL J0612.8+4122 , B3 0609+413 , 93.2125 , 41.36822 , 171.82 , 10.92 , , (36.3+/-2.6) e-10 , 2.028 , 0.047 , (22.3+/-5.6) e-9 , (8.8+/-1) e-9 , (29.5+/-2.9) e-10 , (7.3+/-1.2) e-10 , (31.4+/-7.2) e-11 , BL Lac , N , 46.948
415 , 2FGL J0611.8-6059 , PKS 0609-609 , 92.96 , -60.98422 , 270.08 , -28.23 , , (5.2+/-1.2) e-10 , 2.363 , 0.158 , (14.4+/-4.6) e-9 , (23.2+/-6.9) e-10 , (4.7+/-1.5) e-10 , (13+/-5.4) e-11 , < 6.40e-11 , FSRQ , N , 30.249
416 , 2FGL J0613.8-0200 , PSR J0613-0200 , 93.45625 , -2.01314 , 210.42 , -9.29 , , (50.3+/-3.5) e-10 , 1.309 , 0.156 , < 1.37e-8 , (9.5+/-1.2) e-9 , (42.7+/-3.8) e-10 , (8.7+/-1.3) e-10 , < 8.49e-11 , Pulsar , N , 25.957
417 , 2FGL J0614.1-3329 , PSR J0614-3329 , 93.54 , -33.48358 , 240.48 , -21.83 , , (183+/-5.4) e-10 , 1.27 , 0.051 , (34.6+/-3.7) e-9 , (28.8+/-1.1) e-9 , (137+/-5.3) e-10 , (41+/-2.6) e-10 , (25+/-6.4) e-11 , Pulsar , N , 26.584
418 , 2FGL J0616.9+5701 , 87GB 061258.1+570222 , 94.24083 , 57.02842 , 157.4 , 18.05 , , (11.6+/-1.5) e-10 , 1.895 , 0.098 , < 1.10e-8 , (29.6+/-6.8) e-10 , (6.5+/-1.6) e-10 , (22.7+/-6.8) e-11 , (17+/-5) e-11 , BL Lac , N , 12.847
419 , 2FGL J0616.6+2425 , , 94.15083 , 24.421 , 187.35 , 3.77 , , (9.2+/-2.2) e-10 , 2.275 , 0.129 , < 2.23e-8 , < 7.83e-9 , (10.3+/-3.1) e-10 , < 3.14e-10 , < 8.55e-11 , Unassociated , N , 25.169
420 , 2FGL J0617.2+2234e , SNR G189.1-03.0 , 94.30958 , 22.58 , 189.04 , 3.03 , 1AGL J0617+2236 , (651+/-9.9) e-10 , 1.791 , 0.015 , (274+/-9) e-9 , (151+/-2.8) e-9 , (44.8+/-1) e-9 , (141+/-4.8) e-10 , (31.2+/-2.2) e-10 , SNR , E , 16.662
421 , 2FGL J0617.6-1716 , CRATES J061733.67-171522 , 94.41292 , -17.28125 , 224.91 , -15.09 , , (14.1+/-1.9) e-10 , 1.959 , 0.1 , < 1.66e-8 , (35.2+/-9) e-10 , (7.7+/-2.1) e-10 , (30+/-8.7) e-11 , (18.1+/-5.9) e-11 , BL Lac , N , 25.048
422 , 2FGL J0621.2+2508 , , 95.31542 , 25.13894 , 187.21 , 5.04 , , (10+/-2) e-10 , 2.104 , 0.12 , < 2.36e-8 , < 6.23e-9 , (9.4+/-2.6) e-10 , (30.5+/-9.2) e-11 , < 6.34e-11 , Unassociated , N , 28.741
423 , 2FGL J0621.9+3750 , GB6 J0621+3750 , 95.4875 , 37.83864 , 175.84 , 10.92 , , (18.4+/-2.3) e-10 , 1.967 , 0.161 , < 9.74e-9 , (92.7+/-9.8) e-10 , (17.1+/-2.6) e-10 , < 2.01e-10 , < 4.66e-11 , AGU , N , 28.825
424 , 2FGL J0620.8-2556 , , 95.22417 , -25.93914 , 233.52 , -17.81 , , (7.4+/-1.5) e-10 , 2.155 , 0.133 , < 2.13e-8 , (21.8+/-7.3) e-10 , < 7.93e-10 , (18.7+/-6.9) e-11 , < 1.03e-10 , Unassociated , N , 41.88
425 , 2FGL J0622.9+3326 , B2 0619+33 , 95.74875 , 33.43967 , 179.94 , 9.16 , , (39.7+/-2.7) e-10 , 2.126 , 0.044 , (32.3+/-5.7) e-9 , (11.6+/-1.2) e-9 , (29.6+/-3.3) e-10 , (9.9+/-1.4) e-10 , (14.3+/-5) e-11 , AGU , N , 641.067
426 , 2FGL J0625.2+4441 , GB6 J0625+4440 , 96.32375 , 44.68506 , 169.75 , 14.39 , , (8.2+/-1.4) e-10 , 1.912 , 0.135 , < 1.49e-8 , < 3.42e-9 , (4+/-1.6) e-10 , (21.2+/-6.6) e-11 , (9.1+/-3.8) e-11 , BL Lac , N , 26.244
427 , 2FGL J0626.8-4258 , 1RXS J062635.9-425810 , 96.70542 , -42.97128 , 251.05 , -22.38 , , (4.4+/-1.2) e-10 , 1.697 , 0.199 , < 7.50e-9 , < 2.07e-9 , < 4.80e-10 , (11.4+/-5.5) e-11 , < 1.77e-10 , AGU , N , 23.419
428 , 2FGL J0627.1-3528 , PKS 0625-35 , 96.77667 , -35.47906 , 243.44 , -19.97 , , (15+/-1.8) e-10 , 1.929 , 0.088 , < 1.82e-8 , (36.2+/-7.5) e-10 , (9.7+/-1.9) e-10 , (32.6+/-8.8) e-11 , (12.7+/-4.8) e-11 , RDG , N , 25.331
429 , 2FGL J0629.3-2001 , PKS 0627-199 , 97.34875 , -20.02964 , 228.67 , -13.68 , , (24.8+/-2.3) e-10 , 2.192 , 0.059 , (25.9+/-5.2) e-9 , (8.3+/-1.1) e-9 , (16.1+/-2.5) e-10 , (7+/-1.2) e-10 , < 1.43e-10 , BL Lac , N , 64.338
430 , 2FGL J0633.8+7132 , GB6 J0636+7138 , 98.47125 , 71.54836 , 143.18 , 24.26 , , (3.8+/-1.1) e-10 , 2.621 , 0.157 , < 2.22e-8 , (30.4+/-7.7) e-10 , < 7.15e-10 , < 9.49e-11 , < 6.54e-11 , AGU , N , 49.557
431 , 2FGL J0628.9-6246 , PKS 0628-627 , 97.2275 , -62.77106 , 272.36 , -26.46 , , (6.3+/-1.3) e-10 , 1.871 , 0.167 , < 9.55e-9 , < 1.88e-9 , (5+/-1.5) e-10 , < 1.76e-10 , (11+/-4.8) e-11 , AGU , N , 17.904
432 , 2FGL J0631.5+1035 , PSR J0631+1036 , 97.88292 , 10.59497 , 201.24 , 0.45 , , (59.1+/-4.3) e-10 , 1.473 , 0.142 , (24.3+/-7.6) e-9 , (13.5+/-1.6) e-9 , (45.2+/-4.5) e-10 , (11.5+/-1.7) e-10 , (11.1+/-5) e-11 , Pulsar , N , 27.784
433 , 2FGL J0630.9-2406 , TXS 0628-240 , 97.73375 , -24.10808 , 232.67 , -15.01 , , (33.8+/-2.5) e-10 , 1.791 , 0.055 , < 1.76e-8 , (55.6+/-9.1) e-10 , (19.8+/-2.5) e-10 , (8.5+/-1.3) e-10 , (45.2+/-8.8) e-11 , BL Lac , N , 29.686
434 , 2FGL J0631.6+0640 , , 97.92 , 6.67619 , 204.73 , -1.33 , , (42.1+/-4.9) e-10 , 2.394 , 0.139 , < 7.77e-8 , (14.2+/-2.8) e-9 , (27.6+/-5.4) e-10 , (8.3+/-1.7) e-10 , < 1.47e-10 , Potential SNR , N , 18.953
435 , 2FGL J0631.7+0428 , , 97.93792 , 4.477 , 206.69 , -2.33 , , (33.3+/-4.2) e-10 , 2.472 , 0.153 , (42.4+/-9.2) e-9 , (12.3+/-2.3) e-9 , (26.4+/-4.8) e-10 , (4+/-1.3) e-10 , < 8.65e-11 , Unassociated , N , 15.676
436 , 2FGL J0633.9+1746 , PSR J0633+1746 , 98.47833 , 17.77389 , 195.13 , 4.27 , 1AGL J0634+1748 , (729+/-3) e-9 , 1.221 , 0.006 , (195+/-1.3) e-8 , (1450+/-6.2) e-9 , (597+/-3.2) e-9 , (117+/-1.3) e-9 , (28+/-2) e-10 , Pulsar , E , 14.851
437 , 2FGL J0633.7+0633 , LAT PSR J0633+0632 , 98.43167 , 6.55639 , 205.08 , -0.93 , , (154+/-6.9) e-10 , 1.256 , 0.122 , < 8.32e-8 , (30+/-3.2) e-9 , (124+/-7.2) e-10 , (26.3+/-2.4) e-10 , < 1.89e-10 , Pulsar , N , 34.963
438 , 2FGL J0634.3+0356c , , 98.58583 , 3.94403 , 207.47 , -2 , , (19+/-3.6) e-10 , 2.26 , 0.1 , < 2.13e-8 , (11.8+/-3) e-9 , (16.7+/-4.7) e-10 , (3.9+/-1.4) e-10 , < 1.77e-10 , Unassociated , N , 18.21
439 , 2FGL J0635.0-2334 , CGRaBS J0634-2335 , 98.75083 , -23.57683 , 232.56 , -13.94 , , (5.1+/-1.3) e-10 , 2.19 , 0.16 , < 1.10e-8 , < 4.26e-9 , (6.8+/-1.8) e-10 , < 1.19e-10 , < 7.26e-11 , FSRQ , N , 23.411
440 , 2FGL J0636.0+0554 , , 99.00542 , 5.90622 , 205.92 , -0.73 , , (14.3+/-2.8) e-10 , 2.574 , 0.196 , < 4.98e-8 , (21.1+/-2.6) e-9 , (17+/-4.3) e-10 , < 1.92e-10 , < 6.33e-11 , Potential SNR , N , 26.922
441 , 2FGL J0637.0+0416c , , 99.26125 , 4.27139 , 207.48 , -1.25 , , (24.1+/-3.9) e-10 , 2.591 , 0.213 , < 3.09e-8 , (9.6+/-2.4) e-9 , (19.7+/-4.5) e-10 , (3.3+/-1.2) e-10 , < 5.85e-11 , Unassociated , N , 24.881
442 , 2FGL J0641.2+7315 , , 100.32167 , 73.25053 , 141.48 , 25.17 , , (6.8+/-1.2) e-10 , 2.404 , 0.117 , < 1.96e-8 , (47.8+/-7.5) e-10 , < 3.92e-10 , < 2.09e-10 , < 1.31e-10 , Unassociated , N , 52.522
443 , 2FGL J0637.8+0737 , , 99.47375 , 7.62228 , 204.6 , 0.48 , , (9.7+/-3.1) e-10 , 2.788 , 0.273 , (31.6+/-9.6) e-9 , (10.6+/-1.9) e-9 , (10.7+/-3.4) e-10 , < 2.86e-10 , < 5.78e-11 , Potential SNR , N , 31.429
444 , 2FGL J0635.5-7516 , PKS 0637-75 , 98.88875 , -75.274 , 286.37 , -27.18 , , (17.3+/-1.8) e-10 , 2.648 , 0.056 , (55.9+/-6.2) e-9 , (11.5+/-1) e-9 , (16.4+/-2.3) e-10 , < 2.02e-10 , < 8.15e-11 , FSRQ , N , 198.902
445 , 2FGL J0641.1+1006c , , 100.29375 , 10.10408 , 202.77 , 2.33 , , (18.6+/-4) e-10 , 2.768 , 0.257 , (42.3+/-9.8) e-9 , (12.2+/-1.8) e-9 , (17.3+/-3.8) e-10 , < 3.66e-10 , < 1.59e-10 , Unassociated , N , 18.149
446 , 2FGL J0644.6+6034 , , 101.16958 , 60.57458 , 155.06 , 22.59 , , (8.9+/-1.3) e-10 , 2.107 , 0.103 , < 1.64e-8 , (24.2+/-6.4) e-10 , (6.1+/-1.6) e-10 , (18.3+/-6) e-11 , (8.1+/-3.4) e-11 , Unassociated , N , 32.195
