_id , pccs1f217_name , other_name , RA , Dec , LII , BII ,Detection pipeline flux density +/- err (mJy),Aperture photometry flux density +/- err (mJy),PSF fit flux density +/- err (mJy),Gaussian fit flux density +/- err (mJy),PositionError (arcmin),Extended,Cirrus flag,External validation,ERCSC source name,Gaussian fit semimajor axis +/- err (arcmin),Gaussian fit semiminor axis +/- err (arcmin),Gaussian fit orientation +/- err (degrees),Gaussian fit effective FWHM (arcmin) 
15887 , "PCCS1 217 G335.89-63.23 ", , 351.37042 , -48.02278 , 335.89222 , -63.23495 , "159.8+/-27.5" , "139.1+/-82.1" , "108.7+/-31.8" , "-" , 0.7 , "Not available" , 1 , 2 , " " , "-" , "-" , "-" , -9.9
15888 , "PCCS1 217 G096.01-39.98 ", , 351.42333 , 18.365 , 96.01692 , -39.9832 , "189.2+/-32.5" , "153.9+/-69.8" , "213.9+/-32" , "-" , 0.7 , "Not available" , 24 , 2 , " " , "-" , "-" , "-" , -9.9
15889 , "PCCS1 217 G112.87+00.23 ", , 351.44583 , 61.42194 , 112.87388 , 0.23414 , "426.8+/-78.2" , "1566.7+/-392.2" , "1435.6+/-131.6" , "2162.5+/-216.5" , 0.7 , "Yes" , 41 , 0 , " " , "13+/-1.2" , "5.3+/-0.6" , "175.6+/-0.000" , 8.3
15890 , "PCCS1 217 G113.75+02.79 ", , 351.44917 , 64.13528 , 113.75761 , 2.79967 , "795.6+/-91.4" , "1605.9+/-283.7" , "1334.2+/-103.1" , "2846.9+/-199.1" , 0.7 , "Yes" , 15 , 2 , " " , "10.1+/-0.8" , "7.3+/-0.6" , "79+/-0.000" , 8.6
15891 , "PCCS1 217 G103.21-25.88 ", , 351.47 , 33.6875 , 103.21902 , -25.88811 , "254.9+/-38.5" , "658+/-181.9" , "546.2+/-80.8" , "1787.6+/-198.4" , 0.7 , "Yes" , 55 , 2 , " " , "16.4+/-2.4" , "6.7+/-0.9" , "132.7+/-0.000" , 10.5
15892 , "PCCS1 217 G106.56-17.58 ", , 351.4775 , 42.55222 , 106.56812 , -17.58539 , "346.2+/-34.8" , "298.9+/-68.4" , "246.3+/-34.4" , "227.2+/-30.4" , 0.7 , "No" , 20 , 1 , " " , "5.3+/-0.7" , "4.4+/-0.6" , "60.2+/-0.000" , 4.8
15893 , "PCCS1 217 G115.76+08.53 ", , 351.4875 , 70.21306 , 115.76577 , 8.5399 , "327.2+/-61.8" , "297.7+/-235.7" , "334.2+/-66.7" , "2216.8+/-220.9" , 0.7 , "Yes" , 13 , 0 , " " , "19.7+/-2.6" , "8.1+/-1" , "86.8+/-0.000" , 12.6
15894 , "PCCS1 217 G112.20-01.79 ", , 351.49833 , 59.28083 , 112.20334 , -1.79931 , "1111.9+/-191" , "3626.6+/-945" , "3312.2+/-313" , "2.9e+4+/-1475.2" , 0.7 , "Yes" , 58 , 0 , "PLCKERC217 G112.21-01.80" , "26.3+/-2" , "10.8+/-0.8" , "106.3+/-0.000" , 16.8
15895 , "PCCS1 217 G113.61+02.27 ", , 351.53542 , 63.59611 , 113.6185 , 2.27757 , "1005.9+/-112.5" , "2572.4+/-434.3" , "2191.6+/-136.5" , "4192+/-236.5" , 0.7 , "Yes" , 18 , 1 , "PLCKERC217 G113.59+02.28" , "12.5+/-0.6" , "5.1+/-0.3" , "62+/-0.000" , 8
15896 , "PCCS1 217 G111.95-02.61 ", , 351.55 , 58.43194 , 111.95335 , -2.6111 , "1322.4+/-221.5" , "2960.2+/-1347.3" , "2913.7+/-405.2" , "2.2e+4+/-1631.6" , 0.7 , "Yes" , 53 , 1 , "PLCKERC217 G111.95-02.59" , "22.6+/-1.3" , "9+/-0.9" , "127.5+/-0.000" , 14.3
15897 , "PCCS1 217 G116.00+09.12 ", , 351.56875 , 70.84306 , 116.0006 , 9.12647 , "494.2+/-57.2" , "945.5+/-540.2" , "915.4+/-112.9" , "1803+/-251.4" , 0.7 , "No" , 11 , 1 , "PLCKERC217 G116.00+09.13" , "11.6+/-1.1" , "4.7+/-0.8" , "33.9+/-0.000" , 7.4
15898 , "PCCS1 217 G099.86-33.41 ", , 351.59625 , 25.61917 , 99.86829 , -33.415 , "198.5+/-36.6" , "185.4+/-65.3" , "213.8+/-28.3" , "561.9+/-76" , 0.7 , "Yes" , 19 , 0 , " " , "16.3+/-1.3" , "6.7+/-1.1" , "41.2+/-0.000" , 10.4
15899 , "PCCS1 217 G103.43-25.81 ", , 351.65208 , 33.82694 , 103.43176 , -25.8122 , "287.9+/-42.9" , "470.2+/-149.9" , "357.9+/-63.4" , "1295.1+/-181.5" , 0.7 , "Yes" , 52 , 2 , " " , "17.5+/-1.6" , "7.1+/-1.3" , "117.3+/-0.000" , 11.2
