_id , fermi1fhl_name , other_name , Association , RA , Dec , LII , BII,Flux (E>10 GeV),Spectral index,Sqrt(TS),Flux Density,Energy Flux,Pivot Energy,Flux10-30GeV,Errors on Flux10-30GeV,Flux30-100GeV,Errors on Flux30-100GeV,Flux100-500GeV,Errors on Flux100-500GeV,Sqrt(TS)10-30GeV,Sqrt(TS)30-100GeV,Sqrt(TS)100-500GeV,Class,Z,TeV Assoc.,Tev Flag,Variability,Sed Class,Ext name
387 , 1FHL J1730.7+0017 , 2FGL J1730.7+0023 , PKS 1728+004 , 262.7 , 0.2974 , 23.7 , 18 , (11.9±4.12) e-11 , 3.2417 ± 0.783 , 4.98 , (6.43±2.22) e-12 , (3.41±1.48) e-12 , 15.5095 , 1.05e-10 , -3.497e-11 +4.348e-11 , 1.14e-11 , -8.388e-12 +1.63e-11 , < 3.86e-11 , - , 5.1 , 2.02 , 0 , bzq , 1.335 , , N , 1 , - , 
388 , 1FHL J1735.3-1118 , 1FGL J1735.4-1118 , CRATES J1735-1117 , 263.8398 , -11.3112 , 13.87 , 11.24 , (11.24±4.24) e-11 , 2.279 ± 0.514 , 4.6 , (2.69±1.02) e-12 , (5.52±3.23) e-12 , 20.9205 , 8.71e-11 , -3.305e-11 +4.243e-11 , 3.17e-11 , -1.848e-11 +2.858e-11 , < 4.24e-11 , - , 4.39 , 2.84 , 0 , agu , 0 , , N , 1 , - , 
389 , 1FHL J1735.9+2033 , 2FGL J1735.9+2033 , NVSS J173605+203301 , 263.9991 , 20.5516 , 44.06 , 25.43 , (13.13±4.26) e-11 , 2.379 ± 0.5811 , 5.76 , (3.8±1.23) e-12 , (5.94±3.45) e-12 , 19.3181 , 1.02e-10 , -3.364e-11 +4.168e-11 , 2.04e-11 , -1.2e-11 +1.925e-11 , 1.39e-11 , -1.373e-11 +2.189e-11 , 5.55 , 2.86 , 1.02 , bzb , 0 , , N , 1 , HSP , 
390 , 1FHL J1739.3+4953 , 2FGL J1739.5+4955 , S4 1738+49 , 264.8465 , 49.8838 , 76.83 , 31.73 , (6.95±2.93) e-11 , 2.261 ± 0.5588 , 4.19 , (14.59±6.14) e-13 , (3.46±2.17) e-12 , 22.1639 , 5.20e-11 , -2.211e-11 +2.891e-11 , 1.95e-11 , -1.13e-11 +1.782e-11 , < 3.46e-11 , - , 3.85 , 3.21 , 0 , bzq , 1.545 , , N , 1 , LSP , 
391 , 1FHL J1740.2+5211 , 2FGL J1740.2+5212 , 4C +51.37 , 265.0706 , 52.1843 , 79.54 , 31.79 , (5.24±2.3) e-11 , 3.8544 ± 1.2863 , 4.24 , (4.5±1.97) e-12 , (12.89±6.76) e-13 , 13.6496 , 4.48e-11 , -1.802e-11 +2.426e-11 , 8.03e-12 , -6.192e-12 +1.203e-11 , < 2.78e-11 , - , 4.79 , 1.7 , 0 , bzq , 1.379 , , N , 1 , LSP , 
392 , 1FHL J1741.9-2539 , 2FGL J1742.0-2540c , , 265.4828 , -25.6577 , 2.36 , 2.41 , (20.04±6.25) e-11 , 2.6118 ± 0.4894 , 4.67 , (6.39±1.99) e-12 , (7.7±3.35) e-12 , 18.613 , 1.63e-10 , -5.432e-11 +6.481e-11 , 4.20e-11 , -2.286e-11 +3.276e-11 , < 3.95e-11 , - , 4.31 , 2.67 , 0 , , 0 , , N , 1 , , 
393 , 1FHL J1744.2+1938 , 2FGL J1744.1+1934 , S3 1741+19 , 266.0577 , 19.6408 , 43.91 , 23.3 , (9.01±3.8) e-11 , 2.1356 ± 0.538 , 4.08 , (16.12±6.79) e-13 , (5.03±3.26) e-12 , 23.8861 , 5.91e-11 , -2.614e-11 +3.523e-11 , 2.19e-11 , -1.461e-11 +2.41e-11 , 1.27e-11 , -8.918e-12 +1.734e-11 , 4.01 , 2.78 , 2.87 , bzb , 0.083 , 1ES 1741+196 , P , 1 , HSP , 
394 , 1FHL J1745.6-2900 , 2FGL J1745.6-2858 , , 266.4125 , -29.0083 , 359.94 , -0.05 , (9.19±1.56) e-10 , 2.9001 ± 0.3314 , 7.78 , (36.13±6.13) e-12 , (30.16±6.8) e-12 , 17.2144 , 8.64e-10 , -1.501e-10 +1.612e-10 , 4.61e-11 , -3.61e-11 +4.846e-11 , < 5.58e-11 , - , 7.6 , 1.36 , 0 , spp , 0 , , N , 1 , , 
395 , 1FHL J1746.3-2851 , 2FGL J1746.6-2851c , PWN G0.13-0.11 , 266.5933 , -28.8631 , 0.14 , -0.11 , (5.43±1.31) e-10 , 3.253 ± 0.6245 , 4.69 , (28.89±7) e-12 , (15.51±4.91) e-12 , 15.5792 , 4.85e-10 , -1.249e-10 +1.369e-10 , 5.31e-11 , -4.053e-11 +5.191e-11 , < 4.78e-11 , - , 4.74 , 1.39 , 0 , pwn , 0 , , N , 1 , , 
396 , 1FHL J1748.5+7006 , 2FGL J1748.8+7006 , S4 1749+70 , 267.1272 , 70.1014 , 100.53 , 30.72 , (26.51±4.9) e-11 , 2.3061 ± 0.2797 , 13.03 , (6.71±1.24) e-12 , (12.72±3.86) e-12 , 20.4235 , 2.09e-10 , -4.079e-11 +4.638e-11 , 5.61e-11 , -1.892e-11 +2.428e-11 , < 3.78e-11 , - , 11.78 , 7.28 , 0 , bzb , 0.77 , , N , 2 , ISP , 
397 , 1FHL J1751.5+0938 , 2FGL J1751.5+0938 , OT 081 , 267.8762 , 9.64 , 34.9 , 17.65 , (12.04±4.14) e-11 , 5.322 ± 1.5515 , 5.57 , (18.04±6.15) e-12 , (25.07±9.42) e-13 , 12.1978 , 1.23e-10 , -3.724e-11 +4.537e-11 , < 3.56e-11 , - , < 5.00e-11 , - , 6.63 , 0 , 0 , bzb , 0.322 , , N , 1 , LSP , 
398 , 1FHL J1754.2+3213 , 2FGL J1754.3+3212 , RX J1754.1+3212 , 268.5603 , 32.2245 , 57.76 , 25.41 , (34.36±6.32) e-11 , 2.439 ± 0.2815 , 14.07 , (9.5±1.75) e-12 , (14.85±4.14) e-12 , 19.6921 , 2.72e-10 , -5.249e-11 +5.978e-11 , 6.61e-11 , -2.356e-11 +3.072e-11 , < 3.45e-11 , - , 12.53 , 6.74 , 0 , bzb , 0 , , N , 2 , HSP , 
399 , 1FHL J1756.5+5523 , 2FGL J1756.5+5523 , 1RXS J175615.5+552217 , 269.1384 , 55.3933 , 83.5 , 29.68 , (5.96±2.62) e-11 , 2.1692 ± 0.6136 , 4.22 , (12.1±5.32) e-13 , (3.23±2.32) e-12 , 22.5149 , 4.81e-11 , -2.079e-11 +2.749e-11 , 8.56e-12 , -6.108e-12 +1.187e-11 , < 3.98e-11 , - , 3.98 , 2.4 , 0.08 , bzb , 0 , , N , 1 , HSP , 
400 , 1FHL J1758.3-2340 , , , 269.5915 , -23.6708 , 5.98 , 0.22 , (4.43±1.02) e-10 , 3.2012 ± 0.541 , 6.04 , (26.77±6.13) e-12 , (12.88±4.02) e-12 , 14.971 , 3.78e-10 , -9.253e-11 +1.033e-10 , 2.21e-11 , -2.184e-11 +3.335e-11 , < 4.61e-11 , - , 5.6 , 1.01 , 0 , , 0 , , N , 1 , , 
401 , 1FHL J1800.5+7829 , 2FGL J1800.5+7829 , S5 1803+784 , 270.1472 , 78.4834 , 110.05 , 29.07 , (24.9±4.53) e-11 , 2.9037 ± 0.3502 , 12.78 , (10.6±1.93) e-12 , (8.16±2.01) e-12 , 16.7527 , 2.25e-10 , -4.081e-11 +4.615e-11 , 2.33e-11 , -1.14e-11 +1.664e-11 , < 2.40e-11 , - , 12.46 , 4.13 , 0 , bzb , 0.68 , , N , 1 , LSP , 
402 , 1FHL J1801.3-2326e , 2FGL J1801.3-2326e , SNR G006.4-00.1 , 270.34 , -23.44 , 6.52 , -0.26 , (13.18±1.75) e-10 , 2.7659 ± 0.2527 , 9.41 , (53.1±7.03) e-12 , (46.28±9.01) e-12 , 17.078 , 1.20e-9 , -1.614e-10 +1.706e-10 , 1.05e-10 , -5.238e-11 +6.178e-11 , 4.73e-11 , -2.579e-11 +3.461e-11 , 9.73 , 2.26 , 2.23 , SNR , 0 , W28 , E , 1 , , W28
