_id , fermi1fhl_name , other_name , Association , RA , Dec , LII , BII,Flux (E>10 GeV),Spectral index,Sqrt(TS),Flux Density,Energy Flux,Pivot Energy,Flux10-30GeV,Errors on Flux10-30GeV,Flux30-100GeV,Errors on Flux30-100GeV,Flux100-500GeV,Errors on Flux100-500GeV,Sqrt(TS)10-30GeV,Sqrt(TS)30-100GeV,Sqrt(TS)100-500GeV,Class,Z,TeV Assoc.,Tev Flag,Variability,Sed Class,Ext name
474 , 1FHL J2139.4-4238 , 2FGL J2139.3-4236 , MH 2136-428 , 324.8748 , -42.6361 , 358.24 , -48.35 , (17.76±4.9) e-11 , 3.0647 ± 0.5654 , 7.3 , (8.84±2.44) e-12 , (5.43±1.96) e-12 , 15.9083 , 1.76e-10 , -4.43e-11 +5.22e-11 , < 3.90e-11 , - , < 3.49e-11 , - , 7.87 , 0 , 0 , bzb , 0 , , N , 2 , ISP , 
475 , 1FHL J2142.6-2027 , , , 325.669 , -20.466 , 31.19 , -46.56 , (7.58±3.33) e-11 , 2.1009 ± 0.564 , 4.39 , (16.59±7.25) e-13 , (4.38±3.23) e-12 , 21.7078 , 5.22e-11 , -2.253e-11 +3.093e-11 , 1.47e-11 , -1.029e-11 +1.929e-11 , < 3.95e-11 , - , 4.44 , 2.62 , 0 , , 0 , , N , 1 , , 
476 , 1FHL J2146.5-1344 , 2FGL J2146.6-1345 , NVSS J214637-134359 , 326.6473 , -13.7486 , 40.64 , -44.96 , (19.85±5.19) e-11 , 2.4535 ± 0.405 , 9.31 , (5.54±1.45) e-12 , (8.49±3.35) e-12 , 19.6268 , 1.56e-10 , -4.184e-11 +5.031e-11 , 3.61e-11 , -1.779e-11 +2.591e-11 , < 3.89e-11 , - , 8.55 , 4.53 , 0 , bzb , 0 , , N , 1 , HSP , 
477 , 1FHL J2147.5-7536 , 2FGL J2147.4-7534 , PKS 2142-75 , 326.8809 , -75.6107 , 315.78 , -36.55 , (12.39±3.79) e-11 , 2.5085 ± 0.484 , 6.71 , (3.52±1.08) e-12 , (5.1±2.29) e-12 , 19.4716 , 9.41e-11 , -2.948e-11 +3.659e-11 , 1.44e-11 , -9.668e-12 +1.635e-11 , 1.07e-11 , -7.547e-12 +1.467e-11 , 6.36 , 2.54 , 2.76 , bzq , 1.138 , , N , 1 , LSP , 
478 , 1FHL J2150.2-1413 , 2FGL J2150.2-1412 , TXS 2147-144 , 327.5722 , -14.2231 , 40.56 , -45.98 , (8±3.41) e-11 , 1.747 ± 0.4563 , 4.85 , (8.37±3.56) e-13 , (6.76±4.49) e-12 , 31.8063 , 5.34e-11 , -2.36e-11 +3.241e-11 , 1.67e-11 , -1.146e-11 +2.024e-11 , 1.33e-11 , -9.308e-12 +1.81e-11 , 4.25 , 2.63 , 3.38 , bzb , 0.229 , , N , 1 , HSP , 
479 , 1FHL J2158.8-3013 , 2FGL J2158.8-3013 , PKS 2155-304 , 329.7215 , -30.2186 , 17.74 , -52.25 , (28.16±1.83) e-10 , 2.1236 ± 0.0866 , 49.64 , (55.44±3.6) e-12 , (15.92±1.69) e-11 , 22.8421 , 1.98e-9 , -1.49e-10 +1.566e-10 , 6.31e-10 , -8.146e-11 +8.9e-11 , 1.78e-10 , -4.393e-11 +5.24e-11 , 39.91 , 25.42 , 13.73 , bzb , 0.116 , PKS 2155-304 , P , 1 , HSP , 
480 , 1FHL J2159.1-3344 , , , 329.7986 , -33.742 , 11.98 , -52.57 , (4.8±3.37) e-11 , 0.9765 ± 0.4712 , 4.59 , (17.09±8.82) e-14 , (9.88±7.01) e-12 , 71.8613 , 1.03e-11 , -8.322e-12 +1.617e-11 , 2.43e-11 , -1.346e-11 +2.147e-11 , 1.29e-11 , -9.012e-12 +1.755e-11 , 1.5 , 4.03 , 3.32 , , 0 , , N , 1 , , 
481 , 1FHL J2202.7+4216 , 2FGL J2202.8+4216 , BL Lacertae , 330.6805 , 42.2812 , 92.59 , -10.44 , (33.59±6.14) e-11 , 2.2174 ± 0.2547 , 12.79 , (7.18±1.31) e-12 , (17.4±5.08) e-12 , 21.9991 , 2.44e-10 , -4.904e-11 +5.594e-11 , 8.52e-11 , -2.682e-11 +3.35e-11 , < 3.26e-11 , - , 10.59 , 7.97 , 0 , bzb , 0.069 , BL Lacertae , P , 2 , ISP , 
482 , 1FHL J2203.4+1724 , 2FGL J2203.4+1726 , PKS 2201+171 , 330.8559 , 17.4106 , 75.65 , -29.65 , (20.83±5.13) e-11 , 2.8349 ± 0.4619 , 9.3 , (8.26±2.04) e-12 , (7.06±2.39) e-12 , 17.1672 , 1.57e-10 , -4.139e-11 +4.939e-11 , 4.39e-11 , -1.851e-11 +2.582e-11 , < 3.67e-11 , - , 8.03 , 5.92 , 0 , bzq , 1.076 , , N , 1 , LSP , 
483 , 1FHL J2212.5+2803 , , CRATES J2212+2759 , 333.1276 , 28.0508 , 85.16 , -22.93 , (6.64±2.85) e-11 , 3.2901 ± 1.021 , 4.45 , (3.49±1.5) e-12 , (18.76±9.91) e-13 , 15.6403 , 5.48e-11 , -2.206e-11 +2.95e-11 , 1.03e-11 , -7.483e-12 +1.454e-11 , < 3.82e-11 , - , 4.72 , 2.18 , 0 , agu , 0 , , N , 1 , - , 
484 , 1FHL J2221.3-5225 , 2FGL J2221.6-5223 , PMN J2221-5224 , 335.3365 , -52.4323 , 340.37 , -52.36 , (7.35±2.93) e-11 , 2.2943 ± 0.5651 , 5.26 , (15.8±6.3) e-13 , (3.56±2.15) e-12 , 21.9236 , 3.99e-11 , -1.88e-11 +2.616e-11 , 3.05e-11 , -1.452e-11 +2.132e-11 , < 3.33e-11 , - , 3.8 , 4.71 , 0 , bzb , 0 , , N , 1 , HSP , 
485 , 1FHL J2223.4+0104 , 2FGL J2223.4+0104 , NVSS J222329+010226 , 335.8597 , 1.0702 , 65.25 , -44.6 , (5.03±3.48) e-11 , 3.0599 ± 1.2012 , 4.09 , (2.72±1.38) e-12 , (1.54±1.13) e-12 , 15.4857 , 3.48e-11 , -1.709e-11 +2.509e-11 , 1.73e-11 , -1.154e-11 +1.969e-11 , < 3.99e-11 , - , 3.8 , 2.79 , 0 , bzb , 0 , , N , 1 , - , 
486 , 1FHL J2229.0+6114 , 2FGL J2229.0+6114 , PSR J2229+6114 , 337.2668 , 61.2461 , 106.65 , 2.96 , (28.66±5.83) e-11 , 3.2345 ± 0.4763 , 8.89 , (16.42±3.34) e-12 , (8.24±2.19) e-12 , 15.2303 , 2.70e-10 , -5.312e-11 +5.957e-11 , 2.64e-11 , -1.582e-11 +2.247e-11 , < 2.67e-11 , - , 9.16 , 2.44 , 0 , HPSR , 0 , G106.3+2.7 , E , 1 , , 
487 , 1FHL J2236.2+2827 , 2FGL J2236.4+2828 , B2 2234+28A , 339.0698 , 28.4602 , 90.08 , -25.66 , (11.56±3.95) e-11 , 1.9236 ± 0.4064 , 5.1 , (18.56±6.32) e-13 , (8.01±4.58) e-12 , 25.1845 , 8.42e-11 , -2.924e-11 +3.701e-11 , 1.62e-11 , -1.186e-11 +1.91e-11 , < 5.09e-11 , - , 5.87 , 1.63 , 0 , bzb , 0.795 , , N , 1 , LSP , 
488 , 1FHL J2236.3-1432 , 2FGL J2236.5-1431 , PKS 2233-148 , 339.0966 , -14.5356 , 47.87 , -56.17 , (8.24±3.34) e-11 , 2.845 ± 0.7769 , 4.82 , (3.26±1.32) e-12 , (2.78±1.55) e-12 , 17.1901 , 7.37e-11 , -2.797e-11 +3.627e-11 , 1.18e-11 , -8.339e-12 +1.62e-11 , < 4.06e-11 , - , 5.1 , 2.55 , 0 , BZB , 0 , , N , 1 , LSP , 
489 , 1FHL J2244.0+2020 , 2FGL J2243.9+2021 , RGB J2243+203 , 341.004 , 20.3434 , 86.58 , -33.39 , (52.09±7.9) e-11 , 2.3764 ± 0.2282 , 17.13 , (13.69±2.08) e-12 , (23.62±5.58) e-12 , 20.1117 , 3.88e-10 , -6.435e-11 +7.199e-11 , 1.15e-10 , -3.24e-11 +3.969e-11 , < 3.65e-11 , - , 14.6 , 9.15 , 0 , bzb , 0 , , N , 1 , HSP , 
490 , 1FHL J2246.9-5205 , 2FGL J2246.8-5203 , 1RXS J224642.0-520638 , 341.7345 , -52.0882 , 337.42 , -55.89 , (6.59±2.87) e-11 , 1.4921 ± 0.4188 , 5.02 , (4.55±1.98) e-13 , (7.54±4.87) e-12 , 41.4425 , 2.67e-11 , -1.534e-11 +2.307e-11 , 2.62e-11 , -1.391e-11 +2.093e-11 , 1.14e-11 , -8.059e-12 +1.555e-11 , 2.64 , 3.94 , 2.8 , agu , 0.194 , , N , 1 , HSP , 
491 , 1FHL J2247.7+4412 , 2FGL J2247.8+4412 , NVSS J224753+441317 , 341.9354 , 44.2032 , 100.69 , -13.27 , (8.68±3.19) e-11 , 1.6886 ± 0.3903 , 5.7 , (9.14±3.36) e-13 , (7.85±4.65) e-12 , 31.6755 , 4.43e-11 , -2.028e-11 +2.776e-11 , 4.01e-11 , -1.691e-11 +2.359e-11 , < 4.15e-11 , - , 3.71 , 5.85 , 0 , bzb , 0 , , N , 1 , HSP , 
492 , 1FHL J2250.1+3823 , 2FGL J2250.0+3825 , B3 2247+381 , 342.5389 , 38.3992 , 98.25 , -18.6 , (17.78±4.69) e-11 , 1.8728 ± 0.3033 , 9.11 , (22.39±5.9) e-13 , (13.03±5.43) e-12 , 28.6229 , 1.26e-10 , -3.573e-11 +4.315e-11 , 4.29e-11 , -1.841e-11 +2.547e-11 , 1.14e-11 , -8.152e-12 +1.583e-11 , 7.33 , 5.13 , 2.32 , bzb , 0.119 , B3 2247+381 , P , 1 , HSP , 
493 , 1FHL J2250.7-2811 , 2FGL J2250.8-2808 , PMN J2250-2806 , 342.6978 , -28.1872 , 23.58 , -63.34 , (14.48±4.29) e-11 , 3.2051 ± 0.6703 , 7.31 , (7.38±2.19) e-12 , (4.21±1.57) e-12 , 15.7928 , 1.20e-10 , -3.526e-11 +4.319e-11 , 2.34e-11 , -1.293e-11 +2.066e-11 , < 3.62e-11 , - , 6.85 , 4.16 , 0 , agu , 0.525 , , N , 2 , - , 
494 , 1FHL J2253.9+1608 , 2FGL J2253.9+1609 , 3C 454.3 , 343.4774 , 16.1461 , 86.09 , -38.18 , (13.48±1.25) e-10 , 3.4775 ± 0.2382 , 29.78 , (89.25±8.28) e-12 , (36.09±4.15) e-12 , 14.6123 , 1.27e-9 , -1.165e-10 +1.238e-10 , 6.06e-11 , -2.305e-11 +3.059e-11 , < 4.16e-11 , - , 29.36 , 6.24 , 0 , BZQ , 0.859 , , N , 6 , LSP , 
495 , 1FHL J2257.9-3644 , 2FGL J2257.9-3646 , , 344.4849 , -36.7479 , 3.94 , -64.2 , (6.69±2.91) e-11 , 4.3477 ± 1.4552 , 4.21 , (6.93±3) e-12 , (15.27±7.46) e-13 , 13.091 , 6.68e-11 , -2.537e-11 +3.29e-11 , < 3.17e-11 , - , < 3.33e-11 , - , 4.94 , 0 , 0 , , 0 , , N , 1 , , 
496 , 1FHL J2304.6+3704 , 2FGL J2304.7+3703 , 1RXS J230437.1+370506 , 346.1597 , 37.0707 , 100.33 , -21.07 , (13.25±3.79) e-11 , 2.5393 ± 0.4633 , 8.31 , (4.07±1.17) e-12 , (5.33±2.27) e-12 , 18.8745 , 1.10e-10 , -3.102e-11 +3.796e-11 , 2.03e-11 , -1.128e-11 +1.806e-11 , < 3.30e-11 , - , 7.85 , 3.96 , 0 , bzb , 0 , , N , 1 , HSP , 
497 , 1FHL J2308.1+1459 , 2FGL J2308.0+1457 , MG1 J230734+1449 , 347.0338 , 14.989 , 89.05 , -40.99 , (10.68±3.92) e-11 , 3.8783 ± 0.9931 , 4.19 , (8.57±3.15) e-12 , (2.62±1.09) e-12 , 13.8983 , 1.08e-10 , -3.505e-11 +4.289e-11 , < 3.32e-11 , - , < 3.65e-11 , - , 5.07 , 0 , 0 , bzb , 0.503 , , N , 1 , - , 
498 , 1FHL J2311.0+3425 , 2FGL J2311.0+3425 , B2 2308+34 , 347.7711 , 34.4298 , 100.41 , -24.02 , (5.98±2.85) e-11 , 10.9092 ± 5.138 , 5.2 , (3.66±1.39) e-11 , (10.63±5.48) e-13 , 10.4388 , 6.26e-11 , -2.06e-11 +2.602e-11 , < 3.79e-11 , - , < 2.27e-11 , - , 6.23 , 0 , 0 , bzq , 1.817 , , N , 1 , LSP , 
499 , 1FHL J2314.0+1446 , 2FGL J2314.0+1446 , RGB J2313+147 , 348.5142 , 14.7688 , 90.55 , -41.9 , (10.63±3.8) e-11 , 1.7701 ± 0.3931 , 6.71 , (11.64±4.16) e-13 , (8.75±4.95) e-12 , 30.9816 , 5.64e-11 , -2.428e-11 +3.297e-11 , 3.42e-11 , -1.639e-11 +2.408e-11 , 1.33e-11 , -9.285e-12 +1.803e-11 , 4.69 , 4.54 , 3.23 , bzb , 0.163 , , N , 1 , HSP , 
500 , 1FHL J2322.5+3436 , 2FGL J2322.6+3435 , TXS 2320+343 , 350.6472 , 34.6024 , 102.88 , -24.79 , (12.35±3.84) e-11 , 1.508 ± 0.3207 , 7.68 , (9.51±2.96) e-13 , (13.86±6.85) e-12 , 38.5442 , 6.47e-11 , -2.464e-11 +3.22e-11 , 2.92e-11 , -1.467e-11 +2.161e-11 , 3.57e-11 , -1.711e-11 +2.525e-11 , 5.28 , 3.85 , 4.91 , bzb , 0.098 , , N , 1 , HSP , 
501 , 1FHL J2323.3+5849 , 2FGL J2323.4+5849 , SNR G111.7-02.1 , 350.8497 , 58.8172 , 111.73 , -2.13 , (46.29±7.06) e-11 , 2.2107 ± 0.2096 , 14 , (9.34±1.42) e-12 , (24.13±5.76) e-12 , 22.5782 , 3.50e-10 , -5.94e-11 +6.586e-11 , 9.39e-11 , -2.717e-11 +3.313e-11 , 2.60e-11 , -1.389e-11 +2.075e-11 , 11.17 , 7.22 , 3.91 , snr , 0 , Cassiopeia A , P , 1 , , 
502 , 1FHL J2323.8+4210 , 2FGL J2323.8+4212 , 1ES 2321+419 , 350.9617 , 42.1713 , 106.05 , -17.82 , (30.56±5.83) e-11 , 2.2729 ± 0.267 , 12.97 , (6.85±1.31) e-12 , (15.09±4.47) e-12 , 21.5365 , 2.19e-10 , -4.655e-11 +5.372e-11 , 7.37e-11 , -2.435e-11 +3.09e-11 , 1.06e-11 , -7.552e-12 +1.469e-11 , 10.5 , 7.32 , 2.36 , bzb , 0.059 , , N , 1 , HSP , 
503 , 1FHL J2324.6-4041 , 2FGL J2324.7-4042 , 1ES 2322-409 , 351.1747 , -40.6839 , 350.2 , -67.58 , (26.9±5.87) e-11 , 2.3935 ± 0.3388 , 10.64 , (7.29±1.59) e-12 , (12.04±4.14) e-12 , 19.8564 , 1.97e-10 , -4.671e-11 +5.459e-11 , 3.43e-11 , -1.671e-11 +2.444e-11 , 3.46e-11 , -1.663e-11 +2.448e-11 , 9.19 , 4.09 , 5.54 , bzb , 0.174 , , N , 1 , HSP , 
504 , 1FHL J2325.4+3959 , 2FGL J2325.3+3957 , B3 2322+396 , 351.3617 , 39.9885 , 105.55 , -19.97 , (10.11±3.25) e-11 , 3.6289 ± 0.8508 , 7.46 , (7.2±2.31) e-12 , (2.61±1) e-12 , 14.3289 , 1.01e-10 , -2.92e-11 +3.602e-11 , < 2.91e-11 , - , < 3.12e-11 , - , 7.84 , 0 , 0 , bzb , 0 , , N , 1 , LSP , 
505 , 1FHL J2325.5-4759 , 2FGL J2325.4-4758 , PKS 2322-482 , 351.3817 , -47.9952 , 335.92 , -63.27 , (7.37±3.1) e-11 , 2.3053 ± 0.5827 , 5.16 , (15.93±6.7) e-13 , (3.54±2.21) e-12 , 21.8739 , 3.44e-11 , -1.783e-11 +2.62e-11 , 3.23e-11 , -1.529e-11 +2.241e-11 , < 3.44e-11 , - , 3.43 , 5.34 , 0 , bzb , 0.221 , , N , 1 , ISP , 
506 , 1FHL J2329.1+3754 , 2FGL J2329.2+3755 , NVSS J232914+375414 , 352.2804 , 37.9092 , 105.5 , -22.16 , (13±3.95) e-11 , 1.9853 ± 0.3797 , 7.43 , (21.25±6.46) e-13 , (8.44±4.26) e-12 , 24.9853 , 6.35e-11 , -2.491e-11 +3.261e-11 , 6.35e-11 , -2.282e-11 +2.97e-11 , < 3.68e-11 , - , 4.43 , 7.06 , 0 , bzb , 0.264 , , N , 1 , HSP , 
507 , 1FHL J2329.2-4957 , 2FGL J2329.2-4956 , PKS 2326-502 , 352.3039 , -49.9593 , 331.98 , -62.28 , (18.1±4.62) e-11 , 3.7174 ± 0.6873 , 8.86 , (13.32±3.4) e-12 , (4.58±1.37) e-12 , 14.2048 , 1.83e-10 , -4.296e-11 +5.028e-11 , < 3.02e-11 , - , < 3.33e-11 , - , 9.49 , 0 , 0 , bzq , 0.518 , , N , 1 , LSP , 
508 , 1FHL J2334.7+1433 , 2FGL J2334.8+1431 , BZB J2334+1408 , 353.688 , 14.5657 , 96.54 , -44.35 , (10.99±3.8) e-11 , 2.9342 ± 0.693 , 5.69 , (4.45±1.54) e-12 , (3.55±1.63) e-12 , 17.0425 , 9.27e-11 , -3.095e-11 +3.885e-11 , 9.79e-12 , -7.716e-12 +1.498e-11 , < 4.38e-11 , - , 5.98 , 1.59 , 0 , bzb , 0 , , N , 1 , - , 
509 , 1FHL J2339.8-0530 , 2FGL J2339.6-0532 , PSR J2339-0533 , 354.963 , -5.5119 , 81.49 , -62.48 , (6.35±2.9) e-11 , 3.0388 ± 0.9569 , 4.6 , (3.16±1.44) e-12 , (1.96±1.21) e-12 , 15.9021 , 5.27e-11 , -2.285e-11 +3.144e-11 , 1.28e-11 , -9.023e-12 +1.747e-11 , < 3.86e-11 , - , 4.63 , 2.75 , 0 , PSR , 0 , , N , 1 , , 
510 , 1FHL J2341.3+8016 , 2FGL J2341.7+8016 , 1RXS J234051.4+801513 , 355.3487 , 80.2787 , 119.87 , 17.82 , (21.93±4.53) e-11 , 2.2885 ± 0.2809 , 11.14 , (45.91±9.46) e-13 , (10.68±3.26) e-12 , 22.1874 , 1.60e-10 , -3.759e-11 +4.354e-11 , 5.33e-11 , -1.796e-11 +2.307e-11 , < 2.47e-11 , - , 8.47 , 7.26 , 0 , bzb , 0.274 , , N , 1 , HSP , 
511 , 1FHL J2345.0-1556 , 2FGL J2345.0-1553 , PMN J2345-1555 , 356.2607 , -15.9372 , 65.55 , -70.97 , (36.42±6.83) e-11 , 2.5309 ± 0.3072 , 14.07 , (11.59±2.17) e-12 , (14.75±4.21) e-12 , 18.618 , 3.16e-10 , -5.916e-11 +6.725e-11 , 4.14e-11 , -1.944e-11 +2.772e-11 , < 3.88e-11 , - , 13.67 , 4.67 , 0 , BZQ , 0.621 , , N , 3 , LSP , 
512 , 1FHL J2347.0+5142 , 2FGL J2347.0+5142 , 1ES 2344+514 , 356.7594 , 51.7051 , 112.88 , -9.91 , (30.18±5.5) e-11 , 1.4818 ± 0.1836 , 14.81 , (22.55±4.11) e-13 , (3.49±1) e-11 , 39.3083 , 1.60e-10 , -3.713e-11 +4.345e-11 , 6.23e-11 , -2.099e-11 +2.7e-11 , 7.67e-11 , -2.535e-11 +3.244e-11 , 8.96 , 7.67 , 8.54 , bzb , 0.044 , 1ES 2344+514 , P , 1 , HSP , 
513 , 1FHL J2347.2+0707 , 2FGL J2347.2+0707 , CRATES J234639+070503 , 356.8055 , 7.1234 , 96.21 , -52.39 , (7.84±3.32) e-11 , 1.7107 ± 0.4811 , 4.08 , (9.06±3.82) e-13 , (6.92±4.99) e-12 , 30.0373 , 5.07e-11 , -2.241e-11 +3.088e-11 , 2.29e-11 , -1.312e-11 +2.1e-11 , < 4.50e-11 , - , 3.9 , 3.03 , 0 , agu , 0 , , N , 1 , ISP , 
514 , 1FHL J2359.2-3037 , 2FGL J2359.0-3037 , H 2356-309 , 359.8116 , -30.618 , 12.86 , -78.07 , (6.91±2.94) e-11 , 1.7796 ± 0.4753 , 4.62 , (8.12±3.46) e-13 , (5.62±3.88) e-12 , 29.7601 , 3.29e-11 , -1.686e-11 +2.488e-11 , 2.23e-11 , -1.261e-11 +2.02e-11 , 1.23e-11 , -8.802e-12 +1.71e-11 , 3.1 , 3.44 , 2.34 , bzb , 0.165 , H 2356-309 , P , 1 , HSP , 
