_id , RA  , Dec  , CounterpartRA , CounterpartDEC , LII , BII , bat70_name , Type , other_name , SNR , Flux15-195KeV, Flux_low , Flux_high , Redshift , lum , Error radius, Chi^2 , Gamma , Gamma_low , Gamma_high
620 , 187.86458 , 57.95411 , 187.842331 , 57.964638 , "128.07" , "58.97" , "SWIFT J1231.4+57" , "GALAXY/SBRST/" , " " , 5.5 , 7.94 , 5.25 , 11.11 , 0.01 , 42.28 , 5.09 , 0.4 , 2.25 , 1.76 , 2.87
621 , 188.01208 , -42.317 , 188.050323 , -42.298027 , "299.1" , "20.4" , "SWIFT J1232.0-42" , "Sy1" , " " , 5.4 , 15.79 , 0 , 0 , 0.098 , 44.584 , 5.18 , 0.7 , 1.76 , 0 , 0
622 , 187.99917 , 20.15878 , 188.014999 , 20.1581 , "269.35" , "81.73" , "SWIFT J1232.1+20" , "Sy1" , " " , 6.2 , 13.45 , 9.58 , 17.73 , 0.063 , 44.109 , 4.5 , 1.2 , 1.71 , 1.34 , 2.12
623 , 188.70083 , -64.56733 , 188.723907 , -64.565598 , "301.14" , "-1.76" , "SWIFT J1234.7-64" , "Symb/WD" , " " , 41.9 , 81.41 , 77.73 , 85.17 , 0 , -9.9 , 0.73 , 4.1 , 2.43 , 2.36 , 2.5
624 , 188.87083 , -39.89075 , 188.902603 , -39.909302 , "299.61" , "22.87" , "SWIFT J1235.6-39" , "Sy2" , " " , 71.1 , 188.1 , 182.9 , 193.3 , 0.012 , 43.767 , 0.49 , 14.5 , 1.86 , 1.83 , 1.9
625 , 189.53708 , -38.69639 , 189.568512 , -38.712841 , "300.09" , "24.1" , "SWIFT J1238.1-38" , "CV/DQ HER" , " " , 5.6 , 8.99 , 6.01 , 12.72 , 0 , -9.9 , 5.02 , 1.1 , 3.05 , 2.35 , 4.01
626 , 189.655 , 9.46808 , 189.593307 , 9.528322 , "292.6" , "72.08" , "SWIFT J1238.6+09" , "Galaxy" , " " , 5.4 , 11.55 , 7.41 , 16.29 , 0.032 , 43.438 , 5.19 , 1 , 1.77 , 1.29 , 2.33
627 , 189.73375 , -27.30875 , 189.727493 , -27.3078 , "299.52" , "35.47" , "SWIFT J1238.9-27" , "Sy2" , " " , 30.7 , 93.94 , 88.28 , 99.72 , 0.025 , 44.127 , 0.96 , 2.4 , 1.71 , 1.63 , 1.79
628 , 189.78 , -16.17164 , 189.776199 , -16.179701 , "298.62" , "46.59" , "SWIFT J1239.3-16" , "Sy2" , "IGR J12392-161" , 14.4 , 41.15 , 35.73 , 46.82 , 0.037 , 44.108 , 1.97 , 1.4 , 1.76 , 1.58 , 1.94
629 , 189.92208 , -5.32886 , 189.914307 , -5.3443 , "297.49" , "57.41" , "SWIFT J1239.6-05" , "Sy1" , " " , 35.3 , 88.05 , 83.14 , 93.04 , 0.009 , 43.201 , 0.85 , 2.3 , 1.84 , 1.76 , 1.91
630 , 190.03833 , 34.94592 , 190.435577 , 35.062832 , "139.4" , "81.82" , "SWIFT J1240.2+34" , "Sy1" , " " , 5.7 , 7.02 , 0 , 0 , 0.023 , 42.93 , 4.91 , 0.2 , 1.66 , 0 , 0
631 , 190.03833 , 34.94592 , 189.965302 , 34.974899 , "139.4" , "81.82" , "SWIFT J1240.2+34" , "Sy2" , " " , 5.7 , 9 , 5.93 , 12.6 , 0.043 , 43.592 , 4.91 , 0.3 , 2.19 , 1.69 , 2.82
632 , 190.13542 , -33.60308 , 190.195602 , -33.57 , "300.33" , "29.21" , "SWIFT J1240.9-33" , "Sy1.5" , " " , 5.8 , 15.72 , 10.57 , 21.57 , 0.055 , 44.055 , 4.81 , 0.7 , 1.87 , 1.39 , 2.41
633 , 190.19417 , 27.57664 , 190.193405 , 27.565001 , "201.63" , "87.59" , "SWIFT J1240.9+27" , "Sy2" , " " , 5.2 , 7.13 , 4.44 , 10.38 , 0.056 , 43.735 , 5.44 , 1 , 2.47 , 1.88 , 3.3
634 , 190.40333 , -57.81572 , 190.356995 , -57.834 , "301.61" , "5.02" , "SWIFT J1241.6-57" , "Sy1.5" , " " , 15.9 , 46.66 , 41.69 , 51.81 , 0.024 , 43.802 , 1.79 , 0.3 , 1.77 , 1.62 , 1.92
635 , 190.81833 , -63.08139 , 190.709 , -63.057999 , "302" , "-0.23" , "SWIFT J1243.3-63" , "HMXB" , " " , 7.8 , 13.16 , 10.18 , 16.52 , 0 , -9.9 , 3.59 , 1.1 , 2.86 , 2.45 , 3.36
636 , 191.6725 , 54.53197 , 191.666107 , 54.534199 , "124.42" , "62.58" , "SWIFT J1246.6+54" , "Galaxy, XBONG" , " " , 13.9 , 27.43 , 23.8 , 31.24 , 0.017 , 43.238 , 2.04 , 0.6 , 1.67 , 1.49 , 1.85
637 , 192.07917 , -58.43269 , 191.990997 , -58.500057 , "302.52" , "4.43" , "SWIFT J1248.2-58" , "Sy1.9" , " " , 4.9 , 9.56 , 5.61 , 14.35 , 0.028 , 43.235 , 5.67 , 0.9 , 2.18 , 1.52 , 2.99
638 , 192.40292 , -59.06375 , 192.414001 , -59.087399 , "302.69" , "3.8" , "SWIFT J1249.3-59" , "LMXB" , "1A 1246-588" , 31 , 64.87 , 60.94 , 68.9 , 0 , -9.9 , 0.95 , 0.8 , 2.42 , 2.33 , 2.52
639 , 193.07292 , -29.24936 , 193.1017 , -29.2491 , "303.15" , "33.62" , "SWIFT J1252.3-29" , "CV/DQ Her" , " " , 16.2 , 24.34 , 21.72 , 27.14 , 0 , -9.9 , 1.76 , 0.7 , 3.69 , 3.39 , 4.04
640 , 193.06583 , -13.38131 , 193.05191 , -13.414722 , "303.24" , "49.48" , "SWIFT J1252.3-13" , "Sy1/NL" , " " , 6.1 , 13.78 , 9.26 , 18.96 , 0.015 , 42.821 , 4.57 , 1.2 , 2.01 , 1.56 , 2.56
641 , 193.37583 , -41.6145 , 193.335007 , -41.637001 , "303.34" , "21.25" , "SWIFT J1253.5-41" , "Sy2" , " " , 5 , 15.2 , 9.72 , 21.37 , 0.016 , 42.942 , 5.6 , 0.6 , 1.48 , 0.95 , 2.01
642 , 193.7175 , -26.93014 , 193.734787 , -26.950527 , "303.87" , "35.93" , "SWIFT J1255.0-26" , "Sy1.9" , "AM 1252-264" , 5.9 , 16.11 , 11.16 , 21.65 , 0.059 , 44.13 , 4.73 , 1.4 , 1.92 , 1.49 , 2.41
643 , 194.04667 , -5.76019 , 194.046494 , -5.7893 , "305.1" , "57.08" , "SWIFT J1256.2-05" , "Blazar" , " " , 11 , 34.3 , 28.64 , 40.25 , 0.536 , 46.591 , 2.57 , 0.2 , 1.49 , 1.26 , 1.72
644 , 194.42625 , -69.30433 , 194.4048 , -69.288597 , "303.48" , "-6.45" , "SWIFT J1257.4-69" , "LMXB/NS" , "GR Mus" , 49.4 , 62.75 , 61.01 , 64.52 , 0 , -9.9 , 0.64 , 3.6 , 5.19 , 5.04 , 5.34
645 , 194.91292 , 27.93986 , 194.953094 , 27.9807 , "57.38" , "88" , "SWIFT J1259.7+27" , "Galaxy Cluste" , " " , 37.7 , 37.35 , 35.68 , 39.08 , 0.023 , 43.656 , 0.8 , 3.9 , 3.89 , 3.75 , 4.04
646 , 195.02125 , 16.57511 , 195.022308 , 16.537443 , "314.11" , "79.25" , "SWIFT J1300.1+16" , "Sy1Sy2" , " " , 5.8 , 14.36 , 9.8 , 19.49 , 0.08 , 44.356 , 4.84 , 0.6 , 1.53 , 1.06 , 2.02
647 , 195.33125 , -61.59992 , 195.321701 , -61.601898 , "304.1" , "1.24" , "SWIFT J1301.2-61" , "HMXB" , " " , 102.2 , 185.5 , 182.2 , 188.9 , 0 , -9.9 , 0.41 , 106.2 , 2.74 , 2.71 , 2.77
648 , 195.535 , -63.96272 , 195.493607 , -63.9683 , "304.1" , "-1.12" , "SWIFT J1302.0-63" , "Pulsar" , "IGR J13020-635" , 21.8 , 41.65 , 37.99 , 45.45 , 0 , -9.9 , 1.32 , 0.8 , 2.54 , 2.39 , 2.69
649 , 195.72 , 16.40281 , 195.744995 , 16.408001 , "317.39" , "78.95" , "SWIFT J1302.9+16" , "Sy1.5" , " " , 9.7 , 17.18 , 13.75 , 20.92 , 0.067 , 44.274 , 2.89 , 0.5 , 2.19 , 1.92 , 2.5
650 , 196.0825 , -10.37397 , 196.059952 , -10.339611 , "308.12" , "52.36" , "SWIFT J1304.3-10" , "Sy2" , " " , 9.2 , 24.85 , 19.81 , 30.27 , 0.01 , 42.776 , 3.05 , 1.5 , 1.76 , 1.48 , 2.05
651 , 196.07833 , -5.52928 , 196.054749 , -5.551611 , "308.85" , "57.19" , "SWIFT J1304.3-05" , "Sy2" , " " , 8.5 , 20.45 , 15.83 , 25.45 , 0.004 , 41.79 , 3.3 , 0.7 , 1.84 , 1.55 , 2.16
652 , 195.99375 , 53.79619 , 195.997803 , 53.791698 , "118.81" , "63.23" , "SWIFT J1303.8+53" , "Sy1" , " " , 18.9 , 32.61 , 29.35 , 36 , 0.03 , 43.825 , 1.51 , 0.8 , 1.93 , 1.79 , 2.06
653 , 196.34083 , -49.4715 , 196.364502 , -49.468201 , "305.25" , "13.33" , "SWIFT J1305.4-49" , "Sy2" , " " , 79.3 , 284.9 , 279.2 , 290.6 , 0.002 , 42.346 , 0.46 , 62.9 , 1.47 , 1.44 , 1.5
654 , 196.34667 , -10.56667 , 196.387558 , -10.555396 , "308.52" , "52.15" , "SWIFT J1305.4-10" , "Sy1.2/FSRQ" , " " , 5.4 , 13.21 , 0 , 0 , 0.278 , 45.506 , 5.15 , 1.1 , 2.01 , 0 , 0
655 , 196.66292 , -40.40403 , 196.608902 , -40.4146 , "306.06" , "22.37" , "SWIFT J1306.4-40" , "Sy1.2" , " " , 17.1 , 33.06 , 0 , 0 , 0.015 , 43.223 , 1.67 , 3.8 , 2.14 , 0 , 0
656 , 196.66292 , -40.40403 , 196.8004 , -40.4076 , "306.06" , "22.37" , "SWIFT J1306.4-40" , "Galaxy" , " " , 17.1 , 16.91 , 0 , 0 , 0.016 , 42.983 , 1.67 , 0.7 , 1.48 , 0 , 0
657 , 197.28292 , 11.61669 , 197.2733 , 11.6341 , "318.77" , "73.93" , "SWIFT J1309.2+11" , "Sy2 XBONG" , " " , 22.8 , 53.47 , 49.09 , 57.97 , 0.025 , 43.887 , 1.27 , 2.5 , 1.7 , 1.59 , 1.8
658 , 197.72208 , -55.877 , 197.682999 , -55.862999 , "305.67" , "6.88" , "SWIFT J1310.9-55" , "Sy1" , "PMN J1310-5552" , 8.7 , 32.55 , 26.8 , 38.61 , 0.104 , 44.953 , 3.24 , 0.6 , 1.39 , 1.13 , 1.65
659 , 197.74333 , -56.50056 , 197.654297 , -56.448502 , "305.64" , "6.26" , "SWIFT J1312.1-56" , "Galaxy" , " " , 7 , 17.32 , 12.92 , 22.17 , -1 , -9.9 , 4.01 , 0.5 , 2.05 , 1.67 , 2.47
660 , 197.75542 , 8.61278 , 197.738495 , 8.6273 , "317.88" , "70.91" , "SWIFT J1310.7+08" , "Sy2" , " " , 5.3 , 10.34 , 6.62 , 14.65 , 0.053 , 43.834 , 5.31 , 2 , 1.99 , 1.5 , 2.57
661 , 198.29958 , -11.12231 , 198.274078 , -11.128444 , "311.5" , "51.38" , "SWIFT J1313.1-11" , "Sy1" , "QSO B1310-108" , 6.6 , 15.2 , 10.85 , 20.12 , 0.034 , 43.608 , 4.24 , 1.2 , 2.09 , 1.68 , 2.57
662 , 198.40583 , 36.82622 , 198.365005 , 36.592999 , "98.47" , "79.22" , "SWIFT J1313.6+36" , "Sy1.9" , " " , 5.4 , 5.52 , 0 , 0 , 0.003 , 41.016 , 5.23 , 0.8 , 2.29 , 0 , 0
663 , 198.40583 , 36.82622 , 198.454025 , 36.899433 , "98.47" , "79.22" , "SWIFT J1313.6+36" , "Sy1.5" , " " , 5.4 , 6.36 , 0 , 0 , 0.067 , 43.837 , 5.23 , 0.6 , 2.1 , 0 , 0
664 , 198.8525 , 44.39969 , 198.822006 , 44.407101 , "108.9" , "72.07" , "SWIFT J1315.8+44" , "Sy2" , " " , 11.9 , 17.08 , 14.31 , 20.07 , 0.037 , 43.724 , 2.36 , 1.3 , 2.3 , 2.07 , 2.55
665 , 199.27167 , -71.90925 , 199.226166 , -71.924194 , "304.94" , "-9.14" , "SWIFT J1316.9-71" , "Sy1" , "1RXS J131651.8" , 7.8 , 16.35 , 12.57 , 20.5 , 0.071 , 44.296 , 3.62 , 0.8 , 2.15 , 1.82 , 2.53
666 , 199.64625 , -62.97567 , 199.606705 , -62.970798 , "306.01" , "-0.27" , "SWIFT J1318.6-62" , "HMXB" , " " , 9.7 , 19.05 , 15.39 , 23.03 , -1 , -9.9 , 2.91 , 0.9 , 2.45 , 2.15 , 2.79
667 , 200.29792 , 8.98553 , 200.248306 , 8.9783 , "325.5" , "70.54" , "SWIFT J1321.2+08" , "AGN" , " " , 6.5 , 14.72 , 10.51 , 19.38 , 0.032 , 43.539 , 4.3 , 1.3 , 1.72 , 1.34 , 2.13
668 , 200.62208 , -16.74769 , 200.601898 , -16.7286 , "313.56" , "45.48" , "SWIFT J1322.2-16" , "Sy1.8" , " " , 13 , 30.53 , 26.16 , 35.2 , 0.017 , 43.274 , 2.18 , 2.1 , 2.2 , 1.99 , 2.42
669 , 201.38083 , -43.02586 , 201.365097 , -43.0191 , "309.52" , "19.4" , "SWIFT J1325.4-43" , "Sy2" , " " , 479.8 , 1389 , 1384 , 1394 , 0.002 , 43.01 , 0.31 , 3.3 , 1.85 , 1.85 , 1.86
670 , 201.685 , -62.14714 , 201.650406 , -62.136101 , "307.04" , "0.44" , "SWIFT J1326.9-62" , "LMXB/NS" , " " , 102.1 , 206.5 , 202.6 , 210.4 , 0 , -9.9 , 0.41 , 10.2 , 2.41 , 2.38 , 2.44
671 , 202.01875 , -27.36114 , 202.083603 , -27.298599 , "312.84" , "34.8" , "SWIFT J1328.1-27" , "Galaxy Cluste" , " " , 5.2 , 11.41 , 7.05 , 16.42 , 0.046 , 43.75 , 5.41 , 1.6 , 2.09 , 1.57 , 2.73
672 , 203.04708 , -77.88136 , 203.169205 , -77.844643 , "305.13" , "-15.19" , "SWIFT J1332.0-77" , "Galaxy" , " " , 7.5 , 16.98 , 12.31 , 22.11 , 0.01 , 42.564 , 3.77 , 1.2 , 1.64 , 1.22 , 2.07
673 , 202.78708 , -25.40236 , 202.807922 , -25.402779 , "314.11" , "36.6" , "SWIFT J1331.2-25" , "Sy1" , " " , 4.9 , 14.24 , 8.44 , 21.35 , 0.026 , 43.341 , 5.76 , 1.9 , 1.82 , 1.09 , 2.66
674 , 202.96458 , -5.17494 , 203.0186 , -5.162 , "321.26" , "56.24" , "SWIFT J1331.6-05" , "QSO" , " " , 5.1 , 20.23 , 13.76 , 27.36 , 2.15 , 47.844 , 5.54 , 0.9 , 1.03 , 0.45 , 1.55
675 , 203.36417 , -34.02031 , 203.360001 , -34.015999 , "312.79" , "28.04" , "SWIFT J1333.5-34" , "Sy2" , "ESO 383-18" , 9.4 , 18.87 , 15.25 , 22.84 , 0.013 , 42.854 , 3.01 , 2.1 , 2.71 , 2.39 , 3.09
676 , 203.70417 , -23.46058 , 203.665161 , -23.446527 , "315.64" , "38.33" , "SWIFT J1334.8-23" , "Sy2" , " " , 7.2 , 18.18 , 13.2 , 23.73 , 0.034 , 43.694 , 3.9 , 0.5 , 1.98 , 1.57 , 2.43
677 , 203.96333 , -34.29467 , 203.974106 , -34.295601 , "313.28" , "27.68" , "SWIFT J1335.8-34" , "Sy1.2" , " " , 28.3 , 63.33 , 59.01 , 67.8 , 0.008 , 42.927 , 1.03 , 4.1 , 2.41 , 2.3 , 2.52
678 , 203.95958 , 2.98969 , 203.951004 , 2.999 , "328.57" , "63.62" , "SWIFT J1336.0+03" , "Sy2" , " " , 7.1 , 15.62 , 11.17 , 20.58 , 0.022 , 43.225 , 3.96 , 1.2 , 2.02 , 1.59 , 2.52
679 , 204.43 , -12.87806 , 204.415756 , -12.956859 , "320.07" , "48.44" , "SWIFT J1337.7-12" , "BLLAC/HPQ" , "PKS 1335-127" , 5.3 , 8.77 , 5.34 , 12.98 , 0.539 , 46.004 , 5.33 , 0.5 , 2.72 , 2.04 , 3.76
680 , 204.58 , 4.5445 , 204.566498 , 4.5426 , "331.32" , "64.79" , "SWIFT J1338.2+04" , "Sy1.9" , " " , 46.6 , 115.5 , 110.8 , 120.2 , 0.023 , 44.141 , 0.67 , 0.4 , 1.78 , 1.72 , 1.83
681 , 205.27583 , -14.63808 , 205.303772 , -14.644605 , "320.53" , "46.52" , "SWIFT J1341.2-14" , "Sy1" , "1RXS J134112.5" , 9.3 , 24.07 , 19.52 , 29 , 0.042 , 43.992 , 3.03 , 1.4 , 2.11 , 1.84 , 2.4
682 , 205.33417 , 30.35836 , 205.296402 , 30.378122 , "52.32" , "78.6" , "SWIFT J1341.2+30" , "Sy2 Galaxy pa" , " " , 11 , 19.36 , 16.13 , 22.81 , 0.04 , 43.855 , 2.57 , 1.2 , 2.05 , 1.83 , 2.3
683 , 205.47917 , 35.62292 , 205.534744 , 35.654213 , "74.34" , "76.3" , "SWIFT J1341.9+35" , "Sy1.9" , " " , 5.8 , 13.91 , 9.93 , 18.27 , 0.004 , 41.587 , 4.84 , 1.1 , 1.45 , 1.03 , 1.87
684 , 205.285 , 67.71003 , 205.274002 , 67.672302 , "115.82" , "48.72" , "SWIFT J1341.5+67" , "Sy2" , " " , 5.2 , 8.9 , 5.68 , 12.61 , 0.01 , 42.332 , 5.39 , 0.1 , 1.94 , 1.44 , 2.54
685 , 206.08958 , 19.55236 , 206.065308 , 19.5667 , "3.74" , "75.69" , "SWIFT J1344.7+19" , "Sy1.9" , " " , 7.9 , 19.51 , 15.02 , 24.35 , 0.027 , 43.509 , 3.56 , 0.7 , 1.61 , 1.28 , 1.96
686 , 206.32667 , 41.70506 , 206.32991 , 41.712582 , "89.26" , "71.72" , "SWIFT J1345.5+41" , "Sy2" , " " , 8.9 , 19.17 , 15.41 , 23.19 , 0.009 , 42.497 , 3.18 , 0.6 , 1.69 , 1.42 , 1.98
687 , 206.60333 , 19.40642 , 206.618408 , 19.378675 , "4.35" , "75.21" , "SWIFT J1346.4+19" , "Sy1" , " " , 6.7 , 10.84 , 7.65 , 14.48 , 0.084 , 44.278 , 4.2 , 1.2 , 2.39 , 1.95 , 2.96
688 , 206.88833 , -60.58842 , 206.899994 , -60.617802 , "309.77" , "1.53" , "SWIFT J1347.4-60" , "Sy1.5" , " " , 42.3 , 107.5 , 102.9 , 112.2 , 0.013 , 43.601 , 0.73 , 3 , 1.98 , 1.92 , 2.04
689 , 206.88292 , -32.90169 , 206.870605 , -32.865799 , "316.31" , "28.5" , "SWIFT J1347.5-32" , "Galaxy Cluste" , " " , 9 , 14.43 , 11.95 , 17.15 , 0.039 , 43.711 , 3.11 , 1.3 , 3.95 , 3.41 , 4.64
690 , 206.93708 , 2.20542 , 206.851624 , 2.31189 , "333.73" , "61.66" , "SWIFT J1347.7+02" , " " , " " , 5.7 , 5.96 , 2.85 , 10.18 , -1 , -9.9 , 4.94 , 0.6 , 2.52 , 1.63 , 3.98
691 , 206.71875 , 73.42947 , 206.53511 , 73.348038 , "117.56" , "43.11" , "SWIFT J1347.1+73" , "Sy1/QSO" , " " , 5.1 , 6 , 3.48 , 9.17 , 0.29 , 45.204 , 5.47 , 0.2 , 2.6 , 1.91 , 3.72
692 , 207.3225 , -30.32642 , 207.330307 , -30.309401 , "317.48" , "30.9" , "SWIFT J1349.3-30" , "Sy1.2" , " " , 107.8 , 290.5 , 285.4 , 295.6 , 0.016 , 44.226 , 0.4 , 21.6 , 2.04 , 2.02 , 2.07
693 , 207.44458 , 2.09914 , 207.470093 , 2.0791 , "334.57" , "61.33" , "SWIFT J1349.7+02" , "Sy1" , " " , 7.3 , 16.18 , 11.79 , 21.12 , 0.033 , 43.601 , 3.84 , 0.5 , 1.96 , 1.57 , 2.41
694 , 207.9 , -18.23336 , 207.872894 , -18.2297 , "322.41" , "42.34" , "SWIFT J1351.5-18" , "Sy1 (NL)" , " " , 7.9 , 17.88 , 13.25 , 23.03 , 0.012 , 42.776 , 3.56 , 0.5 , 2.2 , 1.8 , 2.67
695 , 208.41583 , -11.36925 , 208.367462 , -11.384972 , "326.38" , "48.64" , "SWIFT J1353.7-11" , "Galaxy" , " " , 4.8 , 15.11 , 9.79 , 21.14 , 0.069 , 44.24 , 5.82 , 1.6 , 1.69 , 1.17 , 2.24
696 , 208.53 , -37.80744 , 208.563995 , -37.776001 , "316.38" , "23.42" , "SWIFT J1354.1-37" , "Sy1.9" , " " , 8.3 , 22.12 , 17.13 , 27.51 , 0.052 , 44.152 , 3.4 , 2.3 , 1.94 , 1.62 , 2.28
697 , 208.28833 , 69.31297 , 208.264404 , 69.308197 , "115.03" , "46.85" , "SWIFT J1352.8+69" , "Sy1.5" , " " , 21.9 , 39.2 , 35.73 , 42.78 , 0.03 , 43.922 , 1.31 , 1.5 , 1.88 , 1.77 , 2
698 , 208.67708 , 13.40269 , 208.621597 , 13.4687 , "353.18" , "69.82" , "SWIFT J1354.5+13" , "Sy2 pair" , " " , 5.6 , 9.93 , 6.26 , 14.23 , 0.063 , 43.982 , 5.05 , 0.6 , 2.02 , 1.49 , 2.67
699 , 208.93083 , 35.40436 , 208.8909 , 35.3494 , "68" , "73.99" , "SWIFT J1355.6+35" , "Galaxy" , " " , 5.2 , 7.43 , 4.91 , 10.42 , 0.102 , 44.29 , 5.34 , 1.2 , 2.48 , 1.96 , 3.15
700 , 208.98417 , 18.37097 , 209.011963 , 18.372078 , "5.76" , "72.76" , "SWIFT J1355.9+18" , "Sy1Sy2/MERGER" , " " , 5.4 , 10.98 , 7.57 , 14.85 , 0.05 , 43.819 , 5.21 , 1.9 , 2.02 , 1.62 , 2.48
701 , 208.9775 , 38.563 , 208.973007 , 38.5746 , "77.28" , "72.32" , "SWIFT J1356.1+38" , "Sy1.5" , " " , 11.2 , 21.58 , 18.26 , 25.08 , 0.05 , 44.108 , 2.52 , 0.4 , 1.93 , 1.72 , 2.15
702 , 209.16667 , -19.49819 , 209.152893 , -19.5292 , "323.38" , "40.76" , "SWIFT J1356.6-19" , "Sy1" , " " , 7.2 , 16.9 , 12.28 , 22.07 , 0.035 , 43.681 , 3.88 , 1.6 , 2.2 , 1.78 , 2.71
703 , 210.23333 , -63.40569 , 210.190399 , -63.428501 , "310.61" , "-1.58" , "SWIFT J1400.9-63" , "Pulsar/msec" , "SWIFT J140044." , 9.2 , 18.22 , 14.51 , 22.3 , -1 , -9.9 , 3.07 , 0.8 , 2.54 , 2.19 , 2.95
704 , 210.99583 , -61.76028 , 211.129593 , -61.7897 , "311.4" , "-0.09" , "SWIFT J1403.6-61" , " " , " " , 6.5 , 18.94 , 13.99 , 24.4 , 0 , -9.9 , 4.33 , 1.2 , 1.73 , 1.34 , 2.13
705 , 212.03958 , -61.15747 , 212.190399 , -61.132599 , "312.05" , "0.34" , "SWIFT J1408.2-61" , " " , " " , 5.1 , 7.82 , 5.09 , 11.1 , -1 , -9.9 , 5.46 , 1.2 , 3.03 , 2.36 , 3.95
706 , 212.03 , -30.41517 , 212.028214 , -30.398277 , "321.94" , "29.6" , "SWIFT J1408.1-30" , "Sy1.4" , " " , 6.7 , 17.19 , 12.82 , 22.09 , 0.024 , 43.336 , 4.16 , 0.7 , 2.26 , 1.87 , 2.7
707 , 212.2975 , -45.25397 , 212.281006 , -45.287998 , "317" , "15.48" , "SWIFT J1409.2-45" , "CV/AM HER" , " " , 5.3 , 8.31 , 5.85 , 11.23 , 0 , -9.9 , 5.28 , 0.7 , 3.88 , 2.98 , 5.29
708 , 212.69917 , -42.48317 , 212.686798 , -42.4758 , "318.19" , "18.02" , "SWIFT J1410.9-42" , "Sy2" , " " , 5.7 , 12.09 , 8.31 , 16.56 , 0.034 , 43.507 , 4.88 , 0.2 , 2.6 , 2.04 , 3.34
709 , 213.28625 , -65.33119 , 213.291306 , -65.338997 , "311.32" , "-3.81" , "SWIFT J1412.9-65" , "AGN" , " " , 110.7 , 272.1 , 267.8 , 276.4 , 0.001 , 42.1 , 0.39 , 175.3 , 2.08 , 2.06 , 2.1
710 , 213.3075 , -3.23617 , 213.311905 , -3.2075 , "339.11" , "53.78" , "SWIFT J1413.2-03" , "Sy1.9" , " " , 99.5 , 241 , 236.4 , 245.6 , 0.006 , 43.31 , 0.41 , 39.4 , 2.08 , 2.05 , 2.11
711 , 214.2325 , -46.65933 , 214.265244 , -46.694778 , "317.85" , "13.71" , "SWIFT J1416.9-46" , "Sy2" , "2MASS J1417036" , 8.3 , 22.17 , 17.42 , 27.34 , 0.076 , 44.497 , 3.37 , 0.3 , 2 , 1.68 , 2.34
712 , 214.18583 , -11.95892 , 214.208405 , -11.9829 , "333.59" , "45.77" , "SWIFT J1416.9-11" , "Galaxy" , " " , 7.1 , 18.13 , 13.81 , 22.93 , 0.099 , 44.649 , 3.94 , 1.6 , 2.29 , 1.94 , 2.7
713 , 214.70792 , -60.91756 , 214.678467 , -60.967499 , "313.35" , "0.17" , "SWIFT J1418.8-60" , "PSR/PWN" , " " , 5.3 , 9.94 , 0 , 0 , 0 , -9.9 , 5.25 , 1.1 , 2.19 , 0 , 0
714 , 214.46542 , 25.71297 , 214.485992 , 25.724001 , "33.64" , "70.62" , "SWIFT J1417.7+25" , "BL Lac" , " " , 5.1 , 7.46 , 4.92 , 10.51 , 0.237 , 45.099 , 5.49 , 0.8 , 2.68 , 2.11 , 3.48
715 , 214.49667 , 25.12742 , 214.498093 , 25.136801 , "31.92" , "70.49" , "SWIFT J1417.9+25" , "Sy1.5" , " " , 37.5 , 78.64 , 74.78 , 82.61 , 0.017 , 43.718 , 0.8 , 1.5 , 1.86 , 1.8 , 1.93
716 , 214.94083 , -60.78567 , 215.034302 , -60.8046 , "313.5" , "0.25" , "SWIFT J1419.8-60" , "PSR" , " " , 5.2 , 10.13 , 0 , 0 , 0 , -9.9 , 5.37 , 0.6 , 2.3 , 0 , 0
717 , 214.37042 , 61.67789 , 214.428894 , 61.697899 , "106.29" , "52.58" , "SWIFT J1417.7+61" , "Radio galaxy" , " " , 5 , 7.11 , 4.35 , 10.36 , 0.119 , 44.417 , 5.64 , 0.5 , 2.16 , 1.62 , 2.84
718 , 214.83875 , -26.66336 , 214.843399 , -26.644699 , "326.21" , "32.2" , "SWIFT J1419.0-26" , "Sy1" , " " , 13.7 , 39.88 , 34.71 , 45.29 , 0.022 , 43.657 , 2.07 , 1.1 , 2.05 , 1.86 , 2.26
719 , 215.29917 , -62.70758 , 215.302994 , -62.698002 , "313.01" , "-1.61" , "SWIFT J1421.2-62" , "HMXB" , "H 1417-624" , 31.1 , 63.13 , 59.56 , 66.79 , 0 , -9.9 , 0.95 , 9.9 , 2.57 , 2.47 , 2.66
720 , 215.38542 , 47.82261 , 215.374207 , 47.790199 , "88.6" , "62.86" , "SWIFT J1421.4+47" , "Sy1.5" , " " , 11.3 , 18.63 , 15.39 , 22.09 , 0.072 , 44.376 , 2.5 , 0.8 , 2.06 , 1.81 , 2.33
721 , 216.24625 , -61.33831 , 216.281097 , -61.315899 , "313.9" , "-0.48" , "SWIFT J1424.8-61" , "Be Star" , "HD 126004" , 5.7 , 11.32 , 7.87 , 15.32 , 0 , -9.9 , 4.96 , 1.1 , 2.58 , 2.06 , 3.24
722 , 216.10917 , 24.61808 , 216.095413 , 24.614445 , "31.3" , "68.96" , "SWIFT J1424.2+24" , "Sy2" , " " , 9.8 , 19.21 , 15.69 , 22.98 , 0.017 , 43.091 , 2.88 , 1.5 , 1.97 , 1.72 , 2.23
