_id , RA  , Dec  , CounterpartRA , CounterpartDEC , LII , BII , bat70_name , Type , other_name , SNR , Flux15-195KeV, Flux_low , Flux_high , Redshift , lum , Error radius, Chi^2 , Gamma , Gamma_low , Gamma_high
46 , 15.95792 , -64.61489 , 15.890447 , -64.652138 , "300.75" , "-52.47" , "SWIFT J0103.8-64" , "FSRQ" , " " , 5.3 , 11.27 , 7.21 , 15.84 , 0.163 , 44.915 , 5.26 , 0.8 , 1.62 , 1.12 , 2.17
47 , 16.36875 , -42.16697 , 16.36175 , -42.216194 , "293.03" , "-74.7" , "SWIFT J0105.5-42" , "Sy2" , " " , 6.2 , 11.97 , 8.14 , 16.25 , 0.03 , 43.401 , 4.51 , 0.7 , 1.75 , 1.33 , 2.21
48 , 16.43125 , -14.23661 , 16.411711 , -14.2704 , "138.13" , "-76.69" , "SWIFT J0105.7-14" , "Sy1" , " " , 6.9 , 13.07 , 9.32 , 17.34 , 0.066 , 44.139 , 4.07 , 1.1 , 2.21 , 1.79 , 2.72
49 , 16.4425 , -34.57064 , 16.44417 , -34.529202 , "281.37" , "-81.96" , "SWIFT J0105.6-34" , "Sy1" , " " , 5.5 , 8.56 , 5.15 , 12.55 , 0.057 , 43.822 , 5.14 , 1.2 , 2.28 , 1.71 , 3.14
50 , 16.42875 , -47.05044 , 16.408209 , -47.07172 , "295.84" , "-69.89" , "SWIFT J0106.2-47" , "Galaxy" , " " , 5.1 , 7.25 , 4.31 , 10.85 , 0.019 , 42.787 , 5.47 , 0.4 , 2.41 , 1.8 , 3.31
51 , 16.68833 , 6.66778 , 16.688589 , 6.633877 , "129.74" , "-56" , "SWIFT J0106.8+06" , "Sy2" , "UM 085" , 7.8 , 15.45 , 11.16 , 20.26 , 0.041 , 43.783 , 3.62 , 1.8 , 2.01 , 1.6 , 2.48
52 , 16.9425 , -11.62219 , 16.8074 , -11.6007 , "137.61" , "-74.03" , "SWIFT J0107.7-11" , " " , "2MASX J0107137" , 6.8 , 4.09 , 0 , 0 , -1 , -9.9 , 4.1 , 1.2 , 3.03 , 0 , 0
53 , 16.9425 , -11.62219 , 16.915167 , -11.653222 , "137.61" , "-74.03" , "SWIFT J0107.7-11" , "Sy2 double so" , " " , 6.8 , 10.48 , 0 , 0 , 0.047 , 43.745 , 4.1 , 1.4 , 1.7 , 0 , 0
54 , 16.9425 , -11.62219 , 16.907499 , -11.666 , "137.61" , "-74.03" , "SWIFT J0107.7-11" , " " , " " , 6.8 , 13.51 , 9.49 , 18.02 , -1 , -9.9 , 4.1 , 0.9 , 1.94 , 1.54 , 2.41
55 , 17.18542 , 13.35983 , 17.220301 , 13.3372 , "129.39" , "-49.3" , "SWIFT J0109.0+13" , "Sy2" , " " , 13.1 , 27.78 , 23.47 , 32.34 , 0.06 , 44.376 , 2.15 , 0.1 , 1.94 , 1.73 , 2.16
56 , 17.85292 , -38.127 , 17.865 , -38.083 , "283.31" , "-78.24" , "SWIFT J0111.4-38" , "Sy1Sy2" , " " , 11.4 , 20.72 , 17.12 , 24.57 , 0.012 , 42.806 , 2.47 , 0.7 , 2.03 , 1.8 , 2.28
57 , 18.44792 , 25.28556 , 18.344601 , 25.3148 , "129.28" , "-37.31" , "SWIFT J0113.8+25" , "AGN/FSRS" , " " , 5 , 9.89 , 5.56 , 15.06 , -1 , -9.9 , 5.59 , 0.4 , 1.79 , 1.13 , 2.57
58 , 18.45708 , 13.239 , 18.462622 , 13.271729 , "131.29" , "-49.27" , "SWIFT J0113.8+13" , "Sy1" , " " , 7.3 , 16.54 , 12.24 , 21.33 , 0.05 , 43.984 , 3.83 , 1.5 , 1.88 , 1.52 , 2.28
59 , 18.48667 , -14.83517 , 18.4587 , -14.8456 , "147.14" , "-76.64" , "SWIFT J0113.8-14" , "Sy1.5" , " " , 12.5 , 27.19 , 23.04 , 31.57 , 0.053 , 44.254 , 2.26 , 0.8 , 1.95 , 1.74 , 2.17
60 , 18.56333 , -32.63269 , 18.529249 , -32.65089 , "262.37" , "-82.61" , "SWIFT J0114.5-32" , "Sy2" , " " , 6.9 , 14.32 , 9.95 , 19.18 , 0.012 , 42.66 , 4.1 , 0.9 , 1.85 , 1.41 , 2.36
61 , 18.57458 , -55.40064 , 18.60379 , -55.397099 , "296.14" , "-61.43" , "SWIFT J0114.4-55" , "Sy2" , "2MASX J0114249" , 8.7 , 17.46 , 13.6 , 21.64 , 0.012 , 42.759 , 3.25 , 0.4 , 1.8 , 1.5 , 2.12
62 , 19.03958 , 31.06742 , 19.061792 , 31.033833 , "129.14" , "-31.51" , "SWIFT J0116.3+31" , "Galaxy Pair" , " " , 6.2 , 11.97 , 8.31 , 16.11 , 0.017 , 42.868 , 4.53 , 1.3 , 2.04 , 1.64 , 2.49
63 , 19.13542 , -12.61628 , 19.129801 , -12.6047 , "146.21" , "-74.35" , "SWIFT J0116.5-12" , "Galaxy" , " " , 5.3 , 9.75 , 6.32 , 13.72 , -1 , -9.9 , 5.24 , 1.4 , 2.24 , 1.75 , 2.89
64 , 19.47958 , 65.30625 , 19.5112 , 65.291603 , "125.69" , "2.57" , "SWIFT J0117.8+65" , "HMXB/NS" , "V662 Cas" , 101.4 , 157.9 , 155 , 161 , 0 , -9.9 , 0.41 , 17.2 , 2.59 , 2.56 , 2.62
65 , 19.615 , 63.73611 , 19.632999 , 63.740002 , "125.91" , "1.02" , "SWIFT J0118.5+63" , "HMXB" , "V635 Cas" , 41.1 , 54.38 , 52.12 , 56.69 , 0 , -9.9 , 0.74 , 5.6 , 3.29 , 3.19 , 3.39
66 , 19.29542 , -73.44325 , 19.2714 , -73.443298 , "300.4" , "-43.57" , "SWIFT J0117.8-73" , "HMXB/NS" , "4U 0115-73" , 318.2 , 414.7 , 412.4 , 416.9 , 0 , -9.9 , 0.31 , 685.6 , 3.3 , 3.29 , 3.31
67 , 20.61167 , 50.08947 , 20.643457 , 50.055 , "128.01" , "-12.48" , "SWIFT J0122.8+50" , "Sy2" , " " , 7.6 , 12.63 , 9.52 , 16.13 , 0.02 , 43.076 , 3.7 , 0.8 , 2.39 , 2.03 , 2.82
68 , 20.50625 , -28.29172 , 20.464582 , -28.349167 , "224.43" , "-83.14" , "SWIFT J0122.0-28" , "Sy1, QSO" , " " , 6 , 15.07 , 10.02 , 20.87 , 0.116 , 44.72 , 4.7 , 1.2 , 1.39 , 0.81 , 1.94
69 , 20.7825 , 34.37972 , 20.785999 , 34.346901 , "130.33" , "-28.04" , "SWIFT J0122.9+34" , "BL Lac" , "2E 0120.3+3404" , 9.3 , 13.36 , 10.21 , 16.92 , 0.272 , 45.488 , 3.01 , 1 , 2.67 , 2.27 , 3.19
70 , 20.94417 , -35.07147 , 20.976601 , -35.065399 , "263.87" , "-79.48" , "SWIFT J0123.8-35" , "Sy1.5" , " " , 28.8 , 63.25 , 59.04 , 67.54 , 0.019 , 43.717 , 1.02 , 2 , 1.79 , 1.7 , 1.87
71 , 21.10917 , 33.77525 , 21.1119 , 33.7995 , "130.73" , "-28.6" , "SWIFT J0124.5+33" , "Sy2" , " " , 9.8 , 20.35 , 16.24 , 24.79 , 0.02 , 43.245 , 2.87 , 0.6 , 1.9 , 1.64 , 2.2
