_id , fermibsl_name , other_name , RA , Dec , LII , BII , Sqrt(TS) , Variability Flag , Gamma flux ph/cm2/s , Source classification , 95% conf. radius 
59 , 0FGL J0738.2+1738 , CGRaBS J0738+1742 , 114.57458 , 17.634 , 201.93 , 18.08 , 11.9 , F , (3.3+/-1.4)10^-8 , BL Lac , 8.2
60 , 0FGL J0818.3+4222 , CGRaBS J0818+4222 , 124.57875 , 42.367 , 178.24 , 33.41 , 20.9 , F , (6.2+/-1.1)10^-8 , BL Lac , 5
61 , 0FGL J0824.9+5551 , CGRaBS J0824+5552 , 126.23875 , 55.859 , 161.98 , 35.14 , 10.6 , T , (10.7+/-1.3)10^-8 , FSRQ , 12.8
62 , 0FGL J0826.0-2228 , BZB J0826-2230 , 126.49958 , -22.48 , 243.96 , 8.93 , 12.7 , F , (5.1+/-1.3)10^-8 , BL Lac , 8.6
63 , 0FGL J0835.4-4510 , PSR J0835-4510 , 128.865 , -45.16997 , 263.55 , -2.77 , 374.2 , F , (803+/-5.7)10^-8 , Pulsar , 2.5
64 , 0FGL J0855.4+2009 , CGRaBS J0854+2006 , 133.85667 , 20.162 , 206.81 , 35.97 , 15.1 , F , (7.4+/-1.3)10^-8 , BL Lac , 10.7
65 , 0FGL J0909.7+0145 , CGRaBS J0909+0200 , 137.44583 , 1.757 , 228.64 , 31.26 , 11.6 , F , (93+/-3)10^-9 , BL Lac , 16.4
66 , 0FGL J0910.2-5044 , UNDEFINED , 137.56792 , -50.743 , 271.56 , -1.86 , 13.2 , T , (29.4+/-3.3)10^-8 , Unidentified , 9.7
67 , 0FGL J0921.2+4437 , CGRaBS J0920+4441 , 140.32 , 44.617 , 175.81 , 44.87 , 15.2 , F , (8.8+/-1.4)10^-8 , FSRQ , 7.7
68 , 0FGL J0948.3+0019 , CGRaBS J0948+0022 , 147.07667 , 0.317 , 236.52 , 38.54 , 12.8 , T , (8.9+/-1.4)10^-8 , FSRQ , 17.2
69 , 0FGL J0957.6+5522 , CRATES J0957+5522 , 149.42375 , 55.375 , 158.6 , 47.94 , 24 , F , (8.4+/-1.3)10^-8 , FSRQ , 5.5
70 , 0FGL J1012.9+2435 , CRATES J1012+2439 , 153.24083 , 24.598 , 207.89 , 54.4 , 12.4 , T , (42+/-9)10^-9 , FSRQ , 10.5
71 , 0FGL J1015.2+4927 , CGRaBS J1015+4926 , 153.80875 , 49.463 , 165.47 , 52.72 , 23.8 , F , (7.9+/-1.5)10^-8 , BL Lac , 3.7
72 , 0FGL J1015.9+0515 , CRATES J1016+0513 , 153.99083 , 5.254 , 236.45 , 47.03 , 20.6 , T , (12.4+/-1.5)10^-8 , FSRQ , 6.2
73 , 0FGL J1018.2-5858 , UNDEFINED , 154.56375 , -58.978 , 284.29 , -1.77 , 22.4 , F , (36.7+/-4.8)10^-8 , SNR/PWN see paper , 6.8
74 , 0FGL J1024.0-5754 , UNDEFINED , 156.00083 , -57.90297 , 284.34 , -0.46 , 13.9 , F , < 4.210^-7 , Unidentified , 6.4
75 , 0FGL J1028.6-5817 , PSR J1028-5819 , 157.16583 , -58.292 , 285.07 , -0.47 , 16 , F , < 2.810^-7 , Pulsar , 4.7
76 , 0FGL J1034.0+6051 , CGRaBS J1033+6051 , 158.50375 , 60.853 , 147.76 , 49.12 , 14.8 , F , (7.1+/-1.3)10^-8 , FSRQ , 12.5
77 , 0FGL J1045.6-5937 , UNDEFINED , 161.40875 , -59.631 , 287.63 , -0.56 , 19.5 , F , (30.7+/-4.6)10^-8 , Unidentified , 7.4
78 , 0FGL J1047.6-5834 , PSR J1048-5832 , 161.92167 , -58.577 , 287.38 , 0.5 , 18.5 , F , < 4.410^-7 , Pulsar , 8.3
79 , 0FGL J1053.7+4926 , BZB J1053+4929 , 163.44167 , 49.449 , 160.31 , 58.26 , 10.1 , F , < 410^-8 , BL Lac , 7.4
80 , 0FGL J1054.5+2212 , CLASS J1054+2210 , 163.62667 , 22.215 , 216.96 , 63.04 , 11.2 , F , (4+/-1)10^-8 , BL Lac , 10.7
81 , 0FGL J1057.8+0138 , CGRaBS J1058+0133 , 164.45083 , 1.643 , 251.22 , 52.7 , 10.3 , F , (8.8+/-1.7)10^-8 , FSRQ , 11.6
82 , 0FGL J1058.9+5629 , CGRaBS J1058+5628 , 164.73083 , 56.488 , 149.52 , 54.44 , 12 , F , (4.7+/-1.8)10^-8 , BL Lac , 5
83 , 0FGL J1058.1-5225 , PSR J1057-5226 , 164.52667 , -52.432 , 285.99 , 6.67 , 43.7 , F , (25.6+/-2)10^-8 , Pulsar , 4.4
84 , 0FGL J1100.2-8000 , CGRaBS J1058-8003 , 165.05667 , -80.012 , 298.04 , -18.22 , 12.1 , T , (10.8+/-2.2)10^-8 , BL Lac , 17.1
85 , 0FGL J1104.5+3811 , CGRaBS J1104+3812 , 166.13667 , 38.187 , 179.87 , 65.05 , 47.1 , F , (13.3+/-1.3)10^-8 , BL Lac , 3.3
86 , 0FGL J1106.4-6055 , UNDEFINED , 166.605 , -60.91897 , 290.51 , -0.61 , 10.8 , F , (16.9+/-5.2)10^-8 , SNR/PWN see paper , 15.1
87 , 0FGL J1115.8-6108 , UNDEFINED , 168.96667 , -61.147 , 291.66 , -0.39 , 12.1 , F , (25.7+/-5.3)10^-8 , Unidentified , 12.8
88 , 0FGL J1123.0-6416 , UNDEFINED , 170.76167 , -64.26797 , 293.51 , -3.03 , 10.2 , T , (22.4+/-3.9)10^-8 , Unidentified , 7.5
89 , 0FGL J1129.8-1443 , CRATES J1130-1449 , 172.45375 , -14.728 , 275.13 , 43.69 , 10.5 , F , (10.6+/-1.6)10^-8 , FSRQ , 14.8
90 , 0FGL J1146.7-3808 , CGRaBS J1147-3812 , 176.68875 , -38.149 , 289.16 , 22.98 , 10.4 , F , (3.1+/-1.2)10^-8 , FSRQ , 11.1
91 , 0FGL J1159.2+2912 , CGRaBS J1159+2914 , 179.8 , 29.216 , 199.61 , 78.3 , 14.6 , F , (9.1+/-1)10^-8 , FSRQ , 11.5
92 , 0FGL J1218.0+3006 , CGRaBS J1217+3007 , 184.51667 , 30.108 , 188.83 , 82.09 , 27.4 , T , (9+/-1)10^-8 , BL Lac , 5.9
93 , 0FGL J1221.7+2814 , CGRaBS J1221+2813 , 185.43875 , 28.243 , 201.6 , 83.33 , 24 , T , (65+/-8)10^-9 , BL Lac , 6.1
94 , 0FGL J1229.1+0202 , CGRaBS J1229+0203 , 187.28667 , 2.045 , 289.97 , 64.35 , 52 , T , (63.9+/-2.6)10^-8 , FSRQ , 5
95 , 0FGL J1231.5-1410 , UNDEFINED , 187.87458 , -14.18 , 295.64 , 48.4 , 30.9 , F , (9.3+/-1.2)10^-8 , Unidentified , 5.2
96 , 0FGL J1246.6-2544 , CGRaBS J1246-2547 , 191.655 , -25.734 , 301.57 , 37.12 , 11.7 , F , (7.2+/-1.4)10^-8 , FSRQ , 10.1
97 , 0FGL J1248.7+5811 , PG 1246+586 , 192.18875 , 58.191 , 123.61 , 58.93 , 14.3 , F , (7+/-1.6)10^-8 , BL Lac , 7.3
