_id , wmap5_name , RA , Dec , LII , BII , Redshift , Source classification , Rflux(5GHz) , Rflux(1p4 GHz) , Rflux(23GHz) , Rflux(33GHz) , Rflux(41GHz) , Rflux(61GHz) , Rflux(94GHz) , Ecliptic_coords, other_name
98 , "WMAP5 J0555+3942" , 88.87792 , 39.81361 , "171.64" , "7.28" , 2.365 , "Blazar Q-type" , 5524 , 1516 , 3000 , 2400 , 1700 , 0 , "1381" , 88.4987 , "B20552+39A "
99 , "WMAP5 J0559-4528" , 89.79792 , -45.49444 , "252.41" , "-27.79" , 0.687 , "Blazar Q-type" , 407 , 0 , 700 , 1000 , 900 , 700 , "628" , 89.2543 , "PKS0557-454 "
100 , "WMAP5 J0607+6723" , 91.96708 , 67.34861 , "146.8" , "20.85" , 1.97 , "Blazar Q-type" , 581 , 424 , 1200 , 900 , 700 , 600 , "538" , 90.2357 , "S40602+673 "
101 , "WMAP5 J0608-2220" , 92.24875 , -22.33917 , "228.92" , "-18.96" , 1.926 , "Blazar Q-type" , 626 , 679 , 1100 , 1100 , 900 , 600 , 500 , 92.2196 , "PKS0606-223 "
102 , "WMAP5 J0609-1541" , 92.42042 , -15.71139 , "222.61" , "-16.19" , 0.324 , "Blazar Q-type" , 2473 , 2742 , 3700 , 3300 , 3100 , 2200 , 1900 , 92.2903 , "PKS0607-15 "
103 , "WMAP5 J0621-2516" , 95.135 , -25.25583 , "232.82" , "-17.63" , 1.9 , "Blazar Q-type" , 761 , 1213 , 600 , 500 , 300 , 0 , "243" , 96.5009 , "PKS0618-252 "
104 , "WMAP5 J0623-6436" , 95.7825 , -64.60583 , "274.31" , "-27.33" , 0.129 , "Blazar Q-type" , 531 , 0 , 900 , 800 , 800 , 900 , 900 , 142.7425 , "IRASL06229-643 "
105 , "WMAP5 J0626-3523" , 96.775 , -35.48667 , "243.45" , "-19.98" , 0.0546 , "Misd. NT-AGN RGal-type" , 2251 , 1076 , 700 , 500 , 0 , 0 , "384" , 99.7279 , "PKS0625-35 "
106 , "WMAP5 J0629-1958" , 97.34875 , -19.98889 , "228.63" , "-13.67" , 0 , "Blazar B-type" , 784 , 677 , 1500 , 1400 , 1400 , 1200 , 1100 , 98.8181 , "PKS0627-199 "
107 , "WMAP5 J0632-6928" , 98.08792 , -69.47556 , "279.85" , "-26.94" , 0 , "Unidentified " , 0 , 0 , 400 , 500 , 400 , 700 , 600 , 226.9717 , " "
108 , "WMAP5 J0633-2218" , 98.36125 , -22.38917 , "231.29" , "-13.79" , 1.508 , "Blazar Q-type" , 885 , 358 , 500 , 600 , 700 , 800 , 900 , 100.4909 , "PMNJ0633-2223 "
109 , "WMAP5 J0634-2337" , 98.74667 , -23.58889 , "232.56" , "-13.95" , 0 , "Unidentified " , 763 , 566 , 600 , 700 , 600 , 600 , "538" , 100.9135 , " "
110 , "WMAP5 J0635-7517" , 98.94375 , -75.27139 , "286.36" , "-27.17" , 0.653 , "Blazar Q-type" , 6398 , 0 , 4300 , 3900 , 3600 , 2600 , 2500 , 254.9628 , "PKS0637-75 "
111 , "WMAP5 J0636-2031" , 99.13417 , -20.58139 , "229.9" , "-12.39" , 0.0552 , "Misd. NT-AGN RGal-type" , 1326 , 0 , 1100 , 1100 , 1000 , 700 , "628" , 101.1462 , "PKS0634-205 "
112 , "WMAP5 J0639+7327" , 99.84125 , 73.41611 , "141.27" , "25.06" , 1.85 , "Blazar Q-type" , 711 , 903 , 800 , 400 , 800 , 800 , 1000 , 93.6895 , "S50633+734 "
113 , "WMAP5 J0646+4449" , 101.63333 , 44.85444 , "171.08" , "17.94" , 3.396 , "Blazar Q-type" , 1220 , 452 , 2900 , 2400 , 2100 , 1600 , 1300 , 98.1522 , "S40642+449 "
114 , "WMAP5 J0720-6222" , 109.76875 , -62.3 , "273.36" , "-20.74" , 0 , "Unidentified " , 279 , 0 , 600 , 700 , 800 , 500 , 700 , 162.7735 , " "
115 , "WMAP5 J0720+0403" , 110.34917 , 4.11278 , "212.66" , "8.53" , 0 , "Unidentified " , 533 , 313 , 900 , 700 , 600 , 0 , "487" , 110.4723 , "GB6J0721+0406 "
116 , "WMAP5 J0721+7122" , 110.4725 , 71.34333 , "143.98" , "28.01" , 0.3 , "Blazar B-type" , 859 , 727 , 1600 , 1800 , 1900 , 1800 , 1500 , 99.0318 , "S50716+714 "
117 , "WMAP5 J0725-0050" , 111.46083 , -0.91556 , "217.69" , "7.22" , 0.128 , "Blazar Unknown-type" , 1377 , 1399 , 900 , 1200 , 1100 , 1000 , 1100 , 112.6475 , "PKS0723-008 "
118 , "WMAP5 J0727+6749" , 112.04708 , 67.81306 , "148.01" , "28.41" , 0.846 , "Misd. NT-AGN QSO-type" , 912 , 2123 , 600 , 500 , 600 , 800 , "718" , 100.7793 , "3C179 "
119 , "WMAP5 J0738+1743" , 114.53042 , 17.70528 , "201.84" , "18.07" , 0.42 , "Blazar B-type" , 1812 , 2258 , 1300 , 1300 , 1000 , 1300 , "1166" , 112.6735 , "PKS0735+17 "
120 , "WMAP5 J0739+0136" , 114.825 , 1.61778 , "216.99" , "11.37" , 0.19 , "Blazar Q-type" , 1781 , 1964 , 1700 , 1900 , 2100 , 2300 , 2800 , 115.7413 , "PKS0736+01 "
121 , "WMAP5 J0741+3111" , 115.29458 , 31.2 , "188.63" , "23.58" , 0.63 , "Blazar Q-type" , 2623 , 2284 , 1200 , 1100 , 800 , 1000 , "897" , 111.0892 , "OI363 "
122 , "WMAP5 J0743-6727" , 115.88167 , -67.44028 , "279.47" , "-20.14" , 1.51 , "Blazar Q-type" , 2235 , 0 , 1200 , 900 , 700 , 700 , 1000 , 196.28 , "PKS0743-67 "
123 , "WMAP5 J0745+1016" , 116.3875 , 10.18694 , "209.79" , "16.59" , 2.624 , "Blazar Q-type" , 3704 , 3506 , 1100 , 800 , 700 , 1000 , "897" , 115.7009 , "PKS0742+10 "
124 , "WMAP5 J0746-0045" , 116.47542 , -0.73806 , "219.9" , "11.74" , 0.994 , "Blazar Q-type" , 1975 , 662 , 1100 , 1000 , 800 , 700 , "628" , 118.0016 , "4C-00.28 "
125 , "WMAP5 J0750+1230" , 117.71667 , 12.51806 , "208.16" , "18.76" , 0.889 , "Blazar Q-type" , 1238 , 1486 , 2700 , 2600 , 2600 , 2100 , 1800 , 116.6198 , "PKS0748+126 "
126 , "WMAP5 J0753+5354" , 118.25542 , 53.88306 , "164.2" , "30.5" , 0 , "Blazar B-type" , 964 , 803 , 1000 , 1000 , 900 , 900 , "807" , 108.6642 , "4C54.15 "
127 , "WMAP5 J0757+0957" , 119.2775 , 9.94306 , "211.31" , "19.05" , 0.266 , "Blazar B-type" , 1037 , 957 , 1300 , 1300 , 1500 , 1400 , "1256" , 118.6276 , "PKS0754+100 "
128 , "WMAP5 J0805+6133" , 121.43083 , 61.56306 , "155.25" , "32.4" , 0 , "Unidentified " , 0 , 0 , 700 , 500 , 700 , 1000 , "897" , 108.2651 , " "
