_id , fava_name,RA,Dec,LII, BII ,Flares , HE_Flares , Neg_Flares , LAT_Assoc , Assoc , Atel  , src,other_name
172 , J1853+48 , 283.36 , 48.59 , 78.3 , 19.68 , 1 , 1 , 0 , 2FGL_J1852.5+4856 , S4_1851+48 , 0 , 86,
173 , J1853+67 , 283.29 , 67.09 , 97.56 , 24.67 , 13 , 11 , 0 , 2FGL_J1849.4+6706 , S4_1849+67 , 0 , 1,
174 , J1909-80 , 287.48958 , -80.23 , 313.92 , -27.49 , 1 , 1 , 0 , none , none , 0 , 162,
175 , J1910-20 , 287.56 , -20.05 , 16.84 , -13 , 2 , 0 , 0 , 2FGL_J1911.1-2005 , PKS_B1908-201 , 0 , 185,
176 , J1914-35 , 288.57958 , -35.96 , 1.83 , -19.86 , 1 , 1 , 0 , Fermi_J1913-3630 , PMN_J1913-3630 , 2966 , 129,
177 , J1924-21 , 291.03 , -21.19 , 17.12 , -16.43 , 5 , 3 , 0 , 2FGL_J1923.5-2105 , TXS_1920-211 , 0 , 24,
178 , J1956-38 , 299.07 , -38.36 , 1.92 , -28.55 , 1 , 1 , 0 , 2FGL_J1958.2-3848 , PKS_1954-388 , 0 , 106,
179 , J1956-42 , 299.19 , -42.84 , 356.93 , -29.58 , 2 , 1 , 0 , 2FGL_J1959.1-4245 , PMN_J1959-4246 , 0 , 55,
180 , J2001+44 , 300.25958 , 44.19 , 79.31 , 7.29 , 1 , 1 , 0 , 2FGL_J2001.1+4352 , MAGIC_J2001+435 , 0 , 66,
181 , J2012+37 , 303.22 , 37.19 , 74.58 , 1.65 , 3 , 1 , 0 , 2FGL_J2015.6+3709 , MG2_J201534+3710 , 0 , 116,
182 , J2023+33 , 305.99 , 33.76 , 73.01 , -2.14 , 1 , 1 , 0 , 2FGL_J2025.1+3341 , B2_2023+33 , 0 , 57,
183 , J2026-07 , 306.65 , -7.55 , 37.05 , -24.58 , 15 , 8 , 0 , 2FGL_J2025.6-0736 , PKS_2023-07 , 0 , 7,
184 , J2034+40 , 308.58958 , 40.93 , 80.04 , 0.39 , 3 , 0 , 0 , 2FGL_J2032.1+4049 , Cyg_X-3 , 0 , 190,
185 , J2036+11 , 309.08 , 11.16 , 55.72 , -17.31 , 1 , 1 , 0 , 2FGL_J2035.4+1058 , PKS_2032+107 , 0 , 149,
186 , J2056-47 , 314.16 , -47.34997 , 352.45 , -40.45 , 6 , 4 , 0 , 2FGL_J2056.2-4715 , PKS_2052-47 , 0 , 60,
187 , J2103+45 , 315.86958 , 45.71 , 87.08 , -0.7 , 2 , 2 , 0 , 2FGL_J2102.2+4546 , V407_Cyg , 0 , 88,
188 , J2122-46 , 320.5 , -46.03 , 353.8 , -44.88 , 1 , 0 , 0 , 2FGL_J2125.0-4632 , PKS_2123-463 , 3808 , 211,
189 , J2134-01 , 323.51958 , -1.96 , 52.3 , -36.53 , 1 , 1 , 0 , 2FGL_J2133.8-0154 , PKS_2131-021 , 4333 , 181,
190 , J2144+17 , 326.06958 , 17.72 , 72.23 , -26.21 , 1 , 0 , 0 , 2FGL_J2143.5+1743 , OX_169 , 0 , 199,
191 , J2148-75 , 327.05958 , -75.44997 , 315.9 , -36.68 , 10 , 5 , 0 , 2FGL_J2147.4-7534 , PKS_2142-75 , 0 , 92,
192 , J2155-83 , 328.85 , -83.96 , 307.84 , -31.39 , 2 , 1 , 0 , 2FGL_J2201.9-8335 , PKS_2155-83 , 0 , 78,
193 , J2154-30 , 328.63 , -30.49 , 17.14 , -51.35 , 5 , 0 , 0 , 2FGL_J2151.5-3021 , PKS_2149-306 , 0 , 195,
194 , J2159+31 , 329.9 , 31.46 , 85.12 , -18.52 , 4 , 1 , 0 , 2FGL_J2157.4+3129 , B2_2155+31 , 0 , 169,
195 , J2202+42 , 330.56 , 42.23 , 92.48 , -10.43 , 15 , 8 , 1 , 2FGL_J2202.8+4216 , BL_Lacertae , 0 , 146,
196 , J2202+50 , 330.62 , 50.77 , 97.71 , -3.64 , 6 , 4 , 0 , Fermi_J2202+5045 , NRAO_676 , 4182 , 176,
197 , J2209-53 , 332.38 , -53.72 , 339.8 , -50.2 , 1 , 1 , 0 , 2FGL_J2208.1-5345 , PKS_2204-54 , 0 , 9,
198 , J2214-26 , 333.59958 , -26.66 , 24.5 , -55.13 , 1 , 1 , 0 , GRB090510 , none , 0 , 47,
199 , J2229-07 , 337.37958 , -7.87 , 56.09 , -51.3 , 2 , 0 , 0 , 2FGL_J2229.7-0832 , PKS_2227-08 , 0 , 209,
200 , J2233+11 , 338.35 , 11.8 , 77.68 , -38.66 , 4 , 3 , 0 , 2FGL_J2232.4+1143 , CTA_102 , 0 , 147,
201 , J2237-14 , 339.35 , -14.4 , 48.29 , -56.33 , 5 , 5 , 0 , 2FGL_J2236.5-1431 , PKS_2233-148 , 0 , 174,
202 , J2238-39 , 339.74958 , -39.36 , 0.42 , -59.95 , 1 , 1 , 0 , none , none , 0 , 121,
203 , J2247-06 , 341.82 , -6.03 , 62.84 , -53.73 , 1 , 0 , 0 , none , none , 0 , 184,
204 , J2252-27 , 343.01958 , -27.82 , 24.46 , -63.59 , 7 , 3 , 0 , 2FGL_J2250.8-2808 , PMN_J2250-2806 , 0 , 44,
205 , J2254+16 , 343.56958 , 16.21 , 86.23 , -38.18 , 168 , 137 , 123 , 2FGL_J2253.9+1609 , 3C_454.3 , 0 , 3,
206 , J2311+34 , 347.93 , 34.34 , 100.51 , -24.16 , 9 , 5 , 0 , 2FGL_J2311.0+3425 , B2_2308+34 , 0 , 117,
207 , J2321+32 , 350.44958 , 32.07 , 101.65 , -27.08 , 2 , 2 , 0 , 2FGL_J2322.2+3206 , B2_2319+31 , 0 , 131,
208 , J2322-03 , 350.72958 , -3.85 , 76.83 , -58.56 , 1 , 1 , 0 , 2FGL_J2323.6-0316 , PKS_2320-035 , 0 , 157,
209 , J2326+40 , 351.54958 , 40.39 , 105.84 , -19.64 , 1 , 1 , 0 , 2FGL_J2325.3+3957 , B3_2322+396 , 0 , 23,
210 , J2328-49 , 352.16958 , -49.78997 , 332.36 , -62.35 , 27 , 3 , 2 , 2FGL_J2329.2-4956 , PKS_2326-502 , 0 , 118,
211 , J2329-21 , 352.31 , -21.46 , 45.32 , -70.46 , 1 , 1 , 0 , 2FGL_J2330.9-2144 , PMN_J2331-2148 , 0 , 52,
212 , J2330+09 , 352.57 , 9.36 , 91.81 , -48.55 , 3 , 1 , 0 , 2FGL_J2327.5+0940 , PKS_2325+093 , 0 , 25,
213 , J2332-66 , 353.24958 , -66.28997 , 314.8 , -49 , 1 , 1 , 0 , GRB090926A , none , 0 , 63,
214 , J2333-40 , 353.29 , -40.43997 , 348.46 , -69.07 , 2 , 2 , 0 , 2FGL_J2336.3-4111 , PKS_2333-415 , 0 , 73,
215 , J2345-15 , 356.35 , -15.89 , 65.83 , -71.01 , 20 , 17 , 1 , 2FGL_J2345.0-1553 , PMN_J2345-1555 , 0 , 83,
