_id , bzcat5_name , other_name , RA , Dec , LII , BII , Redshift , Rmag , Source classification , Flux_density_1.4/0.843GHz , Flux_density143GHz , X-ray flux0.1-2.4keV , Comment_on_redshift , Comment_on_rmag , Commenton_radio_flux , Fermi flux1-100 GeV, aro-aox-arx
321 , "5BZBJ0202+4205 " , "B30159+418 " , 30.68188 , 42.08786 , "136.81" , "-18.86" , "0 " , 18.8 , "BL Lac Candidate" , 167 , 0 , 0 , ". " , " " , " " , 0 , 0.626
322 , "5BZBJ0203+7232 " , "S50159+723 " , 30.88908 , 72.54825 , "128.34" , "10.44" , "0 " , 14.8 , "BL Lac" , 229 , 0 , 0.09 , ". " , " " , " " , 1e-9 , 0.228
323 , "5BZBJ0203+3042 " , "2FGLJ0204.0+3045" , 30.93446 , 30.7105 , "140.8" , "-29.64" , "0.761 " , 19.1 , "BL Lac" , 175 , 0 , 0 , ". " , " " , " " , 6e-10 , 0.609
324 , "5BZQJ0203+1134 " , "PKS 0201+113 " , 30.94442 , 11.57928 , "149.68" , "-47.5" , "3.639 " , 19.5 , "QSO RLoud flat radio sp." , 781 , 0 , 0.48 , ". " , " " , " " , 0 , 0.805
325 , "5BZGJ0204+4005 " , "1RXSJ020403.8+40" , 31.02167 , 40.08431 , "137.7" , "-20.7" , "0.007 " , 13.6 , "BL Lac-galaxy dominated" , 50 , 0 , 0.39 , ". " , " " , " " , 0 , 0.153
326 , "5BZBJ0204-3333 " , "BZBJ0204-3333 " , 31.05329 , -33.56142 , "239.65" , "-73.07" , "0.617 " , 19.1 , "BL Lac" , 6 , 0 , 1.44 , ". " , " " , " " , 0 , 0.352
327 , "5BZUJ0204+1514 " , "4C15.05 " , 31.21004 , 15.23639 , "147.92" , "-44.05" , "0.833 ? " , 22 , "Blazar Uncertain type" , 4068 , 435 , 0.02 , " ? " , " " , " " , 8e-10 , 1.092
328 , "5BZQJ0204-5146 " , "0203-520 " , 31.21238 , -51.78303 , "278.63" , "-61.75" , "1.42 " , 16.1 , "QSO RLoud flat radio sp." , 103 , 0 , 0 , ". " , " " , " " , 0 , 0.41
329 , "5BZQJ0204-1701 " , "PKS 0202-17 " , 31.24029 , -17.02217 , "185.98" , "-70.24" , "1.74 " , 17.4 , "QSO RLoud flat radio sp." , 1220 , 496 , 0.57 , ". " , " " , " " , 7e-10 , 0.719
330 , "5BZQJ0205+3212 " , "1JY0202+319 " , 31.27054 , 32.20836 , "140.57" , "-28.13" , "1.466 " , 17.9 , "QSO RLoud flat radio sp." , 657 , 779 , 0.5 , ". " , " " , " " , 5e-10 , 0.693
331 , "5BZQJ0205+1444 " , "GB6B0202+1430 " , 31.30467 , 14.74233 , "148.31" , "-44.47" , "2.85 " , 21.5 , "QSO RLoud flat radio sp." , 198 , 0 , 0 , ". " , " " , " " , 0 , 0.863
332 , "5BZQJ0205+3932 " , "GB6J0205+3932 " , 31.30833 , 39.54917 , "138.09" , "-21.14" , "0.454 " , 19 , "QSO RLoud flat radio sp." , 51 , 0 , 0 , ". " , " " , " " , 0 , 0.582
333 , "5BZQJ0206-1150 " , "CGRaBSJ0206-1150" , 31.60867 , -11.84436 , "175.59" , "-66.7" , "1.663 " , 19.8 , "QSO RLoud flat radio sp." , 168 , 0 , 0.19 , ". " , " " , " " , 7e-10 , 0.737
334 , "5BZQJ0206-6143 " , "CRATESJ020639-61" , 31.66667 , -61.72561 , "288.16" , "-53.2" , "0.732 " , 20.3 , "QSO RLoud flat radio sp." , 233 , 0 , 0 , ". " , " " , " " , 0 , 0.815
335 , "5BZBJ0207-6837 " , "PKS 0206-688 " , 31.96221 , -68.632 , "292.86" , "-46.98" , "0 " , 19 , "BL Lac" , 310 , 0 , 0.14 , ". " , " " , " " , 3e-10 , 0.733
336 , "5BZQJ0208-6216 " , "CRATESJ020759-62" , 32.00487 , -62.27653 , "288.37" , "-52.64" , "2.382 " , 17.7 , "QSO RLoud flat radio sp." , 204 , 0 , 0 , ". " , " " , " " , 0 , 0.586
337 , "5BZBJ0208-0047 " , "PKS0205-010 " , 32.10979 , -0.79567 , "161.18" , "-57.83" , "0 " , 20.5 , "BL Lac" , 579 , 0 , 0 , ". " , " " , " " , 0 , 0.939
338 , "5BZBJ0208+3523 " , "MS0205.7+3509 " , 32.159 , 35.38692 , "140.21" , "-24.88" , "0.318 " , 18.8 , "BL Lac" , 5 , 0 , 2.88 , ". " , " " , " " , 6e-10 , 0.375
339 , "5BZBJ0209+4449 " , "1RXSJ020917.6+44" , 32.32042 , 44.82969 , "137.15" , "-15.89" , "0 " , 18.1 , "BL Lac Candidate" , 29 , 0 , 5.65 , ". " , " " , " " , 0 , 0.362
340 , "5BZBJ0209-5229 " , "1RXSJ020922.2-52" , 32.34004 , -52.48961 , "278.36" , "-60.77" , "0 " , 14.5 , "BL Lac" , 77 , 0 , 7.98 , ". " , " " , " " , 1.5e-9 , 0.166
341 , "5BZQJ0209-0438 " , "1RXSJ020931.5-04" , 32.37821 , -4.64058 , "165.99" , "-60.81" , "1.128 " , 16.7 , "QSO RLoud flat radio sp." , 219 , 0 , 0.37 , ". " , " " , " " , 0 , 0.526
342 , "5BZQJ0209+1352 " , "BZQJ0209+1352 " , 32.4 , 13.86686 , "150.18" , "-44.83" , "0.631 " , 20.1 , "QSO RLoud flat radio sp." , 466 , 0 , 0 , ". " , " " , " " , 0 , 0.815
343 , "5BZUJ0209+7229 " , "S50205+722 " , 32.46579 , 72.49075 , "128.82" , "10.52" , "0.895 ? " , 21 , "Blazar Uncertain type" , 669 , 0 , 0.16 , " ? " , " " , " " , 0 , 0.743
344 , "5BZQJ0210-1003 " , "BZQJ0210-1003 " , 32.50087 , -10.06506 , "174" , "-64.83" , "1.976 " , 19.3 , "QSO RLoud flat radio sp." , 266 , 0 , 0.07 , ". " , " " , " " , 0 , 0.734
345 , "5BZUJ0210-5101 " , "PKS0208-512 " , 32.6925 , -51.01719 , "276.1" , "-61.78" , "1.003 " , 14.8 , "Blazar Uncertain type" , 3493 , 1297 , 0.75 , ". " , " " , " " , 3.8e-9 , 0.526
