_id , bzcat4_name , RA , Dec , LII , BII , Redshift , Rmag , Source classification , Flux density 1.4GHz, Flux density143GHz , X-ray flux0.1-2.4 keV , Commenton_redshift , Comment_on_rmag , Commenton_radio_flux , Fermi flux1-100GeV, Fermi_slope , aro-aox-arx, other_name
1337 , "BZBJ1051+0103 " , 162.96596 , 1.053 , "250.18" , "51.24" , "0.265 " , 18.9 , "BL Lac" , 16 , 0 , 0 , ". " , ". " , ". " , 5.88e-10 , 2.08 , 0.571 , "SDSSJ105151.8+01"
1338 , "BZBJ1053+4929 " , 163.43388 , 49.49889 , "160.23" , "58.23" , "0.14 " , 13.8 , "BL Lac" , 64 , 0 , 0.82 , ". " , "g " , ". " , 4.49e-10 , 1.75 , 0.139 , "WE 1050+49W1 "
1339 , "BZQJ1053+5402 " , 163.48775 , 54.04694 , "153.52" , "55.53" , "0.995 " , 18.9 , "QSO RLoud flat radio sp." , 265 , 0 , 0.23 , ". " , ". " , ". " , 0 , 0 , 0.691 , "BZQJ1053+5402 "
1340 , "BZQJ1053-0014 " , 163.42592 , -0.23894 , "252.13" , "50.64" , "0.676 " , 18.4 , "QSO RLoud flat radio sp." , 46 , 0 , 0.19 , ". " , ". " , ". " , 0 , 0 , 0.515 , "1RXS J105342.5-0"
1341 , "BZQJ1054+3855 " , 163.63292 , 38.92269 , "179.63" , "62.96" , "1.363 " , 17 , "QSO RLoud flat radio sp." , 61 , 0 , 0.63 , ". " , ". " , ". " , 0 , 0 , 0.424 , "1RXS J105432.8+3"
1342 , "BZBJ1054+2210 " , 163.62758 , 22.18192 , "217.04" , "63.04" , "0 " , 17.1 , "BL Lac" , 65 , 0 , 0 , ". " , ". " , ". " , 1.16e-9 , 2.15 , 0.399 , "1RXS J105429.6+2"
1343 , "BZQJ1054-0713 " , 163.67087 , -7.22394 , "259.26" , "45.51" , "1.618 " , 19.8 , "QSO RLoud flat radio sp." , 113 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , -9.9 , "CGRaBSJ1054-0713"
1344 , "BZBJ1055-0126 " , 163.89317 , -1.43814 , "253.95" , "50.08" , "0 " , 18.8 , "BL Lac Candidate" , 12 , 0 , 0.7 , ". " , ". " , ". " , 0 , 0 , 0.37 , "1RXS J105534.3-0"
1345 , "BZQJ1056+7011 " , 164.22342 , 70.19608 , "135.95" , "43.92" , "2.492 " , 19.1 , "QSO RLoud flat radio sp." , 310 , 902.2 , 0 , ". " , ". " , ". " , 5.92e-10 , 2.64 , 0.732 , "S5 1053+70 "
1346 , "BZBJ1056+0252 " , 164.02754 , 2.87042 , "249.27" , "53.27" , "0.236 " , 17.8 , "BL Lac" , 4 , 0 , 6.9 , ". " , ". " , ". " , 0 , 0 , 0.298 , "1RXS J105607.0+0"
1347 , "BZQJ1058+8114 " , 164.54808 , 81.24242 , "127.97" , "34.74" , "0.706 " , 18.7 , "QSO RLoud flat radio sp." , 240 , 555.7 , 0.26 , ". " , ". " , ". " , 5.36e-10 , 2.58 , 0.735 , "S5 1053+81 "
1348 , "BZBJ1057+2303 " , 164.34625 , 23.05525 , "215.56" , "63.91" , "0.379 " , 18.6 , "BL Lac Candidate" , 8 , 0 , 3.64 , ". " , ". " , ". " , 0 , 0 , 0.315 , "1RXS J105723.5+2"
1349 , "BZQJ1057-2342 " , 164.35175 , -23.70047 , "271.83" , "32.19" , "1.125 " , 19.3 , "QSO RLoud flat radio sp." , 141 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.72 , "BZQJ1057-2342 "
1350 , "BZBJ1058+4304 " , 164.51217 , 43.07819 , "170.71" , "62.07" , "0 " , 19.2 , "BL Lac" , 308 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.75 , "S4 1055+43 "
1351 , "BZBJ1057-0059 " , 164.47 , -0.98569 , "254.14" , "50.8" , "0 " , 18.6 , "BL Lac" , 3 , 0 , 1.17 , ". " , "p " , ". " , 0 , 0 , 0.263 , "1RXS J105752.5-0"
1352 , "BZBJ1057-2754 " , 164.46158 , -27.903 , "274.33" , "28.58" , "0.092 " , 14.7 , "BL Lac" , 64 , 0 , 1.89 , ". " , "g " , ". " , 0 , 0 , 0.215 , "RXJ10578-2753 "
1353 , "BZQJ1057-2509 " , 164.47554 , -25.15808 , "272.8" , "30.98" , "0.593 " , 19 , "QSO RLoud flat radio sp." , 332 , 0 , 0.51 , ". " , ". " , ". " , 0 , 0 , 0.737 , "PKS 1055-249 "
1354 , "BZQJ1057-2433 " , 164.48087 , -24.56358 , "272.46" , "31.5" , "1.086 " , 18.7 , "QSO RLoud flat radio sp." , 1106 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.778 , "PKS 1055-242 "
1355 , "BZBJ1058+5628 " , 164.65721 , 56.46978 , "149.59" , "54.42" , "0.143 " , 14 , "BL Lac" , 228 , 0 , 3.13 , ". " , "g " , ". " , 3.14e-9 , 1.93 , 0.276 , "RXJ10586+5628 "
1356 , "BZQJ1058-3024 " , 164.50179 , -30.41528 , "275.72" , "26.39" , "2.523 " , 18.7 , "QSO RLoud flat radio sp." , 261 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.671 , "PKS1055-301 "
1357 , "BZQJ1058+1951 " , 164.57458 , 19.86414 , "222.51" , "63.12" , "1.11 " , 17.4 , "QSO RLoud flat radio sp." , 2143 , 0 , 1.21 , ". " , ". " , ". " , 0 , 0 , 0.763 , "PKS 1055+20 "
1358 , "BZBJ1058+2817 " , 164.62458 , 28.29622 , "203.64" , "65.03" , "0 " , 17.6 , "BL Lac Candidate" , 88 , 0 , 0.25 , ". " , ". " , ". " , 0 , 0 , 0.531 , "1RXS J105830.5+2"
1359 , "BZUJ1058+0133 " , 164.62338 , 1.56633 , "251.51" , "52.77" , "0.89 " , 17.6 , "Blazar Uncertain type" , 3220 , 2922.1 , 1.08 , ". " , ". " , ". " , 4.05e-9 , 2.22 , 0.746 , "4C01.28 "
1360 , "BZBJ1059-1134 " , 164.80175 , -11.573 , "264.11" , "42.68" , "0 " , 16.2 , "BL Lac" , 261 , 357.2 , 0 , ". " , ". " , ". " , 1.59e-9 , 2.17 , -9.9 , "2FGLJ1059.3-1132"
1361 , "BZQJ1059+2057 " , 164.91267 , 20.95611 , "220.46" , "63.8" , "0.392 " , 19.1 , "QSO RLoud flat radio sp." , 120 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.699 , "GB6J1059+2057 "
1362 , "BZBJ1059+4343 " , 164.96187 , 43.72092 , "169.17" , "62.08" , "0.459 " , 19.7 , "BL Lac" , 40 , 0 , 0.2 , ". " , ". " , ". " , 0 , 0 , 0.634 , "1RXS J105951.4+4"
1363 , "BZUJ1059+4051 " , 164.96396 , 40.85608 , "174.84" , "63.28" , "1.75 " , 17.9 , "Blazar Uncertain type" , 266 , 0 , 0.24 , ". " , ". " , ". " , 0 , 0 , 0.526 , "1RXS J105949.4+4"
1364 , "BZBJ1100+4210 " , 165.08754 , 42.18142 , "172.07" , "62.83" , "0.323 " , 17.7 , "BL Lac Candidate" , 15 , 0 , 0.27 , ". " , ". " , ". " , 0 , 0 , 0.299 , "1RXS J110021.9+4"
1365 , "BZBJ1100+4019 " , 165.08788 , 40.32436 , "175.86" , "63.56" , "0.225? " , 17.8 , "BL Lac" , 18 , 0 , 5.45 , "? " , ". " , ". " , 3.41e-10 , 1.6 , 0.446 , "1RXS J110021.3+4"
1366 , "BZBJ1058-8003 " , 164.68046 , -80.06506 , "298" , "-18.29" , "0.581 " , 17.3 , "BL Lac" , 534 , 1685 , 0.43 , ". " , ". " , "s " , 2.15e-9 , 2.05 , 0.644 , "PKS1057-79 "
1367 , "BZQJ1101+7225 " , 165.45338 , 72.42697 , "133.76" , "42.32" , "1.462 " , 17.1 , "QSO RLoud flat radio sp." , 1245 , 416.7 , 0.6 , ". " , ". " , ". " , 0 , 0 , 0.683 , "S51058+726 "
1368 , "BZQJ1100-4249 " , 165.21008 , -42.82033 , "282.24" , "15.56" , "3.56 " , 18.9 , "QSO RLoud flat radio sp." , 157 , 0 , 0 , ". " , ". " , "s " , 0 , 0 , 0.615 , "CGRaBSJ1100-4249"
1369 , "BZBJ1101+4108 " , 165.35304 , 41.1465 , "173.99" , "63.44" , "0 " , 18.8 , "BL Lac" , 21 , 0 , 0.48 , ". " , ". " , ". " , 0 , 0 , 0.461 , "1RXS J110124.4+4"
1370 , "BZQJ1101+6241 " , 165.47271 , 62.69739 , "142.15" , "50.14" , "0.663 " , 17.9 , "QSO RLoud flat radio sp." , 727 , 0 , 0.56 , ". " , ". " , ". " , 0 , 0 , 0.709 , "1RXS J110153.9+6"
1371 , "BZQJ1102+2757 " , 165.55954 , 27.95242 , "204.61" , "65.82" , "1.861 " , 19.4 , "QSO RLoud flat radio sp." , 236 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.743 , "S3 1059+282 "
1372 , "BZBJ1102+3801 " , 165.59558 , 38.02292 , "180.54" , "64.7" , "0.392 " , 19.4 , "BL Lac" , 30 , 0 , 0.11 , ". " , ". " , ". " , 0 , 0 , 0.607 , "BZBJ1102+3801 "
1373 , "BZQJ1102+5941 " , 165.67817 , 59.68878 , "145.18" , "52.48" , "1.83 " , 16.9 , "QSO RLoud flat radio sp." , 352 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.568 , "GB6B1059+5957 "
1374 , "BZQJ1102-4404 " , 165.51975 , -44.07275 , "283" , "14.52" , "0.763 " , 18.9 , "QSO RLoud flat radio sp." , 108 , 517.7 , 0 , ". " , ". " , "s " , 0 , 0 , 0.683 , "PKS1059-438 "
1375 , "BZQJ1103+3014 " , 165.80542 , 30.24519 , "199" , "66.12" , "0.384 " , 17.4 , "QSO RLoud flat radio sp." , 165 , 0 , 0.56 , ". " , "p " , ". " , 0 , 0 , 0.554 , "CSO 66 "
1376 , "BZQJ1103-3251 " , 165.88138 , -32.85464 , "278.11" , "24.76" , "0.355 " , 16.4 , "QSO RLoud flat radio sp." , 898 , 0 , 2 , ". " , ". " , ". " , 0 , 0 , -9.9 , "PKS 1101-325 "
