_id , 1whsp_name , other_name , BZcat_name , RA , Dec , WISE magnitudes , WISE mag2 , WISE mag3 , NVSS/FIRSTflux density , Redshift , Log(νpeak) , Log(peak flux) , γ-ray counterpart , Blazar type , Fermi γ-ray slope , TEV FOM, LII, BII
546 , "1WHSP J125359.34+624257" , "1RXSJ125400.1+62430 " , "5BZBJ1253+6242 " , 193.49725 , 62.716 , 0 , 13 , 0 , 12.1 , 0 , 17 , -12.4 , "3FGL J1254.1+6240 " , "Known blazar " , "1.9+/-0.15" , 0.08 , "122.42" , "54.41"
547 , "1WHSP J125408.14-280931" , " - " , " -- " , 193.53392 , -28.15883 , 0 , 13.2 , 0 , 32.6 , 0 , 15.4 , -12.2 , " -- " , "Candidate blazar" , " -- " , 0.13 , "303.65" , "34.7"
548 , "1WHSP J125445.47+470132" , " - " , " -- " , 193.68946 , 47.02569 , 0 , 14.4 , 0 , 13.5 , 0 , ">15" , ">-12.7" , " -- " , "Candidate blazar" , " -- " , 0.04 , "121.27" , "70.09"
549 , "1WHSP J125447.04+175623" , "1RXSJ125447.5+17561 " , " -- " , 193.69604 , 17.93992 , 0 , 14.8 , 0 , 2 , 0 , 15.4 , -12.7 , " -- " , "Candidate blazar" , " -- " , 0.04 , "307.9" , "80.77"
550 , "1WHSP J125449.29+570452" , "1WGAJ1254.8+5704 " , " -- " , 193.70538 , 57.08131 , 0 , 15 , 0 , 17.5 , "0.84?" , 15.3 , -12.8 , " -- " , "New blazar" , " -- " , 0.03 , "122.01" , "60.04"
551 , "1WHSP J125532.7+352132" , " - " , " -- " , 193.88629 , 35.35889 , 0 , 14 , 0 , 25 , 0 , 17.1 , -12.4 , " -- " , "Candidate blazar" , " -- " , 0.08 , "117.1" , "81.72"
552 , "1WHSP J125639.35+060907" , "1RXSJ125639.3+060916" , "5BZBJ1256+0609 " , 194.16396 , 6.15217 , 0 , 13.5 , 0 , 64.9 , 0.42 , 15.9 , -12.5 , " -- " , "WISE extended" , " -- " , 0.06 , "306.55" , "68.98"
553 , "1WHSP J125731.92+241240" , "SHBLJ125731.7+24124 " , "5BZBJ1257+2412 " , 194.38304 , 24.21119 , 0 , 13.3 , 0 , 14.9 , 0.14 , 16.9 , -11.5 , " -- " , "Known blazar " , " -- " , 0.63 , "328.46" , "86.77"
554 , "1WHSP J125800.12-283524" , "1WGAJ1258.0-2835 " , " -- " , 194.50054 , -28.59017 , 0 , 14.4 , 0 , 34.2 , 0 , 15 , -12.6 , " -- " , "Candidate blazar" , " -- " , 0.05 , "304.67" , "34.25"
555 , "1WHSP J125908.64+412937" , "1RXSJ125908.1+412946" , " -- " , 194.78604 , 41.49386 , 0 , 13.7 , 0 , 45.9 , 0.27 , 16.4 , -12.3 , " -- " , "New blazar" , " -- " , 0.1 , "117.14" , "75.54"
556 , "1WHSP J130145.65+405624" , "1RXSJ130145.3+405628" , "5BZBJ1301+4056 " , 195.44021 , 40.94017 , 0 , 13.4 , 0 , 29.1 , 0 , 15.9 , -12 , " -- " , "Known blazar " , " -- " , 0.2 , "114.83" , "76.02"
557 , "1WHSP J130215.18+584939" , " - " , " -- " , 195.56325 , 58.82758 , 0 , 15.1 , 0 , 5.9 , "0.77?" , ">18" , ">-12" , " -- " , "New blazar" , " -- " , 0.2 , "120.27" , "58.24"
558 , "1WHSP J130531.26+385522" , "1RXSJ130531.7+385523" , "5BZBJ1305+3855 " , 196.38029 , 38.92281 , 0 , 14.1 , 0 , 43.5 , 0.376 , 16.1 , -12.4 , " -- " , "Known blazar " , " -- " , 0.08 , "109.81" , "77.84"
559 , "1WHSP J130713.37-034430" , "1RXSJ130713.6-03442 " , " -- " , 196.80575 , -3.74194 , 0 , 13.3 , 0 , 33.1 , 0 , 15.3 , -12 , " -- " , "Candidate blazar" , " -- " , 0.2 , "310.57" , "58.89"
560 , "1WHSP J130750.68+124828" , "1RXSJ130750.7+12482 " , " -- " , 196.96117 , 12.80792 , 0 , 14.8 , 0 , 8.1 , 0 , 15.6 , -12.4 , " -- " , "Candidate blazar" , " -- " , 0.08 , "318.74" , "75.17"
561 , "1WHSP J130903.96-040611" , "1RXSJ130904.2-040609" , " -- " , 197.26654 , -4.10331 , 0 , 12.3 , 0 , 5.6 , 0.39 , 15.3 , -11.6 , " -- " , "New blazar" , " -- " , 0.5 , "311.36" , "58.47"
562 , "1WHSP J130931.48-224425" , " - " , " -- " , 197.38117 , -22.74042 , 0 , 14.1 , 0 , 40.6 , 0 , 16.1 , -12.4 , " -- " , "Candidate blazar" , " -- " , 0.08 , "308.37" , "39.93"
563 , "1WHSP J131012.17-115749" , "RXSJ13102-1157 " , "5BZBJ1310-1157 " , 197.55075 , -11.96372 , 0 , 12.6 , 0 , 83.4 , 0.14 , 17.2 , -11.7 , "3FGL J1310.2-1159 " , "WISE extended" , "1.8+/-0.19" , 0.4 , "310.18" , "50.64"
564 , "1WHSP J131051.47+351031" , " - " , " -- " , 197.71446 , 35.17542 , 0 , 14.7 , 0 , 11.2 , 0 , ">15" , ">-13" , " -- " , "Candidate blazar" , " -- " , 0.02 , "96.84" , "80.94"
565 , "1WHSP J131056.52+215801" , "1RXSJ131056.8+21575 " , " -- " , 197.7355 , 21.96719 , 0 , 14.8 , 0 , 3.3 , 0.28 , 17.2 , -12.2 , " -- " , "New blazar" , " -- " , 0.13 , "344.63" , "83.19"
