_id , bat60_name , RA , Dec , LII , BII , Flux_15-55keV , Type , Redshift , other_name
239 , "J1203.0+4431 " , 180.77 , 44.531 , "148.92" , "70.07" , "(25.3+/-1.2)x10-12" , "Sy1.5 " , 0.002 , " -- "
240 , "J1204.4+2018 " , 181.11583 , 20.312 , "242.83" , "77.28" , "(12.8+/-1.4)x10-12" , "Sy2 " , 0.023 , " -- "
241 , "J1206.3+5242 " , 181.595 , 52.703 , "138.08" , "63.08" , "(11.6+/-1.1)x10-12" , "LINER " , 0.003 , " -- "
242 , "J1209.1+4703 " , 182.27583 , 47.055 , "142.81" , "68.4" , "(9+/-1.2)x10-12" , "Sy2 " , 0.025 , " -- "
243 , "J1209.4+4341 " , 182.35375 , 43.688 , "147.34" , "71.39" , "(11.7+/-1.2)x10-12" , "Sy1.9 " , 0.003 , " -- "
244 , "J1210.5+3924 " , 182.63375 , 39.406 , "155.08" , "75.06" , "(257.5+/-1.2)x10-12" , "Sy1.5 " , 0.003 , "BZB (BL Lac)"
245 , "J1210.8+3820 " , 182.71667 , 38.338 , "157.56" , "75.93" , "(8.3+/-1.2)x10-12" , "Sy1 " , 0.023 , " -- "
246 , "J1213.0+3239 " , 183.26583 , 32.667 , "176.95" , "80.01" , "(6.5+/-1.3)x10-12" , "BLAZAR" , 2.5 , " -- "
247 , "J1214.0+2932 " , 183.5 , 29.549 , "194.37" , "81.41" , "(6.7+/-1.3)x10-12" , "Sy1 " , 0.064 , " -- "
248 , "J1217.2+0710 " , 184.30375 , 7.172 , "279.23" , "68.45" , "(14.1+/-1.6)x10-12" , "Sy1 " , 0.008 , " -- "
249 , "J1218.3+2950 " , 184.59792 , 29.848 , "190.47" , "82.24" , "(15.8+/-1.3)x10-12" , "Sy1.5 " , 0.013 , " -- "
250 , "J1218.9+4717 " , 184.75 , 47.296 , "138.31" , "68.85" , "(11.4+/-1.2)x10-12" , "LINER " , 0.002 , " -- "
251 , "J1222.2+0409 " , 185.55292 , 4.154 , "284.76" , "65.98" , "(10.9+/-1.6)x10-12" , "BLAZAR" , 0.965 , "BZQ (FSRQ)"
252 , "J1222.1+7518 " , 185.53292 , 75.304 , "125.41" , "41.68" , "(11.2+/-1.3)x10-12" , "Sy1 " , 0.07 , " -- "
253 , "J1223.4+0239 " , 185.85083 , 2.652 , "286.41" , "64.61" , "(10.4+/-1.6)x10-12" , "Sy1 " , 0.023 , " -- "
254 , "J1224.8+2119 " , 186.205 , 21.332 , "255.21" , "81.61" , "(10.5+/-1.4)x10-12" , "BLAZAR" , 0.435 , "BZQ (FSRQ)"
255 , "J1225.7+1239 " , 186.44667 , 12.661 , "279.13" , "74.33" , "(119.4+/-1.5)x10-12" , "Sy2 " , 0.008 , " -- "
256 , "J1225.7+3331 " , 186.44875 , 33.52 , "162.24" , "81.55" , "(11.9+/-1.2)x10-12" , "Sy1 " , 0.001 , " -- "
257 , "J1229.1+0202 " , 187.28292 , 2.046 , "289.96" , "64.35" , "(185.7+/-1.6)x10-12" , "BLAZAR" , 0.158 , "BZQ (FSRQ)"
258 , "J1235.5-3954 " , 188.9 , -39.913 , "299.63" , "22.85" , "(102.6+/-2)x10-12" , "Sy2 " , 0.012 , " -- "
259 , "J1238.9-2718 " , 189.72583 , -27.305 , "299.51" , "35.48" , "(42.7+/-2.2)x10-12" , "Sy2 " , 0.024 , " -- "
260 , "J1239.0-1609 " , 189.75083 , -16.154 , "298.58" , "46.61" , "(15.2+/-2.1)x10-12" , "Sy2 " , 0.036 , " -- "
261 , "J1239.6-0521 " , 189.90292 , -5.35 , "297.46" , "57.39" , "(43.2+/-1.8)x10-12" , "Sy1 " , 0.009 , " -- "
262 , "J1241.4-5750 " , 190.37167 , -57.837 , "301.6" , "5" , "(20.2+/-1.7)x10-12" , "Sy2 " , 0.024 , " -- "
263 , "J1246.8+5432 " , 191.70375 , 54.541 , "124.38" , "62.57" , "(10.6+/-1.1)x10-12" , "AGN " , 0.017 , " -- "
264 , "J1256.1-0547 " , 194.025 , -5.8 , "305.06" , "57.05" , "(12.3+/-1.8)x10-12" , "BLAZAR" , 0.536 , "BZQ (FSRQ)"
265 , "J1302.8+1624 " , 195.7 , 16.4 , "317.29" , "78.95" , "(7.8+/-1.4)x10-12" , "Sy1.2 " , 0.067 , " -- "
266 , "J1304.4-1017 " , 196.1 , -10.3 , "308.16" , "52.43" , "(11.2+/-2)x10-12" , "Sy1 " , 0.01 , " -- "
267 , "J1304.4-0532 " , 196.1 , -5.549 , "308.88" , "57.17" , "(10.4+/-1.8)x10-12" , "Sy2 " , 0.004 , " -- "
268 , "J1303.9+5346 " , 195.99583 , 53.778 , "118.81" , "63.25" , "(17.2+/-1.1)x10-12" , "Sy1 " , 0.03 , " -- "
269 , "J1305.4-4928 " , 196.37292 , -49.474 , "305.27" , "13.33" , "(105.3+/-1.9)x10-12" , "Sy2 " , 0.002 , " -- "
270 , "J1306.7-4025 " , 196.69667 , -40.42 , "306.08" , "22.35" , "(27.7+/-2.1)x10-12" , "Sy1.2 " , 0.015 , " -- "
271 , "J1309.1+1138 " , 197.285 , 11.642 , "318.8" , "73.96" , "(21.3+/-1.4)x10-12" , "AGN " , 0.025 , " -- "
272 , "J1310.6-5552 " , 197.66792 , -55.877 , "305.64" , "6.89" , "(12.2+/-1.8)x10-12" , "Sy1 " , 0.104 , " -- "
273 , "J1316.8-7200 " , 199.2 , -72 , "304.91" , "-9.23" , "(9.5+/-1.8)x10-12" , "Sy1.5 " , 0.07 , " -- "
274 , "J1315.3+4424 " , 198.84792 , 44.401 , "108.91" , "72.07" , "(11.9+/-1.2)x10-12" , "AGN " , 0.037 , " -- "
275 , "J1322.4-1642 " , 200.60167 , -16.707 , "313.54" , "45.52" , "(22.1+/-2.1)x10-12" , "Sy1.8 " , 0.016 , " -- "
276 , "J1325.4-4301 " , 201.36583 , -43.018 , "309.51" , "19.41" , "(568.7+/-2)x10-12" , "Sy2 " , 0.002 , "BZU (uncertain type)"
277 , "J1333.4-3400 " , 203.35083 , -34 , "312.78" , "28.06" , "(11.8+/-2.3)x10-12" , "Sy2 " , 0.013 , " -- "
278 , "J1334.8-2326 " , 203.7 , -23.449 , "315.64" , "38.34" , "(12.9+/-2.3)x10-12" , "Sy2 " , 0.026 , " -- "
279 , "J1335.8-3417 " , 203.95583 , -34.293 , "313.27" , "27.68" , "(47.4+/-2.3)x10-12" , "Sy1.2 " , 0.008 , " -- "
280 , "J1338.2+0432 " , 204.56583 , 4.544 , "331.29" , "64.8" , "(52.1+/-1.6)x10-12" , "Sy2 " , 0.023 , " -- "
281 , "J1339.8+5548 " , 204.95292 , 55.8 , "109.29" , "60.03" , "(6.8+/-1.2)x10-12" , "BLAZAR" , 1.426 , " -- "
282 , "J1341.0-1439 " , 205.27083 , -14.664 , "320.51" , "46.5" , "(13+/-2.1)x10-12" , "Sy1 " , 0.042 , " -- "
283 , "J1341.3+3021 " , 205.34167 , 30.364 , "52.34" , "78.59" , "(11.4+/-1.2)x10-12" , "Sy2 " , 0.04 , " -- "
284 , "J1345.6+4142 " , 206.4 , 41.7 , "89.12" , "71.69" , "(6.4+/-1.2)x10-12" , "AGN " , 0.009 , " -- "
285 , "J1347.8-6035 " , 206.955 , -60.584 , "309.8" , "1.53" , "(54+/-1.8)x10-12" , "Sy1 " , 0.013 , " -- "
286 , "J1349.6-3018 " , 207.41292 , -30.306 , "317.57" , "30.9" , "(181.9+/-2.3)x10-12" , "Sy1 " , 0.016 , " -- "
287 , "J1352.0-1817 " , 208.00083 , -18.3 , "322.5" , "42.25" , "(14.5+/-2.2)x10-12" , "Sy1 " , 0.012 , " -- "
288 , "J1354.4-3746 " , 208.605 , -37.778 , "316.45" , "23.43" , "(14.9+/-2.2)x10-12" , "Sy2 " , 0.052 , " -- "
289 , "J1353.3+6918 " , 208.34375 , 69.305 , "115" , "46.85" , "(20.9+/-1.3)x10-12" , "Sy1.5 " , 0.031 , " -- "
290 , "J1356.1+3833 " , 209.04667 , 38.563 , "77.18" , "72.28" , "(10.7+/-1.2)x10-12" , "Sy1 " , 0.051 , " -- "
291 , "J1408.5-3023 " , 212.14583 , -30.4 , "322.05" , "29.58" , "(14.7+/-2.4)x10-12" , "Sy1 " , 0.023 , " -- "
292 , "J1413.5-6520 " , 213.38292 , -65.339 , "311.36" , "-3.83" , "(154.6+/-1.8)x10-12" , "Sy2 " , 0.001 , " -- "
293 , "J1413.5-0312 " , 213.39792 , -3.206 , "339.27" , "53.76" , "(149.9+/-1.9)x10-12" , "Sy1.9 " , 0.006 , " -- "
294 , "J1418.3+2508 " , 214.58167 , 25.14 , "32" , "70.42" , "(36.9+/-1.4)x10-12" , "Sy1.5 " , 0.017 , " -- "
295 , "J1419.7-2639 " , 214.94083 , -26.655 , "326.31" , "32.17" , "(27.3+/-2.5)x10-12" , "Sy1 " , 0.022 , " -- "
296 , "J1421.7+4748 " , 215.44583 , 47.801 , "88.51" , "62.84" , "(10.9+/-1.2)x10-12" , "Sy1 " , 0.072 , " -- "
297 , "J1424.6+2435 " , 216.15083 , 24.599 , "31.27" , "68.92" , "(10.5+/-1.4)x10-12" , "AGN " , 0.017 , " -- "
298 , "J1427.6+1951 " , 216.9 , 19.852 , "19.78" , "66.82" , "(8.4+/-1.4)x10-12" , "Sy1 " , 0.131 , " -- "
299 , "J1428.8+4239 " , 217.20875 , 42.652 , "77.37" , "64.86" , "(14.1+/-1.2)x10-12" , "BLAZAR" , 0.129 , "BZB (BL Lac)"
300 , "J1429.4+0119 " , 217.36792 , 1.329 , "349.38" , "55.09" , "(12.8+/-1.9)x10-12" , "Sy1 " , 0.086 , " -- "
301 , "J1436.6+5846 " , 219.16583 , 58.773 , "100.22" , "53.47" , "(15.7+/-1.2)x10-12" , "Sy1 " , 0.031 , " -- "
302 , "J1441.0+5327 " , 220.25792 , 53.466 , "92.91" , "56.8" , "(9+/-1.3)x10-12" , "Sy2 " , 0.038 , " -- "
303 , "J1442.7-1713 " , 220.69167 , -17.233 , "337.43" , "38.06" , "(45.6+/-2.5)x10-12" , "Sy2 " , 0.009 , " -- "
304 , "J1451.9-5534 " , 222.99167 , -55.583 , "319.44" , "3.37" , "(19.2+/-1.9)x10-12" , "Sy2 " , 0.018 , " -- "
305 , "J1453.2+2555 " , 223.32083 , 25.919 , "37.38" , "62.78" , "(11.9+/-1.5)x10-12" , "Sy1 " , 0.047 , " -- "
306 , "J1455.4-5131 " , 223.86583 , -51.533 , "321.75" , "6.74" , "(10.6+/-2)x10-12" , "Sy1 " , 0.016 , " -- "
307 , "J1458.2-4308 " , 224.55292 , -43.139 , "326.19" , "13.93" , "(20+/-2.2)x10-12" , "Sy2 " , 0.016 , " -- "
308 , "J1504.4+1026 " , 226.11083 , 10.437 , "11.3" , "54.54" , "(19.3+/-1.8)x10-12" , "Sy1 " , 0.036 , "BZQ (FSRQ)"
309 , "J1509.0-0013 " , 227.26792 , -0.23 , "359.02" , "47.08" , "(15.3+/-2.3)x10-12" , "Sy1 " , 0.054 , " -- "
310 , "J1514.5-8123 " , 228.64292 , -81.397 , "308.27" , "-20.06" , "(17.6+/-1.9)x10-12" , "Sy1 " , 0.068 , " -- "
311 , "J1512.3-2119 " , 228.1 , -21.325 , "341.64" , "30.74" , "(16.2+/-2.7)x10-12" , "Sy1 " , 0.044 , " -- "
312 , "J1513.2-0905 " , 228.31375 , -9.085 , "351.39" , "40.07" , "(26.6+/-2.6)x10-12" , "BLAZAR" , 0.36 , " -- "
313 , "J1515.4+4202 " , 228.85 , 42.049 , "69.36" , "57.15" , "(8.5+/-1.3)x10-12" , "Sy2 " , 0.009 , " -- "
314 , "J1533.7-0843 " , 233.43292 , -8.73 , "356.33" , "36.79" , "(17.2+/-2.7)x10-12" , "Sy2 " , 0.023 , " -- "
315 , "J1536.2+5753 " , 234.05167 , 57.885 , "91.43" , "47.92" , "(13.7+/-1.3)x10-12" , "Sy1 " , 0.03 , " -- "
316 , "J1548.7-1344 " , 237.19083 , -13.736 , "355.04" , "30.67" , "(24.9+/-2.8)x10-12" , "Sy2 " , 0.025 , " -- "
317 , "J1546.5+6930 " , 236.64875 , 69.5 , "104.28" , "40.7" , "(7.1+/-1.4)x10-12" , "AGN " , 0 , " -- "
318 , "J1558.9-7912 " , 239.74667 , -79.215 , "311.26" , "-19.53" , "(11.7+/-2)x10-12" , "BLAZAR" , 0.149 , " -- "
319 , "J1613.0-6043 " , 243.26792 , -60.721 , "325.24" , "-6.92" , "(16.8+/-1.8)x10-12" , "Sy1 " , 0.016 , " -- "
