_id , bat60_name , RA , Dec , LII , BII , Flux_15-55keV , Type , Redshift , other_name
408 , "J2240.4+0802 " , 340.1 , 8.049 , "76.19" , "-42.63" , "(9.4+/-1.7)x10-12" , "Sy1 " , 0.025 , " -- "
409 , "J2246.6-5206 " , 341.65292 , -52.1 , "337.45" , "-55.84" , "(8.9+/-1.5)x10-12" , "BLAZAR" , 0.194 , " -- "
410 , "J2245.8+3941 " , 341.465 , 39.697 , "98.14" , "-17.06" , "(18.1+/-1.5)x10-12" , "Sy2 " , 0.081 , " -- "
411 , "J2254.0-1734 " , 343.52375 , -17.583 , "46.19" , "-61.33" , "(59.5+/-1.9)x10-12" , "Sy1 " , 0.064 , " -- "
412 , "J2253.9+1608 " , 343.49792 , 16.137 , "86.11" , "-38.2" , "(50+/-1.6)x10-12" , "BLAZAR" , 0.859 , "BZQ (FSRQ)"
413 , "J2254.4+1145 " , 343.6 , 11.751 , "82.95" , "-41.86" , "(9+/-1.7)x10-12" , "Sy2 " , 0.029 , " -- "
414 , "J2258.8+4054 " , 344.70167 , 40.9 , "101.01" , "-17.13" , "(9.4+/-1.5)x10-12" , "Sy1 " , 0.017 , " -- "
415 , "J2259.6+2454 " , 344.90875 , 24.914 , "93.06" , "-31.4" , "(13.9+/-1.6)x10-12" , "Sy1 " , 0.034 , " -- "
416 , "J2303.3+0852 " , 345.82792 , 8.883 , "83.12" , "-45.47" , "(35.8+/-1.7)x10-12" , "Sy1.2 " , 0.016 , " -- "
417 , "J2304.8-0841 " , 346.20083 , -8.687 , "64.11" , "-58.78" , "(65.5+/-1.9)x10-12" , "Sy1.5 " , 0.047 , " -- "
418 , "J2304.9+1219 " , 346.23 , 12.333 , "86.27" , "-42.83" , "(10.1+/-1.7)x10-12" , "Sy2 " , 0.008 , " -- "
419 , "J2308.0+4012 " , 347 , 40.2 , "102.36" , "-18.51" , "(7.9+/-1.5)x10-12" , "AGN " , 0 , " -- "
420 , "J2318.4-4221 " , 349.61083 , -42.351 , "348.1" , "-65.72" , "(40.5+/-1.6)x10-12" , "Sy2 " , 0.005 , " -- "
421 , "J2319.0+0014 " , 349.75667 , 0.249 , "80.1" , "-54.75" , "(28.6+/-1.8)x10-12" , "Sy1 " , 0.029 , " -- "
422 , "J2320.8+6433 " , 350.225 , 64.557 , "113.39" , "3.37" , "(8.6+/-1.4)x10-12" , "Sy1 " , 0.072 , " -- "
423 , "J2325.6-3830 " , 351.4 , -38.5 , "355.15" , "-68.77" , "(8.2+/-1.6)x10-12" , "Sy1 " , 0.036 , " -- "
424 , "J2326.1+2154 " , 351.54792 , 21.9 , "98.02" , "-36.82" , "(8.8+/-1.6)x10-12" , "Sy1 " , 0.12 , " -- "
425 , "J2327.6+0937 " , 351.9 , 9.63 , "91.12" , "-48" , "(11.5+/-1.7)x10-12" , "BLAZAR" , 1.843 , "BZQ (FSRQ)"
426 , "J2329.2+0330 " , 352.3 , 3.5 , "86.82" , "-53.51" , "(9.4+/-1.7)x10-12" , "Sy2 " , 0.017 , " -- "
427 , "J2341.8+3034 " , 355.46875 , 30.568 , "105.65" , "-29.96" , "(9.8+/-1.5)x10-12" , "AGN " , 0.017 , " -- "
428 , "J2358.5-6052 " , 359.62667 , -60.878 , "314.15" , "-55.09" , "(9.5+/-1.4)x10-12" , "RG " , 0.096 , " -- "
