_id ,egcat3_name , RA, Dec, Sp.index , Err.Sp.index , other_name , other_name1 , other_name2, LII, BII
141 , "3EG J1447-3936 " , 221.95 , -39.61 , 2.45 , 0.34 , " -------- " , " -------- " , " -------- " , "326.12" , "17.96"
142 , "3EG J1457-1903 " , 224.42 , -19.06 , 2.67 , 0.43 , "2EG J1457-1916" , " -------- " , " -------- " , "339.87" , "34.6"
143 , "3EG J1500-3509 " , 225.43 , -35.25 , 2.99 , 0.37 , " -------- " , " -------- " , " -------- " , "330.91" , "20.44"
144 , "3EG J1504-1537 " , 226.2 , -15.63 , 0 , 0 , "2EGS J1504-153" , "1504-166? " , " -------- " , "344.03" , "36.38"
145 , "3EG J1512-0849 " , 228.17 , -8.83 , 2.47 , 0.21 , "2EG J1513-0857" , "1510-089 " , " -------- " , "351.48" , "40.36"
146 , "3EG J1517-2538 " , 229.34 , -25.65 , 2.66 , 0.43 , "1514-241? " , " -------- " , " -------- " , "339.75" , "26.59"
147 , "3EG J1527-2358 " , 231.91 , -23.97 , 2.67 , 0.99 , "2EG J1528-2352" , " -------- " , " -------- " , "342.96" , "26.5"
148 , "3EG J1600-0351 " , 240.22 , -3.86 , 2.65 , 0.59 , " -------- " , " -------- " , " -------- " , "6.29" , "34.8"
149 , "3EG J1605+1553 " , 241.3 , 15.89 , 2.06 , 0.41 , "2EG J1605+1558" , "1604+159 " , "4C +15.54 " , "29.17" , "43.84"
150 , "3EG J1607-1101 " , 241.89 , -11.02 , 0 , 0 , " -------- " , " -------- " , " -------- " , "0.9" , "29.05"
151 , "3EG J1608+1055 " , 242.12 , 10.93 , 2.63 , 0.24 , "2EG J1608+1046" , "1606+106 " , "4C +10.45 " , "23.5" , "41.05"
152 , "3EG J1612-2618 " , 243.18 , -26.31 , 2.71 , 0.23 , " -------- " , " -------- " , " -------- " , "349.39" , "17.89"
153 , "3EG J1614+3424 " , 243.54 , 34.4 , 2.42 , 0.15 , "2EG J1614+3431" , "GEV J1613+3432" , "1611+343 " , "55.43" , "46.29"
154 , "3EG J1616-2221 " , 244.03 , -22.37 , 2.42 , 0.24 , " -------- " , " -------- " , " -------- " , "352.99" , "20.02"
155 , "3EG J1625-2955 " , 246.36 , -29.92 , 2.07 , 0.07 , "1622-297 " , "GEV J1626-2955" , " -------- " , "348.67" , "13.37"
156 , "3EG J1626-2519 " , 246.5 , -25.32 , 2.21 , 0.13 , "2EG J1626-2452" , "GEV J1626-2502" , "1622-253 " , "352.28" , "16.37"
157 , "3EG J1627-2419 " , 246.98 , -24.33 , 2.21 , 0.27 , "RHO OPH RESID " , " -------- " , " -------- " , "353.35" , "16.7"
158 , "3EG J1621+8203 " , 245.32 , 82.06 , 2.29 , 0.49 , " -------- " , " -------- " , " -------- " , "115.52" , "31.77"
159 , "3EG J1631-4033 " , 247.85 , -40.56 , 2.25 , 0.27 , " -------- " , " -------- " , " -------- " , "341.6" , "5.24"
160 , "3EG J1631-1018 " , 247.78 , -10.3 , 2.2 , 0.27 , " -------- " , " -------- " , " -------- " , "5.55" , "24.94"
161 , "3EG J1633-3216 " , 248.43 , -32.28 , 2.58 , 0.24 , " -------- " , " -------- " , " -------- " , "348.09" , "10.47"
162 , "3EG J1634-1434 " , 248.53 , -14.57 , 2.15 , 0.23 , "2EG J1635-1427" , " -------- " , " -------- " , "2.32" , "21.78"
163 , "3EG J1635-1751 " , 248.79 , -17.86 , 0 , 0 , " -------- " , " -------- " , " -------- " , "359.72" , "19.55"
164 , "3EG J1635+3813 " , 248.92 , 38.22 , 2.15 , 0.09 , "2EG J1635+3813" , "GEV J1636+3812" , "1633+382 " , "61.2" , "42.26"
165 , "3EG J1638-5155 " , 249.64 , -51.92 , 2.56 , 0.21 , "2EG J1648-5042" , " -------- " , " -------- " , "334.05" , "-3.34"
166 , "3EG J1639-4702 " , 249.78 , -47.04 , 2.5 , 0.18 , " -------- " , " -------- " , " -------- " , "337.75" , "-0.16"
167 , "3EG J1638-2749 " , 249.67 , -27.83 , 2.47 , 0.15 , "2EGS J1642-265" , " -------- " , " -------- " , "352.24" , "12.58"
168 , "3EG J1646-0704 " , 251.62 , -7.08 , 2.39 , 0.36 , " -------- " , " -------- " , " -------- " , "10.84" , "23.69"
169 , "3EG J1649-1611 " , 252.42 , -16.2 , 2.31 , 0.27 , " -------- " , " -------- " , " -------- " , "3.34" , "17.8"
170 , "3EG J1652-0223 " , 253.02 , -2.4 , 2.53 , 0.24 , " -------- " , " -------- " , " -------- " , "15.99" , "25.04"
171 , "3EG J1653-2133 " , 253.46 , -21.56 , 2.66 , 0.31 , " -------- " , " -------- " , " -------- " , "359.48" , "13.81"
172 , "3EG J1655-4554 " , 253.95 , -45.9 , 2.19 , 0.24 , "2EGS J1653-460" , " -------- " , " -------- " , "340.48" , "-1.61"
