other_name, _id , uhecr_name , Energy , Elevation , RA, Dec , Galactic_Longitude, Galactic_Latitude , MJD , DATE
---,826 , AUGER , 63.4 , 47.9 , 345.4 , -9 , 62.69 , -58.36 , 56516 , 2013-08-12
---,827 , HiRes , 18.8 , N/A , 345.50667 , 44.821 , 103.31 , -13.85 , 53648 , 2005-10-05
---,828 , HiRes , 10.1 , N/A , 345.73167 , 55.709 , 108 , -3.99 , 53557 , 2005-07-06
---,829 , AGASA , 104 , N/A , 345.75 , 33.9 , 98.51 , -23.78 , 0 , ----------
---,830 , HiRes , 11.9 , N/A , 347.375 , 13.376 , 88.31 , -42.54 , 52582 , 2002-11-04
---,831 , TA , 122.2 , 38 , 347.73 , 39.46 , 102.59 , -19.41 , 0 , ----------
---,832 , AGASA , 120 , N/A , 349 , 12.3 , 89.43 , -44.28 , 0 , ----------
---,833 , HiRes , 45.5 , N/A , 349.15167 , 85.49 , 120.96 , 22.98 , 53355 , 2004-12-16
---,834 , HiRes , 11.2 , N/A , 349.155 , 7.866 , 86.29 , -48.15 , 52531 , 2002-09-14
---,835 , HiRes , 11.2 , N/A , 349.50875 , 21.757 , 95.81 , -36.15 , 51843 , 2000-10-26
---,836 , AUGER , 89 , 58.8 , 349.9 , 9.3 , 88.34 , -47.31 , 53920 , 2006-07-04
---,837 , AUGER , 80 , 59 , 350.1 , 9.5 , 88.74 , -47.24 , 53920 , 2006-07-04
---,838 , Yakutsk , 49 , 26.2 , 351 , 72.9 , 116.52 , 11.12 , 0 , ----------
---,839 , HiRes , 28 , N/A , 351.76083 , 18.948 , 96.71 , -39.59 , 51872 , 2000-11-24
---,840 , AUGER , 111.8 , 50.2 , 352.6 , -20.8 , 47.45 , -70.47 , 54483 , 2008-01-18
---,841 , AUGER , 115 , 50.1 , 352.7 , -20.9 , 47.29 , -70.59 , 54483 , 2008-01-18
---,842 , HiRes , 26.6 , N/A , 353.16875 , 27.87 , 102.4 , -31.85 , 53677 , 2005-11-03
---,843 , HiRes , 18.2 , N/A , 353.62167 , -3.622 , 81.56 , -60.16 , 51513 , 1999-12-01
---,844 , HiRes , 28.9 , N/A , 355.20083 , 39.562 , 108.39 , -21.31 , 53262 , 2004-09-14
---,845 , HiRes , 10 , N/A , 355.31292 , 60.482 , 114.38 , -1.22 , 51868 , 2000-11-20
---,846 , HiRes , 12.3 , N/A , 355.51083 , -0.681 , 87.85 , -58.75 , 53291 , 2004-10-13
---,847 , HiRes , 14.2 , N/A , 355.78875 , -0.172 , 88.81 , -58.45 , 53257 , 2004-09-09
---,848 , TA , 59 , 28.6 , 355.95 , 64.19 , 115.65 , 2.28 , 0 , ----------
---,849 , HiRes , 17.1 , N/A , 356.08083 , -0.157 , 89.31 , -58.58 , 53230 , 2004-08-13
---,850 , Yakutsk , 58 , 42.6 , 356.3 , 23.9 , 104.01 , -36.53 , 0 , ----------
---,851 , AUGER , 57.3 , 59.3 , 357 , -81.1 , 305.91 , -35.66 , 56424 , 2013-05-12
---,852 , HiRes , 12.9 , N/A , 357.39375 , -12.912 , 74.37 , -69.72 , 51822 , 2000-10-05
---,853 , AUGER , 63.6 , 60.8 , 358.2 , -2.8 , 90.45 , -61.92 , 55033 , 2009-07-21
---,854 , AUGER , 56 , 53 , 358.9 , 15.5 , 103.64 , -45.27 , 54670 , 2008-07-23
---,855 , AUGER , 56.7 , 53.1 , 358.9 , 15.5 , 103.64 , -45.27 , 54670 , 2008-07-23
---,856 , HiRes , 14.9 , N/A , 359.36375 , 61.107 , 116.45 , -1.09 , 52644 , 2003-01-05
---,857 , TA , 67.4 , 8.9 , 359.91 , 31.47 , 110.16 , -30.12 , 0 , ----------
---,858 , HiRes , 10.9 , N/A , 359.96292 , 2.574 , 98.19 , -57.8 , 53669 , 2005-10-26
