_id , wfccat_name, other_name , RA , Dec , LII , BII , 2-10keV_flux , ObsCode , Distance_Ref , Mean_distance_Ref , Num_detections , Classification , Ra_ref , Dec_ref , Error_radius , 2-8keV_SNR , 8-19keV_SNR , 2-8keV_SNR-sigthres_ratio , Emptyimage_sigthres , Quality_flag , Source_Name , Notes
98   , "SAXWFC J1259.5+2756.6"   ,  "ComaCluster"   ,  194.88208   ,  27.94289   ,  "57.77"   ,  "88.03"   ,  9.77e-11   ,  "1118300200"   ,  3.99   ,  0   ,  1   ,  "Cluster of galaxies"   ,  "12 57 22.55"   ,  "+28 14 46.68"   ,  1.5   ,  8.45   ,  1.2   ,  4.77   ,  1.77027   ,  9   ,  "ComaCluster"   ,  "---"
99   , "SAXWFC J1325.5-4302.1"   ,  "CenA"   ,  201.3725   ,  -43.03419   ,  "309.51"   ,  "19.39"   ,  2.05e-10   ,  "2001800100"   ,  1.05   ,  1.03   ,  32   ,  "Seyfert Radio Loud"   ,  "13 22 33.12"   ,  "-42 45 24.33"   ,  1.3   ,  34.87   ,  18.5   ,  15.34   ,  2.26092   ,  9   ,  "CenA"   ,  "---"
100   , "SAXWFC J1326.7-6208.8"   ,  "4U1323-619"   ,  201.67792   ,  -62.14639   ,  "307.03"   ,  "0.44"   ,  3.68e-10   ,  "5137000100"   ,  1   ,  0.87   ,  33   ,  "LMXRB"   ,  "13 23 16.79"   ,  "-61 52 35.79"   ,  1.4   ,  21.97   ,  1.4   ,  10.18   ,  2.05268   ,  9   ,  "4U1323-619"   ,  "---"
101   , "SAXWFC J1336.0-3417.1"   ,  "MCG-06.30.015"   ,  203.98833   ,  -34.28528   ,  "313.3"   ,  "27.68"   ,  6.17e-11   ,  "2001800100"   ,  1.05   ,  0   ,  1   ,  "Seyfert type 1"   ,  "13 33 01.43"   ,  "-34 02 29.65"   ,  1.6   ,  10.99   ,  3.9   ,  4.84   ,  2.26092   ,  9   ,  "MCG-06.30.015"   ,  "---"
102   , "SAXWFC J1347.4-3252.0"   ,  "ABELL3571"   ,  206.85583   ,  -32.86639   ,  "316.3"   ,  "28.54"   ,  6.99e-11   ,  "2001800100"   ,  0.63   ,  1.47   ,  4   ,  "Cluster of galaxies"   ,  "13 44 35.51"   ,  "-32 36 57.09"   ,  1.6   ,  9.38   ,  2.5   ,  4.13   ,  2.26092   ,  9   ,  "ABELL3571"   ,  "---"
103   , "SAXWFC J1349.3-3019.1"   ,  "ESO445-50"   ,  207.32333   ,  -30.31869   ,  "317.48"   ,  "30.91"   ,  1.84e-10   ,  "5092600100"   ,  0.66   ,  1.15   ,  14   ,  "Seyfert type 1"   ,  "13 46 27.84"   ,  "-30 03 40.78"   ,  1.4   ,  18.92   ,  5.8   ,  5.96   ,  2.59439   ,  9   ,  "ESO445-50"   ,  "---"
104   , "SAXWFC J1348.8+2635.9"   ,  "ABELL1795"   ,  207.21208   ,  26.59819   ,  "33.82"   ,  "77.19"   ,  6.31e-11   ,  "1118300200"   ,  0.47   ,  0.82   ,  4   ,  "Radio Galaxy radio loud/flat spectrum"   ,  "13 46 34.07"   ,  "+26 50 28.57"   ,  1.5   ,  8.18   ,  3   ,  4.62   ,  1.77027   ,  9   ,  "ABELL1795"   ,  "---"
105   , "SAXWFC J1358.0-6443.7"   ,  "CenX-2"   ,  209.5125   ,  -64.7275   ,  "309.96"   ,  "-2.78"   ,  8.43e-10   ,  "5012400600"   ,  0.83   ,  0.63   ,  7   ,  "LMXRB"   ,  "13 54 27.36"   ,  "-64 29 29.07"   ,  1.3   ,  41.18   ,  15.8   ,  27.51   ,  1.34284   ,  9   ,  "CenX-2"   ,  "---"
106   , "SAXWFC J1413.3-0311.7"   ,  "MKN1376"   ,  213.31417   ,  -3.19569   ,  "339.16"   ,  "53.81"   ,  1.04e-10   ,  "5132200100"   ,  0.73   ,  0.88   ,  8   ,  "Seyfert type 2"   ,  "14 10 39.12"   ,  "-02 58 26.32"   ,  1.4   ,  19.02   ,  5.9   ,  10.35   ,  1.83514   ,  9   ,  "MKN1376"   ,  "---"
107   , "SAXWFC J1421.2-6241.7"   ,  "4U1416-62"   ,  215.30125   ,  -62.695   ,  "313.02"   ,  "-1.6"   ,  1.7e-10   ,  "5124100120"   ,  0.2   ,  0.85   ,  13   ,  "HMXRB Be star"   ,  "14 17 25.43"   ,  "-62 28 11.27"   ,  1.4   ,  15.22   ,  15.8   ,  6.23   ,  1.66212   ,  9   ,  "4U1416-62"   ,  "---"
