_id , fermi3fgl_name , other_name , Class , RA, Dec, Significance , Flux 1-100 GeV, Flux 1-100 GeV Error , Spectral Index , Spectral Index Error , Beta , Spectral Type , Power Law Index , TeV Cat , Gamma Assoc. , Prev. Fermi Assoc. , Variability index
1455 , 3FGL J1219.7-0314 , 1RXS J121946.0-031419 , bll , 184.93208 , -3.23528 , 8.685 , 5.72e-10 , 9.15e-11 , 2.001 , 0.115 , -9.9 , PowerLaw , 2.001 , N , , 1FGL J1219.8-0309 , 36.39
1456 , 3FGL J1220.0-2502 , , , 185.01083 , -25.04358 , 4.49 , 3.09e-10 , 7.79e-11 , 2.253 , 0.196 , -9.9 , PowerLaw , 2.253 , N , , , 51.549
1457 , 3FGL J1220.1-3715 , , , 185.04792 , -37.25439 , 6.835 , 4.25e-10 , 8.04e-11 , 2.047 , 0.138 , -9.9 , PowerLaw , 2.047 , N , , , 41.962
1458 , 3FGL J1220.2+3434 , GB2 1217+348 , bll , 185.0625 , 34.56928 , 9.967 , 5.08e-10 , 7.24e-11 , 2.188 , 0.106 , -9.9 , PowerLaw , 2.188 , N , , 1FGL J1220.2+3432 , 50.501
1459 , 3FGL J1220.3+6055 , , , 185.09083 , 60.92878 , 4.241 , 1.57e-10 , 4.38e-11 , 2.517 , 0.212 , -9.9 , PowerLaw , 2.517 , N , , , 49.544
1460 , 3FGL J1220.2+7105 , S5 1217+71 , fsrq , 185.06792 , 71.09269 , 14.577 , 5.68e-10 , 6.50e-11 , 2.462 , 0.074 , -9.9 , PowerLaw , 2.462 , N , , 1FGL J1221.5+7106 , 153.196
1461 , 3FGL J1221.3+3010 , PG 1218+304 , bll , 185.34042 , 30.17658 , 38.923 , 3.3e-9 , 1.83e-10 , 1.66 , 0.038 , -9.9 , PowerLaw , 1.66 , P , , 1FGL J1221.3+3008 , 92.454
1462 , 3FGL J1221.5-0632 , , , 185.3775 , -6.55 , 11.522 , 8.06e-10 , 9.91e-11 , 2.25 , 0.09 , -9.9 , PowerLaw , 2.25 , N , , 1FGL J1221.4-0635 , 52.541
1463 , 3FGL J1221.4+2814 , W Comae , bll , 185.37375 , 28.24008 , 49.85 , 4.12e-9 , 1.69e-10 , 2.102 , 0.027 , -9.9 , PowerLaw , 2.102 , P , 1AGL J1222+2851 , 1FGL J1221.5+2814 , 204.241
1464 , 3FGL J1222.4+0414 , 4C +04.42 , fsrq , 185.61042 , 4.234 , 30.016 , 1.2e-9 , 1.29e-10 , 2.509 , 0.092 , 0.214 , LogParabo , 2.772 , N , , 1FGL J1222.5+0415 , 188.396
1465 , 3FGL J1223.0-5622 , , , 185.75208 , -56.37647 , 6.139 , 4.4e-10 , 1.03e-10 , 2.776 , 0.12 , -9.9 , PowerLaw , 2.776 , N , , , 43.235
1466 , 3FGL J1223.2+1215 , , , 185.80417 , 12.26178 , 4.832 , 3.17e-10 , 7.40e-11 , 2.213 , 0.159 , -9.9 , PowerLaw , 2.213 , N , , , 39.29
1467 , 3FGL J1223.3-3028 , NVSS J122337-303246 , bcu , 185.8425 , -30.47069 , 4.369 , 2.76e-10 , 8.50e-11 , 1.887 , 0.221 , -9.9 , PowerLaw , 1.887 , N , , 1FGL J1223.4-3034 , 38.111
1468 , 3FGL J1222.7+7952 , , , 185.68292 , 79.86678 , 5.462 , 1.83e-10 , 6.10e-11 , 1.737 , 0.207 , -9.9 , PowerLaw , 1.737 , N , , , 46.816
1469 , 3FGL J1223.3+0818 , , , 185.84 , 8.31308 , 6.418 , 3.63e-10 , 7.37e-11 , 1.985 , 0.159 , -9.9 , PowerLaw , 1.985 , N , , , 40.277
1470 , 3FGL J1222.7+8041 , S5 1221+80 , bll , 185.695 , 80.69819 , 16.875 , 9.75e-10 , 8.56e-11 , 2.285 , 0.055 , -9.9 , PowerLaw , 2.285 , N , , 1FGL J1224.8+8044 , 87.372
1471 , 3FGL J1224.6-8312 , PKS 1221-82 , bcu , 186.165 , -83.20928 , 7.471 , 4.49e-10 , 8.76e-11 , 2.695 , 0.11 , -9.9 , PowerLaw , 2.695 , N , , , 56.541
1472 , 3FGL J1224.5+2436 , MS 1221.8+2452 , bll , 186.13542 , 24.61108 , 13.361 , 7.05e-10 , 8.78e-11 , 1.887 , 0.094 , -9.9 , PowerLaw , 1.887 , P , , , 54.191
1473 , 3FGL J1224.5+4957 , SBS 1221+503 , fsrq , 186.12708 , 49.95989 , 6.405 , 3.2e-10 , 6.26e-11 , 2.463 , 0.131 , -9.9 , PowerLaw , 2.463 , N , , , 58.841
1474 , 3FGL J1224.6+4332 , B3 1222+438 , bll , 186.1575 , 43.54558 , 11.156 , 3.9e-10 , 6.37e-11 , 2.636 , 0.094 , -9.9 , PowerLaw , 2.636 , N , , 1FGL J1225.8+4336 , 64.703
1475 , 3FGL J1224.9+2122 , 4C +21.35 , FSRQ , 186.22625 , 21.38228 , 219.674 , 2.55e-8 , 3.80e-10 , 2.185 , 0.012 , 0.059 , LogParabo , 2.285 , P , , 1FGL J1224.7+2121 , 18067.447
1476 , 3FGL J1225.4-3448 , , , 186.35625 , -34.807 , 4.831 , 1.92e-10 , 7.08e-11 , 1.76 , 0.245 , -9.9 , PowerLaw , 1.76 , N , , , 33.923
1477 , 3FGL J1225.7-7314 , PMN J1225-7313 , bcu , 186.43958 , -73.24139 , 5.415 , 4.71e-10 , 9.58e-11 , 2.309 , 0.138 , -9.9 , PowerLaw , 2.309 , N , , , 43.839
1478 , 3FGL J1225.9+2953 , , , 186.49542 , 29.89019 , 17.379 , 1.42e-9 , 1.30e-10 , 1.94 , 0.111 , 0.3 , LogParabo , 2.023 , N , , 1FGL J1226.0+2954 , 58.043
1479 , 3FGL J1226.8+0638 , 1RXS J122645.2+063906 , bll , 186.7 , 6.649 , 5.487 , 1.74e-10 , 6.34e-11 , 1.564 , 0.242 , -9.9 , PowerLaw , 1.564 , N , , 1FGL J1226.8+0638 , 27.608
1480 , 3FGL J1226.9-1329 , PMN J1226-1328 , bll , 186.74125 , -13.49878 , 13.393 , 1.03e-9 , 1.18e-10 , 1.983 , 0.087 , -9.9 , PowerLaw , 1.983 , N , , 1FGL J1226.7-1332 , 58.778
1481 , 3FGL J1227.9-4854 , PSR J1227-4853 , psr , 186.97583 , -48.90119 , 38.631 , 3.67e-9 , 1.81e-10 , 2.235 , 0.046 , 0.112 , LogParabo , 2.381 , N , , 1FGL J1227.9-4852 , 74.964
1482 , 3FGL J1228.4-0317 , , , 187.11125 , -3.29539 , 5.664 , 3.92e-10 , 8.21e-11 , 2.272 , 0.166 , -9.9 , PowerLaw , 2.272 , N , , , 51.582
1483 , 3FGL J1228.7+4857 , TXS 1226+492 , fsrq , 187.18042 , 48.9635 , 7.851 , 4.37e-10 , 7.28e-11 , 2.365 , 0.124 , -9.9 , PowerLaw , 2.365 , N , , 1FGL J1228.2+4855 , 68.059
1484 , 3FGL J1229.1+0202 , 3C 273 , FSRQ , 187.28708 , 2.041 , 149.012 , 9.42e-9 , 2.53e-10 , 2.516 , 0.021 , 0.108 , LogParabo , 2.661 , N , 1AGL J1228+0142 , 1FGL J1229.1+0203 , 7873.017
1485 , 3FGL J1229.8-5305 , AT20G J122939-530332 , bcu , 187.46833 , -53.09319 , 4.182 , 3.6e-10 , 9.21e-11 , 2.146 , 0.215 , -9.9 , PowerLaw , 2.146 , N , , , 57.541
1486 , 3FGL J1230.3+2519 , ON 246 , bll , 187.575 , 25.32569 , 17.971 , 1.11e-9 , 1.00e-10 , 2.235 , 0.06 , -9.9 , PowerLaw , 2.235 , N , , 1FGL J1230.4+2520 , 95.346
1487 , 3FGL J1230.9+1224 , M 87 , rdg , 187.7275 , 12.40608 , 18.879 , 1.31e-9 , 1.13e-10 , 2.04 , 0.066 , -9.9 , PowerLaw , 2.04 , P , , 1FGL J1230.8+1223 , 54.281
1488 , 3FGL J1231.2-1411 , PSR J1231-1411 , PSR , 187.80125 , -14.19808 , 105.655 , 1.78e-8 , 3.79e-10 , 1.18 , 0.043 , -9.9 , PLExpCuto , 1.932 , N , , 1FGL J1231.1-1410 , 48.638
1489 , 3FGL J1231.7-6513 , , , 187.92583 , -65.22278 , 9.462 , 1.31e-9 , 1.66e-10 , 2.424 , 0.071 , -9.9 , PowerLaw , 2.424 , N , , , 48.111
1490 , 3FGL J1231.6-5113 , , , 187.90208 , -51.221 , 13.452 , 8.17e-10 , 1.23e-10 , 2.276 , 0.132 , 0.484 , LogParabo , 2.59 , N , , 1FGL J1232.2-5118 , 46.803
1491 , 3FGL J1231.6+4825 , , , 187.90792 , 48.41789 , 5.928 , 3.15e-10 , 6.48e-11 , 2.515 , 0.133 , -9.9 , PowerLaw , 2.515 , N , , , 44.383
1492 , 3FGL J1231.5+6414 , MS 1229.2+6430 , bll , 187.87917 , 64.23408 , 6.304 , 2.4e-10 , 5.64e-11 , 1.938 , 0.203 , -9.9 , PowerLaw , 1.938 , N , , , 33.941
1493 , 3FGL J1231.7+2847 , B2 1229+29 , bll , 187.94625 , 28.79228 , 36.957 , 2.73e-9 , 1.41e-10 , 1.948 , 0.036 , -9.9 , PowerLaw , 1.948 , N , , 1FGL J1231.6+2850 , 158.551
1494 , 3FGL J1231.8+1421 , GB6 J1231+1421 , bll , 187.96542 , 14.36378 , 5.927 , 3.86e-10 , 8.08e-11 , 2.065 , 0.17 , -9.9 , PowerLaw , 2.065 , N , , , 43.632
1495 , 3FGL J1232.3+1701 , , , 188.08458 , 17.023 , 5.71 , 3.17e-10 , 7.11e-11 , 1.837 , 0.166 , -9.9 , PowerLaw , 1.837 , N , , , 41.115
1496 , 3FGL J1232.5-3720 , , , 188.13667 , -37.34189 , 6.424 , 3.41e-10 , 8.00e-11 , 1.925 , 0.196 , -9.9 , PowerLaw , 1.925 , N , , , 56.499
1497 , 3FGL J1232.8+1332 , , , 188.21875 , 13.53469 , 4.28 , 2.77e-10 , 7.33e-11 , 2.671 , 0.152 , -9.9 , PowerLaw , 2.671 , N , , , 50.89
1498 , 3FGL J1233.7-0145 , NVSS J123341-014426 , bll , 188.43417 , -1.75658 , 15.716 , 1.12e-9 , 1.11e-10 , 2.221 , 0.076 , -9.9 , PowerLaw , 2.221 , N , , 1FGL J1233.6-0146 , 37.46
1499 , 3FGL J1233.9-5736 , AT20G J123407-573552 , bcu , 188.49708 , -57.60689 , 13.605 , 1.51e-9 , 1.48e-10 , 2.165 , 0.071 , -9.9 , PowerLaw , 2.165 , N , , 1FGL J1234.0-5736 , 43.904
1500 , 3FGL J1234.7-0437 , , , 188.69708 , -4.6215 , 4.872 , 2.08e-10 , 8.12e-11 , 1.649 , 0.275 , -9.9 , PowerLaw , 1.649 , N , , , 47.675
1501 , 3FGL J1236.6-7050 , , , 189.15708 , -70.84639 , 5.373 , 5.26e-10 , 1.08e-10 , 2.208 , 0.139 , -9.9 , PowerLaw , 2.208 , N , , , 51.689
1502 , 3FGL J1236.5-6154 , , , 189.12792 , -61.90428 , 4.128 , 8.85e-10 , 1.97e-10 , 2.368 , 0.137 , -9.9 , PowerLaw , 2.368 , N , , , 53.555
1503 , 3FGL J1236.6+3901 , RX J1236.4+3859 , bll , 189.16417 , 39.02439 , 5.264 , 2.14e-10 , 5.53e-11 , 2.492 , 0.204 , -9.9 , PowerLaw , 2.492 , N , , , 43.542
1504 , 3FGL J1238.2-1958 , PMN J1238-1959 , bcu , 189.56458 , -19.98308 , 8.533 , 5.24e-10 , 8.66e-11 , 2.349 , 0.127 , -9.9 , PowerLaw , 2.349 , N , , , 56.88
1505 , 3FGL J1238.3-4543 , PMN J1238-4541 , bcu , 189.59458 , -45.72378 , 8.024 , 5.5e-10 , 8.74e-11 , 2.153 , 0.13 , -9.9 , PowerLaw , 2.153 , N , , , 61.65
1506 , 3FGL J1237.9+6258 , 1H 1241+626 , bll , 189.495 , 62.97858 , 6.322 , 1.95e-10 , 5.05e-11 , 1.836 , 0.222 , -9.9 , PowerLaw , 1.836 , N , , , 29.766
1507 , 3FGL J1239.1-1158 , , , 189.79833 , -11.97758 , 6.743 , 1.95e-10 , 6.26e-11 , 3.067 , 0.16 , -9.9 , PowerLaw , 3.067 , N , , , 49.825
1508 , 3FGL J1239.4+0727 , PKS 1236+077 , bcu , 189.87292 , 7.4625 , 8.031 , 5.02e-10 , 8.34e-11 , 2.398 , 0.119 , -9.9 , PowerLaw , 2.398 , N , , , 44.781
1509 , 3FGL J1239.5+0443 , MG1 J123931+0443 , fsrq , 189.895 , 4.71919 , 64.997 , 5.58e-9 , 2.05e-10 , 2.204 , 0.035 , 0.112 , LogParabo , 2.351 , N , 1AGL J1238+0406 , 1FGL J1239.5+0443 , 1257.651
1510 , 3FGL J1240.3-7149 , , , 190.07667 , -71.82578 , 10.975 , 9.05e-10 , 1.25e-10 , 1.965 , 0.103 , -9.9 , PowerLaw , 1.965 , N , , 1FGL J1240.3-7154 , 70.103
1511 , 3FGL J1241.6-1456 , RX J1241.8-1455 , bll , 190.40583 , -14.94519 , 6.189 , 3.48e-10 , 7.60e-11 , 1.959 , 0.171 , -9.9 , PowerLaw , 1.959 , N , , , 36.266
1512 , 3FGL J1241.9+0639 , 1ES 1239+069 , bll , 190.475 , 6.66128 , 5.193 , 2.51e-10 , 7.56e-11 , 1.782 , 0.238 , -9.9 , PowerLaw , 1.782 , N , , , 42.699
1513 , 3FGL J1243.1+3627 , Ton 116 , bll , 190.79708 , 36.45369 , 31.235 , 1.97e-9 , 1.21e-10 , 1.769 , 0.044 , -9.9 , PowerLaw , 1.769 , N , , 1FGL J1243.1+3627 , 58.172
1514 , 3FGL J1244.2-6227 , , , 191.05875 , -62.45328 , 5.98 , 1.48e-9 , 2.45e-10 , 2.324 , 0.094 , -9.9 , PowerLaw , 2.324 , N , , , 40.895
1515 , 3FGL J1243.9-0217 , PMN J1243-0218 , bcu , 190.97667 , -2.28428 , 5.149 , 3.33e-10 , 7.34e-11 , 2.186 , 0.175 , -9.9 , PowerLaw , 2.186 , N , , , 51.009
1516 , 3FGL J1244.3-5515 , , , 191.08458 , -55.25678 , 6.948 , 5.54e-10 , 1.11e-10 , 2.62 , 0.113 , -9.9 , PowerLaw , 2.62 , N , , , 46.234
1517 , 3FGL J1244.3-4955 , SUMSS J124422-495422 , bcu , 191.08958 , -49.92628 , 4.819 , 4.11e-10 , 9.28e-11 , 2.188 , 0.176 , -9.9 , PowerLaw , 2.188 , N , , , 44.892
1518 , 3FGL J1244.1+1615 , SDSS J124444.35+161621.7 , bll , 191.045 , 16.263 , 5.469 , 3.04e-10 , 6.99e-11 , 2.426 , 0.163 , -9.9 , PowerLaw , 2.426 , N , , , 60.367
1519 , 3FGL J1244.8+5707 , 1RXS J124510.5+571020 , bll , 191.21167 , 57.12108 , 7.089 , 3.35e-10 , 6.09e-11 , 2.07 , 0.149 , -9.9 , PowerLaw , 2.07 , N , , , 33.773
1520 , 3FGL J1246.7-2547 , PKS 1244-255 , fsrq , 191.68875 , -25.79119 , 92.644 , 9.79e-9 , 2.63e-10 , 2.14 , 0.025 , 0.087 , LogParabo , 2.279 , N , , 1FGL J1246.7-2545 , 1117.783
1521 , 3FGL J1247.0+4421 , RX J1246.9+4423 , bll , 191.7525 , 44.35519 , 5.741 , 2.52e-10 , 5.66e-11 , 2.059 , 0.248 , -9.9 , PowerLaw , 2.059 , N , , , 61.941
1522 , 3FGL J1248.0+5130 , RX J1248.4+5128 , bll , 192.02042 , 51.50628 , 5.223 , 2.54e-10 , 5.70e-11 , 2.163 , 0.17 , -9.9 , PowerLaw , 2.163 , N , , , 53.936
1523 , 3FGL J1248.2+5820 , PG 1246+586 , bll , 192.07 , 58.34789 , 55.529 , 3.97e-9 , 1.46e-10 , 1.947 , 0.025 , -9.9 , PowerLaw , 1.947 , N , , 1FGL J1248.2+5820 , 65.174
1524 , 3FGL J1249.1-2808 , , , 192.29292 , -28.14358 , 8.176 , 5.27e-10 , 8.68e-11 , 2.067 , 0.127 , -9.9 , PowerLaw , 2.067 , N , , 1FGL J1249.3-2812 , 49.835
1525 , 3FGL J1249.5-0546 , , , 192.38125 , -5.77939 , 5.401 , 4e-10 , 8.36e-11 , 2.413 , 0.157 , -9.9 , PowerLaw , 2.413 , N , , , 52.594
1526 , 3FGL J1249.7+3705 , RX J1249.8+3708 , bll , 192.44167 , 37.091 , 11.271 , 4.84e-10 , 7.45e-11 , 1.654 , 0.103 , -9.9 , PowerLaw , 1.654 , N , , 1FGL J1249.8+3706 , 51.87
1527 , 3FGL J1250.2-0233 , , , 192.5675 , -2.56378 , 5.12 , 9.26e-11 , 5.21e-11 , 1.098 , 0.298 , -9.9 , PowerLaw , 1.098 , N , , , 26.468
1528 , 3FGL J1250.5+0217 , PKS 1247+025 , bll , 192.62583 , 2.29689 , 6.411 , 4.04e-10 , 8.02e-11 , 2.328 , 0.156 , -9.9 , PowerLaw , 2.328 , N , , , 44.174
1529 , 3FGL J1251.0-4943 , , , 192.77333 , -49.73139 , 6.756 , 5.41e-10 , 9.74e-11 , 2.03 , 0.14 , -9.9 , PowerLaw , 2.03 , N , , 1FGL J1250.9-4940 , 36.26
1530 , 3FGL J1251.0-0203 , TXS 1248-017 , bcu , 192.7625 , -2.05658 , 6.856 , 4.52e-10 , 8.18e-11 , 2.386 , 0.118 , -9.9 , PowerLaw , 2.386 , N , , , 93.483
1531 , 3FGL J1251.3+1041 , 1RXS J125117.4+103914 , bll , 192.84583 , 10.688 , 6.387 , 3.69e-10 , 7.73e-11 , 2.439 , 0.159 , -9.9 , PowerLaw , 2.439 , N , , 1FGL J1251.3+1044 , 70.044
1532 , 3FGL J1253.2+5300 , S4 1250+53 , bll , 193.30083 , 53.01328 , 47.519 , 4.18e-9 , 1.72e-10 , 1.897 , 0.046 , 0.083 , LogParabo , 1.995 , N , , 1FGL J1253.0+5301 , 72.169
1533 , 3FGL J1253.7+0327 , MG1 J125348+0326 , bll , 193.43458 , 3.46419 , 12.127 , 7.49e-10 , 1.01e-10 , 1.842 , 0.101 , -9.9 , PowerLaw , 1.842 , N , , 1FGL J1253.7+0326 , 63.253
1534 , 3FGL J1254.1-2203 , NVSS J125422-220413 , bcu , 193.53208 , -22.05978 , 7.191 , 5.62e-10 , 9.44e-11 , 2.296 , 0.115 , -9.9 , PowerLaw , 2.296 , N , , , 46.267
1535 , 3FGL J1254.5+2210 , TXS 1252+224 , bll , 193.62917 , 22.17478 , 10.826 , 6.01e-10 , 8.50e-11 , 1.996 , 0.116 , -9.9 , PowerLaw , 1.996 , N , , 1FGL J1254.4+2209 , 41.081
1536 , 3FGL J1254.1+6240 , 1RXS J125400.1+624303 , bll , 193.5425 , 62.67758 , 7.07 , 2.61e-10 , 5.14e-11 , 1.902 , 0.151 , -9.9 , PowerLaw , 1.902 , N , , 1FGL J1254.0+6236 , 44.894
1537 , 3FGL J1254.9-4423 , PKS 1252-441 , bll , 193.74167 , -44.39328 , 4.447 , 3.13e-10 , 7.93e-11 , 2.195 , 0.271 , -9.9 , PowerLaw , 2.195 , N , , , 39.768
1538 , 3FGL J1256.1-5919 , PMN J1256-5919 , bcu , 194.04458 , -59.32369 , 7.932 , 9.43e-10 , 1.39e-10 , 2.293 , 0.098 , -9.9 , PowerLaw , 2.293 , N , , 1FGL J1256.1-5922 , 43.653
1539 , 3FGL J1256.1-5703 , , , 194.04458 , -57.05039 , 6.422 , 5.84e-10 , 1.14e-10 , 2.692 , 0.104 , -9.9 , PowerLaw , 2.692 , N , , , 51.075
1540 , 3FGL J1256.1-0547 , 3C 279 , FSRQ , 194.04083 , -5.79119 , 160.596 , 2.06e-8 , 3.61e-10 , 2.233 , 0.014 , 0.079 , LogParabo , 2.343 , P , 1AGL J1256-0549 , 1FGL J1256.2-0547 , 4198.441
1541 , 3FGL J1256.3-1146 , PMN J1256-1146 , bcu , 194.08667 , -11.78078 , 11.109 , 6.66e-10 , 9.63e-11 , 1.907 , 0.113 , -9.9 , PowerLaw , 1.907 , N , , 1FGL J1256.5-1148 , 59.437
1542 , 3FGL J1257.0-6338 , , , 194.2525 , -63.63558 , 8.539 , 1.86e-9 , 2.43e-10 , 2.243 , 0.087 , -9.9 , PowerLaw , 2.243 , N , , 1FGL J1256.9-6337c , 115.521
1543 , 3FGL J1256.7+5328 , TXS 1254+538 , bcu , 194.18875 , 53.469 , 5.773 , 3.47e-10 , 7.33e-11 , 2.639 , 0.125 , -9.9 , PowerLaw , 2.639 , N , , , 63.481
1544 , 3FGL J1256.9+3649 , 1RXS J125716.0+364713 , bll , 194.23208 , 36.81928 , 12.509 , 6.69e-10 , 8.04e-11 , 2.079 , 0.087 , -9.9 , PowerLaw , 2.079 , N , , 1FGL J1256.9+3650 , 65.351
1545 , 3FGL J1259.3-8151 , , , 194.835 , -81.86058 , 5.989 , 4.58e-10 , 8.88e-11 , 2.439 , 0.13 , -9.9 , PowerLaw , 2.439 , N , , , 43.911
1546 , 3FGL J1258.1+3233 , ON 393 , fsrq , 194.53458 , 32.55678 , 11.916 , 5.78e-10 , 7.53e-11 , 2.467 , 0.088 , -9.9 , PowerLaw , 2.467 , N , , 1FGL J1258.3+3227 , 130.977
1547 , 3FGL J1258.6-1800 , PKS B1256-177 , fsrq , 194.65 , -18.00389 , 22.421 , 1.52e-9 , 1.25e-10 , 2.446 , 0.048 , -9.9 , PowerLaw , 2.446 , N , , 1FGL J1258.4-1802 , 247.302
1548 , 3FGL J1258.4+2123 , , , 194.61792 , 21.386 , 4.953 , 2.36e-10 , 6.66e-11 , 2.644 , 0.24 , -9.9 , PowerLaw , 2.644 , N , , 1FGL J1258.3+2125 , 43.313
1549 , 3FGL J1258.0+6120 , NVSS J125820+612049 , bll , 194.52333 , 61.33978 , 5.14 , 2.01e-10 , 4.75e-11 , 2.096 , 0.21 , -9.9 , PowerLaw , 2.096 , N , , , 41.457
1550 , 3FGL J1258.7-2219 , PKS 1256-220 , fsrq , 194.69417 , -22.32969 , 16.493 , 1.53e-9 , 1.34e-10 , 2.339 , 0.057 , -9.9 , PowerLaw , 2.339 , N , , 1FGL J1258.7-2221 , 135.032
1551 , 3FGL J1259.0-2310 , PKS B1256-229 , bcu , 194.77208 , -23.18289 , 8.194 , 6.09e-10 , 1.03e-10 , 2.029 , 0.119 , -9.9 , PowerLaw , 2.029 , N , , , 46.134
1552 , 3FGL J1258.7+5137 , NVSS J125825+514225 , bcu , 194.69833 , 51.62758 , 4.904 , 2.26e-10 , 5.48e-11 , 2.159 , 0.189 , -9.9 , PowerLaw , 2.159 , N , , , 40.873
1553 , 3FGL J1259.5-3231 , , , 194.88625 , -32.51869 , 6.017 , 4.06e-10 , 9.45e-11 , 2.714 , 0.128 , -9.9 , PowerLaw , 2.714 , N , , , 61.587
1554 , 3FGL J1259.8-3749 , NVSS J125949-374856 , bcu , 194.9575 , -37.82569 , 9.278 , 6.29e-10 , 9.41e-11 , 2.242 , 0.118 , -9.9 , PowerLaw , 2.242 , N , , 1FGL J1300.9-3745 , 44.911
1555 , 3FGL J1300.2+1416 , OW 197 , fsrq , 195.06583 , 14.27778 , 11.922 , 4.16e-10 , 7.24e-11 , 2.855 , 0.093 , -9.9 , PowerLaw , 2.855 , N , , , 80.39
1556 , 3FGL J1301.6+0832 , PSR J1301+0833 , PSR , 195.41792 , 8.53978 , 13.646 , 8.21e-10 , 9.59e-11 , 2.379 , 0.074 , -9.9 , PowerLaw , 2.379 , N , , 1FGL J1301.8+0837 , 41.726
1557 , 3FGL J1301.5+3333 , , , 195.39375 , 33.5615 , 7.885 , 3.89e-10 , 6.77e-11 , 2.397 , 0.121 , -9.9 , PowerLaw , 2.397 , N , , , 62.958
1558 , 3FGL J1302.3-3259 , PSR J1302-3258 , PSR , 195.59458 , -32.98789 , 18.759 , 1.99e-9 , 1.64e-10 , 1.123 , 0.243 , -9.9 , PLExpCuto , 2.12 , N , , 1FGL J1302.3-3255 , 39.751
1559 , 3FGL J1303.0-6312e , HESS J1303-631 , PWN , 195.74958 , -63.2 , 7.577 , 1.57e-9 , 3.86e-10 , 1.642 , 0.121 , -9.9 , PowerLaw , 1.642 , E , , , 46.846
1560 , 3FGL J1303.0+2435 , MG2 J130304+2434 , bll , 195.75167 , 24.59478 , 28.548 , 1.91e-9 , 1.23e-10 , 2.181 , 0.043 , -9.9 , PowerLaw , 2.181 , N , , 1FGL J1303.0+2433 , 377.265
1561 , 3FGL J1302.6+5748 , TXS 1300+580 , bcu , 195.67375 , 57.81128 , 6.263 , 2.55e-10 , 5.31e-11 , 2.272 , 0.185 , -9.9 , PowerLaw , 2.272 , N , , , 49.592
1562 , 3FGL J1303.7-4619 , PMN J1303-4621 , fsrq , 195.94667 , -46.31858 , 9.432 , 6.74e-10 , 9.76e-11 , 2.39 , 0.097 , -9.9 , PowerLaw , 2.39 , N , , 1FGL J1304.0-4622 , 73.15
1563 , 3FGL J1304.3-5535 , PMN J1303-5540 , bcu , 196.09125 , -55.58458 , 8.003 , 6.39e-10 , 1.11e-10 , 2.696 , 0.094 , -9.9 , PowerLaw , 2.696 , N , , , 51.764
1564 , 3FGL J1304.3-4353 , 1RXS J130421.2-435308 , bll , 196.09625 , -43.8995 , 33.528 , 3.19e-9 , 1.69e-10 , 1.907 , 0.039 , -9.9 , PowerLaw , 1.907 , N , , 1FGL J1304.3-4352 , 96.249
1565 , 3FGL J1304.2-2411 , PMN J1304-2412 , bcu , 196.06042 , -24.19378 , 9.35 , 6.47e-10 , 1.02e-10 , 1.957 , 0.102 , -9.9 , PowerLaw , 1.957 , N , , , 52.684
1566 , 3FGL J1304.6+1200 , , , 196.17125 , 12.00639 , 5.377 , 3.56e-10 , 7.87e-11 , 2.373 , 0.144 , -9.9 , PowerLaw , 2.373 , N , , , 52.644
1567 , 3FGL J1304.8-0338 , PKS 1302-035 , fsrq , 196.20583 , -3.64778 , 4.422 , 2.92e-10 , 7.26e-11 , 2.281 , 0.186 , -9.9 , PowerLaw , 2.281 , N , , , 73.545
1568 , 3FGL J1304.9-2109 , PKS B1302-208 , bcu , 196.24542 , -21.1575 , 4.881 , 3.65e-10 , 8.96e-11 , 2.148 , 0.161 , -9.9 , PowerLaw , 2.148 , N , , , 31.691
1569 , 3FGL J1305.4-4926 , NGC 4945 , sbg , 196.36958 , -49.43419 , 12.909 , 1.02e-9 , 1.17e-10 , 2.427 , 0.073 , -9.9 , PowerLaw , 2.427 , N , , 1FGL J1305.4-4928 , 56.879
1570 , 3FGL J1305.7-6241 , Kes 17 , snr , 196.43417 , -62.68569 , 11.119 , 2.8e-9 , 3.39e-10 , 2.101 , 0.08 , -9.9 , PowerLaw , 2.101 , N , , , 61.064
1571 , 3FGL J1306.4-6043 , , , 196.61458 , -60.73169 , 25.448 , 5.52e-9 , 3.06e-10 , 1.956 , 0.074 , 0.272 , LogParabo , 2.126 , N , , 1FGL J1306.4-6038 , 35.688
1572 , 3FGL J1306.8-4031 , , , 196.72458 , -40.53278 , 14.988 , 9.5e-10 , 1.09e-10 , 2.541 , 0.069 , -9.9 , PowerLaw , 2.541 , N , , 1FGL J1307.0-4030 , 43.778
1573 , 3FGL J1306.8-2146 , PKS 1304-215 , bcu , 196.71417 , -21.7775 , 4.306 , 3.42e-10 , 9.10e-11 , 2.147 , 0.165 , -9.9 , PowerLaw , 2.147 , N , , , 35.96
1574 , 3FGL J1305.5+7854 , S5 1304+79 , bll , 196.38083 , 78.91019 , 9.372 , 3.81e-10 , 5.85e-11 , 2.377 , 0.104 , -9.9 , PowerLaw , 2.377 , N , , 1FGL J1306.0+7852 , 41.763
1575 , 3FGL J1307.6-4300 , 1RXS J130737.8-425940 , bcu , 196.9175 , -43.00069 , 23.7 , 1.95e-9 , 1.46e-10 , 1.837 , 0.055 , -9.9 , PowerLaw , 1.837 , N , , 1FGL J1307.6-4259 , 58.224
