_id , fermi3fgl_name , other_name , Class , RA, Dec, Significance , Flux 1-100 GeV, Flux 1-100 GeV Error , Spectral Index , Spectral Index Error , Beta , Spectral Type , Power Law Index , TeV Cat , Gamma Assoc. , Prev. Fermi Assoc. , Variability index
522 , 3FGL J0447.8-2119 , PKS 0446-212 , fsrq , 71.96542 , -21.32878 , 5.203 , 2.9e-10 , 6.95e-11 , 2.547 , 0.146 , -9.9 , PowerLaw , 2.547 , N , , , 44.031
523 , 3FGL J0451.6+7231 , , , 72.91625 , 72.51797 , 5.024 , 2.16e-10 , 6.52e-11 , 2.651 , 0.213 , -9.9 , PowerLaw , 2.651 , N , , , 41.729
524 , 3FGL J0449.0+1121 , PKS 0446+11 , fsrq , 72.25125 , 11.35889 , 35.636 , 2.78e-9 , 1.82e-10 , 2.233 , 0.059 , 0.221 , LogParabo , 2.549 , N , , 1FGL J0448.6+1118 , 321.875
525 , 3FGL J0448.6-1632 , RBS 0589 , bll , 72.15792 , -16.53369 , 15.833 , 9.05e-10 , 9.84e-11 , 1.857 , 0.079 , -9.9 , PowerLaw , 1.857 , N , , 1FGL J0448.5-1633 , 56.12
526 , 3FGL J0451.7+5722 , , , 72.94 , 57.37339 , 6.04 , 4.65e-10 , 9.35e-11 , 2.487 , 0.136 , -9.9 , PowerLaw , 2.487 , N , , , 28.323
527 , 3FGL J0449.4-4350 , PKS 0447-439 , bll , 72.36167 , -43.83639 , 96.507 , 1.03e-8 , 2.51e-10 , 1.849 , 0.015 , -9.9 , PowerLaw , 1.849 , P , , 1FGL J0449.5-4350 , 230.173
528 , 3FGL J0453.2+6321 , NVSS J045312+632117 , bcu , 73.3175 , 63.36558 , 10.504 , 6.95e-10 , 9.06e-11 , 2.347 , 0.093 , -9.9 , PowerLaw , 2.347 , N , , , 70.864
529 , 3FGL J0453.2-2808 , PKS 0451-28 , fsrq , 73.31417 , -28.147 , 32.046 , 1.43e-9 , 1.05e-10 , 2.63 , 0.04 , -9.9 , PowerLaw , 2.63 , N , , 1FGL J0453.2-2805 , 234.35
530 , 3FGL J0456.3+2702 , MG2 J045613+2702 , bcu , 74.08667 , 27.04708 , 10.567 , 1.12e-9 , 1.43e-10 , 2.46 , 0.07 , -9.9 , PowerLaw , 2.46 , N , , , 97.495
531 , 3FGL J0455.7-4617 , PKS 0454-46 , fsrq , 73.94458 , -46.2845 , 30.014 , 1.46e-9 , 1.07e-10 , 2.546 , 0.041 , -9.9 , PowerLaw , 2.546 , N , , 1FGL J0455.6-4618 , 143.769
532 , 3FGL J0457.0+0643 , 4C +06.21 , fsrq , 74.26875 , 6.72508 , 4.888 , 3.64e-10 , 8.64e-11 , 2.547 , 0.167 , -9.9 , PowerLaw , 2.547 , N , , 1FGL J0457.9+0649 , 56.321
533 , 3FGL J0456.3-3131 , PMN J0456-3135 , fsrq , 74.09 , -31.521 , 9.045 , 4.03e-10 , 7.00e-11 , 2.538 , 0.102 , -9.9 , PowerLaw , 2.538 , N , , 1FGL J0456.4-3132 , 87.566
534 , 3FGL J0454.6-6825 , PWN G279.8-35.8 , pwn , 73.65875 , -68.43169 , 6.324 , 4.69e-10 , 8.49e-11 , 2.198 , 0.114 , -9.9 , PowerLaw , 2.198 , N , , , 37.248
535 , 3FGL J0457.0-2324 , PKS 0454-234 , FSRQ , 74.26375 , -23.412 , 161.081 , 1.8e-8 , 3.33e-10 , 2.039 , 0.017 , 0.112 , LogParabo , 2.211 , N , , 1FGL J0457.0-2325 , 4466.606
536 , 3FGL J0500.3+5237 , , spp , 75.09083 , 52.61808 , 8.568 , 7.33e-10 , 1.07e-10 , 2.349 , 0.093 , -9.9 , PowerLaw , 2.349 , N , , 1FGL J0500.1+5237 , 37.586
537 , 3FGL J0456.2-6924 , , , 74.06667 , -69.40769 , 9.871 , 7.62e-10 , 9.85e-11 , 2.308 , 0.077 , -9.9 , PowerLaw , 2.308 , N , , , 56.432
538 , 3FGL J0503.5+6538 , 1E 0458.1+6530 , bll , 75.88917 , 65.6335 , 5.415 , 3.15e-10 , 6.99e-11 , 2.21 , 0.17 , -9.9 , PowerLaw , 2.21 , N , , , 43.488
539 , 3FGL J0501.8+3046 , 1RXS J050140.8+304831 , bcu , 75.46917 , 30.77708 , 6.275 , 5.56e-10 , 1.15e-10 , 2.124 , 0.158 , -9.9 , PowerLaw , 2.124 , N , , , 53.016
540 , 3FGL J0501.2-0157 , S3 0458-02 , fsrq , 75.31792 , -1.96589 , 32.488 , 2.32e-9 , 1.43e-10 , 2.414 , 0.036 , -9.9 , PowerLaw , 2.414 , N , , 1FGL J0501.0-0200 , 480.805
541 , 3FGL J0502.7+3438 , MG2 J050234+3436 , bcu , 75.68542 , 34.65 , 8.594 , 9.45e-10 , 1.32e-10 , 2.286 , 0.086 , -9.9 , PowerLaw , 2.286 , N , , , 145.085
542 , 3FGL J0502.6+1759 , , , 75.655 , 17.99519 , 4.423 , 4.3e-10 , 1.04e-10 , 2.541 , 0.153 , -9.9 , PowerLaw , 2.541 , N , , , 45.809
543 , 3FGL J0503.4+4522 , 1RXS J050339.8+451715 , bcu , 75.86458 , 45.37458 , 8.123 , 8.75e-10 , 1.29e-10 , 2.36 , 0.098 , -9.9 , PowerLaw , 2.36 , N , , 1FGL J0503.2+4526 , 66.616
544 , 3FGL J0502.5+0612 , PKS 0459+060 , fsrq , 75.62583 , 6.214 , 5.925 , 4.25e-10 , 8.94e-11 , 2.706 , 0.141 , -9.9 , PowerLaw , 2.706 , N , , , 46.464
545 , 3FGL J0505.9+6114 , NVSS J050558+611336 , bll , 76.48125 , 61.24478 , 6.482 , 4.45e-10 , 9.34e-11 , 2.008 , 0.148 , -9.9 , PowerLaw , 2.008 , N , , , 49.134
546 , 3FGL J0505.3+0459 , PKS 0502+049 , fsrq , 76.34292 , 4.99789 , 24.734 , 2.75e-9 , 1.73e-10 , 2.463 , 0.054 , 0.189 , LogParabo , 2.428 , N , , , 656.998
547 , 3FGL J0508.0+6736 , 1ES 0502+675 , bll , 77.00333 , 67.61431 , 39.281 , 2.12e-9 , 1.29e-10 , 1.523 , 0.04 , -9.9 , PowerLaw , 1.523 , P , , 1FGL J0507.9+6738 , 77.944
548 , 3FGL J0505.5+0416 , MG1 J050533+0415 , bll , 76.38167 , 4.27389 , 7.595 , 5.33e-10 , 1.09e-10 , 1.906 , 0.148 , -9.9 , PowerLaw , 1.906 , N , , 1FGL J0505.2+0420 , 34.105
549 , 3FGL J0505.3-0422 , S3 0503-04 , fsrq , 76.34958 , -4.37569 , 5.244 , 5.21e-10 , 1.05e-10 , 2.257 , 0.11 , -9.9 , PowerLaw , 2.257 , N , , 1FGL J0505.8-0416 , 41.67
550 , 3FGL J0505.5-1558 , TXS 0503-160 , bcu , 76.38292 , -15.974 , 6.272 , 3.69e-10 , 7.60e-11 , 2.102 , 0.142 , -9.9 , PowerLaw , 2.102 , N , , , 38.455
551 , 3FGL J0506.3-0357 , , , 76.58625 , -3.95219 , 4.262 , 4.18e-10 , 1.04e-10 , 2.168 , 0.134 , -9.9 , PowerLaw , 2.168 , N , , 1FGL J0505.8-0416 , 27.292
552 , 3FGL J0506.9+0321 , , , 76.735 , 3.36158 , 4.608 , 2.39e-10 , 7.94e-11 , 1.804 , 0.217 , -9.9 , PowerLaw , 1.804 , N , , , 33.12
553 , 3FGL J0507.5-0906 , , , 76.88792 , -9.10169 , 5.586 , 3.9e-10 , 8.24e-11 , 2.344 , 0.136 , -9.9 , PowerLaw , 2.344 , N , , , 44.287
554 , 3FGL J0506.9-5435 , 1ES 0505-546 , bcu , 76.74292 , -54.58369 , 14.856 , 5.98e-10 , 7.86e-11 , 1.603 , 0.09 , -9.9 , PowerLaw , 1.603 , N , , 1FGL J0506.9-5435 , 43.189
555 , 3FGL J0508.2-1936 , PMN J0508-1936 , bcu , 77.06208 , -19.61258 , 4.589 , 2.56e-10 , 6.45e-11 , 2.375 , 0.161 , -9.9 , PowerLaw , 2.375 , N , , , 44.338
556 , 3FGL J0507.1-6102 , PKS 0506-61 , fsrq , 76.78 , -61.04997 , 20.019 , 1.03e-9 , 9.29e-11 , 2.518 , 0.056 , -9.9 , PowerLaw , 2.518 , N , , 1FGL J0507.3-6103 , 147.888
557 , 3FGL J0509.3+1012 , PKS 0506+101 , fsrq , 77.34542 , 10.2005 , 10.136 , 7.65e-10 , 1.08e-10 , 2.56 , 0.084 , -9.9 , PowerLaw , 2.56 , N , , 1FGL J0509.2+1015 , 70.941
558 , 3FGL J0509.4+0541 , TXS 0506+056 , bll , 77.36375 , 5.699 , 54.503 , 6.51e-9 , 2.28e-10 , 2.037 , 0.025 , -9.9 , PowerLaw , 2.037 , N , , 1FGL J0509.3+0540 , 285.297
559 , 3FGL J0510.0+1802 , PKS 0507+17 , fsrq , 77.52417 , 18.03589 , 14.465 , 1.33e-9 , 1.32e-10 , 2.409 , 0.065 , -9.9 , PowerLaw , 2.409 , N , , 1FGL J0510.0+1800 , 114.789
560 , 3FGL J0509.7-0400 , 1H 0506-039 , bll , 77.42708 , -4.01019 , 4.094 , 1.9e-10 , 7.73e-11 , 1.649 , 0.229 , -9.9 , PowerLaw , 1.649 , N , , , 26.155
561 , 3FGL J0512.2+2918 , B2 0509+29 , bcu , 78.06292 , 29.312 , 4.596 , 4.37e-10 , 1.09e-10 , 2.569 , 0.148 , -9.9 , PowerLaw , 2.569 , N , , , 61.602
562 , 3FGL J0509.7-6418 , RBS 0625 , bcu , 77.43875 , -64.3055 , 8.47 , 4.03e-10 , 6.89e-11 , 2 , 0.136 , -9.9 , PowerLaw , 2 , N , , , 52.283
563 , 3FGL J0512.9+4038 , B3 0509+406 , bcu , 78.24875 , 40.647 , 7.336 , 7.21e-10 , 1.18e-10 , 2.1 , 0.104 , -9.9 , PowerLaw , 2.1 , N , , , 56.46
564 , 3FGL J0516.3+7351 , GB6 J0516+7350 , bll , 79.095 , 73.85928 , 9.462 , 4.77e-10 , 7.54e-11 , 1.966 , 0.142 , -9.9 , PowerLaw , 1.966 , N , , 1FGL J0515.2+7355 , 51.584
565 , 3FGL J0514.4+5603 , TXS 0510+559 , fsrq , 78.60583 , 56.05578 , 7.248 , 4.32e-10 , 9.41e-11 , 2.715 , 0.116 , -9.9 , PowerLaw , 2.715 , N , , , 63.594
566 , 3FGL J0512.0-3737 , , , 78.015 , -37.62308 , 4.127 , 2.4e-10 , 6.84e-11 , 2.075 , 0.212 , -9.9 , PowerLaw , 2.075 , N , , , 39.736
567 , 3FGL J0515.8+1526 , GB6 J0515+1527 , bll , 78.96375 , 15.4385 , 15.895 , 1.52e-9 , 1.41e-10 , 2.069 , 0.068 , -9.9 , PowerLaw , 2.069 , N , , 1FGL J0515.9+1528 , 56.568
568 , 3FGL J0515.5-0123 , NVSS J051536-012427 , bcu , 78.89292 , -1.39669 , 4.623 , 2.18e-10 , 7.28e-11 , 1.755 , 0.182 , -9.9 , PowerLaw , 1.755 , N , , , 33.333
569 , 3FGL J0514.6-4406 , , , 78.67458 , -44.11328 , 9.036 , 3.51e-10 , 7.32e-11 , 2.282 , 0.255 , 0.617 , LogParabo , 2.612 , N , , 1FGL J0515.6-4404 , 58.748
570 , 3FGL J0517.4+4540 , 4C +45.08 , fsrq , 79.37333 , 45.66789 , 4.693 , 4.45e-10 , 1.04e-10 , 2.461 , 0.141 , -9.9 , PowerLaw , 2.461 , N , , , 149.199
571 , 3FGL J0515.3-4557 , PKS 0514-459 , fsrq , 78.83125 , -45.95439 , 4.974 , 3.18e-10 , 7.21e-11 , 2.437 , 0.179 , -9.9 , PowerLaw , 2.437 , N , , , 43.526
572 , 3FGL J0516.6+1012 , , , 79.17 , 10.20619 , 4.3 , 3.1e-10 , 1.14e-10 , 2 , 0.301 , -9.9 , PowerLaw , 2 , N , , , 36.386
573 , 3FGL J0517.1+2628c , , , 79.29125 , 26.47878 , 7.041 , 8.33e-10 , 1.38e-10 , 2.53 , 0.097 , -9.9 , PowerLaw , 2.53 , N , , , 49.735
574 , 3FGL J0517.5+0902 , PMN J0517+0858 , fsrq , 79.39333 , 9.03678 , 4.756 , 5.28e-10 , 1.31e-10 , 2.298 , 0.178 , -9.9 , PowerLaw , 2.298 , N , , 1FGL J0517.6+0857 , 36.568
