_id ,plotkin10_name , RA, Dec, LII , BII , Redshift , SDSSclassification , RMAG , RadioFluxDensityat1.4GHz, other_name
 76 , "SDSS J082051.20+235345.2" , 125.21333 , 23.89589 , "199.5" , "29.61" , 0.402 , "H " , 18.1 , 39.13 ,,
 77 , "SDSS J082324.75+222303.2" , 125.85292 , 22.38425 , "201.36" , "29.67" , -1 , "H " , 19.5 , 2163.9 ,,
 78 , "SDSS J082323.24+152447.9" , 125.84667 , 15.41331 , "208.75" , "27.14" , 0.167 , "H " , 18.1 , 25.99 ,,
 79 , "SDSS J082320.56+112551.6" , 125.83542 , 11.431 , "212.81" , "25.52" , 0.44 , "H " , 19.5 , 8.92 ,,
 80 , "SDSS J082603.93+413043.8" , 126.51625 , 41.51217 , "179.49" , "34.72" , -1 , "H " , 19.6 , 12.68 ,,
 81 , "SDSS J082722.73+032755.9" , 126.84458 , 3.46553 , "221.12" , "22.87" , 2.023 , "H " , 18.5 , 0.94 ,,
 82 , "SDSS J082814.20+415351.9" , 127.05917 , 41.89775 , "179.09" , "35.17" , 0.226 , "H " , 18.3 , 78.69 ,,
 83 , "SDSS J082801.14+231217.6" , 127.00458 , 23.20489 , "200.86" , "30.94" , -1 , "H " , 20 , 30.92 ,,
 84 , "SDSS J083133.04+174630.8" , 127.8875 , 17.77522 , "207.1" , "29.85" , -1 , "H " , 18.6 , 25.21 ,,
 85 , "SDSS J083223.22+491321.0" , 128.09667 , 49.2225 , "170.13" , "36.38" , -1 , "H " , 19.4 , 364.61 ,,
 86 , "SDSS J083148.87+042939.0" , 127.95333 , 4.49417 , "220.69" , "24.33" , 0.174 , "H " , 15.4 , 738.57 ,,
 87 , "SDSS J083357.08+472652.9" , 128.4875 , 47.44803 , "172.35" , "36.6" , 0.494 , "H " , 18.9 , 11.77 ,,
 88 , "SDSS J083413.90+511214.6" , 128.55792 , 51.20406 , "167.67" , "36.67" , 2.209 , "H " , 19.8 , 1.94 ,,
 89 , "SDSS J083417.58+182501.6" , 128.57292 , 18.41711 , "206.69" , "30.69" , 0.336 , "H " , 19.4 , 16.42 ,,
 90 , "SDSS J083458.20+440338.1" , 128.7425 , 44.06061 , "176.57" , "36.6" , -1 , "H " , 17.8 , 147.88 ,,
 91 , "SDSS J083548.14+151717.0" , 128.95042 , 15.28806 , "210.2" , "29.85" , 0.168 , "L " , 17.7 , 48.66 ,,
 92 , "SDSS J083543.21+093717.9" , 128.93 , 9.62164 , "216.08" , "27.5" , -1 , "H " , 18.3 , 75.11 ,,
 93 , "SDSS J083650.86+142539.1" , 129.21167 , 14.42753 , "211.23" , "29.74" , 1.717 , "L " , 18.9 , 1 ,,
 94 , "SDSS J083724.71+145819.8" , 129.35292 , 14.97217 , "210.71" , "30.08" , 0.278 , "H " , 17.5 , 62.85 ,,
 95 , "SDSS J083743.98+175920.4" , 129.43292 , 17.989 , "207.5" , "31.29" , 0.313 , "H " , 18.5 , 9.21 ,,
 96 , "SDSS J083918.74+361856.1" , 129.82792 , 36.31558 , "186.27" , "36.53" , 0.335 , "H " , 19.6 , 5.47 ,,
 97 , "SDSS J083943.36+354001.4" , 129.93042 , 35.66706 , "187.09" , "36.5" , -1 , "H " , 18.8 , 64.06 ,,
 98 , "SDSS J083930.71+180247.1" , 129.87792 , 18.04642 , "207.62" , "31.71" , 0.42 , "H " , 17.2 , 386.58 ,,
 99 , "SDSS J084013.03+344026.9" , 130.05417 , 34.67414 , "188.33" , "36.43" , 0.451 , "H " , 19.4 , 27.34 ,,
 100 , "SDSS J084056.05+372105.8" , 130.23333 , 37.35161 , "185.06" , "37" , -1 , "H " , 19.2 , 18.38 ,,
 101 , "SDSS J084225.51+025252.7" , 130.60625 , 2.88131 , "223.64" , "25.89" , 0.425 , "H " , 19 , 17.36 ,,
 102 , "SDSS J084325.59+110159.7" , 130.85625 , 11.03325 , "215.56" , "29.82" , -1 , "H " , 20.4 , 3.47 ,,
 103 , "SDSS J084424.24+124546.5" , 131.10083 , 12.76292 , "213.85" , "30.76" , 2.466 , "H " , 18 , 4.17 ,,
 104 , "SDSS J084452.27+280409.9" , 131.2175 , 28.06942 , "196.59" , "35.98" , 0.453 , "H " , 20.2 , 1.77 ,,
 105 , "SDSS J084712.93+113350.2" , 131.80375 , 11.56394 , "215.45" , "30.88" , 0.198 , "H " , 17.9 , 34.37 ,,
 106 , "SDSS J084908.81+020622.5" , 132.28667 , 2.10625 , "225.32" , "26.98" , -1 , "H " , 19.1 , 59.79 ,,
 107 , "SDSS J084932.54+045507.8" , 132.38542 , 4.91886 , "222.59" , "28.42" , -1 , "H " , 17.8 , 174.09 ,,
 108 , "SDSS J085025.60+342750.9" , 132.60667 , 34.46414 , "189.04" , "38.47" , 1.389 , "L " , 18.7 , 0.97 ,,
 109 , "SDSS J085036.20+345522.6" , 132.65083 , 34.92294 , "188.46" , "38.57" , 0.145 , "H " , 17.5 , 31.19 ,,
 110 , "SDSS J085135.93+552834.5" , 132.89958 , 55.47625 , "162.02" , "38.91" , -1 , "H " , 18.2 , 139.06 ,,
 111 , "SDSS J085102.97+054905.9" , 132.76208 , 5.81831 , "221.88" , "29.18" , 0.486 , "H " , 19.1 , 8.17 ,,
 112 , "SDSS J085229.10+243354.4" , 133.12125 , 24.56511 , "201.35" , "36.69" , 0.358 , "H " , 19 , 44.78 ,,
 113 , "SDSS J085253.08+175718.5" , 133.22083 , 17.95514 , "209.09" , "34.64" , 0.211 , "H " , 19.8 , 1 ,,
 114 , "SDSS J085254.40+180000.7" , 133.22667 , 18.00019 , "209.04" , "34.66" , 0.499 , "H " , 20.9 , 2.11 ,,
 115 , "SDSS J085409.89+440830.2" , 133.54083 , 44.14172 , "176.66" , "40.05" , -1 , "H " , 16.9 , 73.86 ,,
 116 , "SDSS J085410.16+275421.7" , 133.54208 , 27.90603 , "197.42" , "37.93" , 0.494 , "H " , 19.7 , 14.58 ,,
 117 , "SDSS J085448.87+200630.7" , 133.70333 , 20.10853 , "206.81" , "35.82" , -1 , "H " , 15.4 , 1182.12 ,,
 118 , "SDSS J085506.39+260142.1" , 133.77625 , 26.02836 , "199.78" , "37.66" , 0.695 , "H " , 20.1 , 29.68 ,,
 119 , "SDSS J085639.74+205743.3" , 134.16542 , 20.96203 , "205.99" , "36.51" , -1 , "H " , 18.2 , 189.05 ,,
 120 , "SDSS J085638.50+014000.6" , 134.16042 , 1.66686 , "226.8" , "28.38" , 0.448 , "H " , 19.3 , 6.97 ,,
 121 , "SDSS J085701.00+234239.5" , 134.25417 , 23.71097 , "202.74" , "37.43" , 1.522 , "L " , 19 , 1.12 ,,
 122 , "SDSS J085729.78+062725.0" , 134.37375 , 6.45694 , "222.1" , "30.89" , 0.338 , "H " , 19.5 , 8.93 ,,
 123 , "SDSS J085749.80+013530.3" , 134.4575 , 1.59175 , "227.04" , "28.6" , 0.281 , "H " , 17.9 , 83.13 ,,
 124 , "SDSS J085920.55+004712.1" , 134.83542 , 0.78669 , "228.05" , "28.52" , -1 , "H " , 18.8 , 44.68 ,,
 125 , "SDSS J090107.64+384658.8" , 135.28167 , 38.783 , "183.79" , "41.11" , 1.329 , "H " , 18.2 , 1.76 ,,
 126 , "SDSS J090207.95+454433.0" , 135.53292 , 45.7425 , "174.53" , "41.44" , 0.289 , "H " , 19 , 19.5 ,,
 127 , "SDSS J090226.91+205046.4" , 135.61208 , 20.84622 , "206.67" , "37.75" , -1 , "H " , 16.3 , 62.85 ,,
 128 , "SDSS J090314.70+405559.8" , 135.81125 , 40.93328 , "180.95" , "41.64" , 0.188 , "H " , 18.2 , 29.65 ,,
 129 , "SDSS J090334.27+285359.2" , 135.8925 , 28.89978 , "196.78" , "40.17" , 0.527 , "H " , 19.3 , 46.49 ,,
 130 , "SDSS J090523.60+575912.4" , 136.34833 , 57.98678 , "158.36" , "40.31" , 0.711 , "H " , 19.4 , 0.99 ,,
 131 , "SDSS J090700.08+085751.3" , 136.75 , 8.96425 , "220.74" , "34.14" , 1.331 , "H " , 19.6 , 9.47 ,,
 132 , "SDSS J090818.95+214820.0" , 137.07875 , 21.80556 , "206.06" , "39.35" , 2.089 , "L " , 19.1 , 4.73 ,,
 133 , "SDSS J090843.25+285229.8" , 137.18 , 28.87494 , "197.13" , "41.27" , 0.93 , "H " , 18.5 , 0.92 ,,
 134 , "SDSS J090900.62+231113.0" , 137.2525 , 23.18694 , "204.41" , "39.91" , 0.431 , "H " , 17.9 , 47.75 ,,
 135 , "SDSS J090855.92+160954.8" , 137.23292 , 16.16519 , "212.89" , "37.55" , 0.652 , "H " , 19.5 , 215.54 ,,
 136 , "SDSS J090953.28+310603.1" , 137.47167 , 31.10086 , "194.27" , "41.94" , 0.272 , "H " , 17.7 , 73.83 ,,
 137 , "SDSS J090939.84+020005.3" , 137.41583 , 2.00144 , "228.37" , "31.36" , -1 , "H " , 19.5 , 317.54 ,,
 138 , "SDSS J091037.03+332924.4" , 137.65417 , 33.49011 , "191.12" , "42.46" , -1 , "H " , 15.6 , 106.23 ,,
