_id , bat54_name , RA, Dec, LII, BII, Flux, Type , Redshift , Bzcat counterpart, other_name
1 , "PBC J0002.5+0320" , 0.6425 , 3.33714 , "99.89" , "-57.34" , "(9+/-6)x10-12" , "Sy1 " , 0.026 , " -- " , "NGC 7811 "
2 , "PBC J0004.1+7017" , 1.035 , 70.29772 , "118.93" , "7.79" , "(9+/-5.5)x10-12" , "AG? " , 0.096 , " -- " , "2MASX J0004019"
3 , "PBC J0006.3+2012" , 1.59125 , 20.19944 , "108.77" , "-41.43" , "(14.4+/-7.9)x10-12" , "Sy1 " , 0.025 , " -- " , "Mrk 335 "
4 , "PBC J0009.3-0034" , 2.33792 , -0.57617 , "100.36" , "-61.59" , "(8.2+/-5)x10-12" , "Sy2 " , 0.073 , " -- " , "2MASX J0009115"
5 , "PBC J0009.3-0034" , 2.33792 , -0.57617 , "100.36" , "-61.59" , "(8.2+/-5)x10-12" , "Sy1 " , 0.04 , " -- " , "[VV2003c] J000"
6 , "PBC J0010.4+1059" , 2.60542 , 10.99 , "106.95" , "-50.61" , "(24.6+/-6.6)x10-12" , "BLA " , 0.089 , "BZQ (FSRQ)" , "Mrk 1501 "
7 , "PBC J0014.3-1851" , 3.57833 , -18.85989 , "75.09" , "-78.12" , "(5.8+/-3.6)x10-12" , "BLA " , 0.094 , " -- " , "BZBJ0013-1854 "
8 , "PBC J0018.3+8135" , 4.60542 , 81.58733 , "121.66" , "18.79" , "(9.2+/-5.2)x10-12" , "BLA " , 3.387 , "BZQ (FSRQ)" , "S5 0014+81 "
9 , "PBC J0017.4-8152" , 4.36542 , -81.87031 , "304.39" , "-35.17" , "(4.9+/-3.7)x10-12" , "X " , 0 , " -- " , "1RXS J001928.1"
10 , "PBC J0021.0-1908" , 5.26375 , -19.14517 , "80.19" , "-79.4" , "(11.1+/-6.9)x10-12" , "X " , 0.095 , " -- " , "1RXSJ002108.1-"
11 , "PBC J0023.0+6138" , 5.73292 , 61.65475 , "119.55" , "-1.03" , "(5.3+/-3.1)x10-12" , "CV* " , 0 , " -- " , "IGR J00234+614"
12 , "PBC J0024.9+6407" , 6.29125 , 64.17125 , "120.07" , "1.44" , "(13.5+/-7.2)x10-12" , "SNR " , 0 , " -- " , "TYCHO SNR "
13 , "PBC J0025.6+6823" , 6.39417 , 68.40061 , "120.54" , "5.65" , "(14.3+/-9)x10-12" , "Sy2 " , 0.012 , " -- " , "IGR J00256+682"
14 , "PBC J0025.8-1900" , 6.46958 , -19.00586 , "85.73" , "-79.98" , "(7.6+/-5.5)x10-12" , "X " , 0 , " -- " , "1RXS J002605.4"
15 , "PBC J0025.8-1900" , 6.46958 , -19.00586 , "85.73" , "-79.98" , "(7.6+/-5.5)x10-12" , "Sy1 " , 0.245 , " -- " , "2MASX J0025423"
16 , "PBC J0026.7-5309" , 6.68458 , -53.1625 , "311.26" , "-63.57" , "(9+/-6.2)x10-12" , "X " , 0.063 , " -- " , "1RXS J002640.2"
17 , "PBC J0028.9+5917" , 7.21292 , 59.29625 , "120.04" , "-3.45" , "(68.4+/-3)x10-12" , "DQ* " , 0 , " -- " , "V709 Cas "
18 , "PBC J0029.3+1317" , 7.30292 , 13.26497 , "114.63" , "-49.25" , "(9.7+/-5.8)x10-12" , "Sy1 " , 0.145 , " -- " , "RBS 0068 "
19 , "PBC J0030.5-5902" , 7.64708 , -59.04169 , "307.97" , "-57.89" , "(9.9+/-6.2)x10-12" , " " , 0 , " -- " , "PBC J0030.5-59"
20 , "PBC J0033.2+6130" , 8.43333 , 61.46586 , "120.81" , "-1.34" , "(14.9+/-5.3)x10-12" , "Sy1 " , 0.105 , " -- " , "IGR J00333+612"
21 , "PBC J0034.6-0424" , 8.6525 , -4.40333 , "112.17" , "-66.93" , "(12.2+/-7.7)x10-12" , "G " , 0 , " -- " , "2MASX J0034328"
22 , "PBC J0034.1-7906" , 8.54292 , -79.11303 , "303.96" , "-37.99" , "(4.4+/-2.6)x10-12" , "Sy1 " , 0.074 , " -- " , "2MASX J0034166"
23 , "PBC J0035.8+5951" , 8.95417 , 59.84892 , "120.96" , "-2.97" , "(24.7+/-4)x10-12" , "BLA " , 0 , "BZB (BL Lac)" , "1ES 0033+59.5 "
24 , "PBC J0036.3+4539" , 9.06458 , 45.64011 , "120.15" , "-17.15" , "(10.3+/-6)x10-12" , "Sy1 " , 0.048 , " -- " , "2MASX J0036209"
25 , "PBC J0037.2+6120" , 9.22917 , 61.38431 , "121.19" , "-1.44" , "(16.4+/-5.7)x10-12" , "HXB " , 0 , " -- " , "IGR J00370+612"
26 , "PBC J0038.5+2336" , 9.62792 , 23.60664 , "119.11" , "-39.17" , "(9.8+/-6.5)x10-12" , "G " , 0.025 , " -- " , "Mrk 344 "
27 , "PBC J0040.5+2542" , 10.14292 , 25.71483 , "119.86" , "-37.1" , "(5.1+/-3.2)x10-12" , " " , 0 , " -- " , "PBC J0040.5+25"
28 , "PBC J0041.6+2534" , 10.39542 , 25.57111 , "120.13" , "-37.25" , "(9.5+/-6.2)x10-12" , "LIN " , 0.015 , " -- " , "NGC 214 "
29 , "PBC J0041.7-0920" , 10.43583 , -9.36258 , "115.13" , "-72.09" , "(5.8+/-3.5)x10-12" , "ClG " , 0.052 , " -- " , "ABELL 0085 "
30 , "PBC J0040.9-7915" , 10.23667 , -79.25781 , "303.55" , "-37.86" , "(4+/-2.6)x10-12" , "Sy1 " , 0.033 , " -- " , "2MASX J0040462"
31 , "PBC J0042.6+4111" , 10.6675 , 41.17447 , "121.15" , "-21.67" , "(6.7+/-3.7)x10-12" , "LXB " , 0 , " -- " , "RX J004241+411"
32 , "PBC J0042.7+3017" , 10.69583 , 30.31247 , "120.71" , "-32.53" , "(12.4+/-6.9)x10-12" , "Sy1 " , 0.14 , " -- " , "1RXS J004240.8"
33 , "PBC J0042.8-2331" , 10.71958 , -23.53644 , "94.17" , "-85.92" , "(46+/-4.3)x10-12" , "Sy2 " , 0.022 , " -- " , "NGC 235A "
34 , "PBC J0042.9-1135" , 10.74458 , -11.59183 , "115.23" , "-74.34" , "(3.9+/-2.4)x10-12" , " " , 0 , " -- " , "PBC J0042.9-11"
35 , "PBC J0046.1-4007" , 11.52667 , -40.123 , "307.45" , "-76.97" , "(10.2+/-6.3)x10-12" , "G " , 0.226 , " -- " , "ATESP J004620-"
36 , "PBC J0048.7+3157" , 12.18458 , 31.95433 , "122.26" , "-30.92" , "(135.2+/-2.9)x10-12" , "BLA " , 0.015 , "BZU (uncertain type)" , "Mrk 348 "
37 , "PBC J0050.8+7648" , 12.71958 , 76.81583 , "122.89" , "13.94" , "(9.7+/-6.2)x10-12" , "X " , 0 , " -- " , "1RXS J005107.0"
38 , "PBC J0051.9+1725" , 13.00958 , 17.4365 , "123.13" , "-45.44" , "(26.6+/-5.3)x10-12" , "Sy1 " , 0.064 , " -- " , "Mrk 1148 "
39 , "PBC J0051.8-7318" , 12.91333 , -73.31542 , "302.91" , "-43.82" , "(13.8+/-7.4)x10-12" , "SNR " , 0 , " -- " , "SNR B0049-73.6"
40 , "PBC J0053.2-0844" , 13.32167 , -8.73581 , "124.37" , "-71.61" , "(9.5+/-6.4)x10-12" , "Sy1 " , 0.019 , " -- " , "NGC 291 "
41 , "PBC J0052.6-7220" , 13.15458 , -72.3355 , "302.8" , "-44.8" , "(7.6+/-4.3)x10-12" , "XB* " , 0 , " -- " , "SXP 327 "
42 , "PBC J0054.6+2521" , 13.71 , 25.41464 , "123.89" , "-37.45" , "(9.5+/-5.2)x10-12" , "Sy1 " , 0.155 , " -- " , "RBS 0130 "
43 , "PBC J0055.3+4612" , 13.8375 , 46.20194 , "123.63" , "-16.67" , "(20.1+/-7.4)x10-12" , "CV* " , 0 , " -- " , "XSS J00564+454"
44 , "PBC J0056.5+6043" , 14.17375 , 60.71447 , "123.57" , "-2.15" , "(68.4+/-2.3)x10-12" , "Be* " , 0 , " -- " , "gam Cas "
45 , "PBC J0057.2+6401" , 14.31708 , 64.03236 , "123.57" , "1.16" , "(8.4+/-5.2)x10-12" , " " , 0 , " -- " , "PBC J0057.2+64"
46 , "PBC J0056.8-6002" , 14.20708 , -60.04942 , "301.69" , "-57.07" , "(14.8+/-5.5)x10-13" , " " , 0 , " -- " , "PBC J0056.8-60"
47 , "PBC J0058.0-1648" , 14.52 , -16.81583 , "131.74" , "-79.58" , "(6.4+/-4.6)x10-12" , " " , 0 , " -- " , "PBC J0058.0-16"
48 , "PBC J0059.8+3150" , 14.97708 , 31.84739 , "125.03" , "-30.99" , "(29.1+/-4)x10-12" , "Sy1 " , 0.015 , " -- " , "Mrk 352 "
49 , "PBC J0100.6-4752" , 15.18167 , -47.87533 , "298.54" , "-69.18" , "(11.7+/-6.7)x10-12" , "Sy1 " , 0.049 , " -- " , "ESO 195-IG 021"
50 , "PBC J0101.4-0307" , 15.35708 , -3.12414 , "129.04" , "-65.88" , "(10.2+/-6.6)x10-12" , "X " , 0 , " -- " , "1RXS J010123.5"
51 , "PBC J0102.7-7241" , 15.68292 , -72.68658 , "301.75" , "-44.42" , "(6.3+/-3.4)x10-12" , "HXB " , 0 , " -- " , "RX J0104.1-724"
52 , "PBC J0102.7-7241" , 15.68292 , -72.68658 , "301.75" , "-44.42" , "(6.3+/-3.4)x10-12" , "HXB " , 0 , " -- " , "XTE J0103-728 "
53 , "PBC J0105.3+3602" , 16.32625 , 36.03864 , "126.07" , "-26.75" , "(4.3+/-2.7)x10-12" , " " , 0 , " -- " , "PBC J0105.3+36"
54 , "PBC J0105.5-4211" , 16.37458 , -42.19222 , "293.04" , "-74.67" , "(10.4+/-6.4)x10-12" , "G " , 0.03 , " -- " , "MCG-07-03-007 "
55 , "PBC J0105.7-1415" , 16.4325 , -14.25622 , "138.15" , "-76.71" , "(13+/-6)x10-12" , "Sy1 " , 0.067 , " -- " , "RBS 0149 "
56 , "PBC J0106.8+0637" , 16.72875 , 6.64164 , "129.82" , "-56.03" , "(9.5+/-5.5)x10-12" , "Sy2 " , 0.041 , " -- " , "2MASX J0106452"
57 , "PBC J0107.8-1137" , 16.96958 , -11.605 , "137.69" , "-74.01" , "(9.5+/-6.1)x10-12" , "G " , 0.047 , " -- " , "2MFGC 829 "
58 , "PBC J0108.8+1320" , 17.19292 , 13.33847 , "129.4" , "-49.32" , "(2.6+/-1.5)x10-11" , "Sy2 " , 0.06 , " -- " , "3C 033 "
59 , "PBC J0108.3-5826" , 17.08375 , -58.43675 , "298.69" , "-58.56" , "(5.5+/-3.7)x10-12" , " " , 0 , " -- " , "PBC J0108.3-58"
60 , "PBC J0111.1-1616" , 17.785 , -16.26564 , "146.73" , "-78.22" , "(10.3+/-6)x10-12" , "Sy1 " , 0.05 , " -- " , "2MASX J0111143"
61 , "PBC J0111.5-3804" , 17.8975 , -38.07936 , "283.06" , "-78.27" , "(19.5+/-8.8)x10-12" , "Sy2 " , 0.012 , " -- " , "NGC 424 "
62 , "PBC J0113.7+1314" , 18.47083 , 13.22367 , "131.32" , "-49.29" , "(13.2+/-8.5)x10-12" , "Sy1 " , 0.049 , " -- " , "Mrk 975 "
63 , "PBC J0113.8-1450" , 18.45042 , -14.84522 , "147.01" , "-76.66" , "(20.4+/-6.1)x10-12" , "Sy1 " , 0.052 , " -- " , "Mrk 1152 "
64 , "PBC J0114.3-3240" , 18.55417 , -32.67567 , "262.64" , "-82.58" , "(15.7+/-9.1)x10-12" , "Sy2 " , 0.012 , " -- " , "IC 1663 "
65 , "PBC J0114.4-5524" , 18.6025 , -55.40111 , "296.1" , "-61.43" , "(14.9+/-8.6)x10-12" , "Sy2 " , 0.012 , " -- " , "NGC 454E "
66 , "PBC J0116.3+3102" , 19.09458 , 31.04344 , "129.19" , "-31.53" , "(8.5+/-5)x10-12" , "GiP " , 0.017 , " -- " , "NGC 452 "
67 , "PBC J0116.3+3102" , 19.09458 , 31.04344 , "129.19" , "-31.53" , "(8.5+/-5)x10-12" , "GiP " , 0 , " -- " , "KPG 28 "
68 , "PBC J0115.9-6248" , 18.99 , -62.80231 , "298.15" , "-54.1" , "(6.2+/-4)x10-12" , "Sy1 " , 0.089 , " -- " , "2MASX J0115406"
69 , "PBC J0116.7-1236" , 19.19833 , -12.61619 , "146.42" , "-74.32" , "(7.8+/-4.8)x10-12" , " " , 0 , " -- " , "PBC J0116.7-12"
70 , "PBC J0118.0+6517" , 19.51083 , 65.29472 , "125.7" , "2.56" , "(146.6+/-2.6)x10-12" , "HXB " , 0 , " -- " , "3A 0114+650 "
71 , "PBC J0118.5+6343" , 19.6325 , 63.73053 , "125.92" , "1.01" , "(54.7+/-2.7)x10-12" , "HXB " , 0 , " -- " , "V* V635 Cas "
72 , "PBC J0117.1-7326" , 19.30292 , -73.44075 , "300.4" , "-43.57" , "(362.3+/-2)x10-12" , "HXB " , 0 , " -- " , "SMC X-1 "
73 , "PBC J0120.8-0829" , 20.20083 , -8.49028 , "144.73" , "-70.11" , "(7.5+/-4.4)x10-12" , "Sy1 " , 0.23 , " -- " , "2MASS J0120475"
74 , "PBC J0120.8-0829" , 20.20083 , -8.49028 , "144.73" , "-70.11" , "(7.5+/-4.4)x10-12" , "Sy2 " , 0.224 , " -- " , "FBQS J0120-083"
75 , "PBC J0120.8-1444" , 20.20333 , -14.7465 , "153.31" , "-75.86" , "(9.4+/-5.8)x10-12" , "G " , 0.039 , " -- " , "MCG-03-04-054 "
76 , "PBC J0122.3+5004" , 20.62875 , 50.06794 , "128.03" , "-12.5" , "(11.6+/-6.8)x10-12" , "Sy2 " , 0.021 , " -- " , "MCG+08-03-018 "
77 , "PBC J0123.1+3421" , 20.78167 , 34.36078 , "130.33" , "-28.06" , "(10.5+/-5.8)x10-12" , "BLA " , 0.272 , "BZB (BL Lac)" , "1ES 0120+340 "
78 , "PBC J0122.7-7322" , 20.6975 , -73.37269 , "299.84" , "-43.57" , "(10+/-5.4)x10-12" , " " , 0 , " -- " , "PBC J0122.7-73"
79 , "PBC J0123.9-3503" , 20.97708 , -35.06375 , "263.74" , "-79.47" , "(53.1+/-3.2)x10-12" , "Sy1 " , 0.019 , " -- " , "NGC 526 "
80 , "PBC J0124.4+3346" , 21.12042 , 33.77989 , "130.74" , "-28.59" , "(2.2+/-1.3)x10-11" , "Sy2 " , 0.02 , " -- " , "NGC 0513 "
81 , "PBC J0123.8-5847" , 20.93042 , -58.79556 , "295.07" , "-57.84" , "(42.2+/-3.3)x10-12" , "Sy1 " , 0.047 , " -- " , "RBS 0194 "
82 , "PBC J0126.0+1518" , 21.485 , 15.29903 , "135.12" , "-46.76" , "(10.6+/-6.7)x10-12" , "Sy1 " , 0.111 , " -- " , "RHS 10 "
83 , "PBC J0127.5+1909" , 21.88708 , 19.16469 , "134.6" , "-42.89" , "(8.7+/-5.1)x10-12" , "Sy1 " , 0.017 , " -- " , "Mrk 359 "
84 , "PBC J0128.0-1848" , 22.02125 , -18.78247 , "170.11" , "-78.15" , "(15.6+/-8.9)x10-12" , "Sy1 " , 0.043 , " -- " , "RBS 0203 "
85 , "PBC J0128.5+1628" , 22.12583 , 16.48114 , "135.65" , "-45.48" , "(12+/-7.9)x10-12" , "GiP " , 0.039 , " -- " , "MCG+03-04-043 "
86 , "PBC J0128.6-6038" , 22.17333 , -60.64669 , "294.79" , "-55.9" , "(4.6+/-2.8)x10-12" , " " , 0 , " -- " , "PBC J0128.6-60"
87 , "PBC J0129.7-4218" , 22.43333 , -42.31647 , "278.17" , "-72.93" , "(7.5+/-4.3)x10-12" , "X " , 0 , " -- " , "PBCX J012951.6"
88 , "PBC J0132.0-3306" , 23.01958 , -33.11158 , "249.64" , "-79.38" , "(11.4+/-6.4)x10-12" , "Sy2 " , 0.017 , " -- " , "ESO 353- G 009"
89 , "PBC J0130.2-8108" , 22.57417 , -81.13514 , "301.09" , "-35.86" , "(3.9+/-2.3)x10-12" , " " , 0 , " -- " , "PBC J0130.2-81"
90 , "PBC J0132.5-7426" , 23.14042 , -74.44503 , "299.21" , "-42.39" , "(4.1+/-2.7)x10-12" , " " , 0 , " -- " , "PBC J0132.5-74"
91 , "PBC J0134.0-3630" , 23.51083 , -36.49133 , "261.6" , "-77" , "(4.7+/-1.5)x10-11" , "Sy2 " , 0.03 , " -- " , "NGC 612 "
92 , "PBC J0134.5-0428" , 23.69167 , -4.51544 , "149.39" , "-65.14" , "(16.1+/-8.9)x10-12" , "Sy1 " , 0.079 , " -- " , "RBS 0216 "
93 , "PBC J0136.5+2056" , 24.13875 , 20.93397 , "136.87" , "-40.72" , "(5.5+/-3.2)x10-12" , "Sy1 " , 0.425 , " -- " , "3C 47 "
94 , "PBC J0138.6-4000" , 24.67708 , -40.00608 , "268.66" , "-73.83" , "(57.9+/-3.4)x10-12" , "Sy2 " , 0.025 , " -- " , "ESO 297- G 018"
95 , "PBC J0140.4-5320" , 25.09167 , -53.34994 , "287.16" , "-62.26" , "(12.3+/-6.7)x10-12" , "G " , 0.072 , " -- " , "2MASX J0140267"
96 , "PBC J0146.3+6144" , 26.59958 , 61.7415 , "129.38" , "-0.44" , "(8.1+/-2.6)x10-11" , "Psr " , 0 , " -- " , "4U 0142+614 "
97 , "PBC J0147.0+6122" , 26.76625 , 61.37303 , "129.54" , "-0.79" , "(8.6+/-5.1)x10-12" , "HXB " , 0 , " -- " , "V* V831 Cas "
98 , "PBC J0147.1-6609" , 26.79833 , -66.15603 , "294.21" , "-50.02" , "(5.1+/-3.1)x10-12" , "Sy1 " , 0.027 , " -- " , "ESO 80-5 "
99 , "PBC J0149.3-5017" , 27.33792 , -50.29342 , "281.29" , "-64.34" , "(8.3+/-5.1)x10-12" , "G " , 0 , " -- " , "2MASX J0149222"
100 , "PBC J0152.7-0327" , 28.21167 , -3.44789 , "157.36" , "-62.14" , "(25.8+/-9.1)x10-12" , "Sy2 " , 0.017 , " -- " , "MCG-01-05-047 "
101 , "PBC J0154.1-5034" , 28.5425 , -50.56958 , "280.13" , "-63.7" , "(7.9+/-5)x10-12" , " " , 0 , " -- " , "PBC J0154.1-50"
102 , "PBC J0154.7-2707" , 28.66958 , -27.12656 , "216.54" , "-75.94" , "(13.7+/-7.6)x10-12" , "QSO " , 0.79 , " -- " , "2MASS J0154403"
103 , "PBC J0155.4+0227" , 28.85083 , 2.45031 , "152.96" , "-56.65" , "(7.8+/-4.6)x10-12" , "EmG " , 0.08 , " -- " , "PC 0152+0215 "
104 , "PBC J0155.4+0227" , 28.85083 , 2.45031 , "152.96" , "-56.65" , "(7.8+/-4.6)x10-12" , "Sy1 " , 0.082 , " -- " , "1ES 0152+02.2 "
105 , "PBC J0156.1-0615" , 29.03625 , -6.26061 , "162.23" , "-64.08" , "(3.7+/-2.2)x10-12" , " " , 0 , " -- " , "PBC J0156.1-06"
106 , "PBC J0157.3+4715" , 29.32792 , 47.26103 , "134.37" , "-14.15" , "(8.5+/-5.1)x10-12" , " " , 0 , " -- " , "PBC J0157.3+47"
107 , "PBC J0156.5-2040" , 29.13458 , -20.66697 , "192.92" , "-73.8" , "(7+/-4.5)x10-12" , " " , 0 , " -- " , "PBC J0156.5-20"
108 , "PBC J0200.1+2428" , 30.04292 , 24.47008 , "142.29" , "-35.81" , "(8.5+/-6)x10-12" , "Sy2 " , 0.016 , " -- " , "MCG+04-05-034 "
109 , "PBC J0201.0-0648" , 30.265 , -6.81397 , "165.22" , "-63.81" , "(70.8+/-3.9)x10-12" , "Sy2 " , 0.014 , " -- " , "NGC 788 "
110 , "PBC J0202.9-2400" , 30.75792 , -24.02522 , "206.02" , "-73.58" , "(9.2+/-5.3)x10-12" , "Sy1 " , 0.178 , " -- " , "RBS 0273 "
111 , "PBC J0206.3-0016" , 31.55417 , -0.28647 , "159.79" , "-57.71" , "(2.4+/-1.4)x10-11" , "Sy1 " , 0.043 , " -- " , "Mrk 1018 "
112 , "PBC J0207.0+2929" , 31.7675 , 29.50622 , "142.04" , "-30.55" , "(14.1+/-7.6)x10-12" , "rad " , 0.11 , " -- " , "RHS 13 "
113 , "PBC J0207.2+1515" , 31.80583 , 15.26281 , "148.64" , "-43.8" , "(4.8+/-2.9)x10-12" , "No* " , 0 , " -- " , "V* TT Ari "
114 , "PBC J0205.7-7147" , 31.43125 , -71.79258 , "294.95" , "-44.17" , "(8.4+/-5.4)x10-12" , "Sy1 " , 0.26 , " -- " , "RBS 279 "
115 , "PBC J0209.4+5226" , 32.36875 , 52.45419 , "134.81" , "-8.61" , "(46.6+/-3.5)x10-12" , "Sy1 " , 0.049 , " -- " , "LEDA 138501 "
116 , "PBC J0208.6-1737" , 32.1575 , -17.62481 , "188.85" , "-69.82" , "(9.7+/-5.7)x10-12" , " " , 0 , " -- " , "PBC J0208.6-17"
117 , "PBC J0209.4-1010" , 32.36 , -10.153 , "173.91" , "-64.99" , "(11.5+/-7.4)x10-12" , "LIN " , 0.013 , " -- " , "NGC 833 "
118 , "PBC J0209.4-1010" , 32.36 , -10.153 , "173.91" , "-64.99" , "(11.5+/-7.4)x10-12" , "Sy2 " , 0.012 , " -- " , "NGC 835 "
119 , "PBC J0207.9-7425" , 31.99 , -74.42583 , "296.16" , "-41.69" , "(4.3+/-2.3)x10-12" , "X " , 0 , " -- " , "RX J0209.6-742"
120 , "PBC J0211.1-4942" , 32.79083 , -49.71506 , "274.17" , "-62.73" , "(6.2+/-3.7)x10-12" , "Sy2 " , 0.047 , " -- " , "ESO 197-27 "
121 , "PBC J0214.0+5148" , 33.50583 , 51.80653 , "135.68" , "-9.01" , "(6+/-3.5)x10-12" , "BLA " , 0.049 , "BZB (BL Lac)" , "1RXS J021417.8"
122 , "PBC J0214.5-0044" , 33.66917 , -0.75831 , "163.53" , "-56.92" , "(12.1+/-7.2)x10-12" , "Sy1 " , 0.027 , " -- " , "Mrk 590 "
123 , "PBC J0217.4+7349" , 34.32458 , 73.82281 , "128.91" , "11.95" , "(3+/-1.8)x10-11" , "BLA " , 2.367 , "BZQ (FSRQ)" , "1ES 0212+735 "
124 , "PBC J0216.1+5124" , 34.05667 , 51.42319 , "136.13" , "-9.26" , "(16.6+/-9.4)x10-12" , "Sy2 " , 0.029 , " -- " , "2MASX J0216298"
125 , "PBC J0215.6-1300" , 33.90333 , -13.0045 , "181.43" , "-65.78" , "(9.6+/-6.3)x10-12" , "Sy2 " , 0.147 , " -- " , "3C 62 "
126 , "PBC J0214.7-6431" , 33.66083 , -64.51356 , "289.08" , "-50.33" , "(5.4+/-3.2)x10-12" , "Sy1 " , 0.074 , " -- " , "RBS 0295 "
127 , "PBC J0217.0-7250" , 34.27375 , -72.844 , "294.48" , "-42.86" , "(7.1+/-4.2)x10-12" , " " , 0 , " -- " , "PBC J0217.0-72"
128 , "PBC J0223.4+4549" , 35.85333 , 45.83078 , "139.23" , "-14.11" , "(11+/-6.7)x10-12" , "GrG " , 0 , " -- " , "V Zw 232 "
129 , "PBC J0225.0+1848" , 36.25208 , 18.79261 , "151.75" , "-38.79" , "(3+/-1.7)x10-11" , "BLA " , 2.69 , "BZQ (FSRQ)" , "RBS 315 "
130 , "PBC J0224.9-2316" , 36.23625 , -23.26956 , "207.76" , "-68.54" , "(8.9+/-5.2)x10-12" , "QSO " , 0.232 , " -- " , "RBS 314 "
131 , "PBC J0225.4-6314" , 36.34417 , -63.24617 , "286.45" , "-50.78" , "(8.6+/-5.1)x10-12" , "Sy1 " , 0.06 , " -- " , "FRL 296 "
132 , "PBC J0226.7-2819" , 36.63083 , -28.33806 , "221.76" , "-68.96" , "(12.1+/-6.9)x10-12" , "Sy1 " , 0.06 , " -- " , "2MASX J0226256"
133 , "PBC J0228.2+3119" , 37.055 , 31.323 , "146.1" , "-27.16" , "(57+/-3.4)x10-12" , "Sy1 " , 0.016 , " -- " , "Mrk 1040 "
134 , "PBC J0228.1+1832" , 37.04542 , 18.53844 , "152.76" , "-38.67" , "(9+/-5.2)x10-12" , " " , 0 , " -- " , "PBC J0228.1+18"
135 , "PBC J0231.9-3640" , 37.95333 , -36.67311 , "243.42" , "-66.75" , "(1.8+/-1)x10-11" , "Sy2 " , 0.017 , " -- " , "IC 1816 "
136 , "PBC J0232.7+2018" , 38.19208 , 20.30989 , "152.91" , "-36.6" , "(2+/-1.1)x10-11" , "BLA " , 0.14 , "BZB (BL Lac)" , "1ES 0229+200 "
137 , "PBC J0234.3+3227" , 38.55792 , 32.49928 , "146.84" , "-25.56" , "(2.5+/-1.5)x10-11" , "Sy2 " , 0.015 , " -- " , "NGC 0973 "
138 , "PBC J0234.7-0846" , 38.68583 , -8.7775 , "180.85" , "-59.47" , "(26.2+/-4.7)x10-12" , "Sy1 " , 0.043 , " -- " , "NGC 985 "
139 , "PBC J0235.3-2935" , 38.82833 , -29.60325 , "225.25" , "-67.07" , "(2.1+/-1.2)x10-11" , "Sy1 " , 0.059 , "BZB (BL Lac)" , "ESO 416-G002 "
140 , "PBC J0238.2-5211" , 39.58792 , -52.20483 , "271.65" , "-57.94" , "(2.2+/-1.2)x10-11" , "Sy1 " , 0.045 , " -- " , "RBS 0335 "
141 , "PBC J0240.6+6114" , 40.1775 , 61.23689 , "135.69" , "1.1" , "(2.8+/-1.6)x10-11" , "HXB " , 0 , " -- " , "GT 0236+610 "
142 , "PBC J0238.8-4038" , 39.71167 , -40.65258 , "251.28" , "-64.09" , "(13.2+/-7.4)x10-12" , "Sy1 " , 0.062 , " -- " , "RBS 0339 "
143 , "PBC J0238.3-6116" , 39.59417 , -61.27753 , "282.64" , "-51.44" , "(9+/-5.3)x10-12" , "G " , 0 , " -- " , "IRAS F02374-61"
144 , "PBC J0241.2-0814" , 40.29333 , -8.22589 , "182" , "-57.89" , "(2.7+/-1.6)x10-11" , "Sy2 " , 0.005 , " -- " , "NGC 1052 "
145 , "PBC J0241.5+0709" , 40.38458 , 7.18828 , "164.74" , "-46.55" , "(15.1+/-8.4)x10-12" , "Sy1 " , 0.027 , " -- " , "1ES 0238+069 "
146 , "PBC J0242.3+0533" , 40.58333 , 5.55322 , "166.43" , "-47.73" , "(6.6+/-4.9)x10-12" , "Sy1 " , 0.069 , " -- " , "2MASX J0242146"
147 , "PBC J0242.7-0000" , 40.67042 , -0.01683 , "172.1" , "-51.94" , "(26.6+/-5.4)x10-12" , "Sy2 " , 0.004 , " -- " , "NGC 1068 "
148 , "PBC J0243.9+5323" , 40.99292 , 53.39592 , "139.34" , "-5.85" , "(7.2+/-4.5)x10-12" , " " , 0 , " -- " , "PBC J0243.9+53"
149 , "PBC J0245.0+6228" , 41.23 , 62.48825 , "135.62" , "2.44" , "(79.4+/-3.6)x10-12" , "Sy1 " , 0.045 , " -- " , "1ES 0241+622 "
150 , "PBC J0245.3+1045" , 41.34 , 10.74456 , "162.86" , "-43.13" , "(14.7+/-9)x10-12" , "BLA " , 0.077 , "BZU (uncertain type)" , "2MASX J0245134"
151 , "PBC J0244.8-5816" , 41.20667 , -58.28325 , "278.36" , "-53.1" , "(3.8+/-2.3)x10-12" , "BLA " , 0.265 , " -- " , "BZBJ0244-5819 "
152 , "PBC J0248.9+2627" , 42.23417 , 26.47178 , "153.19" , "-29.41" , "(2.3+/-1.4)x10-11" , "Sy2 " , 0.06 , " -- " , "2MASX J0248593"
153 , "PBC J0250.3+4645" , 42.58375 , 46.76606 , "143.2" , "-11.38" , "(16.6+/-9.6)x10-12" , "G " , 0 , " -- " , "2MASX J0250272"
154 , "PBC J0250.8+5442" , 42.71042 , 54.70211 , "139.69" , "-4.24" , "(2.1+/-1.2)x10-11" , "Sy2 " , 0.015 , " -- " , "2MFGC 2280 "
155 , "PBC J0252.3+4309" , 43.09375 , 43.16239 , "145.21" , "-14.42" , "(12+/-7)x10-12" , " " , 0 , " -- " , "PBC J0252.3+43"
