_id , bat54_name , RA, Dec, LII, BII, Flux, Type , Redshift , Bzcat counterpart, other_name
1040 , "PBC J1826.6+3251" , 276.65875 , 32.85586 , "60.79" , "19.15" , "(12.4+/-8)x10-12" , " " , 0 , " -- " , "PBC J1826.6+32"
1041 , "PBC J1829.4-2347" , 277.36917 , -23.79072 , "9.27" , "-6.09" , "(1555+/-3.5)x10-12" , "LXB " , 0 , " -- " , "Ginga 1826-24 "
1042 , "PBC J1829.6+4845" , 277.40375 , 48.75378 , "77.23" , "23.49" , "(14.3+/-9.3)x10-12" , "BLA " , 0.692 , "BZU (uncertain type)" , "3C 380 "
1043 , "PBC J1831.0+0928" , 277.72833 , 9.47997 , "39.11" , "8.83" , "(13.9+/-9.3)x10-12" , "X " , 0 , " -- " , "PBCX J183042.1"
1044 , "PBC J1831.0+0928" , 277.72833 , 9.47997 , "39.11" , "8.83" , "(13.9+/-9.3)x10-12" , "G " , 0 , " -- " , "2MASX J1830506"
1045 , "PBC J1833.7-2102" , 278.41875 , -21.06522 , "12.16" , "-5.72" , "(7.5+/-1.4)x10-11" , "BLA " , 2.507 , "BZQ (FSRQ)" , "PKS 1830-211 "
1046 , "PBC J1833.5-1033" , 278.38208 , -10.55942 , "21.5" , "-0.88" , "(68.7+/-4.2)x10-12" , "Psr " , 0 , " -- " , "SNR 021.5-00.9"
1047 , "PBC J1832.8+3124" , 278.21917 , 31.40797 , "59.87" , "17.4" , "(6.2+/-4.3)x10-12" , " " , 0 , " -- " , "PBC J1832.8+31"
1048 , "PBC J1835.7-3259" , 278.93 , -32.98283 , "1.53" , "-11.37" , "(201.3+/-3.3)x10-12" , "LXB " , 0 , " -- " , "XB 1832-330 "
1049 , "PBC J1836.9-5925" , 279.2275 , -59.43772 , "335.94" , "-21.35" , "(11.8+/-6.6)x10-12" , "Sy2 " , 0.019 , " -- " , "1H 1828-593 "
1050 , "PBC J1835.0+3241" , 278.74167 , 32.69939 , "61.3" , "17.46" , "(75.7+/-3.4)x10-12" , "Sy1 " , 0.058 , " -- " , "3C 382 "
1051 , "PBC J1838.4-6525" , 279.59458 , -65.41939 , "329.78" , "-23.18" , "(102+/-3.7)x10-12" , "Sy2 " , 0.013 , " -- " , "H 1834-653 "
1052 , "PBC J1838.9-5714" , 279.74 , -57.23428 , "338.28" , "-20.94" , "(9.7+/-5.6)x10-12" , "X " , 0 , " -- " , "PBCX J183906.3"
1053 , "PBC J1838.0-0655" , 279.48958 , -6.89456 , "25.26" , "-0.17" , "(52.7+/-9.3)x10-12" , "SNR " , 0 , " -- " , "AX J1838.0-065"
1054 , "PBC J1839.9+0502" , 279.9925 , 5.04142 , "36.12" , "4.84" , "(206.9+/-2.1)x10-12" , "LXB " , 0 , " -- " , "Ser X-1 "
1055 , "PBC J1841.0-0538" , 280.22792 , -5.59419 , "26.75" , "-0.22" , "(2.2+/-1.2)x10-11" , "HXB " , 0 , " -- " , "IGR J18410-053"
