_id , grb_wfc_name , other_name , RA , Dec , LII , BII , Trigger_TimeMJD , Trigger_TimeUT , Duration , Duration_comment , 2-26keVPeak_flux , 40-700keVPeak_flux_Gamma , Redshift , Redshift_Reference
53   , "GRB010518"   , "---" ,  161.7   ,  -56.21   ,  "286.19"   ,  "2.55"   ,  52047.28   ,  6.721   ,  "40-106"   ,  "n-ps"   ,  0.15   ,  1.3   ,  " - "   ,  " - "
54   , "GRB010707"   , "---" ,  205.6   ,  -37.46   ,  "314"   ,  "24.31"   ,  52097.28785   ,  6.912   ,  19   ,  "-"   ,  "-"   ,  "-"   ,  " - "   ,  " - "
55   , "XRF011030"   , "---" ,  310.9   ,  77.29   ,  "110.95"   ,  "20.65"   ,  52212.269   ,  6.467   ,  "45-290"   ,  "n-lt"   ,  "-"   ,  "-"   ,  " <3 "   ,  "GCN1268"
56   , "GRB011121"   , "---" ,  173.6   ,  -75.97   ,  "298.2"   ,  "-13.82"   ,  52234.782882   ,  18.789   ,  115   ,  "lt"   ,  3.65   ,  73   ,  " 0.36 "   ,  "GCN1152"
57   , "GRB011211"   , "---" ,  168.8   ,  -20.07   ,  "274.13"   ,  "37.35"   ,  52254.798   ,  19.156   ,  248   ,  "pr"   ,  0.09   ,  0.5   ,  " 2.14 "   ,  "GCN1209"
58   , "GRB020321"   , "---" ,  243.3   ,  -82.29   ,  "309.34"   ,  "-22.08"   ,  52354.181   ,  4.344   ,  "35-70"   ,  "np"   ,  0.06   ,  1.1   ,  " - "   ,  " - "
59   , "GRB020322"   , "---" ,  270.2   ,  81.11   ,  "113.03"   ,  "28.72"   ,  52355.161   ,  3.858   ,  104   ,  "-"   ,  0.17   ,  3   ,  " - "   ,  " - "
60   , "GRB020409"   , "---" ,  131.3   ,  66.69   ,  "148.37"   ,  "35.9"   ,  52373.883   ,  21.19   ,  70   ,  "n"   ,  0.36   ,  1.8   ,  " - "   ,  " - "
61   , "GRB020410"   , "---" ,  331.6   ,  -82.18   ,  "309.06"   ,  "-32.88"   ,  52374.445   ,  10.69   ,  ">250"   ,  "-"   ,  0.19   ,  1.3   ,  " - "   ,  " - "
62   , "XRF020427"   , "---" ,  332.3   ,  -64.67   ,  "325.9"   ,  "-44.55"   ,  52391.158796   ,  3.81   ,  57   ,  "-"   ,  0.19   ,  0.66   ,  "<2.3 "   ,  "GCN2380"

