_id , ercsc143_name , other_name , RA , Dec , LII , BII , flux density +/- err (mJy) , Detected flux +/- err (mJy) , PSF flux +/- err (mJy) , Gaussian fit flux +/- err (mJy) , PositionError (arcmin) , CMB subtracted , Extended , N. of observations , Reliability +/- err
512 , "PLCKERC143 G203.19-11.21"  ,, 88.43125 , 3.37639 , 203.1985 , -11.21628 , "2215.1+/-76" , "1003.18+/-84.4" , "1857.7+/-51.82" , "2976.6+/-106.2" , 0.681 , 1 , 0 , 4 , "0.996+/-0.046"
513 , "PLCKERC143 G204.75-11.88"  ,, 88.5675 , 1.72194 , 204.75055 , -11.8822 , "3500.9+/-283" , "707.72+/-83.5" , "2358.7+/-126.25" , "6103.7+/-1336.69" , 0.681 , 2 , 1 , 4 , "0.996+/-0.045"
514 , "PLCKERC143 G204.49-11.38"  ,, 88.88875 , 2.18333 , 204.49032 , -11.38129 , "804.6+/-78" , "467.35+/-84.4" , "777.4+/-56.19" , "2402.8+/-229.49" , 0.681 , 0 , 1 , 3 , "0.951+/-0.044"
515 , "PLCKERC143 G171.66+07.28"  ,, 88.89125 , 39.79361 , 171.66976 , 7.28337 , "662.3+/-44" , "657.54+/-45.8" , "691.2+/-29.77" , "722+/-70.35" , 0.681 , 0 , 0 , 3 , "0.989+/-0.045"
516 , "PLCKERC143 G177.02+04.51"  ,, 89.17958 , 33.79028 , 177.02908 , 4.51245 , "1533.9+/-95" , "285.95+/-55.1" , "1071.2+/-59.92" , "4384+/-364.17" , 0.681 , 2 , 1 , 3 , "0.974+/-0.044"
517 , "PLCKERC143 G204.55-11.03"  ,, 89.22458 , 2.29444 , 204.55231 , -11.03284 , "677.6+/-101" , "343.64+/-83.5" , "480.8+/-50.46" , "2799.3+/-421.23" , 0.681 , 0 , 1 , 3 , "0.964+/-0.068"
518 , "PLCKERC143 G227.78-21.37"  ,, 89.39458 , -22.25 , 227.78619 , -21.37427 , "371.5+/-38" , "227.4+/-39.5" , "339.5+/-22.83" , "803.3+/-121.15" , 0.669 , 1 , 1 , 4 , "0.956+/-0.053"
519 , "PLCKERC143 G174.80+05.97"  ,, 89.39625 , 36.43833 , 174.80697 , 5.97776 , "598.1+/-68" , "278.11+/-46.9" , "499+/-29.83" , "1115.8+/-162.33" , 0.681 , 1 , 1 , 3 , "0.958+/-0.057"
520 , "PLCKERC143 G219.76-18.06"  ,, 89.48417 , -14.01056 , 219.76594 , -18.06787 , "415.5+/-48" , "262.55+/-42.8" , "349.9+/-27.18" , "622.5+/-83.71" , 0.669 , 0 , 0 , 3 , "0.958+/-0.057"
521 , "PLCKERC143 G192.17-03.81"  ,, 89.56708 , 16.51694 , 192.17994 , -3.81548 , "1374.2+/-78" , "760.55+/-67.3" , "1116.4+/-45.6" , "2085+/-131.4" , 0.681 , 0 , 0 , 4 , "0.956+/-0.044"
522 , "PLCKERC143 G188.94-01.94"  ,, 89.58542 , 20.25278 , 188.94436 , -1.94077 , "1863+/-81" , "740.86+/-59.2" , "1485.1+/-58.88" , "3074.9+/-136.89" , 0.681 , 0 , 1 , 2 , "0.974+/-0.044"
523 , "PLCKERC143 G219.34-17.65"  ,, 89.70333 , -13.47694 , 219.34829 , -17.65321 , "639.8+/-77" , "598.98+/-43.3" , "589.5+/-40.15" , "716+/-82.6" , 0.669 , 0 , 0 , 4 , "0.994+/-0.046"
