_id ,fermi2psr_name , RA, Dec, LII, BII, P0, P1 (10-15) , Edot (1034), S1400, Type , Flux 100MeV, Spectral index , Energy Flux, TS , ECutoff , TSCutoff , Luminosity, Luminosity Error , Efficiency , Efficiency Error , Radio Lag , Gamma Peak , History , Distance, Distance Error , Method , Peak Mult. ,other_name
69 , J1741-2054 , 265.48792 , -20.90358 , 6.42 , 4.9 , 414 , 1.7e-14 , 9.5e+33 , 0.16 , YRL , 1.66e-7±9.42e-9 , 1.093±0.092 , 1.165e-10±3.55e-12 , 3014 , 918±72.9 , 464 , 2.06e+33 , 2.49e+32 +2.65e+32 , 0.217 , 0.026 +0.028 , 0.074±0.006 , 0.244±0.011 , Gamma , 0.384 , ±0.024 , DM , 2,
70 , J1741+1351 , 265.37958 , 13.86228 , 37.88 , 21.64 , 3.75 , 3.02e-20 , 2.2e+34 , 0.93 , MSP , 1.18e-9±4.3e-10 , 0±0.005 , 2.41e-12±8.1e-13 , 23 , 1180±314 , 7 , 3.36e+32 , 3.04e+31 +2.54e+31 , 0.015 , ±0.001 , 0.73±0.006 , -9.9±-9.9 , Radio , 1.08 , 0.04 +0.05 , P , 1,
71 , J1744-1134 , 266.1225 , -11.58189 , 14.79 , 9.17 , 4.07 , 8.92e-21 , 4.1e+33 , 3.1 , MSP , 4.573e-8±6.51e-9 , 1.262±0.224 , 3.25e-11±2.49e-12 , 394 , 1200±297 , 65 , 6.76e+32 , 5.4e+31 +5.96e+31 , 0.165 , 0.013 +0.015 , 0.189±0.007 , 0.808±0.022 , Radio , 0.417 , 0.018 +0.017 , P , 2,
72 , J1746-3239 , 266.72875 , -32.66039 , 356.96 , -2.18 , 200 , 6.56e-15 , 3.3e+34 , < 0.034 , YRQ , 1.013e-7±1.19e-8 , 1.375±0.113 , 7.231e-11±4.63e-12 , 654 , 1480±171 , 109 , - , - , - , - , -9.9±-9.9 , 0.179±0.019 , Gamma , - , - , DMM , 2,
73 , J1747-2958 , 266.81583 , -29.96689 , 359.3 , -0.85 , 98.8 , 6.13e-14 , 2.5e+36 , 0.25 , YRL , 3.341e-7±2.43e-8 , 1.631±0.054 , 2.111e-10±9.59e-12 , 1689 , 1900±150 , 211 , 5.7e+35 , 1.66e+35 +1.94e+35 , 0.227 , 0.066 +0.077 , 0.181±0.003 , 0.392±0.005 , Radio , 4.75 , ±0.75 , X , 2,
74 , J1747-4036 , 266.95292 , -40.61519 , 350.2 , -6.42 , 1.65 , 1.33e-20 , 1.2e+35 , 1.22 , MSP , 1.507e-8±6.48e-9 , 1.913±0.291 , 9.91e-12±2.28e-12 , 43 , 5430±3260 , 4 , 1.36e+34 , 5.42e+33 +7.39e+33 , 0.117 , 0.047 +0.063 , 0.031±0.021 , 0.681±0.033 , Radio , 3.39 , 0.82 +0.76 , DM , 2,
75 , J1801-2451 , 270.24958 , -24.8685 , 5.24 , -0.89 , 125 , 1.27e-13 , 2.6e+36 , 0.85 , YRL , 1.41e-8±1.01e-8 , 1.49±0.54 , 1.2e-11±4.6e-12 , 58 , 2780±1760 , 10 , 3.91e+34 , 7.27e+33 +9.34e+33 , 0.015 , 0.003 +0.004 , 0.06±0.005 , 0.496±0.02 , Radio , 5.22 , 0.59 +0.51 , DM , 2,
76 , J1803-2149 , 270.79 , -21.8205 , 8.14 , 0.18 , 106 , 1.95e-14 , 6.4e+35 , < 0.024 , YRQ , 1.11e-7±1.9e-8 , 1.602±0.13 , 9.236e-11±8.25e-12 , 410 , 3580±838 , 40 , - , - , - , - , -9.9±-9.9 , 0.394±0.009 , Gamma , - , - , DMM , 2,
77 , J1809-2332 , 272.45917 , -23.53428 , 7.39 , -2 , 147 , 3.44e-14 , 4.3e+35 , < 0.025 , YRQ , 5.986e-7±1.88e-8 , 1.622±0.032 , 4.739e-10±7.76e-12 , 15781 , 3350±198 , 901 , 1.64e+35 , 1.36e+35 +2.5e+35 , 0.382 , 0.317 +0.581 , -9.9±-9.9 , 0.358±0.002 , Gamma , 1.7 , ±1 , K , 2,
78 , J1810+1744 , 272.655 , 17.74369 , 44.64 , 16.8 , 1.66 , 4.63e-21 , 4e+34 , 1.89 , MSP , 4.178e-8±5.02e-9 , 1.936±0.139 , 2.343e-11±1.72e-12 , 442 , 3160±1070 , 23 , 1.12e+34 , 2.92e+33 +3.75e+33 , 0.282 , 0.073 +0.094 , 0.894±0.018 , 0.276±0.026 , Radio , 2 , 0.31 +0.28 , DM , 2,
