_id , fermi1lac_name , other_name , RA , Dec, LII , BII , Gamma Assoc , Flux1Gev-100 Gev , Spectral index , Spectral index Error , Flux100-300 Mev , Flux300Mev-1Gev , Flux1GeV-3Gev , Flux3-10 Gev , Flux10-100 Gev , Optical classification , TeV CAT , Variability index
810 , 1FGL J1424.5-7847 , PKS 1418-782 , 216.13375 , -78.78728 , 307.53 , -16.76 , , (11.8+/-3.6) e-10 , 2.057 , 0.169 , < 2.65e-8 , < 4.43e-9 , (8.7+/-3.2) e-10 , (3.1+/-1.4) e-10 , < 1.51e-10 , FSRQ , N , 16.054
811 , 1FGL J1421.0+5421 , , 215.25667 , 54.35619 , 97.99 , 58.22 , , (8.7+/-2.3) e-10 , 2.772 , 0.166 , (34.6+/-8.2) e-9 , (26.8+/-9.1) e-10 , (7.1+/-2.2) e-10 , (15.9+/-7.8) e-11 , < 8.42e-11 , Unassociated , N , 5.643
812 , 1FGL J1419.7+7731 , , 214.93292 , 77.52428 , 116.97 , 38.56 , , (5+/-2.3) e-10 , 1.879 , 0.289 , < 8.92e-9 , < 3.03e-9 , < 7.66e-10 , < 3.07e-10 , < 1.40e-10 , Unassociated , N , 6.101
813 , 1FGL J1422.7+3743 , CLASS J1423+3737 , 215.68875 , 37.72589 , 67.58 , 68.09 , , (6.6+/-2.3) e-10 , 2.626 , 0.193 , < 1.86e-8 , < 4.33e-9 , (6+/-2.1) e-10 , < 2.11e-10 , < 1.25e-10 , BL Lac , N , 4.466
814 , 1FGL J1422.2+5757 , 1ES 1421+582 , 215.56 , 57.96278 , 101.85 , 55.29 , , < 7.07e-10 , 1.416 , 0.288 , < 8.08e-9 , < 5.15e-10 , < 4.20e-10 , < 3.07e-10 , < 2.39e-10 , BL Lac , N , 3.216
815 , 1FGL J1425.0+3614 , CLASS J1424+3615 , 216.26833 , 36.24608 , 63.42 , 68.17 , , (6.9+/-2.3) e-10 , 2.057 , 0.208 , < 2.37e-8 , < 3.80e-9 , (4.9+/-2) e-10 , < 2.08e-10 , (14.3+/-6.9) e-11 , BL Lac , N , 5.498
816 , 1FGL J1426.0+3403 , BZB J1426+3404 , 216.515 , 34.0595 , 57.56 , 68.55 , , (6.8+/-2.1) e-10 , 1.988 , 0.209 , < 9.80e-9 , < 2.93e-9 , (4.5+/-1.7) e-10 , (21.5+/-8.9) e-11 , < 1.33e-10 , BL Lac , N , 9.773
817 , 1FGL J1426.9+2347 , PKS 1424+240 , 216.74917 , 23.79869 , 29.47 , 68.2 , , (102+/-6.3) e-10 , 1.83 , 0.035 , (39.7+/-7.8) e-9 , (19.6+/-1.4) e-9 , (60+/-5.1) e-10 , (28.5+/-3.2) e-10 , (13.8+/-2.1) e-10 , BL Lac , P , 25.558
818 , 1FGL J1428.2-4204 , PKS 1424-41 , 217.07042 , -42.07108 , 321.52 , 17.27 , , (33.6+/-4.9) e-10 , 2.31 , 0.072 , < 5.03e-8 , (15.5+/-1.8) e-9 , (30.2+/-4.6) e-10 , (3.4+/-1.4) e-10 , < 1.21e-10 , FSRQ , N , 67.098
819 , 1FGL J1429.9-5911 , LAT PSR J1429-5911 , 217.49417 , -59.1935 , 315.26 , 1.29 , , (10.4+/-1.1) e-9 , 2.349 , 0.052 , < 4.93e-8 , (33.3+/-5) e-9 , (8.8+/-1) e-9 , (15+/-3.1) e-10 , < 2.41e-10 , Pulsar , N , 8.808
820 , 1FGL J1428.7+4239 , 1ES 1426+428 , 217.17875 , 42.65678 , 77.41 , 64.88 , , (9.3+/-2.4) e-10 , 1.492 , 0.18 , < 1.60e-8 , < 1.90e-9 , (4.8+/-1.9) e-10 , < 3.98e-10 , (28.4+/-9.5) e-11 , BL Lac , P , 6.674
821 , 1FGL J1433.9+4204 , B3 1432+422 , 218.4925 , 42.08158 , 75.14 , 64.3 , , (6.7+/-2.1) e-10 , 2.246 , 0.202 , < 2.09e-8 , < 3.55e-9 , (4.7+/-1.9) e-10 , (20.7+/-8.9) e-11 , < 1.20e-10 , FSRQ , N , 20.974
822 , 1FGL J1436.9+2314 , PKS 1434+235 , 219.23625 , 23.24989 , 29.56 , 65.86 , , (5.1+/-2.4) e-10 , 2.171 , 0.24 , < 2.14e-8 , < 2.81e-9 , < 8.36e-10 , < 1.65e-10 , < 2.47e-10 , FSRQ , N , 6.388
823 , 1FGL J1437.0+5640 , BZB J1436+5639 , 219.26167 , 56.672 , 97.73 , 54.98 , , (5.6+/-2.2) e-10 , 1.445 , 0.259 , < 1.33e-8 , < 2.63e-9 , < 5.72e-10 , (22.1+/-9.2) e-11 , < 2.88e-10 , BL Lac , N , 5.916
824 , 1FGL J1438.7+3711 , B2 1436+37B , 219.68292 , 37.18569 , 63.66 , 65.27 , , (7.1+/-2.3) e-10 , 2.341 , 0.179 , < 2.99e-8 , (28+/-9) e-10 , (5.4+/-2) e-10 , < 3.00e-10 , < 1.87e-10 , FSRQ , N , 41.942
825 , 1FGL J1439.2+3930 , PG 1437+398 , 219.81 , 39.50478 , 68.76 , 64.44 , , (7.4+/-2.3) e-10 , 1.845 , 0.233 , < 1.44e-8 , < 9.95e-10 , (5.9+/-2) e-10 , < 3.19e-10 , < 1.43e-10 , BL Lac , N , 4.975
826 , 1FGL J1441.8-6404 , , 220.45208 , -64.07678 , 314.63 , -3.75 , , < 1.94e-9 , 2.182 , 0.197 , < 2.10e-8 , < 1.27e-8 , < 1.60e-9 , < 4.66e-10 , < 2.92e-10 , Unassociated , N , 4.721
827 , 1FGL J1442.0-6000c , , 220.505 , -60.0135 , 316.34 , -0.06 , , (9.7+/-1.3) e-9 , 2.36 , 0.058 , (17.3+/-3.7) e-8 , (44.5+/-6) e-9 , (8+/-1.3) e-9 , (15.5+/-3.6) e-10 , < 2.97e-10 , Potential SNR , N , 13.672
828 , 1FGL J1440.9+0613 , CRATES J1440+0610 , 220.24708 , 6.22328 , 359.14 , 56.61 , , (11.9+/-2.9) e-10 , 2.43 , 0.1 , (35.6+/-7.8) e-9 , (6.8+/-1.1) e-9 , (8.7+/-2.6) e-10 , (19.5+/-8.8) e-11 , < 2.91e-10 , BL Lac , N , 14.69
829 , 1FGL J1441.7-1538 , PKS 1437-153 , 220.44958 , -15.63708 , 338.26 , 39.54 , , < 8.03e-10 , 2.762 , 0.182 , < 3.22e-8 , (4.6+/-1.4) e-9 , < 7.37e-10 , < 1.72e-10 , < 1.40e-10 , BL Lac , N , 7.45
830 , 1FGL J1442.1+4348 , CLASS J1442+4348 , 220.53 , 43.80219 , 77 , 62.19 , , (7.9+/-2.3) e-10 , 1.793 , 0.201 , < 1.21e-8 , < 1.34e-9 , (5.8+/-1.9) e-10 , < 3.64e-10 , < 1.99e-10 , BL Lac , N , 2.273
831 , 1FGL J1442.8+1158 , 1ES 1440+122 , 220.71292 , 11.97219 , 8.27 , 59.8 , , (7.6+/-2.1) e-10 , 1.769 , 0.25 , < 2.79e-8 , < 1.69e-9 , (4.1+/-1.8) e-10 , (19.5+/-8.8) e-11 , (15.9+/-7.8) e-11 , BL Lac , N , 8.319
832 , 1FGL J1444.0-3906 , PKS 1440-389 , 221.005 , -39.116 , 325.66 , 18.73 , , (34.5+/-4.5) e-10 , 1.828 , 0.077 , < 1.92e-8 , (5.3+/-1.3) e-9 , (22.4+/-3.9) e-10 , (8.4+/-1.9) e-10 , (3.8+/-1.2) e-10 , BL Lac , N , 2.255
833 , 1FGL J1443.8+2457 , PKS 1441+25 , 220.97333 , 24.95678 , 34.38 , 64.69 , , (6+/-2.4) e-10 , 2.165 , 0.202 , < 1.54e-8 , < 4.06e-9 , < 8.53e-10 , (18.6+/-8.7) e-11 , < 9.76e-11 , FSRQ , N , 3.88
834 , 1FGL J1446.8-4702 , , 221.70208 , -47.04078 , 322.52 , 11.39 , , (17.2+/-4.3) e-10 , 2.42 , 0.147 , < 4.75e-8 , < 6.00e-9 , (13.8+/-4) e-10 , (3.4+/-1.3) e-10 , < 1.09e-10 , Unassociated , N , 3.566
835 , 1FGL J1447.9+3608 , RX J1448.0+3608 , 221.98792 , 36.14869 , 60.28 , 63.73 , , (18.3+/-3) e-10 , 1.9 , 0.111 , < 1.23e-8 , (28.9+/-8.4) e-10 , (13.6+/-2.7) e-10 , (3+/-1.2) e-10 , (17.8+/-7.6) e-11 , BL Lac , N , 19.477
836 , 1FGL J1451.0+5204 , CLASS J1450+5201 , 222.7675 , 52.0685 , 89.19 , 56.5 , , (9.4+/-2.7) e-10 , 2.328 , 0.187 , < 2.83e-8 , < 4.40e-9 , (8.1+/-2.4) e-10 , < 3.47e-10 , < 8.67e-11 , BL Lac , N , 8.911
