_id , blazars_name , other_name , RA , Dec , LII , BII , Redshift , Vmag , Radio_flux_5GHz , Survey , Classification
13   , "1H 0506-039 "   , "---" ,  77.4087   ,  -4.0128   ,  "204.51"   ,  "-24.43"   ,  0.304   ,  19   ,  27   ,  "HEAO-1"   ,  "BL Lac"
14   , "PKS 0521-365 "   , "---" ,  80.7417   ,  -36.4583   ,  "240.6"   ,  "-32.72"   ,  0.055   ,  14.6   ,  9290   ,  "Cand "   ,  "BL Lac"
15   , "PKS 0537-441 "   , "---" ,  84.71   ,  -44.0858   ,  "250.08"   ,  "-31.1"   ,  0.896   ,  15   ,  4000   ,  "1 Jy "   ,  "BL Lac"
16   , "PKS 0548-322 "   , "---" ,  87.6746   ,  -32.2697   ,  "237.56"   ,  "-26.15"   ,  0.069   ,  15.5   ,  170   ,  "Slew "   ,  "BL Lac"
17   , "S5 0716+714 "   , "---" ,  110.4725   ,  71.3433   ,  "143.98"   ,  "28.01"   ,  0   ,  14.35   ,  1120   ,  "1 Jy "   ,  "BL Lac"
18   , "MS0737.9+7441 "   , "---" ,  116.0229   ,  74.5661   ,  "140.26"   ,  "29.57"   ,  0.315   ,  16.89   ,  24   ,  "Slew "   ,  "BL Lac"
19   , "OJ 287 "   , "---" ,  133.7038   ,  20.1086   ,  "206.81"   ,  "35.82"   ,  0.306   ,  15.11   ,  2620   ,  "1 Jy "   ,  "BL Lac"
20   , "B2 0912+29 "   , "---" ,  138.9679   ,  29.5564   ,  "196.65"   ,  "42.93"   ,  0   ,  16.39   ,  200   ,  "Misc "   ,  "BL Lac"
21   , "1ES 0927+500 "   , "---" ,  142.6567   ,  49.8406   ,  "168.13"   ,  "45.71"   ,  0.188   ,  17.2   ,  18.3   ,  "Slew"   ,  "BL Lac"
22   , "1ES 1028+511 "   , "---" ,  157.8275   ,  50.8928   ,  "161.44"   ,  "54.44"   ,  0.361   ,  16.6   ,  44.2   ,  "RASS"   ,  "BL Lac"
23   , "1H 1100-230 "   , "---" ,  165.9071   ,  -23.4919   ,  "273.19"   ,  "33.07"   ,  0.186   ,  16.1   ,  66   ,  "HEAO-1"   ,  "BL Lac"
24   , "MRK 421 "   , "---" ,  166.1137   ,  38.2089   ,  "179.83"   ,  "65.03"   ,  0.031   ,  14.4   ,  722   ,  "Slew "   ,  "BL Lac"
25   , "EXO 1118.0+4228 "   , "---" ,  170.2004   ,  42.2033   ,  "167.85"   ,  "66.16"   ,  0.124   ,  17.3   ,  34   ,  "Exosat"   ,  "BL Lac"
26   , "MRK 180 "   , "---" ,  174.11   ,  70.1578   ,  "131.91"   ,  "45.64"   ,  0.046   ,  14.4   ,  270   ,  "Slew "   ,  "BL Lac"
27   , "PKS 1144-379 "   , "---" ,  176.7558   ,  -38.2031   ,  "289.24"   ,  "22.94"   ,  1.048   ,  17.35   ,  1610   ,  "1 Jy "   ,  "BL Lac"
28   , "1H 1219+301 "   , "---" ,  185.3417   ,  30.1769   ,  "186.37"   ,  "82.73"   ,  0.13   ,  16.4   ,  56   ,  "HEAO-1 "   ,  "BL Lac"
29   , "ON 231 "   , "---" ,  185.3821   ,  28.2328   ,  "201.75"   ,  "83.28"   ,  0.102   ,  16.5   ,  981   ,  "Slew"   ,  "BL Lac"
30   , "1ES 1255+244 "   , "---" ,  194.3829   ,  24.2111   ,  "328.45"   ,  "86.77"   ,  0.141   ,  15.4   ,  7.4   ,  "Slew"   ,  "BL Lac"
31   , "MS 1312.1-4221 "   , "---" ,  198.7642   ,  -42.6139   ,  "307.55"   ,  "20.04"   ,  0.105   ,  16.6   ,  18.5   ,  "Slew"   ,  "BL Lac"
32   , "EXO 1415.6+2557 "   , "---" ,  214.4842   ,  25.7228   ,  "33.68"   ,  "70.6"   ,  0.237   ,  16   ,  54   ,  "Exosat "   ,  "BL Lac"
33   , "PG 1418+546 "   , "---" ,  214.9442   ,  54.3875   ,  "98.29"   ,  "58.31"   ,  0.152   ,  15.25   ,  1090   ,  "PG "   ,  "BL Lac"
34   , "1H 1430+423 "   , "---" ,  217.1354   ,  42.6733   ,  "77.48"   ,  "64.9"   ,  0.13   ,  16.4   ,  38   ,  "HEAO-1"   ,  "BL Lac"
35   , "MS 1458.8+2249 "   , "---" ,  225.2579   ,  22.6344   ,  "31.44"   ,  "60.34"   ,  0.235   ,  16.79   ,  29.8   ,  "EMSS "   ,  "BL Lac"
36   , "1H 1515+660 "   , "---" ,  229.4479   ,  65.4231   ,  "102.26"   ,  "45.39"   ,  0.702   ,  15.91   ,  39   ,  "HEAO-1"   ,  "BL Lac"
37   , "PKS 1519-273 "   , "---" ,  230.6567   ,  -27.5031   ,  "339.58"   ,  "24.4"   ,  0   ,  18.1   ,  2350   ,  "1 Jy"   ,  "BL Lac"
38   , "1ES 1533+535 "   , "---" ,  233.7533   ,  53.3436   ,  "85.36"   ,  "50.12"   ,  0.89   ,  17.6   ,  9.8   ,  "Slew"   ,  "BL Lac"
39   , "1ES 1544+820 "   , "---" ,  235.0654   ,  81.9183   ,  "116.46"   ,  "32.96"   ,  0   ,  16.9   ,  42.7   ,  "Slew"   ,  "BL Lac"
40   , "PG 1553+113 "   , "---" ,  238.93   ,  11.1892   ,  "21.9"   ,  "43.96"   ,  0.36   ,  14.7   ,  636   ,  "Slew "   ,  "BL Lac"
41   , "MRK 501 "   , "---" ,  253.4675   ,  39.7603   ,  "63.59"   ,  "38.86"   ,  0.033   ,  13.7   ,  1420   ,  "1 Jy "   ,  "BL Lac"
42   , "1ES 1741+196 "   , "---" ,  265.9896   ,  19.5861   ,  "43.83"   ,  "23.34"   ,  0.083   ,  16.6   ,  222.6   ,  "Slew"   ,  "BL Lac"
43   , "S5 1803+784 "   , "---" ,  270.1904   ,  78.4678   ,  "110.03"   ,  "29.06"   ,  0.684   ,  16.7   ,  2620   ,  "S5 "   ,  "BL Lac"
44   , "3C 371 "   , "---" ,  271.7113   ,  69.8244   ,  "100.13"   ,  "29.16"   ,  0.051   ,  14.35   ,  2260   ,  "Slew"   ,  "BL Lac"
45   , "S4 1823+568 "   , "---" ,  276.0296   ,  56.8503   ,  "85.73"   ,  "26.08"   ,  0.664   ,  18.4   ,  1660   ,  "S4 "   ,  "BL Lac"
46   , "1ES 1959+650 "   , "---" ,  299.9996   ,  65.1486   ,  "98"   ,  "17.67"   ,  0.048   ,  13.67   ,  251.6   ,  "Slew"   ,  "BL Lac"
47   , "PKS 2005-489 "   , "---" ,  302.3558   ,  -48.8317   ,  "350.37"   ,  "-32.61"   ,  0.071   ,  14.35   ,  1230   ,  "1 Jy "   ,  "BL Lac"
48   , "PKS 2155-304 "   , "---" ,  329.7163   ,  -30.2253   ,  "17.73"   ,  "-52.25"   ,  0.116   ,  13.5   ,  310   ,  "HEAO-1 "   ,  "BL Lac"
