_id , pccs1f100_name , other_name , RA , Dec , LII , BII , Detection pipeline flux density +/- err (mJy) , Aperture photometry flux density +/- err (mJy) , PSF fit flux density +/- err (mJy) , Gaussian fit flux density +/- err (mJy) , PositionError (arcmin) , Extended , Cirrus flag , External validation , ERCSC source name , Gaussian fit semimajor axis +/- err (arcmin) , Gaussian fit semiminor axis +/- err (arcmin) , Gaussian fit orientation +/- err (degrees) , Gaussian fit effective FWHM (arcmin)
3693 , "PCCS1 100 G053.86-57.06 "  ,, 341.57333 , -12.11361 , 53.866 , -57.06892 , "1132.1+/-59" , "1102.6+/-175.5" , "957.6+/-45.5" , "1127.8+/-49.8" , 1 , "No" , 0 , 2 , "PLCKERC100 G053.89-57.08" , "10.4+/-0.5" , "9.3+/-0.5" , "169.8+/-0.000" , 9.8
3694 , "PCCS1 100 G331.94-53.37 "  ,, 341.58167 , -56.1275 , 331.94545 , -53.3727 , "271.7+/-54.8" , "112+/-246.8" , "167.4+/-45.3" , "236.1+/-72.6" , 1 , "No" , 0 , 1 , " " , "12.9+/-4.6" , "8.2+/-3" , "83.5+/-0.000" , 10.3
3695 , "PCCS1 100 G108.93+02.68 "  ,, 341.74792 , 62.12222 , 108.93523 , 2.68122 , "1038+/-111.5" , "3576.2+/-511.2" , "2723.2+/-93" , "7476.9+/-284.9" , 1 , "Yes" , 31 , 1 , "PLCKERC100 G108.92+02.69" , "20+/-1.2" , "14+/-0.9" , "75.8+/-0.000" , 16.7
3696 , "PCCS1 100 G004.57-62.02 "  ,, 341.75792 , -36.94083 , 4.57682 , -62.02105 , "516.8+/-64.9" , "646.3+/-174.4" , "556.1+/-38.3" , "887.7+/-74.6" , 1 , "No" , 1 , 2 , "PLCKERC100 G004.55-62.02" , "14.7+/-1.7" , "11.4+/-1.4" , "79.4+/-0.000" , 12.9
3697 , "PCCS1 100 G070.17-49.71 "  ,, 341.8775 , 0.02306 , 70.17171 , -49.71424 , "337.4+/-53" , "125.7+/-171.2" , "163.2+/-39.8" , "182+/-43.9" , 1 , "No" , 2 , 1 , " " , "12.2+/-3.3" , "5.9+/-1.6" , "138.6+/-0.000" , 8.5
3698 , "PCCS1 100 G109.83+04.25 "  ,, 341.91333 , 63.93417 , 109.83631 , 4.25582 , "371.6+/-77.1" , "580.4+/-251.8" , "386.8+/-45.6" , "-" , 1 , "Not available" , 32 , 2 , " " , "-" , "-" , "-" , -9.9
3699 , "PCCS1 100 G107.19-00.93 "  ,, 341.96667 , 58.10694 , 107.19034 , -0.93696 , "2078.3+/-95.1" , "6426.2+/-534.5" , "4715.6+/-153.1" , "1.1e+4+/-412.6" , 1 , "Yes" , 31 , 2 , "PLCKERC100 G107.20-00.95" , "18.4+/-1" , "14.2+/-0.9" , "121.4+/-0.000" , 16.2
3700 , "PCCS1 100 G013.78-62.91 "  ,, 342.15792 , -32.60861 , 13.78275 , -62.91735 , "435.4+/-60.8" , "462.7+/-195.9" , "337.2+/-42.1" , "-" , 1 , "Not available" , 1 , 1 , "PLCKERC100 G013.78-62.90" , "-" , "-" , "-" , -9.9
3701 , "PCCS1 100 G108.21+00.58 "  ,, 342.39 , 59.92889 , 108.21198 , 0.58722 , "2215.9+/-91.7" , "2601+/-542.5" , "2200.2+/-109.4" , "2826.2+/-144.4" , 1 , "No" , 46 , 2 , "PLCKERC100 G108.20+00.57" , "13.3+/-0.8" , "9.3+/-0.6" , "49+/-0.000" , 11.1
3702 , "PCCS1 100 G329.10-52.55 "  ,, 342.50042 , -57.95861 , 329.10092 , -52.55553 , "247.6+/-51.4" , "564.5+/-141.1" , "433.9+/-31.7" , "918.6+/-70.2" , 1 , "Yes" , 0 , 0 , " " , "16.4+/-2" , "14.4+/-1.8" , "179.2+/-0.000" , 15.4
