_id ,wmap3_name  , RA, Dec , LII , BII , Redshift , Source classification , Rflux(5GHz) , Rflux(1p4 GHz) , Rflux(23GHz) , Rflux(33GHz) , Rflux(41GHz) , Rflux(61GHz) , Rflux(94GHz) , Ecliptic_coords, other_name
222 , "WMAP3 J1648+4114" , 252.12167 , 41.06806 , "65.18" , "39.98" , 0.851 , "Misd. NT-AGN QSO-type" , 197 , 243 , 0 , 800 , 1200 , 0 , "975" , 239.0533 , "GB6J1648+4104 "
223 , "WMAP3 J1651+0457" , 252.78375 , 4.9925 , "23.04" , "28.94" , 0.154 , "Misd. NT-AGN RGal-type" , 11376 , 8482 , 1600 , 1000 , 1100 , 1000 , "897" , 249.9252 , "HerA "
224 , "WMAP3 J1654+3939" , 253.4675 , 39.76 , "63.59" , "38.86" , 0.034 , "Blazar B-type" , 1375 , 1558 , 1100 , 1200 , 0 , 0 , 1000 , 241.8815 , "MKR501 "
225 , "WMAP3 J1656+5706" , 254.33625 , 57.09806 , "85.73" , "37.85" , 1.281 , "Blazar Q-type" , 764 , 940 , 600 , 800 , 600 , 900 , 1000 , 224.1321 , "4C57.28 "
226 , "WMAP3 J1657+4749" , 254.4775 , 47.82083 , "73.95" , "38.46" , 0 , "Blazar Q-type" , 0 , 0 , 1000 , 0 , 600 , 0 , "487" , 238.2723 , "S41656+47 "
227 , "WMAP3 J1658+0742" , 254.53708 , 7.69111 , "26.69" , "28.65" , 0.621 , "Blazar Q-type" , 1108 , 1413 , 1100 , 1200 , 1000 , 1500 , 1200 , 251.5037 , "PKS1655+077 "
228 , "WMAP3 J1659+6829" , 255.03875 , 68.50167 , "99.56" , "35.2" , 0.301 , "Blazar Q-type" , 380 , 346 , 0 , 0 , 700 , 1000 , 800 , 153.6744 , "GB6J1700+6830 "
229 , "WMAP3 J1703-6213" , 255.90208 , -62.21111 , "328.11" , "-12.44" , 0 , "Blazar Q-type" , 616 , 730 , 1800 , 1900 , 2000 , 1700 , "1525" , 260.8774 , "PMNJ1703-6212 "
230 , "WMAP3 J1707+0146" , 256.89333 , 1.8125 , "22.13" , "23.82" , 2.568 , "Blazar Q-type" , 463 , 464 , 900 , 900 , 900 , 700 , "628" , 254.8667 , "PKS1705+018 "
231 , "WMAP3 J1716+6840" , 259.05792 , 68.61056 , "99.27" , "33.75" , 0.777 , "Blazar Q-type" , 838 , 489 , 600 , 600 , 700 , 600 , "538" , 148.0737 , "S41716+68 "
232 , "WMAP3 J1724-6500" , 260.92125 , -65.01 , "326.96" , "-15.84" , 0.014 , "Misd. NT-AGN RGal-type" , 4373 , 3724 , 2300 , 2000 , 1700 , 1200 , 1200 , 264.1768 , "NGC6328 "
233 , "WMAP3 J1727+4530" , 261.865 , 45.51083 , "71.43" , "33.28" , 0.717 , "Blazar Q-type" , 935 , 914 , 1200 , 1300 , 1100 , 1400 , 1500 , 253.5953 , "S41726+45 "
234 , "WMAP3 J1737-7934" , 263.41958 , -79.59861 , "313.61" , "-23.27" , 0 , "Blazar Unknown-type" , 419 , 353 , 900 , 1100 , 1100 , 0 , "893" , 267.1692 , "PKS1725-795 "
235 , "WMAP3 J1734+3856" , 263.58583 , 38.96417 , "64.02" , "31" , 0.97 , "Blazar Q-type" , 557 , 797 , 1100 , 1300 , 1200 , 1300 , 1100 , 258.5792 , "1Jy1732+389 "
236 , "WMAP3 J1740+4739" , 264.98792 , 47.63278 , "74.22" , "31.39" , 0 , "Blazar B-type" , 818 , 759 , 800 , 900 , 1100 , 800 , "718" , 258.9389 , "S41738+476 "
237 , "WMAP3 J1740+5212" , 265.15375 , 52.19528 , "79.56" , "31.74" , 1.375 , "Blazar Q-type" , 1699 , 807 , 1300 , 1200 , 1300 , 1500 , "1346" , 257.4153 , "4C51.37 "
238 , "WMAP3 J1748+7006" , 267.13667 , 70.0975 , "100.52" , "30.72" , 0.77 , "Blazar B-type" , 715 , 735 , 600 , 700 , 900 , 1200 , "1077" , 104.5856 , "1Jy1749+701 "
239 , "WMAP3 J1753+4405" , 268.34458 , 44.16278 , "70.69" , "28.53" , 0.871 , "Blazar Q-type" , 1000 , 766 , 800 , 600 , 800 , 0 , "650" , 266.1868 , "S41751+441 "
240 , "WMAP3 J1753+2848" , 268.42667 , 28.80111 , "54.13" , "24.46" , 0 , "Blazar Unknown-type" , 511 , 415 , 2200 , 2300 , 2400 , 2600 , 1800 , 267.0508 , "GB6J1753+2847 "
241 , "WMAP3 J1758+6632" , 269.63917 , 66.63278 , "96.46" , "29.95" , 0 , "Planetary Nebulae" , 875 , 772 , 600 , 600 , 600 , 400 , "359" , 150.3098 , "NGC6543 "
242 , "WMAP3 J1759+3852" , 270.10292 , 38.80833 , "65.16" , "26.03" , 2.092 , "Blazar Q-type" , 735 , 326 , 900 , 900 , 800 , 0 , "650" , 269.4749 , "S41758+3 "
243 , "WMAP3 J1800+7828" , 270.19042 , 78.46778 , "110.03" , "29.06" , 0.68 , "Blazar B-type" , 2620 , 2223 , 1800 , 1700 , 1700 , 1600 , 1000 , 89.1145 , "S51803+784 "
244 , "WMAP3 J1801+4404" , 270.38417 , 44.07278 , "70.94" , "27.08" , 0.663 , "Blazar Q-type" , 1193 , 727 , 1200 , 1300 , 1400 , 1300 , 1100 , 270.0248 , "1Jy1800+440 "
245 , "WMAP3 J1803-6507" , 270.84792 , -65.12667 , "328.82" , "-19.63" , 0 , "Blazar Unknown-type" , 780 , 637 , 1300 , 1300 , 1500 , 1200 , 900 , 269.7786 , "PKS1758-651 "
246 , "WMAP3 J1806+6949" , 271.71 , 69.82444 , "100.13" , "29.16" , 0.051 , "Blazar B-type" , 2122 , 1887 , 1400 , 1400 , 1200 , 1500 , 1300 , 79.0895 , "3C371 "
247 , "WMAP3 J1820-6343" , 274.89583 , -63.76333 , "330.85" , "-20.77" , 0.063 , "Misd. NT-AGN RGal-type" , 4506 , 20185 , 1500 , 1400 , 1200 , 1200 , 1500 , 272.1395 , "PKS1814-63 "
