_id , pccs1f545_name , other_name, RA , Dec , LII , BII , Detection pipeline flux density +/- err (mJy) , Aperture photometry flux density +/- err (mJy) , PSF fit flux density +/- err (mJy) , Gaussian fit flux density +/- err (mJy) , PositionError (arcmin) , Extended , Cirrus flag , External validation , ERCSC source name , Gaussian fit semimajor axis +/- err (arcmin) , Gaussian fit semiminor axis +/- err (arcmin) , Gaussian fit orientation +/- err (degrees) , Gaussian fit effective FWHM (arcmin)
16475 , "PCCS1 545 G001.64-64.24 " ,, 344.87083 , -37.69861 , 1.64585 , -64.2463 , "1189.3+/-90.6" , "1115.3+/-155.9" , "1155.4+/-60.6" , "1264.6+/-98.2" , 0.5 , "No" , 1 , 2 , "PLCKERC545 G001.64-64.23" , "6.2+/-0.5" , "5.8+/-0.5" , "157.5+/-0.000" , 6
16476 , "PCCS1 545 G108.96-00.79 " ,, 344.89958 , 59.00778 , 108.96006 , -0.79623 , "3.1e+4+/-2019.5" , "7.9e+4+/-1.8e+4" , "4.9e+4+/-2.2e+4" , "-" , 0.5 , "Not available" , 40 , 1 , " " , "-" , "-" , "-" , -9.9
16477 , "PCCS1 545 G084.04-42.94 " ,, 344.90833 , 11.32639 , 84.04022 , -42.94568 , "1427.7+/-171.8" , "3860.7+/-854.6" , "3690.6+/-219.7" , "1.3e+4+/-859" , 0.5 , "Yes" , 30 , 2 , "PLCKERC545 G084.03-42.97" , "18.3+/-1.5" , "7.6+/-0.6" , "119.8+/-0.000" , 11.8
16478 , "PCCS1 545 G103.91-11.64 " ,, 344.92167 , 47.06361 , 103.91538 , -11.64004 , "1807.1+/-241.3" , "5579.7+/-1812.5" , "5115.9+/-531.8" , "2.7e+4+/-3129.7" , 0.5 , "Yes" , 6 , 0 , "PLCKERC545 G103.90-11.61" , "21.9+/-3.4" , "9+/-1.3" , "0.8+/-0.000" , 14
16479 , "PCCS1 545 G093.71-30.43 " ,, 344.92625 , 26.02611 , 93.71053 , -30.43017 , "973.4+/-131.9" , "1250.6+/-728.7" , "764.8+/-359" , "-" , 0.5 , "Not available" , 57 , 1 , " " , "-" , "-" , "-" , -9.9
16480 , "PCCS1 545 G091.93-33.20 " ,, 344.97833 , 22.86778 , 91.93622 , -33.20582 , "1476.2+/-208" , "1803.8+/-3554.5" , "4610.4+/-935.3" , "4.4e+4+/-4934.3" , 0.5 , "Yes" , 88 , 1 , " " , "26.7+/-2.8" , "10.8+/-1.7" , "167.4+/-0.000" , 17
16481 , "PCCS1 545 G087.56-39.11 " ,, 345.00708 , 15.985 , 87.56101 , -39.11561 , "867.2+/-117.9" , "964.6+/-233.3" , "796.3+/-111.3" , "-" , 0.5 , "Not available" , 29 , 1 , " " , "-" , "-" , "-" , -9.9
16482 , "PCCS1 545 G108.85-01.21 " ,, 345.0425 , 58.58583 , 108.8518 , -1.21068 , "8553.3+/-1168.3" , "2.6e+4+/-1.3e+4" , "-" , "-" , 0.5 , "Not available" , 38 , 1 , " " , "-" , "-" , "-" , -9.9
16483 , "PCCS1 545 G091.90-33.37 " ,, 345.0475 , 22.71167 , 91.90948 , -33.37301 , "1530.5+/-216.1" , "4346.4+/-1772.4" , "6228.1+/-800.1" , "-" , 0.5 , "Not available" , 87 , 1 , " " , "-" , "-" , "-" , -9.9
16484 , "PCCS1 545 G110.49+02.32 " ,, 345.09958 , 62.48972 , 110.49777 , 2.3295 , "2.0e+4+/-2920.9" , "6.8e+4+/-2.9e+4" , "7.5e+4+/-9378.7" , "1.9e+5+/-2.1e+4" , 0.5 , "Yes" , 48 , 1 , " " , "15.5+/-1.8" , "6.4+/-0.8" , "64.4+/-0.000" , 9.9
16485 , "PCCS1 545 G091.75-33.71 " ,, 345.10958 , 22.35528 , 91.75628 , -33.7107 , "1634.5+/-211.6" , "2160.2+/-3178.6" , "3112+/-854.3" , "4672.3+/-1640.9" , 0.5 , "No" , 85 , 1 , "PLCKERC545 G091.70-30.30" , "10.7+/-2.4" , "4.4+/-1.8" , "5.3+/-0.000" , 6.8
