_id , ercsc_857_name , other_name , RA , Dec , LII , BII , flux density +/- err (mJy) , Detected flux +/- err (mJy) , PSF flux +/- err (mJy) , Gaussian fit flux +/- err (mJy) , PositionError (arcmin) , CMB subtracted , Extended , N. of observations , Reliability +/- err
4298 , "PLCKERC857 G244.76+54.92" ,, 163.46 , 5.9325 , 244.76654 , 54.9202 , "1391.2+/-112" , "1284.9+/-63.3" , "1472.5+/-109.01" , "1484.3+/-266.46" , 0.305 , 0 , 0 , 2 , "0.845+/-0.042"
4299 , "PLCKERC857 G285.05+07.15" ,, 163.505 , -51.59056 , 285.05667 , 7.15927 , "2.1e+4+/-3074" , "2.75e+4+/-1356.9" , "1.7e+4+/-1584.9" , "3.6e+4+/-2.63e+4" , 0.422 , 0 , 1 , 1 , "0.833+/-0.042"
4300 , "PLCKERC857 G271.19+31.64" ,, 163.53083 , -23.90139 , 271.19542 , 31.64299 , "2636.4+/-428" , "1.18e+4+/-140.4" , "2278.6+/-271.75" , "3.9e+4+/-9510.81" , 0.349 , 0 , 1 , 3 , "0.96+/-0.045"
4301 , "PLCKERC857 G210.48+63.71" ,, 163.58542 , 25.19083 , 210.48774 , 63.71204 , "2270.5+/-196" , "3785.84+/-84.1" , "1699.6+/-164.93" , "4416.3+/-534.13" , 0.305 , 0 , 1 , 3 , "0.859+/-0.042"
4302 , "PLCKERC857 G226.77+61.30" ,, 163.62625 , 17.32028 , 226.7772 , 61.30361 , "2394.8+/-229" , "2565.33+/-67.4" , "1821.8+/-158.39" , "2612.3+/-326.99" , 0.305 , 0 , 0 , 2 , "0.902+/-0.043"
4303 , "PLCKERC857 G275.00+26.00" ,, 163.63458 , -30.45167 , 275.00787 , 26.00577 , "2784.8+/-439" , "9705.67+/-118.2" , "2385.5+/-283.16" , "1.1e+4+/-945.64" , 0.462 , 0 , 1 , 3 , "0.891+/-0.043"
4304 , "PLCKERC857 G272.86+29.37" ,, 163.64167 , -26.58389 , 272.86927 , 29.37859 , "1.4e+4+/-1235" , "3.27e+4+/-104.7" , "1.2e+4+/-853.68" , "3.1e+4+/-2362.08" , 0.305 , 0 , 1 , 2 , "1+/-0.046"
4305 , "PLCKERC857 G149.59+53.66" ,, 163.64917 , 56.98611 , 149.59797 , 53.66838 , "846.5+/-92" , "722.51+/-43.1" , "923.5+/-102.03" , "973.7+/-223.08" , 0.305 , 0 , 0 , 2 , "0.86+/-0.043"
4306 , "PLCKERC857 G153.04+55.44" ,, 163.66625 , 54.3075 , 153.04934 , 55.44958 , "2784.4+/-115" , "3200.75+/-65.3" , "2687.3+/-130.35" , "3228.4+/-275.8" , 0.305 , 0 , 0 , 3 , "0.988+/-0.045"
4307 , "PLCKERC857 G293.44-09.85" ,, 163.67375 , -70.53972 , 293.44125 , -9.85043 , "2.3e+4+/-3346" , "4.58e+4+/-490.9" , "1.5e+4+/-1336.8" , "5.2e+4+/-9763.61" , 0.422 , 0 , 1 , 1 , "0.978+/-0.046"
4308 , "PLCKERC857 G296.49-15.80" ,, 163.70833 , -77.19944 , 296.49176 , -15.80982 , "8.1e+4+/-8886" , "1.92e+5+/-321.7" , "5.5e+4+/-6957.4" , "2.5e+5+/-1.57e+4" , 0.422 , 0 , 1 , 1 , "0.978+/-0.046"
4309 , "PLCKERC857 G145.30+51.14" ,, 163.72583 , 60.62528 , 145.30388 , 51.14011 , "1311.7+/-139" , "2098.59+/-75.8" , "1162.9+/-104.89" , "2959.3+/-604.38" , 0.305 , 0 , 1 , 2 , "0.906+/-0.043"
4310 , "PLCKERC857 G163.91+59.72" ,, 163.80667 , 47.09639 , 163.91268 , 59.72852 , "3403.3+/-408" , "5484.67+/-76.8" , "2483.2+/-327.38" , "9958+/-1034.93" , 0.305 , 0 , 1 , 2 , "0.979+/-0.045"
4311 , "PLCKERC857 G288.10+01.35" ,, 163.87167 , -58.14139 , 288.10702 , 1.3533 , "1.4e+5+/-1e+4" , "3.55e+5+/-1673.6" , "9.9e+4+/-9316.52" , "3.9e+5+/-3.54e+4" , 0.462 , 0 , 1 , 1 , "0.816+/-0.041"
4312 , "PLCKERC857 G261.21+44.13" ,, 163.92875 , -9.16583 , 261.21806 , 44.13421 , "1835+/-240" , "2392.73+/-91.4" , "1492.6+/-161.59" , "6543+/-1117.08" , 0.305 , 0 , 1 , 2 , "0.839+/-0.042"
4313 , "PLCKERC857 G152.98+55.76" ,, 164.11958 , 54.1325 , 152.98226 , 55.76488 , "1059+/-118" , "1155.26+/-60" , "917.5+/-100.1" , "1804.6+/-426.48" , 0.305 , 0 , 0 , 2 , "0.889+/-0.043"
4314 , "PLCKERC857 G289.07-00.35" ,, 164.145 , -60.10472 , 289.07704 , -0.35975 , "8.3e+5+/-8e+4" , "2.25e+6+/-2298" , "6.1e+5+/-6.38e+4" , "1.8e+6+/-1.07e+5" , 0.422 , 0 , 1 , 1 , "0.982+/-0.046"
4315 , "PLCKERC857 G290.37-02.92" ,, 164.30917 , -62.97778 , 290.37432 , -2.92473 , "2.0e+5+/-3e+4" , "6.38e+5+/-2578.1" , "1.4e+5+/-2.09e+4" , "2.2e+5+/-1.88e+5" , 0.462 , 0 , 1 , 1 , "0.904+/-0.043"
4316 , "PLCKERC857 G139.61+47.32" ,, 164.35542 , 65.94083 , 139.61152 , 47.32567 , "2382.9+/-323" , "3419.39+/-69.6" , "2314.9+/-169.31" , "5126.3+/-496.81" , 0.305 , 0 , 1 , 2 , "0.886+/-0.043"
4317 , "PLCKERC857 G261.51+44.62" ,, 164.39875 , -8.90306 , 261.51894 , 44.62252 , "1914.8+/-179" , "1760.32+/-74.6" , "1758+/-115.74" , "3323.3+/-521.4" , 0.305 , 0 , 0 , 2 , "0.839+/-0.042"
4318 , "PLCKERC857 G163.44+60.11" ,, 164.46625 , 47.09778 , 163.44303 , 60.11115 , "2712.9+/-304" , "5050.7+/-83.4" , "2018.3+/-177.89" , "8572.8+/-1241.86" , 0.305 , 0 , 1 , 2 , "0.97+/-0.045"
4319 , "PLCKERC857 G265.21+41.11" ,, 164.58708 , -13.32694 , 265.21245 , 41.11713 , "1597.7+/-194" , "3639.54+/-111.5" , "1377.1+/-124.69" , "5896.3+/-1605.19" , 0.349 , 0 , 1 , 2 , "0.831+/-0.041"
4320 , "PLCKERC857 G213.09+64.42" ,, 164.61125 , 24.21722 , 213.099 , 64.42851 , "1209.1+/-126" , "1068.02+/-46" , "1254.2+/-112.85" , "1437.2+/-294.05" , 0.305 , 0 , 0 , 2 , "0.843+/-0.042"
4321 , "PLCKERC857 G255.24+50.39" ,, 164.72 , -1.75528 , 255.24708 , 50.39499 , "1902.4+/-190" , "3033.19+/-110.5" , "1384.8+/-119.46" , "3034.2+/-645.86" , 0.305 , 0 , 1 , 2 , "0.85+/-0.043"
4322 , "PLCKERC857 G289.54-00.66" ,, 164.74958 , -60.57861 , 289.54872 , -0.66228 , "3.9e+5+/-4e+4" , "5.99e+5+/-1998.5" , "2.7e+5+/-2.21e+4" , "5.1e+5+/-2.87e+5" , 0.462 , 0 , 1 , 1 , "0.813+/-0.04"
4323 , "PLCKERC857 G261.51+45.22" ,, 164.75792 , -8.42083 , 261.51625 , 45.22129 , "3499+/-277" , "7556.94+/-128.2" , "2678.2+/-231.17" , "1.1e+4+/-1701.27" , 0.305 , 0 , 1 , 2 , "0.967+/-0.045"
4324 , "PLCKERC857 G143.71+50.81" ,, 164.79958 , 61.53944 , 143.71402 , 50.81849 , "1446.7+/-131" , "1329.09+/-52.3" , "1363.2+/-98.71" , "1642.8+/-270.95" , 0.305 , 0 , 0 , 2 , "0.892+/-0.043"
4325 , "PLCKERC857 G212.44+64.68" ,, 164.82 , 24.54444 , 212.44905 , 64.68383 , "1837.6+/-100" , "1895.57+/-60.9" , "1704+/-108.03" , "1900.5+/-285.43" , 0.305 , 0 , 0 , 2 , "0.918+/-0.044"
4326 , "PLCKERC857 G295.31-12.85" ,, 164.82792 , -74.04444 , 295.3175 , -12.85401 , "6.3e+4+/-7936" , "1.50e+5+/-303.9" , "4.8e+4+/-4437.62" , "1.6e+5+/-8458.97" , 0.422 , 0 , 1 , 1 , "0.996+/-0.048"
4327 , "PLCKERC857 G273.50+30.58" ,, 164.83875 , -25.80639 , 273.50711 , 30.58424 , "6441+/-559" , "1.23e+4+/-114.8" , "4466.9+/-417.08" , "1.7e+4+/-1456.89" , 0.305 , 0 , 1 , 2 , "0.948+/-0.044"
4328 , "PLCKERC857 G164.84+60.84" ,, 164.85583 , 46.12417 , 164.84659 , 60.84667 , "1186.4+/-108" , "974.21+/-44" , "1060.4+/-103.81" , "1650.7+/-344.87" , 0.305 , 0 , 0 , 2 , "0.843+/-0.042"
4329 , "PLCKERC857 G273.31+30.91" ,, 164.86083 , -25.43583 , 273.31756 , 30.91748 , "1842.9+/-269" , "5986.7+/-124.5" , "1482.3+/-186.5" , "5740.8+/-1152.61" , 0.349 , 0 , 1 , 2 , "0.821+/-0.041"
4330 , "PLCKERC857 G261.42+45.52" ,, 164.885 , -8.13972 , 261.42195 , 45.52201 , "3056.7+/-340" , "3542.74+/-78.4" , "1962.4+/-222.7" , "7982.9+/-864.29" , 0.305 , 0 , 1 , 2 , "0.919+/-0.044"
4331 , "PLCKERC857 G294.33-10.75" ,, 164.92125 , -71.73528 , 294.33628 , -10.75404 , "9108.8+/-1376" , "2.14e+4+/-489.2" , "6668.1+/-876.91" , "-" , 0.462 , 0 , 0 , 1 , "0.842+/-0.041"
4332 , "PLCKERC857 G251.09+53.49" ,, 164.94583 , 2.25444 , 251.09476 , 53.49185 , "1834.4+/-184" , "2851.6+/-103.4" , "1598.3+/-131.38" , "3462.2+/-572.75" , 0.305 , 0 , 1 , 2 , "0.844+/-0.042"
4333 , "PLCKERC857 G232.64+61.33" ,, 165.01042 , 14.83722 , 232.64792 , 61.33505 , "2078.2+/-108" , "2185.6+/-65.7" , "2078.3+/-118.44" , "2410.8+/-295.31" , 0.305 , 0 , 0 , 2 , "0.942+/-0.045"
4334 , "PLCKERC857 G202.07+65.48" ,, 165.09375 , 28.97361 , 202.07884 , 65.48249 , "7433.2+/-242" , "7972.5+/-74.8" , "7069.9+/-272.82" , "8573.4+/-306.13" , 0.305 , 0 , 0 , 2 , "1+/-0.047"
4335 , "PLCKERC857 G286.84+05.70" ,, 165.13333 , -53.66639 , 286.84936 , 5.70619 , "2.1e+4+/-3152" , "6.78e+4+/-1737.8" , "1.6e+4+/-2085.6" , "8.1e+4+/-6862.29" , 0.462 , 0 , 1 , 1 , "0.902+/-0.043"
4336 , "PLCKERC857 G186.18+64.96" ,, 165.14833 , 35.6375 , 186.18334 , 64.9624 , "1273.4+/-143" , "1119.86+/-85.2" , "1127.2+/-123.61" , "2212.2+/-593.01" , 0.305 , 0 , 1 , 2 , "0.911+/-0.044"
4337 , "PLCKERC857 G227.61+62.75" ,, 165.18208 , 17.58722 , 227.61473 , 62.75967 , "1166.4+/-105" , "1098.89+/-59.2" , "1109.7+/-107.79" , "1148.4+/-266.04" , 0.305 , 0 , 0 , 2 , "0.84+/-0.042"
