_id ,fermilbas_name,other_name,RA,Dec,LII,BII,Flux100 Mev,Spectral_index,Sigma,Associated_name,Association_Probability,FoM,FluxPeak,Flux_Summed,Redshift,Classification,Variability
40 , 0FGLJ0714.2+1934 , - , 108.55167 , 19.574 , 197.68 , 13.64 , (10.7+/-1.6) e-8 , 2.35 , 15 , - , 0 , 20.54 , (27+/-5) e-8 , (10+/-1.6) e-8 , 0.534 , FSRQ , T 
41 , 0FGLJ0719.4+3302 , TXS 0716+332 , 109.86875 , 33.037 , 185.13 , 19.85 , (7.8+/-1.7) e-8 , 2.37 , 12.3 , BZUJ0719+3307 , 0.89 , 14.33 , (20.8+/-4.9) e-8 , (7.5+/-1.5) e-8 , 0.779 , FSRQ , T 
42 , 0FGLJ0722.0+7120 , S5 0716+71 , 110.50792 , 71.34797 , 143.97 , 28.03 , (16.4+/-1.4) e-8 , 2.08 , 34.4 , CRATES J0721+7120 , 1 , 66.4 , (29+/-4.2) e-8 , (17+/-1.6) e-8 , 0.31 , BL Lac , T 
43 , 0FGLJ0738.2+1738 , PKS 0735+178 , 114.57458 , 17.634 , 201.93 , 18.08 , (4.6+/-1.1) e-8 , 2.1 , 11.9 , PKS 0735+17 , 1 , 25.45 , (7.5+/-2.4) e-8 , (3.6+/-1.4) e-8 , 0.424 , BL Lac , - 
44 , 0FGLJ0818.3+4222 , OJ 425 , 124.57875 , 42.367 , 178.24 , 33.41 , (9.6+/-1.3) e-8 , 2.07 , 20.9 , OJ 425 , 1 , 61.26 , (14.5+/-2.9) e-8 , (7+/-1.1) e-8 , 0.53 , BL Lac , - 
45 , 0FGLJ0824.9+5551 , TXS 0820+560 , 126.23875 , 55.859 , 161.98 , 35.14 , (11.4+/-2.9) e-8 , 2.81 , 10.6 , CGRaBS J0824+5552 , 0.98 , 57.8 , (42+/-8.1) e-8 , (10.8+/-1.3) e-8 , 1.417 , FSRQ , T
46 , 0FGLJ0855.4+2009 , OJ 287 , 133.85667 , 20.162 , 206.81 , 35.97 , (9+/-1.5) e-8 , 2.31 , 15.1 , OJ 287 , 0.99 , 8.67 , (19+/-4.1) e-8 , (7.8+/-1.3) e-8 , 0.306 , BL Lac , - 
47 , 0FGLJ0909.7+0145 , PKS 0907+022 , 137.44583 , 1.757 , 228.64 , 31.26 , (10.4+/-2.1) e-8 , 2.67 , 11.6 , PKS 0907+022 , 0.87 , 4.16 , (22.9+/-6.1) e-8 , (95+/-3) e-9 , 0 , BL Lac , - 
48 , 0FGLJ0921.2+4437 , RGB J0920+446 , 140.32 , 44.617 , 175.81 , 44.87 , (8.6+/-1.5) e-8 , 2.35 , 15.2 , CGRaBS J0920+4441 , 0.95 , 13.49 , (15.7+/-4.2) e-8 , (9.2+/-1.4) e-8 , 2.19 , FSRQ , - 
49 , 0FGLJ0948.3+0019 , PMN J0948+0022 , 147.07667 , 0.317 , 236.52 , 38.54 , (12.1+/-2.2) e-8 , 2.6 , 12.8 , CGRaBS J0948+0022 , 0.94 , 18.64 , (29.2+/-5.7) e-8 , (9.1+/-1.4) e-8 , 0.585 , FSRQ , T 
50 , 0FGLJ0957.6+5522 , 4C +55.17 , 149.42375 , 55.375 , 158.6 , 47.94 , (8.7+/-1.1) e-8 , 2.01 , 24 , BZQJ0957+5522 , 0.96 , 50.91 , (12.9+/-3) e-8 , (9.2+/-1.3) e-8 , 0.896 , FSRQ , - 
51 , 0FGLJ1012.9+2435 , - , 153.24083 , 24.598 , 207.89 , 54.4 , (6.1+/-1.2) e-8 , 2.22 , 12.4 , - , 0 , 13.63 , (10.9+/-3.6) e-8 , (45+/-9) e-9 , 1.805 , FSRQ , T 
52 , 0FGLJ1015.2+4927 , 1ES 1011+496 , 153.80875 , 49.463 , 165.47 , 52.72 , (49+/-7) e-9 , 1.73 , 23.8 , 1ES 1011+496 , 1 , 18.06 , (7.1+/-1.7) e-8 , (8.9+/-1.5) e-8 , 0.212 , BL Lac , - 
53 , 0FGLJ1015.9+0515 , PMN J1016+0512 , 153.99083 , 5.254 , 236.45 , 47.03 , (11.7+/-1.5) e-8 , 2.2 , 20.6 , CRATES J1016+0513 , 0.78 , 28.86 , (21.8+/-4.5) e-8 , (13.1+/-1.5) e-8 , 1.713 , FSRQ , T 
54 , 0FGLJ1034.0+6051 , - , 158.50375 , 60.853 , 147.76 , 49.12 , (9.3+/-1.7) e-8 , 2.48 , 14.8 , - , 0 , 5.22 , (22+/-4.7) e-8 , (7.5+/-1.3) e-8 , 1.064 , FSRQ , - 
55 , 0FGLJ1053.7+4926 , MS 1050.7+4946 , 163.44167 , 49.449 , 160.31 , 58.26 , (5+/-3) e-9 , 1.42 , 10.1 , MS 1050.7+4946 , 1 , 11.55 , (18+/-9) e-9 , (2+/-1) e-9 , 0.14 , BL Lac , - 
56 , 0FGLJ1054.5+2212 , - , 163.62583 , 22.215 , 216.96 , 63.04 , (4.9+/-1.3) e-8 , 2.24 , 11.2 , - , 0 , 16.2 , (10.8+/-3.3) e-8 , (4.3+/-1) e-8 , 0 , BL Lac , - 
57 , 0FGLJ1057.8+0138 , PKS 1055+018 , 164.45083 , 1.643 , 251.22 , 52.7 , (5+/-1.4) e-8 , 2.2 , 10.3 , CGRaBS J1058+0133 , 0.93 , 3.71 , (10.7+/-2.8) e-8 , (9.2+/-1.7) e-8 , 0.888 , FSRQ , - 
58 , 0FGLJ1058.9+5629 , RXS J10586+5628 , 164.73083 , 56.488 , 149.52 , 54.44 , (3.9+/-1) e-8 , 2.11 , 12 , RXS J10586+5628 , 1 , 24.66 , (8.3+/-2.7) e-8 , (5+/-1.8) e-8 , 0.143 , BL Lac , - 
59 , 0FGLJ1100.2-8000 , PKS 1057-79 , 165.05667 , -80.012 , 298.04 , -18.22 , (17.1+/-3.8) e-8 , 2.71 , 12.1 , CGRaBS J1058-8003 , 0.99 , 53.65 , (38.4+/-8.5) e-8 , (11.1+/-2.2) e-8 , 0.569 , BL Lac , T 
60 , 0FGLJ1104.5+3811 , Mrk 421 , 166.13667 , 38.187 , 179.87 , 65.05 , (15.3+/-1.1) e-8 , 1.77 , 47.1 , Mrk 421 , 1 , 35.1 , (20.9+/-3.1) e-8 , (15.9+/-1.3) e-8 , 0.03 , BL Lac , - 
61 , 0FGLJ1129.8-1443 , PKS 1127-14 , 172.45375 , -14.727 , 275.13 , 43.69 , (9.9+/-2.4) e-8 , 2.69 , 10.5 , BZQ J1130-1449 , 0.84 , 27.54 , (25.8+/-5.8) e-8 , (10.8+/-1.6) e-8 , 1.184 , FSRQ , - 
62 , 0FGLJ1146.7-3808 , PKS 1144-379 , 176.68875 , -38.149 , 289.16 , 22.98 , (5.7+/-1.4) e-8 , 2.21 , 10.4 , CGRaBS J1147-3812 , 0.99 , 45.04 , (7.5+/-2.8) e-8 , (3.5+/-1.2) e-8 , 1.048 , FSRQ , - 
63 , 0FGLJ1159.2+2912 , 4C 29.45 , 179.8 , 29.216 , 199.61 , 78.3 , (10.3+/-1.8) e-8 , 2.47 , 14.6 , CGRaBS J1159+2914 , 0.98 , 39.38 , (16+/-3.8) e-8 , (9.4+/-1) e-8 , 0.729 , FSRQ , - 
64 , 0FGLJ1218.0+3006 , B2 1215+30 , 184.51667 , 30.108 , 188.83 , 82.09 , (9.7+/-1.1) e-8 , 1.89 , 27.4 , B2 1215+30 , 1 , 31.8 , (40.9+/-4.7) e-8 , (10.4+/-1) e-8 , 0.13 , BL Lac , T 
65 , 0FGLJ1221.7+2814 , W Com , 185.43875 , 28.243 , 201.6 , 83.33 , (8.3+/-1.1) e-8 , 1.93 , 24 , W Com , 1 , 36.82 , (17.2+/-3.5) e-8 , (75+/-9) e-9 , 0.102 , BL Lac , T 
66 , 0FGLJ1229.1+0202 , 3C 273 , 187.28667 , 2.045 , 289.97 , 64.35 , (75.2+/-4.3) e-8 , 2.71 , 52 , 3C 273 , 1 , 73.53 , (13.7+/-1.3) e-7 , (65.5+/-2.6) e-8 , 0.158 , FSRQ , T 
67 , 0FGLJ1246.6-2544 , PKS 1244-255 , 191.655 , -25.734 , 301.57 , 37.12 , (6.8+/-1.6) e-8 , 2.24 , 11.7 , CGRaBS J1246-2547 , 0.99 , 43.45 , (15.3+/-4.3) e-8 , (7.6+/-1.4) e-8 , 0.635 , FSRQ , - 
68 , 0FGLJ1248.7+5811 , - , 192.18875 , 58.191 , 123.61 , 58.93 , (38+/-8) e-9 , 1.95 , 14.3 , PG 1246+586 , 0.86 , 0 , (8+/-2.4) e-8 , (7.4+/-1.6) e-8 , 0 , BL Lac , - 
69 , 0FGLJ1253.4+5300 , S4 1250+53 , 193.36875 , 53.001 , 122.22 , 64.12 , (4.7+/-1.1) e-8 , 2.17 , 12.1 , S4 1250+53 , 1 , 43.34 , (9.1+/-2.6) e-8 , (5.6+/-1.5) e-8 , 0 , BL Lac , - 
70 , 0FGLJ1256.1-0547 , 3C 279 , 194.03375 , -5.8 , 305.08 , 57.05 , (31.5+/-2.3) e-8 , 2.35 , 36.8 , 3C279 , 1 , 71.21 , (46.3+/-6.8) e-8 , (29.7+/-1.8) e-8 , 0.536 , FSRQ , T 
71 , 0FGLJ1310.6+3220 , B2 1308+32 , 197.65583 , 32.339 , 85.45 , 83.33 , (15.5+/-1.6) e-8 , 2.25 , 27.3 , CGRaBS J1310+3220 , 0.99 , 55.91 , (37.3+/-4.6) e-8 , (16.4+/-1.1) e-8 , 0.997 , FSRQ , T 
72 , 0FGLJ1325.4-4303 , NGC 5128|Cen A , 201.35292 , -43.062 , 309.5 , 19.37 , (21.5+/-4.5) e-8 , 2.91 , 12.4 , NGC 5128 , 1 , 75.23 , (32.3+/-8) e-8 , (22.2+/-2.4) e-8 , 0.002 , RadioGalaxy , - 
73 , 0FGLJ1331.7-0506 , PKS 1329-049 , 202.93458 , -5.112 , 321.24 , 56.31 , (13+/-2.1) e-8 , 2.59 , 14.3 , CGRaBS J1332-0509 , 0.93 , 44.64 , (33+/-5.9) e-8 , (10.7+/-1.2) e-8 , 2.15 , FSRQ , T 
74 , 0FGLJ1333.3+5058 , - , 203.33083 , 50.97297 , 107.3 , 64.86 , (7.2+/-1.5) e-8 , 2.4 , 12.4 , - , 0 , 21.52 , (13.7+/-4.6) e-8 , (9.1+/-1.3) e-8 , 1.362 , FSRQ , T 
75 , 0FGLJ1355.0-1044 , PKS 1352-104 , 208.76375 , -10.735 , 327.21 , 49.11 , (7.6+/-1.8) e-8 , 2.37 , 11.5 , BZUJ1354-1041 , 0.84 , 22.52 , (34.4+/-5.5) e-8 , (8.7+/-1.3) e-8 , 0.33 , FSRQ , T 
76 , 0FGLJ1427.1+2347 , PKS 1424+240 , 216.79375 , 23.785 , 29.46 , 68.16 , (62+/-8) e-9 , 1.8 , 24.1 , PKS 1424+240 , 1 , 19.69 , (8.7+/-2.2) e-8 , (5.1+/-1) e-8 , 0 , BL Lac , - 
77 , 0FGLJ1457.6-3538 , PKS 1454-354 , 224.40667 , -35.639 , 329.93 , 20.52 , (36.6+/-2.4) e-8 , 2.24 , 39.6 , CGRaBS J1457-3539 , 0.99 , 26.03 , (77.2+/-7.1) e-8 , (321+/-5) e-9 , 1.424 , FSRQ , T 
