_id , gbmcatalog_name , other_name , RA, Dec, trigger time , LII , BII , Error Radius , Redshift , Swift Trigger , GBM trigger , T50, T50 error , T90 , T90 error , Detection Mask , Fitting Mask , best fitting model peak flux , best fitting model fluence , Reduced Chi2 peak model , Reduced Chi2 fln model , TSTART spe peak , TSTOP spe peak , TSTART spe fln , TSTOP spe fln , Fluence, Fluence error, Flux1.024s,Flux1.024sError
164 , GRB090810781 , 090810781 , 116.43 , -17.48 , 271622686 , 234.654 , 3.567 , 2.77 , - , NULL , 090810781 , 19.712 , 1.9 , 62.98 , 11.87 , 00011100000000 , 00011100000010 , Power Law Model , Band Model , 0.95 , 1.43 , 5.12 , 6.14 , -2.05 , 30.72 , 0.00000515 , 5.73e-8 , 3.41 , 0.2
165 , GRB081217983 , 081217 , 116.8 , 26.8 , 251249690 , 193.641 , 23.389 , 2 , - , NULL , 081217983 , 7.424 , 0.72 , 29.7 , 12.89 , 00000011110100 , 00000011000101 , Band Model , Comptonized Model , 1.13 , 1.17 , 9.22 , 10.24 , -2.05 , 21.5 , 0.00000962 , 1.4e-7 , 5.47 , 0.163
166 , GRB100228873 , 100228873 , 117.99 , 18.63 , 289083469 , 202.312 , 21.457 , 11.05 , - , NULL , 100228873 , 3.072 , 0.81 , 8.7 , 2.32 , 10000010011100 , 00000000011101 , Power Law Model , Power Law Model , 1.13 , 0.92 , -1.02 , 0 , -2.05 , 3.07 , 6.91e-7 , 1.76e-8 , 2.46 , 0.175
167 , GRB090425377 , 090425 , 118.59996 , 68.1 , 262343012 , 147.657 , 30.873 , 2.1 , - , NULL , 090425377 , 9.344 , 0.29 , 75.39 , 2.45 , 00001000000000 , 00001000000010 , Power Law Model , Smoothly Broken Power Law , 0.91 , 1.33 , 58.37 , 59.39 , -1.02 , 79.87 , 0.0000181 , 1.52e-7 , 13.9 , 0.424
168 , GRB090222179 , 090222 , 118.6 , 45 , 256969031 , 174.407 , 29.548 , 4.3 , - , NULL , 090222179 , 8.192 , 1.45 , 17.41 , 3.24 , 00000000011100 , 00000000011101 , Power Law Model , Comptonized Model , 1.14 , 1.21 , 4.1 , 5.12 , -2.05 , 12.29 , 0.00000323 , 5.38e-8 , 3.01 , 0.168
169 , GRB100423244 , 100423B , 119.67 , 5.78 , 293694687 , 215.431 , 17.578 , 1.5 , - , NULL , 100423244 , 6.976 , 0.36 , 16.51 , 2.23 , 00011011000000 , 00010011000001 , Comptonized Model , Smoothly Broken Power Law , 0.97 , 1.19 , 5.12 , 6.14 , -2.05 , 79.87 , 0.00000792 , 1.21e-7 , 3.35 , 0.146
170 , GRB081206275 , 081206A , 120.1 , 32.8 , 250238154 , 188.275 , 27.952 , 6.4 , - , NULL , 081206275 , 10.752 , 0.72 , 24.58 , 5.72 , 00000000011100 , 00000000011101 , Power Law Model , Band Model , 1.11 , 1.42 , 3.07 , 4.1 , -4.1 , 14.34 , 0.00000386 , 6.49e-8 , 2.15 , 0.171
171 , GRB090518080 , 090518 , 119.95 , 0.75 , 264304486 , 220.227 , 15.516 , 0 , - , 352420 , 090518080 , 0.96 , 0.18 , 2.05 , 0.41 , 00010100000000 , 00010100000010 , Power Law Model , Power Law Model , 0.83 , 0.95 , 0 , 1.02 , -1.02 , 2.05 , 9.91e-7 , 2.67e-8 , 4.75 , 0.306
172 , GRB080916009 , 080916C , 119.8 , -56.6 , 243216766 , 270.101 , -13.764 , 0 , 4.35 , 020082 , 080916009 , 32 , 0.72 , 62.98 , 0.81 , 10011011000000 , 00011000000010 , Comptonized Model , Smoothly Broken Power Law , 0.86 , 1.23 , 2.05 , 3.07 , -4.1 , 87.04 , 0.0000603 , 7e-8 , 13.7 , 0.293
173 , GRB100131730 , 100131A , 120.4 , 16.45 , 286651859 , 205.442 , 22.729 , 1.23 , - , NULL , 100131730 , 1.408 , 0.2 , 3.52 , 0.45 , 00000011000000 , 00000011010001 , Smoothly Broken Power Law , Smoothly Broken Power Law , 0.87 , 1.03 , 0 , 1.02 , -1.02 , 10.24 , 0.00000734 , 7.61e-8 , 24.3 , 0.508
174 , GRB100420008 , 100420008 , 120.55 , -5.82 , 293415128 , 226.463 , 12.874 , 2.79 , - , NULL , 100420008 , 8.704 , 0.23 , 20.29 , 0.4 , 00011100000000 , 00011100000010 , Band Model , Comptonized Model , 0.98 , 1.15 , 1.02 , 2.05 , 0 , 21.5 , 0.00000431 , 3.66e-8 , 4.27 , 0.18
175 , GRB081226044 , 081226A , 120.5 , -69 , 251946218 , 281.73 , -19.211 , 0 , - , 338177 , 081226044 , 0.32 , 0.26 , 0.83 , 1.03 , 00100000001000 , 00100000001010 , Comptonized Model , Power Law Model , 0.95 , 0.93 , -0.13 , -0.06 , -0.19 , 0.13 , 4.3e-7 , 2.32e-8 , 2.32 , 0.281
176 , GRB080920268 , 080920 , 121.6 , 8.9 , 243584749 , 213.363 , 20.674 , 5.4 , - , NULL , 080920268 , 51.457 , 2.67 , 113.92 , 3.12 , 11010000010000 , 01010000010010 , Power Law Model , Power Law Model , 1.03 , 1.23 , 1.02 , 2.05 , -1.02 , 30.72 , 0.00000187 , 6.34e-8 , 1.08 , 0.109
177 , GRB080725435 , 080725 , 121.69996 , -14 , 238674370 , 234.24 , 9.704 , 0 , - , 316910 , 080725435 , 10.048 , 0.32 , 25.92 , 1.21 , 11010000000000 , 11010000000010 , Power Law Model , Power Law Model , 0.97 , 1.19 , 6.14 , 7.17 , -3.07 , 27.65 , 0.00000799 , 4.42e-8 , 3.36 , 0.168
178 , GRB090117632 , 090117C , 121.6 , -38.8 , 253897842 , 255.245 , -3.605 , 1.9 , - , NULL , 090117632 , 41.985 , 5.12 , 75.78 , 3.24 , 11000000011000 , 00000000011001 , Comptonized Model , Comptonized Model , 0.98 , 1.18 , 22.53 , 23.55 , -63.49 , 32.77 , 0.0000119 , 1.97e-7 , 3.28 , 0.182
179 , GRB080824909 , 080824 , 122.4 , -2.8 , 241307335 , 224.683 , 15.965 , 1 , - , NULL , 080824909 , 2.752 , 0.23 , 7.42 , 2 , 11010000000000 , 11010000000010 , Comptonized Model , Comptonized Model , 1.05 , 1.07 , 0 , 1.02 , -5.12 , 17.41 , 0.00000273 , 5.91e-8 , 7.26 , 0.231
