_id , pccs1f70_name , RA , Dec , LII , BII , Detection pipeline flux density +/- err (mJy) , Aperture photometry flux density +/- err (mJy) , PSF fit flux density +/- err (mJy) , Gaussian fit flux density +/- err (mJy) , PositionError (arcmin) , Extended , Cirrus flag , External validation , ERCSC source name , Gaussian fit semimajor axis +/- err (arcmin) , Gaussian fit semiminor axis +/- err (arcmin) , Gaussian fit orientation +/- err (degrees) , Gaussian fit effective FWHM (arcmin)
30 , "PCCS1 070 G124.43-04.44 "  ,, 15.70667 , 58.3975 , 124.428 , -4.441 , "2116.5+/-136.1" , "1581.6+/-240.4" , "1667.2+/-109.9" , "1560.5+/-136.1" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G124.41-04.45" , "13.4+/-1.2" , "10.6+/-0.9" , "43.5+/-14.8" , 11.9
31 , "PCCS1 070 G170.74-85.78 "  ,, 16.28417 , -24.25556 , 170.741 , -85.784 , "822.3+/-150.4" , "820.2+/-233.6" , "764.3+/-95.6" , "-" , 1.4 , "Not available" , 0 , 2 , "PLCKERC070 G170.98-85.81" , "-" , "-" , "-" , -9.9
32 , "PCCS1 070 G216.04-86.68 "  ,, 16.59042 , -27.25889 , 216.041 , -86.679 , "632+/-155.8" , "648+/-241.1" , "474.6+/-93.1" , "361.9+/-125.6" , 1.4 , "No" , 0 , 2 , " " , "14.5+/-5.1" , "10.2+/-3.6" , "54.4+/-40.7" , 12.2
33 , "PCCS1 070 G290.78-76.17 "  ,, 16.65792 , -40.59556 , 290.78201 , -76.172 , "905+/-147.8" , "1194.3+/-234.5" , "1057+/-98.1" , "2242.8+/-232.9" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G290.65-76.18" , "35.9+/-3.9" , "16.3+/-1.8" , "123.6+/-4.9" , 24.2
34 , "PCCS1 070 G300.41-50.11 "  ,, 16.9975 , -66.94083 , 300.40601 , -50.106 , "537.1+/-117.5" , "270.7+/-181.6" , "486.2+/-75.6" , "-" , 1.4 , "Not available" , 0 , 0 , " " , "-" , "-" , "-" , -9.9
35 , "PCCS1 070 G131.79-60.99 "  ,, 17.14583 , 1.58528 , 131.795 , -60.991 , "2604.9+/-182.7" , "2671.8+/-390.7" , "2364.7+/-129.8" , "3116.6+/-187.3" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G131.82-60.99" , "17.9+/-1.1" , "13.5+/-0.8" , "45+/-8.5" , 15.5
36 , "PCCS1 070 G129.45-49.32 "  ,, 17.21958 , 13.32778 , 129.44901 , -49.323 , "794.9+/-178.5" , "374.6+/-260.2" , "228.5+/-102.6" , "376.8+/-106.6" , 1.4 , "No" , 0 , 2 , " " , "11.7+/-3.4" , "9.2+/-2.7" , "46.1+/-47.5" , 10.4
37 , "PCCS1 070 G124.64+05.25 "  ,, 17.41125 , 68.06417 , 124.638 , 5.253 , "653.3+/-133.8" , "671.6+/-245.9" , "269+/-86.2" , "1637.5+/-202" , 1.4 , "Yes" , 0 , 1 , " " , "26.9+/-3.5" , "20.9+/-2.7" , "173.6+/-19.9" , 23.8
38 , "PCCS1 070 G128.20-30.55 "  ,, 18.2175 , 32.10611 , 128.202 , -30.546 , "1210.9+/-178.3" , "1144.5+/-383.8" , "1076.5+/-105.3" , "1256.6+/-177.2" , 1.4 , "No" , 0 , 2 , " " , "17.6+/-2.6" , "14.7+/-2.1" , "80.4+/-31.9" , 16.1
39 , "PCCS1 070 G296.59-59.11 "  ,, 18.9525 , -57.72028 , 296.59299 , -59.10699 , "517.4+/-117.5" , "499.6+/-171.5" , "292.3+/-67.4" , "2423.3+/-354.4" , 1.4 , "Yes" , 0 , 0 , " " , "34.8+/-5.6" , "30.6+/-4.9" , "50.8+/-47.3" , 32.6
40 , "PCCS1 070 G144.75-73.45 "  ,, 19.06417 , -11.63722 , 144.748 , -73.44901 , "1546.8+/-162.6" , "1153.1+/-267.8" , "1140.6+/-105.1" , "865.4+/-130.8" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G144.77-73.40" , "15.8+/-2.4" , "10.1+/-1.6" , "54.2+/-13.5" , 12.6
41 , "PCCS1 070 G132.26-48.06 "  ,, 19.27792 , 14.34611 , 132.258 , -48.06 , "769.9+/-186.3" , "1017+/-241.3" , "856.6+/-116" , "2741.4+/-449.5" , 1.4 , "Yes" , 0 , 2 , " " , "54+/-1.5" , "21.9+/-4.4" , "19+/-7.3" , 34.4
42 , "PCCS1 070 G173.22-81.73 "  ,, 19.69458 , -21.68417 , 173.21899 , -81.73399 , "943.3+/-140.9" , "1020.4+/-243.1" , "944+/-95.6" , "1878.4+/-244.7" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G173.34-81.71" , "39.7+/-1.1" , "16.1+/-2.5" , "134.8+/-5.9" , 25.3
43 , "PCCS1 070 G134.65-50.34 "  ,, 20.46917 , 11.83889 , 134.649 , -50.339 , "1384.6+/-167.8" , "1282.5+/-254.4" , "1107.5+/-110" , "1471.5+/-232.6" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G134.60-50.35" , "28.5+/-4.6" , "13+/-2.1" , "70.3+/-7.4" , 19.2
44 , "PCCS1 070 G137.36-57.66 "  ,, 20.53958 , 4.35167 , 137.356 , -57.657 , "1026.2+/-159.3" , "877.3+/-243.4" , "782.1+/-102.8" , "1902.9+/-280.5" , 1.4 , "Yes" , 0 , 2 , " " , "31+/-4.8" , "17.9+/-2.8" , "171+/-10.4" , 23.5
45 , "PCCS1 070 G126.66-00.80 "  ,, 20.77917 , 61.83806 , 126.661 , -0.804 , "2225.2+/-147.5" , "2935.5+/-236.5" , "2481.2+/-104.7" , "3622.5+/-195.4" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G126.67-00.79" , "20.7+/-1.1" , "15.3+/-0.8" , "53.1+/-7.2" , 17.8
46 , "PCCS1 070 G129.10-13.45 "  ,, 22.01583 , 48.97861 , 129.097 , -13.454 , "849.2+/-156.5" , "1042.5+/-190.3" , "952.3+/-93" , "909+/-131.6" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G129.09-13.44" , "17.1+/-2.5" , "10.9+/-1.6" , "59.9+/-12.8" , 13.7
47 , "PCCS1 070 G127.09+00.54 "  ,, 22.08583 , 63.10833 , 127.091 , 0.535 , "821.7+/-175.9" , "232.7+/-429.7" , "579.2+/-142.4" , "-" , 1.4 , "Not available" , 0 , 0 , " " , "-" , "-" , "-" , -9.9
48 , "PCCS1 070 G124.74+16.50 "  ,, 22.15958 , 79.24111 , 124.735 , 16.5 , "676.6+/-136.6" , "456.8+/-215.8" , "352.5+/-71.3" , "1511+/-222.5" , 1.4 , "Yes" , 0 , 0 , " " , "43.4+/-2" , "17.7+/-3.1" , "11.4+/-6.7" , 27.7
49 , "PCCS1 070 G168.11-76.02 "  ,, 23.17417 , -16.91722 , 168.114 , -76.02499 , "1610.3+/-166.8" , "1687.9+/-261.5" , "1290.9+/-121" , "2220.8+/-234.7" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G168.20-75.98" , "22.4+/-2.4" , "14.8+/-1.6" , "7.5+/-10.2" , 18.2
50 , "PCCS1 070 G139.36-51.15 "  ,, 23.24708 , 10.38667 , 139.35699 , -51.155 , "713.7+/-172.2" , "541+/-249.5" , "350.8+/-106" , "-" , 1.4 , "Not available" , 0 , 0 , " " , "-" , "-" , "-" , -9.9
51 , "PCCS1 070 G267.83-75.32 "  ,, 23.62375 , -38.72722 , 267.832 , -75.321 , "663.9+/-137.6" , "288.5+/-240" , "101.3+/-97.1" , "148.4+/-153.3" , 1.4 , "No" , 0 , 2 , " " , "26.6+/-0.4" , "10.7+/-13" , "45+/-46.4" , 16.9
52 , "PCCS1 070 G132.13-22.38 "  ,, 23.93458 , 39.70306 , 132.129 , -22.376 , "779.6+/-184.7" , "503.4+/-358.7" , "582.8+/-144.7" , "-" , 1.4 , "Not available" , 0 , 0 , " " , "-" , "-" , "-" , -9.9
