_id , pccs1f70_name , RA , Dec , LII , BII , Detection pipeline flux density +/- err (mJy) , Aperture photometry flux density +/- err (mJy) , PSF fit flux density +/- err (mJy) , Gaussian fit flux density +/- err (mJy) , PositionError (arcmin) , Extended , Cirrus flag , External validation , ERCSC source name , Gaussian fit semimajor axis +/- err (arcmin) , Gaussian fit semiminor axis +/- err (arcmin) , Gaussian fit orientation +/- err (degrees) , Gaussian fit effective FWHM (arcmin)
464 , "PCCS1 070 G022.13+80.98 " ,, 202.64875 , 25.10056 , 22.134 , 80.982 , "726+/-153.3" , "729.2+/-359.5" , "385.3+/-99.4" , "4337.5+/-494.2" , 1.4 , "Yes" , 0 , 2 , " " , "51.2+/-6.6" , "28+/-3.6" , "13.2+/-7.3" , 37.8
465 , "PCCS1 070 G056.70+80.65 " ,, 202.7975 , 30.54306 , 56.7 , 80.653 , "1282.5+/-161.1" , "863.4+/-266.1" , "447.5+/-100.1" , "501.2+/-115.6" , 1.4 , "No" , 0 , 2 , " " , "14+/-3.2" , "8.5+/-1.9" , "32.9+/-17.7" , 10.9
466 , "PCCS1 070 G321.40+56.27 " ,, 203.03 , -5.135 , 321.39801 , 56.271 , "1427.7+/-176.7" , "1495.9+/-301" , "1414.7+/-112.8" , "1585.4+/-173.6" , 1.4 , "No" , 0 , 2 , " " , "17.9+/-2" , "12.2+/-1.4" , "143.7+/-11.5" , 14.8
467 , "PCCS1 070 G307.61-00.29 " ,, 203.13542 , -62.7825 , 307.612 , -0.285 , "7186.3+/-405.5" , "8372.4+/-703.1" , "7956.2+/-293.3" , "3.0e+4+/-966.2" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G307.61-00.30" , "34.6+/-1.2" , "30.5+/-1.1" , "136.6+/-10.6" , 32.5
468 , "PCCS1 070 G326.25+63.04 " ,, 203.205 , 2.05389 , 326.24899 , 63.037 , "815.9+/-184" , "1034.8+/-258.7" , "824.5+/-103.8" , "3037.3+/-360.7" , 1.4 , "Yes" , 0 , 2 , " " , "32.1+/-4.1" , "24.8+/-3.1" , "87.6+/-18.5" , 28.2
469 , "PCCS1 070 G313.58+27.98 " ,, 204.20375 , -33.94861 , 313.57999 , 27.983 , "960.2+/-185.7" , "707.3+/-323.3" , "576.8+/-130.1" , "-" , 1.4 , "Not available" , 0 , 2 , " " , "-" , "-" , "-" , -9.9
470 , "PCCS1 070 G320.04+48.38 " ,, 204.42208 , -12.94444 , 320.03799 , 48.385 , "4019.7+/-190.9" , "3911+/-278" , "3984.7+/-116.8" , "4291.3+/-167.5" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G320.03+48.38" , "16.3+/-0.6" , "12.8+/-0.5" , "134.8+/-6.7" , 14.4
471 , "PCCS1 070 G308.55+00.56 " ,, 204.80125 , -61.79194 , 308.54501 , 0.558 , "2.4e+4+/-2233.2" , "1.0e+4+/-1388.8" , "1.2e+4+/-468.2" , "1.2e+4+/-1342.7" , 1.4 , "No" , 0 , 2 , " " , "22.9+/-2.7" , "14.1+/-1.6" , "149.4+/-9.2" , 18
472 , "PCCS1 070 G308.77+00.56 " ,, 205.27667 , -61.74889 , 308.77399 , 0.558 , "1.5e+4+/-2233.2" , "1.2e+4+/-1031.5" , "1.2e+4+/-468.2" , "2.5e+4+/-1907.3" , 1.4 , "Yes" , 0 , 0 , "PLCKERC070 G308.66+00.58" , "48.6+/-1.3" , "19.5+/-1.8" , "56.5+/-3.4" , 30.8
473 , "PCCS1 070 G344.48+70.50 " ,, 205.93917 , 11.97833 , 344.48401 , 70.503 , "618.1+/-145.3" , "364+/-209.7" , "880.8+/-121.1" , "-" , 1.4 , "Not available" , 0 , 0 , " " , "-" , "-" , "-" , -9.9
474 , "PCCS1 070 G309.06+00.17 " ,, 206.03458 , -62.07806 , 309.05899 , 0.165 , "2977.6+/-564.8" , "3694.5+/-1156.5" , "1.2e+4+/-468.2" , "-" , 1.4 , "Not available" , 0 , 0 , " " , "-" , "-" , "-" , -9.9
475 , "PCCS1 070 G320.49+43.65 " ,, 206.08292 , -17.40583 , 320.491 , 43.655 , "773.5+/-161" , "905.8+/-214.4" , "417+/-113.2" , "5530.2+/-404.3" , 1.4 , "Yes" , 0 , 2 , " " , "49.9+/-4.2" , "31.4+/-2.7" , "166.3+/-6.2" , 39.6
476 , "PCCS1 070 G090.94+70.80 " ,, 206.58333 , 42.75167 , 90.939 , 70.803 , "511.1+/-127.7" , "148.7+/-283.6" , "642.9+/-89.6" , "-" , 1.4 , "Not available" , 0 , 0 , " " , "-" , "-" , "-" , -9.9
477 , "PCCS1 070 G309.70+01.72 " ,, 206.67833 , -60.42667 , 309.70499 , 1.716 , "4358.5+/-230.1" , "5071.1+/-278.7" , "3302.5+/-593.1" , "4151.3+/-325" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G309.71+01.71" , "15.1+/-1.2" , "12.3+/-1" , "143.9+/-15.3" , 13.6
478 , "PCCS1 070 G347.41+70.12 " ,, 206.96875 , 12.29389 , 347.40799 , 70.125 , "709.1+/-161.1" , "1151.2+/-268.5" , "880.8+/-121.1" , "-" , 1.4 , "Not available" , 0 , 2 , " " , "-" , "-" , "-" , -9.9
479 , "PCCS1 070 G309.92+00.40 " ,, 207.70083 , -61.665 , 309.91501 , 0.399 , "3445+/-555.4" , "6769.6+/-901.3" , "9975.6+/-582.8" , "8608.4+/-1629.8" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G309.90+00.39" , "20.4+/-4.1" , "16.2+/-3.2" , "150.2+/-34.8" , 18.2
480 , "PCCS1 070 G054.31+76.10 " ,, 208.04208 , 31.36861 , 54.309 , 76.105 , "705.3+/-172.7" , "522.1+/-286.5" , "352.4+/-95.6" , "531.4+/-112.6" , 1.4 , "No" , 0 , 1 , " " , "18.7+/-2.9" , "7.6+/-1.1" , "48.9+/-8.4" , 11.9
481 , "PCCS1 070 G342.31+65.65 " ,, 208.16 , 7.57333 , 342.31201 , 65.651 , "658.4+/-164.5" , "266.3+/-317.9" , "372.2+/-114.6" , "-" , 1.4 , "Not available" , 0 , 0 , " " , "-" , "-" , "-" , -9.9
482 , "PCCS1 070 G310.22-00.10 " ,, 208.57167 , -62.07944 , 310.21701 , -0.1 , "2215.4+/-503.3" , "3587.3+/-1115.4" , "3449+/-693.1" , "-" , 1.4 , "Not available" , 0 , 0 , " " , "-" , "-" , "-" , -9.9
483 , "PCCS1 070 G008.99+73.05 " ,, 209.25917 , 19.3225 , 8.989 , 73.051 , "1501.3+/-153.1" , "1607.1+/-265.4" , "1480.8+/-106.7" , "1284+/-132.3" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G008.98+73.06" , "15.3+/-1.6" , "10.1+/-1.1" , "165.9+/-9.8" , 12.4
484 , "PCCS1 070 G310.83-00.39 " ,, 210.00875 , -62.20944 , 310.83401 , -0.395 , "2707.1+/-667.5" , "4819.3+/-2488" , "1.5e+4+/-1046.8" , "-" , 1.4 , "Not available" , 0 , 1 , " " , "-" , "-" , "-" , -9.9
485 , "PCCS1 070 G109.54+53.20 " ,, 210.10833 , 62.09361 , 109.535 , 53.203 , "497.5+/-119.3" , "141.8+/-156.7" , "330.8+/-71.2" , "-" , 1.4 , "Not available" , 0 , 1 , " " , "-" , "-" , "-" , -9.9
486 , "PCCS1 070 G311.56-00.47 " ,, 211.55083 , -62.07833 , 311.56299 , -0.466 , "2931.5+/-711.2" , "7150.3+/-3251.3" , "1.7e+4+/-914.8" , "-" , 1.4 , "Not available" , 0 , 1 , " " , "-" , "-" , "-" , -9.9
487 , "PCCS1 070 G311.91+00.12 " ,, 211.90125 , -61.4175 , 311.91199 , 0.119 , "8278.4+/-511.2" , "1.7e+4+/-2260.8" , "1.7e+4+/-914.8" , "-" , 1.4 , "Not available" , 0 , 2 , "PLCKERC070 G311.90+00.13" , "-" , "-" , "-" , -9.9
488 , "PCCS1 070 G333.85+50.25 " ,, 212.23208 , -7.91361 , 333.849 , 50.248 , "749.5+/-171.5" , "587.8+/-284.3" , "241.8+/-116.7" , "507.7+/-139.1" , 1.4 , "No" , 0 , 2 , " " , "13.3+/-3.7" , "9+/-2.5" , "123+/-28.1" , 10.9
489 , "PCCS1 070 G002.21+65.97 " ,, 213.94583 , 13.37722 , 2.211 , 65.974 , "849.4+/-183.8" , "915.1+/-282.1" , "511.3+/-124.4" , "765.5+/-163.8" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G002.16+65.93" , "16.6+/-3.6" , "10.3+/-2.3" , "91+/-18" , 13.1
490 , "PCCS1 070 G316.45+08.69 " ,, 214.83042 , -51.85889 , 316.45001 , 8.691 , "574+/-140.5" , "956.5+/-266.1" , "879.2+/-92.2" , "2008.5+/-292.3" , 1.4 , "Yes" , 0 , 2 , " " , "39.3+/-6" , "17.6+/-2.7" , "144.1+/-6.7" , 26.3
491 , "PCCS1 070 G069.86+68.39 " ,, 214.92417 , 38.38 , 69.857 , 68.385 , "604.4+/-131.6" , "699.6+/-192.8" , "686.9+/-92.9" , "-" , 1.4 , "Not available" , 0 , 2 , " " , "-" , "-" , "-" , -9.9
492 , "PCCS1 070 G098.30+58.32 " ,, 214.93583 , 54.37944 , 98.298 , 58.321 , "1122.5+/-121.3" , "1055.5+/-205.4" , "961.3+/-100.2" , "930.3+/-125.2" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G098.34+58.31" , "16.8+/-2.3" , "9.8+/-1.3" , "79.1+/-9.7" , 12.8
493 , "PCCS1 070 G053.44+69.52 " ,, 215.70042 , 32.42861 , 53.441 , 69.524 , "639.5+/-155.2" , "487.6+/-209.1" , "488.6+/-119.9" , "558.6+/-231.1" , 1.4 , "Yes" , 0 , 2 , " " , "31.3+/-2.4" , "12.8+/-6.3" , "45.1+/-19.1" , 20
494 , "PCCS1 070 G309.82-11.00 " ,, 216.04833 , -72.61639 , 309.815 , -10.996 , "645.8+/-129.9" , "589.3+/-221.3" , "433.9+/-94.1" , "391.7+/-102.8" , 1.4 , "No" , 0 , 2 , " " , "12.3+/-3.3" , "10.6+/-2.8" , "36.9+/-76" , 11.4
495 , "PCCS1 070 G318.18+10.85 " ,, 216.15875 , -49.24222 , 318.17599 , 10.851 , "1291.5+/-166.9" , "998.9+/-246.9" , "1056.9+/-97.7" , "1222.1+/-149.2" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G318.17+10.87" , "22.5+/-2.8" , "11.1+/-1.4" , "0.4+/-6.6" , 15.8
496 , "PCCS1 070 G314.20+00.41 " ,, 216.17083 , -60.40611 , 314.202 , 0.409 , "4598.8+/-341.4" , "8821.5+/-1208.2" , "7666.5+/-477" , "1.8e+4+/-1507.5" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G314.20+00.39" , "27.7+/-2.5" , "19.6+/-1.7" , "77.3+/-9.9" , 23.3
497 , "PCCS1 070 G311.49-06.82 " ,, 216.2275 , -68.12028 , 311.49301 , -6.816 , "1103.9+/-147.1" , "965.8+/-178.9" , "842+/-80.2" , "963.1+/-134.9" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G311.48-06.82" , "18.8+/-2.7" , "10.7+/-1.5" , "176.1+/-9.6" , 14.2
498 , "PCCS1 070 G323.02+21.77 " ,, 216.52708 , -37.37861 , 323.022 , 21.772 , "737.1+/-158.5" , "404.2+/-208.6" , "381.3+/-94.9" , "136.2+/-79.9" , 1.4 , "No" , 0 , 1 , " " , "7.5+/-4.5" , "6.8+/-4.1" , "135.3+/-57.6" , 7.2
499 , "PCCS1 070 G325.18+25.56 " ,, 216.92917 , -33.1225 , 325.17999 , 25.556 , "1161.9+/-220.5" , "1332.3+/-383.7" , "1231.5+/-125.8" , "2206.6+/-254" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G325.20+25.59" , "24.1+/-2.9" , "17+/-2" , "126.4+/-13.2" , 20.3
500 , "PCCS1 070 G321.46+17.25 " ,, 217.00792 , -42.12583 , 321.45599 , 17.245 , "2335.4+/-155.6" , "2325.6+/-218.7" , "2274.7+/-92.9" , "2419.4+/-161.7" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G321.45+17.24" , "16.9+/-1.2" , "14+/-1" , "162.8+/-14.5" , 15.4
501 , "PCCS1 070 G068.72+66.03 " ,, 217.91875 , 38.9125 , 68.724 , 66.027 , "560.6+/-130.9" , "430.7+/-253" , "213.1+/-86.9" , "211.4+/-119.3" , 1.4 , "No" , 0 , 0 , " " , "12.1+/-6.8" , "9.9+/-5.6" , "50.5+/-113.6" , 10.9
502 , "PCCS1 070 G105.20+49.75 " ,, 219.12583 , 63.60389 , 105.203 , 49.752 , "545.8+/-112.9" , "587.9+/-139.8" , "188.4+/-92.6" , "369.6+/-83.9" , 1.4 , "No" , 0 , 2 , " " , "14.4+/-3.3" , "11+/-2.5" , "127.5+/-33.3" , 12.6
503 , "PCCS1 070 G333.31+34.47 " ,, 219.58875 , -22.0225 , 333.31201 , 34.465 , "907.4+/-207" , "657.9+/-376.1" , "808.2+/-140.3" , "1130.5+/-348.2" , 1.4 , "Yes" , 0 , 2 , " " , "35.8+/-11.1" , "14.7+/-4.8" , "94.9+/-12.7" , 23
504 , "PCCS1 070 G088.08+59.19 " ,, 219.925 , 49.96694 , 88.078 , 59.194 , "639.2+/-136.8" , "752.1+/-204.5" , "612.5+/-77.5" , "-" , 1.4 , "Not available" , 0 , 2 , " " , "-" , "-" , "-" , -9.9
505 , "PCCS1 070 G090.49+57.54 " ,, 220.73792 , 51.98639 , 90.486 , 57.537 , "930.8+/-135.8" , "746.3+/-188.4" , "929.1+/-75.8" , "-" , 1.4 , "Not available" , 0 , 2 , "PLCKERC070 G090.51+57.52" , "-" , "-" , "-" , -9.9
506 , "PCCS1 070 G316.77-00.06 " ,, 221.29208 , -59.83556 , 316.77399 , -0.056 , "2.7e+4+/-641" , "3.3e+4+/-3565.6" , "2.9e+4+/-1388" , "-" , 1.4 , "Not available" , 0 , 2 , "PLCKERC070 G316.77-00.05" , "-" , "-" , "-" , -9.9
507 , "PCCS1 070 G317.34+00.30 " ,, 222.00542 , -59.27444 , 317.341 , 0.296 , "1.3e+4+/-2611.7" , "1.0e+4+/-3858.1" , "2.9e+4+/-1388" , "-" , 1.4 , "Not available" , 0 , 0 , " " , "-" , "-" , "-" , -9.9
508 , "PCCS1 070 G114.13+39.08 " ,, 222.20625 , 75.97778 , 114.133 , 39.077 , "519.4+/-119.4" , "180.8+/-169" , "284.2+/-62.5" , "-" , 1.4 , "Not available" , 0 , 2 , " " , "-" , "-" , "-" , -9.9
509 , "PCCS1 070 G313.48-08.39 " ,, 222.86 , -68.77111 , 313.47699 , -8.393 , "577.6+/-144.3" , "249.8+/-208.6" , "272.7+/-96.8" , "-" , 1.4 , "Not available" , 0 , 1 , " " , "-" , "-" , "-" , -9.9
510 , "PCCS1 070 G328.20+18.97 " ,, 223.58542 , -37.79722 , 328.20401 , 18.97 , "1132+/-173.2" , "1099.8+/-232.7" , "1219.2+/-99.7" , "1029.4+/-129.4" , 1.4 , "No" , 0 , 2 , " " , "13.7+/-1.8" , "10.2+/-1.3" , "146.8+/-17" , 11.8
511 , "PCCS1 070 G318.04-00.70 " ,, 224.11625 , -59.85528 , 318.03699 , -0.702 , "3772.2+/-615.1" , "1.0e+4+/-2121.4" , "7803+/-1597.8" , "1.9e+4+/-2483.4" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G318.01-00.68" , "27+/-3.7" , "19.8+/-2.7" , "117.7+/-17" , 23.1
512 , "PCCS1 070 G329.86+20.55 " ,, 224.32167 , -35.655 , 329.86301 , 20.551 , "901.6+/-141.3" , "1375.1+/-258.1" , "1103.8+/-95.8" , "1985.2+/-205.4" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G329.85+20.48" , "22.9+/-2.5" , "17.1+/-1.8" , "146.2+/-14.3" , 19.8
513 , "PCCS1 070 G109.95+42.10 " ,, 224.85083 , 71.65556 , 109.946 , 42.096 , "562.1+/-79" , "512.9+/-169.7" , "314.1+/-47.4" , "375.8+/-120" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G109.93+42.11" , "12.9+/-4.2" , "11.2+/-3.7" , "13.6+/-92.7" , 12.1
514 , "PCCS1 070 G319.40+00.02 " ,, 225.79667 , -58.5775 , 319.39899 , 0.017 , "6309.2+/-740.1" , "7945.4+/-980" , "1.2e+4+/-470.7" , "1.3e+4+/-1886.8" , 1.4 , "Yes" , 0 , 1 , " " , "37.1+/-2.4" , "15.2+/-2.6" , "133.6+/-6.5" , 23.8
515 , "PCCS1 070 G319.19-00.38 " ,, 225.81292 , -59.02667 , 319.189 , -0.38 , "7322.3+/-632.1" , "9799+/-1161.4" , "1.2e+4+/-470.7" , "-" , 1.4 , "Not available" , 0 , 2 , "PLCKERC070 G319.18-00.37" , "-" , "-" , "-" , -9.9
516 , "PCCS1 070 G011.39+54.58 " ,, 226.10708 , 10.49778 , 11.39 , 54.58 , "854+/-167.2" , "882.2+/-350.3" , "841.8+/-117.5" , "2169.6+/-336.8" , 1.4 , "Yes" , 0 , 2 , " " , "41.1+/-5.3" , "16.9+/-2.9" , "90.7+/-6.7" , 26.4
517 , "PCCS1 070 G320.26+00.84 " ,, 226.45208 , -57.445 , 320.255 , 0.836 , "1.9e+4+/-2312" , "7454.4+/-890.1" , "1.2e+4+/-470.7" , "5454+/-1367.8" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G320.16+00.81" , "23.3+/-6" , "10.7+/-2.8" , "173.5+/-12.1" , 15.8
518 , "PCCS1 070 G061.77+59.90 " ,, 226.52 , 37.57389 , 61.771 , 59.901 , "623.8+/-144.6" , "453.5+/-195.5" , "263.6+/-88.2" , "199+/-76.9" , 1.4 , "No" , 0 , 2 , " " , "14.4+/-2.6" , "5.9+/-2.6" , "160.1+/-17.4" , 9.2
519 , "PCCS1 070 G343.69+35.10 " ,, 226.77708 , -16.82111 , 343.68799 , 35.099 , "864.7+/-162.3" , "506.3+/-417.8" , "427.7+/-103.3" , "486.4+/-168.9" , 1.4 , "No" , 0 , 2 , " " , "16+/-5.7" , "9.9+/-3.5" , "78.5+/-28.5" , 12.5
520 , "PCCS1 070 G324.40+07.18 " ,, 227.16042 , -49.88556 , 324.39899 , 7.18 , "1394.4+/-164.3" , "1085.3+/-261.5" , "447+/-98.6" , "605.5+/-121.7" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G324.39+07.19" , "11.2+/-2.2" , "9.8+/-2" , "4.5+/-61.8" , 10.5
521 , "PCCS1 070 G320.20-00.25 " ,, 227.38375 , -58.41778 , 320.19901 , -0.254 , "2.1e+4+/-2648.3" , "1.2e+4+/-1628" , "1.2e+4+/-470.7" , "4.5e+4+/-2583.4" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G320.27-00.25" , "49.5+/-3.1" , "20.7+/-1.3" , "132.7+/-2.4" , 32
522 , "PCCS1 070 G353.93+42.95 " ,, 227.72417 , -5.70028 , 353.92801 , 42.948 , "1014.7+/-213.8" , "1223+/-388.1" , "521.7+/-168.4" , "1337.9+/-261.6" , 1.4 , "No" , 0 , 2 , " " , "19.1+/-3.8" , "15.5+/-3.1" , "31.3+/-38.4" , 17.2
523 , "PCCS1 070 G320.75+00.22 " ,, 227.81958 , -57.72861 , 320.74701 , 0.223 , "6714.3+/-789.1" , "1.1e+4+/-1701.1" , "1.2e+4+/-470.7" , "1.2e+4+/-1647.5" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G320.74+00.21" , "20.5+/-3" , "14.8+/-2.2" , "165.6+/-17.4" , 17.4
524 , "PCCS1 070 G351.25+40.16 " ,, 228.17458 , -9.10333 , 351.25201 , 40.16 , "2533.3+/-190.8" , "2204.9+/-359.7" , "2281.7+/-107.7" , "2272.8+/-152.9" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G351.28+40.14" , "14.9+/-1" , "12+/-0.8" , "143.2+/-12.6" , 13.3
525 , "PCCS1 070 G321.73+01.15 " ,, 228.49125 , -56.43 , 321.728 , 1.149 , "2833.3+/-356.7" , "1916.1+/-457.8" , "1.3e+4+/-278.8" , "1934.5+/-944.4" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G321.69+01.17" , "39.8+/-2.4" , "16.3+/-9.5" , "45.3+/-22.5" , 25.5
526 , "PCCS1 070 G326.33+08.46 " ,, 228.64042 , -47.8025 , 326.32599 , 8.462 , "1038.8+/-156.7" , "1070.7+/-236.3" , "1002+/-103.5" , "712.2+/-110.3" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G326.36+08.45" , "14.8+/-2.3" , "8.5+/-1.3" , "158.4+/-10.8" , 11.2
527 , "PCCS1 070 G333.39+18.77 " ,, 228.94958 , -35.42667 , 333.39301 , 18.767 , "628.4+/-155.4" , "268.6+/-324.4" , "259.9+/-97.8" , "-" , 1.4 , "Not available" , 0 , 1 , " " , "-" , "-" , "-" , -9.9
528 , "PCCS1 070 G321.09-00.51 " ,, 229.09667 , -58.17778 , 321.09399 , -0.512 , "1.0e+4+/-651.4" , "1.5e+4+/-1467" , "1.2e+4+/-470.7" , "1.6e+4+/-1722.9" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G321.09-00.50" , "19.2+/-2.1" , "15.4+/-1.7" , "1.2+/-19.7" , 17.2
529 , "PCCS1 070 G001.36+45.98 " ,, 229.16125 , 0.23611 , 1.361 , 45.982 , "1116+/-214.7" , "1385.4+/-358.3" , "1175.5+/-157.2" , "6631.6+/-545.5" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G001.35+45.98" , "43.8+/-4.1" , "31.7+/-3" , "73.4+/-10.3" , 37.3
530 , "PCCS1 070 G028.08+55.85 " ,, 229.27333 , 19.57694 , 28.075 , 55.853 , "752.8+/-160.7" , "634.6+/-275" , "354.7+/-112.8" , "1014.1+/-206.1" , 1.4 , "Yes" , 0 , 2 , " " , "32.8+/-1.7" , "13.4+/-3.2" , "0.1+/-9.3" , 21
531 , "PCCS1 070 G340.68+27.58 " ,, 229.42542 , -24.36722 , 340.685 , 27.581 , "2210.2+/-176.4" , "1923.2+/-233.2" , "1739.7+/-117.1" , "1563.4+/-131.9" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G340.68+27.57" , "14.2+/-1.2" , "10.8+/-0.9" , "5.7+/-12.8" , 12.4
532 , "PCCS1 070 G346.26+33.57 " ,, 229.50667 , -16.70083 , 346.25601 , 33.566 , "780.1+/-164.3" , "656.1+/-212.2" , "314.4+/-97.8" , "800.6+/-130" , 1.4 , "No" , 0 , 2 , " " , "17.1+/-2.8" , "9.9+/-1.6" , "74+/-11.6" , 13
533 , "PCCS1 070 G322.16+00.61 " ,, 229.66667 , -56.66444 , 322.15601 , 0.609 , "1.3e+4+/-354.8" , "1.4e+4+/-608.5" , "1.3e+4+/-278.8" , "1.5e+4+/-455.3" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G322.13+00.61" , "15.2+/-0.5" , "15.1+/-0.5" , "96.1+/-134.4" , 15.1
534 , "PCCS1 070 G094.68+49.03 " ,, 230.08042 , 59.13139 , 94.683 , 49.026 , "492.7+/-111" , "748.8+/-162.1" , "693.1+/-76" , "7197.1+/-353" , 1.4 , "Yes" , 0 , 0 , " " , "47.1+/-2.9" , "43.2+/-2.7" , "102.3+/-22.9" , 45.1
535 , "PCCS1 070 G322.50+00.23 " ,, 230.56292 , -56.79861 , 322.49799 , 0.231 , "1970.5+/-335.4" , "2162.1+/-531.2" , "1.3e+4+/-278.8" , "1.0e+4+/-1164.6" , 1.4 , "Yes" , 0 , 0 , " " , "54+/-5.8" , "22.2+/-2.9" , "45+/-4.8" , 34.7
536 , "PCCS1 070 G022.58+52.59 " ,, 231.16167 , 15.36556 , 22.576 , 52.587 , "878.7+/-168.2" , "643.3+/-313.6" , "653.6+/-107.9" , "-" , 1.4 , "Not available" , 0 , 2 , " " , "-" , "-" , "-" , -9.9
537 , "PCCS1 070 G324.18+00.16 " ,, 233.14667 , -55.91417 , 324.17899 , 0.162 , "4593.7+/-357" , "6899.2+/-856.1" , "6317.3+/-338.5" , "-" , 1.4 , "Not available" , 0 , 2 , "PLCKERC070 G324.16+00.18" , "-" , "-" , "-" , -9.9
538 , "PCCS1 070 G006.74+43.22 " ,, 233.71083 , 1.48889 , 6.738 , 43.221 , "788.6+/-150.5" , "720.1+/-284.1" , "333.8+/-97.5" , "642.1+/-151" , 1.4 , "No" , 0 , 2 , " " , "15.1+/-3.6" , "12.4+/-3" , "93+/-49.4" , 13.7
539 , "PCCS1 070 G020.33+49.01 " ,, 233.8325 , 12.52611 , 20.334 , 49.013 , "816.2+/-200.5" , "658+/-379" , "631.5+/-153.6" , "1826.3+/-344.6" , 1.4 , "Yes" , 0 , 0 , " " , "42.5+/-1.7" , "17.4+/-3.9" , "132.5+/-8.6" , 27.2
540 , "PCCS1 070 G326.26+00.77 " ,, 235.46083 , -54.19778 , 326.26099 , 0.768 , "5999+/-789.7" , "1.7e+4+/-2038" , "3.5e+4+/-1080.2" , "-" , 1.4 , "Not available" , 0 , 0 , " " , "-" , "-" , "-" , -9.9
541 , "PCCS1 070 G357.27+34.73 " ,, 235.48375 , -9.59611 , 357.267 , 34.728 , "694.7+/-159.2" , "603.9+/-263.6" , "322.8+/-96.5" , "-" , 1.4 , "Not available" , 0 , 2 , "PLCKERC070 G357.28+34.79" , "-" , "-" , "-" , -9.9
542 , "PCCS1 070 G326.67+00.55 " ,, 236.23708 , -54.1225 , 326.668 , 0.552 , "3.3e+4+/-1345.1" , "3.8e+4+/-2010.4" , "3.5e+4+/-1080.2" , "4.1e+4+/-2591.1" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G326.67+00.55" , "15.9+/-1" , "15+/-1" , "11.5+/-42.7" , 15.4
543 , "PCCS1 070 G027.28+48.23 " ,, 236.56208 , 16.35722 , 27.276 , 48.226 , "719.2+/-176.2" , "681.4+/-229.6" , "238.5+/-137.8" , "2031.2+/-374.4" , 1.4 , "Yes" , 0 , 0 , " " , "44.8+/-8.8" , "18.5+/-3.6" , "104.4+/-7.5" , 28.8
544 , "PCCS1 070 G036.26+50.18 " ,, 236.66167 , 22.54111 , 36.264 , 50.18 , "828.5+/-184.4" , "778.2+/-297.5" , "344.9+/-137.8" , "886.8+/-246.2" , 1.4 , "No" , 0 , 0 , " " , "28.2+/-8.1" , "11.8+/-3.4" , "83.3+/-11.6" , 18.3
545 , "PCCS1 070 G326.97+00.01 " ,, 237.21083 , -54.36389 , 326.96701 , 0.011 , "2.0e+4+/-3310.5" , "1.3e+4+/-3702.5" , "4.3e+4+/-1470" , "-" , 1.4 , "Not available" , 0 , 2 , "PLCKERC070 G326.92-00.05" , "-" , "-" , "-" , -9.9
546 , "PCCS1 070 G080.25+49.05 " ,, 237.33875 , 50.64 , 80.247 , 49.049 , "488.9+/-115.1" , "585.4+/-180.3" , "231.1+/-76.6" , "-" , 1.4 , "Not available" , 0 , 2 , " " , "-" , "-" , "-" , -9.9
547 , "PCCS1 070 G010.87+40.91 " ,, 237.37792 , 2.63444 , 10.869 , 40.91 , "1504.4+/-161.6" , "1658.7+/-222.5" , "1533.2+/-105.2" , "2600.6+/-195.3" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G010.85+40.91" , "19.7+/-1.5" , "18+/-1.4" , "122.4+/-32.4" , 18.8
548 , "PCCS1 070 G014.23+42.20 " ,, 237.67875 , 5.44 , 14.225 , 42.197 , "1777.4+/-163.8" , "1696.3+/-278.6" , "1639.7+/-99.9" , "2067.9+/-198.2" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G014.21+42.20" , "19.8+/-2" , "14.7+/-1.4" , "25.5+/-12.9" , 17
