_id , roxa_name , RA, Dec, Redshift , Rmag , Bjmag , Vmag , Gmag , Radio_Flux_Density , X-ray_Flux, Source_classification , aox , aro , arx , X-rayLuminosityat0.1-2.4 keV, Radio_powerat1.4 GHz, Alpha_radio, other_name, LII, BII
95 , "ROXA J080041.89+321727.59" , 120.17458 , 32.291 , 0.19 , 16.5 , 0 , 0 , 17.8 , 95.8 , 5.7e-13 , "Radio Galaxy-galaxy dominated" , 1.5 , 0.32 , 0.73 , "5.638e+43" , "9.476e+31" , 0.91 , "1RXS J080041.7+3217" , "188.84" , "27.87"
96 , "ROXA J080131.9+473615.98" , 120.38292 , 47.60444 , 0.16 , 16 , 0 , 0 , 16.1 , 77.4 , 9.8e-12 , "QSO RLoud flat radio sp." , 1.19 , 0.3 , 0.61 , "6.588e+44" , "5.204e+31" , 0.15 , "1RXS J080132.3+4736" , "171.64" , "31.16"
97 , "ROXA J080322.99+481618.58" , 120.84583 , 48.27183 , 0.5 , 19.2 , 0 , 0 , 19.5 , 12.7 , 3.3e-12 , "BL Lac" , 0.63 , 0.49 , 0.56 , "3.168e+45" , "1.219e+32" , "--" , "1RXS J080323.1+4816" , "170.9" , "31.55"
98 , "ROXA J080322.39+433306.98" , 120.84333 , 43.55194 , 0.28 , 18.1 , 0 , 0 , 18.6 , 8.1 , 1.8e-12 , "QSO RLoud" , 1.11 , 0.27 , 0.57 , "4.285e+44" , "1.928e+31" , "--" , "1RXS J080321.9+4333" , "176.37" , "30.88"
99 , "ROXA J080557.79+394045.08" , 121.49083 , 39.67919 , 1.81 , 20 , 0 , 0 , 19.9 , 143.7 , 8.9e-13 , "QSO RLoud steep radio sp." , 0.92 , 0.55 , 0.73 , "2.002e+46" , "3.232e+34" , 0.84 , "1RXS J080555.0+3940" , "180.9" , "30.66"
100 , "ROXA J080730.7+340041.61" , 121.87792 , 34.01156 , 0.21 , 16.4 , 0 , 0 , 17.7 , 13.1 , 2.3e-12 , "QSO RLoud BL/FSRQ transition obj." , 1.28 , 0.21 , 0.58 , "2.885e+44" , "1.643e+31" , "--" , "1RXS J080730.4+3401" , "187.38" , "29.7"
101 , "ROXA J080814.59+475244.61" , 122.06083 , 47.87906 , 0.55 , 17.8 , 0 , 0 , 17.9 , 70.3 , 1e-12 , "QSO RLoud flat radio sp." , 1.27 , 0.36 , 0.69 , "1.181e+45" , "8.303e+32" , 0.79 , "1RXS J080814.9+4752" , "171.47" , "32.31"
102 , "ROXA J080856.59+405244.9" , 122.23583 , 40.87914 , 1.42 , 19 , 0 , 0 , 19.5 , 584.6 , 1.1e-12 , "QSO RLoud flat radio sp." , 0.94 , 0.76 , 0.87 , "1.363e+46" , "7.243e+34" , -0.14 , "1RXS J080856.4+4052" , "179.65" , "31.44"
103 , "ROXA J080949.09+521858.21" , 122.45458 , 52.31617 , "--" , 15.3 , 0 , 0 , 15.7 , 182.9 , 1.8e-11 , "BL Lac" , 1.18 , 0.32 , 0.62 , "0.000" , "0.000" , "--" , "1RXS J080949.2+5218" , "166.24" , "32.91"
104 , "ROXA J081002.59+502538.71" , 122.51083 , 50.42742 , 1.21 , 16.7 , 0 , 0 , 17.1 , 38.5 , 7.9e-13 , "QSO RLoud" , 1.43 , 0.27 , 0.7 , "6.558e+45" , "3.196e+33" , "--" , "1RXS J081002.3+5025" , "168.49" , "32.83"
